release	gene	condition	day	nGenes	nDE_05	nDE_01	key	ko_strategy	expression_alteration.label	model_system	model_organ	label	description	max_nDE_01
2023_12_JAX_RNAseq_ExtraEmbryonic	ISL1	""	day_6	23842	634	261	ISL1_day_6	PTC	JAX_ISL1_Termination_codon	ExM	Fibroblast of villous mesenchyme (CL:0002558)	ExM-MOK20015P-A10;ExM-MOK20015P-C12;ExM-MOK20015P-D10	KOLF2.2 deleted ISL1 by insertion of premature termination codon (PTC) derived extra-embryonic mesenchyme	261
2023_12_JAX_RNAseq_ExtraEmbryonic	EPAS1	hypoxia	day_6	23326	3148	1780	EPAS1_hypoxia_day_6	PTC	JAX_EPAS1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20012P-A09-hyp;PrS-MOK20012P-D10-hyp;PrS-MOK20012P-G09-hyp	KOLF2.2 deleted EPAS1 by insertion of premature termination codon (PTC) derived primitive syncytium in hypoxia	2230
2023_12_JAX_RNAseq_ExtraEmbryonic	EPAS1	""	day_6	23493	645	122	EPAS1_day_6	PTC	JAX_EPAS1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20012P-A09-nor;PrS-MOK20012P-D10-nor;PrS-MOK20012P-G09-nor	KOLF2.2 deleted EPAS1 by insertion of premature termination codon (PTC) derived primitive syncytium in normoxia	2230
2023_12_JAX_RNAseq_ExtraEmbryonic	FOSB	""	day_6	23493	207	50	FOSB_day_6	PTC	JAX_FOSB_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20017P-A10;PrS-MOK20017P-B09;PrS-MOK20017P-C11	KOLF2.2 deleted FOSB by insertion of premature termination codon (PTC) derived primitive syncytium	50
2023_12_JAX_RNAseq_ExtraEmbryonic	GCM1	""	day_6	23493	6982	3585	GCM1_day_6	PTC	JAX_GCM1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20022P-A11;PrS-MOK20022P-B12;PrS-MOK20022P-E11	KOLF2.2 deleted GCM1 by insertion of premature termination codon (PTC) derived primitive syncytium	5964
2023_12_JAX_RNAseq_ExtraEmbryonic	GRHL1	""	day_6	23493	8121	4130	GRHL1_day_6	PTC	JAX_GRHL1_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20013P-A09;PrS-MOK20013P-A10;PrS-MOK20013P-C09	KOLF2.2 deleted GRHL1 by insertion of premature termination codon (PTC) derived primitive syncytium	4130
2023_12_JAX_RNAseq_ExtraEmbryonic	POU2F3	""	day_6	23493	13	1	POU2F3_day_6	PTC	JAX_POU2F3_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20010P-A09;PrS-MOK20010P-A10;PrS-MOK20010P-G09	KOLF2.2 deleted POU2F3 by insertion of premature termination codon (PTC) derived primitive syncytium	1
2023_12_JAX_RNAseq_ExtraEmbryonic	PPARG	""	day_6	23493	7265	3257	PPARG_day_6	PTC	JAX_PPARG_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20026P-A10;PrS-MOK20026P-D10;PrS-MOK20026P-E12	KOLF2.2 deleted PPARG by insertion of premature termination codon (PTC) derived primitive syncytium	3257
2024_05_JAX_RNAseq2_ExtraEmbryonic	MEF2C	""	day_6	24060	0	0	MEF2C_day_6	PTC	JAX_MEF2C_Termination_codon	ExM	Fibroblast of villous mesenchyme (CL:0002558)	ExM-MOK20024P-A01;ExM-MOK20024P-B03;ExM-MOK20024P-D07	KOLF2.2 deleted MEF2C by insertion of premature termination codon (PTC) derived extra-embryonic mesenchyme	0
2024_05_JAX_RNAseq2_ExtraEmbryonic	MEIS1	""	day_6	23897	114	36	MEIS1_day_6	PTC	JAX_MEIS1_Termination_codon	ExM	Fibroblast of villous mesenchyme (CL:0002558)	ExM-MOK20014P-F12;ExM-MOK20014P-G09;ExM-MOK20014P-G11	KOLF2.2 deleted MEIS1 by insertion of premature termination codon (PTC) derived extra-embryonic mesenchyme	36
