file_id	lib_biomaterial_id	sequencing_protocol	run_id
EB_Day_0_Rep1_S34_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_0_Rep2_S41_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_0_Rep3_S48_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_10_Rep1_S39_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_10_Rep2_S46_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_10_Rep3_S53_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_2_Rep1_S35_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_2_Rep2_S42_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_2_Rep3_S49_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_4_Rep1_S36_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_4_Rep2_S43_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_4_Rep3_S50_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_6_Rep1_S37_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_6_Rep2_S44_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_6_Rep3_S51_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_8_Rep1_S38_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_8_Rep2_S45_L007		Novaseq 10B (151,12,24,151)	7
EB_Day_8_Rep3_S52_L007		Novaseq 10B (151,12,24,151)	7
iPSC_Rep1_S33_L007		Novaseq 10B (151,12,24,151)	7
iPSC_Rep2_S40_L007		Novaseq 10B (151,12,24,151)	7
iPSC_Rep3_S47_L007		Novaseq 10B (151,12,24,151)	7
