gene_ID	ELK3_PTC_baseMean	ELK3_PTC_log2FoldChange	ELK3_PTC_lfcSE	ELK3_PTC_stat	ELK3_PTC_pvalue	ELK3_PTC_padj	ELK3_PTC_n_zeros
ENSG00000271254	703	-0.0975	0.0844	-1.16	0.248	0.524	0
ENSG00000277196	48.7	-0.519	0.342	-1.51	0.13	0.361	0
ENSG00000278817	67.8	0.294	0.238	1.24	0.215	0.483	0
ENSG00000292372	101	3.63	1.35	2.68	0.00729	0.0538	1
ENSG00000198692	369	-0.279	0.102	-2.74	0.00615	0.0484	0
ENSG00000229236	3.33	0.508	1.27	0.401	0.688		0
ENSG00000260197	13.4	0.246	0.455	0.541	0.589	0.813	0
ENSG00000290853	60.4	-0.0495	0.245	-0.203	0.839	0.939	0
ENSG00000067048	2370	0.0825	0.105	0.788	0.431	0.7	0
ENSG00000286009	4.88	-0.648	0.902	-0.718	0.473		0
ENSG00000231535	49.9	1.83	0.379	4.82	1.47e-06	0.000106	0
ENSG00000233070	2.21	2.32	1.61	1.44	0.149		2
ENSG00000278847	0.561	-0.34	2.62	-0.13	0.897		3
ENSG00000292348	3500	-0.201	0.102	-1.96	0.0495	0.199	0
ENSG00000292345	515	0.101	1.36	0.0739	0.941	0.977	0
ENSG00000292337	1.77	-0.156	1.3	-0.12	0.905		1
ENSG00000292338	182	1.02	1.32	0.772	0.44	0.706	0
ENSG00000292339	109	1.72	1.83	0.94	0.347	0.625	1
ENSG00000292331	7.4	0.895	0.907	0.987	0.324	0.603	1
ENSG00000292360	4.55	-1.44	2.93	-0.49	0.624		3
ENSG00000292341	1.65	-1.1	1.35	-0.816	0.415		1
ENSG00000292327	306	0.334	0.81	0.413	0.68	0.86	0
ENSG00000182484	135	-0.811	1.82	-0.445	0.656	0.848	0
ENSG00000124334	0.788	-0.609	2.11	-0.288	0.773		3
ENSG00000124333	676	0.0691	0.12	0.574	0.566	0.797	0
ENSG00000224533	2.97	0.0663	1.92	0.0346	0.972		3
ENSG00000155961	88.1	0.143	0.215	0.665	0.506	0.756	0
ENSG00000274183	0.525	2.57	2.69	0.956	0.339		4
ENSG00000203870	1.06	4.31	2.51	1.72	0.086		4
ENSG00000154620	79	-0.0626	0.706	-0.0886	0.929	0.973	0
ENSG00000130830	365	2.56	0.84	3.04	0.00234	0.025	0
ENSG00000272681	0.849	-0.925	2.69	-0.344	0.731		4
ENSG00000269335	227	0.0599	0.149	0.403	0.687	0.863	0
ENSG00000160211	1100	-0.000897	0.0703	-0.0128	0.99	0.997	0
ENSG00000102178	586	0.309	0.085	3.64	0.000276	0.0056	0
ENSG00000130827	2170	-0.0304	0.0715	-0.426	0.67	0.854	0
ENSG00000071859	770	0.179	0.0974	1.84	0.0662	0.238	0
ENSG00000013563	268	-0.105	0.116	-0.907	0.364	0.642	0
ENSG00000280195	6.95	0.649	0.722	0.899	0.369	0.646	0
ENSG00000169057	1480	-0.106	0.0633	-1.68	0.0937	0.298	0
ENSG00000177854	25.8	0.0756	0.369	0.205	0.838	0.938	0
ENSG00000102032	14.1	0.0628	0.479	0.131	0.896	0.961	0
ENSG00000089820	15.8	0.198	0.436	0.454	0.65	0.845	0
