gene_ID	SNAI2_PTC_baseMean	SNAI2_PTC_log2FoldChange	SNAI2_PTC_lfcSE	SNAI2_PTC_stat	SNAI2_PTC_pvalue	SNAI2_PTC_padj	SNAI2_PTC_n_zeros
ENSG00000271254	703	-0.0499	0.0835	-0.598	0.55	0.75	0
ENSG00000277196	48.7	0.824	0.319	2.58	0.00979	0.0437	0
ENSG00000278817	67.8	0.38	0.234	1.63	0.104	0.269	0
ENSG00000292372	101	2.9	1.35	2.15	0.0319	0.112	1
ENSG00000198692	369	-0.278	0.101	-2.76	0.00573	0.028	0
ENSG00000229236	3.33	0.199	1.28	0.156	0.876		1
ENSG00000260197	13.4	-1.15	0.511	-2.25	0.0243	0.0905	0
ENSG00000290853	60.4	0.353	0.236	1.5	0.134	0.319	0
ENSG00000067048	2370	-0.167	0.105	-1.59	0.111	0.281	0
ENSG00000286009	4.88	-0.614	0.889	-0.691	0.489	0.706	1
ENSG00000231535	49.9	2.34	0.373	6.28	3.47e-10	8.4e-09	0
ENSG00000233070	2.21	1.02	1.66	0.612	0.541		1
ENSG00000278847	0.561	-0.543	2.63	-0.207	0.836		2
ENSG00000292348	3500	-0.158	0.102	-1.55	0.122	0.3	0
ENSG00000292345	515	-0.195	1.36	-0.143	0.886	0.95	0
ENSG00000292337	1.77	-1.54	1.44	-1.07	0.287		2
ENSG00000292338	182	1.22	1.32	0.924	0.355	0.589	0
ENSG00000292339	109	0.896	1.83	0.488	0.625	0.805	1
ENSG00000292331	7.4	1.38	0.889	1.55	0.122	0.3	0
ENSG00000292360	4.55	-0.789	2.91	-0.271	0.786	0.897	2
ENSG00000292341	1.65	-0.524	1.24	-0.422	0.673		0
ENSG00000292327	306	0.0243	0.81	0.0299	0.976	0.989	0
ENSG00000182484	135	-0.442	1.82	-0.243	0.808	0.909	1
ENSG00000124334	0.788	-1.68	2.19	-0.766	0.444		4
ENSG00000124333	676	0.0759	0.12	0.633	0.527	0.734	0
ENSG00000224533	2.97	-0.502	1.93	-0.26	0.795		2
ENSG00000155961	88.1	-0.00247	0.215	-0.0115	0.991	0.996	0
ENSG00000274183	0.525	0.891	2.82	0.316	0.752		5
ENSG00000203870	1.06	0.891	2.74	0.325	0.745		5
ENSG00000154620	79	0.139	0.705	0.197	0.844	0.928	0
ENSG00000130830	365	0.121	0.842	0.143	0.886	0.949	0
ENSG00000272681	0.849	0.793	2.52	0.314	0.754		4
ENSG00000269335	227	0.132	0.147	0.901	0.368	0.601	0
ENSG00000160211	1100	0.0471	0.0696	0.676	0.499	0.713	0
ENSG00000102178	586	0.252	0.0844	2.98	0.00286	0.0156	0
ENSG00000130827	2170	0.0252	0.0711	0.355	0.723	0.863	0
ENSG00000071859	770	0.0599	0.0972	0.616	0.538	0.741	0
ENSG00000013563	268	0.0434	0.113	0.384	0.701	0.85	0
ENSG00000280195	6.95	0.828	0.707	1.17	0.242	0.467	0
ENSG00000169057	1480	-0.129	0.0629	-2.05	0.04	0.133	0
ENSG00000177854	25.8	-0.152	0.371	-0.409	0.683	0.839	0
ENSG00000102032	14.1	0.434	0.461	0.941	0.347	0.581	0
ENSG00000089820	15.8	0.198	0.43	0.461	0.645	0.815	0
ENSG00000198910	5430	-0.303	0.0938	-3.24	0.00121	0.00757	0
ENSG00000067840	38.3	-1.1	0.358	-3.07	0.00211	0.0121	0
ENSG00000180879	652	0.0674	0.0828	0.813	0.416	0.644	0
ENSG00000067829	387	-0.0188	0.0973	-0.193	0.847	0.929	0
ENSG00000198753	20.8	-0.00467	0.373	-0.0125	0.99	0.996	0
ENSG00000185825	1810	0.0786	0.0815	0.964	0.335	0.569	0
ENSG00000130822	10.3	3.24	0.722	4.48	7.43e-06	8.28e-05	0
ENSG00000067842	20.3	2.16	1.55	1.39	0.164	0.364	2
ENSG00000183837	16.5	-1.16	0.453	-2.55	0.0108	0.0472	0
ENSG00000147383	539	0.178	0.0868	2.05	0.0399	0.133	0
ENSG00000147400	582	-0.19	0.077	-2.47	0.0133	0.0562	0
ENSG00000160131	1650	-0.162	0.077	-2.1	0.0359	0.123	0
ENSG00000029993	2220	0.00202	0.0616	0.0328	0.974	0.988	0
ENSG00000102181	320	-1.01	0.133	-7.65	2.04e-14	8.61e-13	0
ENSG00000063601	829	0.354	0.0763	4.64	3.47e-06	4.18e-05	0
ENSG00000013619	29.5	-0.695	0.407	-1.7	0.0882	0.239	0
