gene_ID	SOX7_PTC_baseMean	SOX7_PTC_log2FoldChange	SOX7_PTC_lfcSE	SOX7_PTC_stat	SOX7_PTC_pvalue	SOX7_PTC_padj	SOX7_PTC_n_zeros
ENSG00000271254	703	0.0323	0.0836	0.386	0.699	0.956	0
ENSG00000277196	48.7	-0.0356	0.331	-0.107	0.914	0.988	0
ENSG00000278817	67.8	-0.0263	0.242	-0.109	0.913	0.988	0
ENSG00000292372	101	3.56	1.35	2.63	0.00847	0.224	1
ENSG00000198692	369	-0.218	0.101	-2.16	0.0308	0.413	0
ENSG00000229236	3.33	1.32	1.22	1.08	0.281		0
ENSG00000260197	13.4	-0.198	0.468	-0.423	0.672		0
ENSG00000290853	60.4	-0.142	0.245	-0.578	0.563	0.92	0
ENSG00000067048	2370	-0.161	0.105	-1.53	0.125	0.648	0
ENSG00000286009	4.88	-0.587	0.894	-0.657	0.511		0
ENSG00000231535	49.9	1.15	0.388	2.95	0.00313	0.135	0
ENSG00000233070	2.21	0.561	1.71	0.327	0.743		3
ENSG00000278847	0.561	-2.28	2.69	-0.848	0.397		4
ENSG00000292348	3500	-0.073	0.102	-0.713	0.476	0.9	0
ENSG00000292345	515	-0.192	1.36	-0.141	0.888	0.986	1
ENSG00000292337	1.77	-1.43	1.44	-0.989	0.323		1
ENSG00000292338	182	0.293	1.32	0.222	0.824	0.974	0
ENSG00000292339	109	1.21	1.83	0.661	0.509	0.907	1
ENSG00000292331	7.4	-0.0743	0.947	-0.0784	0.938		0
ENSG00000292360	4.55	-1.24	2.92	-0.423	0.672		3
ENSG00000292341	1.65	-0.412	1.24	-0.332	0.74		0
ENSG00000292327	306	-0.00736	0.81	-0.00908	0.993	0.999	0
ENSG00000182484	135	-1.08	1.82	-0.595	0.552	0.918	1
ENSG00000124334	0.788	-0.0802	2.03	-0.0395	0.968		2
ENSG00000124333	676	0.167	0.12	1.4	0.162	0.695	0
ENSG00000224533	2.97	-1.93	2.04	-0.944	0.345		3
ENSG00000155961	88.1	-0.0647	0.217	-0.298	0.766	0.968	0
ENSG00000274183	0.525	1.93	2.75	0.701	0.484		4
ENSG00000203870	1.06	1.01	2.74	0.369	0.712		5
ENSG00000154620	79	-1.27	0.713	-1.77	0.076	0.557	0
ENSG00000130830	365	1.25	0.841	1.48	0.138	0.667	0
ENSG00000272681	0.849	0.522	2.56	0.204	0.838		3
ENSG00000269335	227	0.189	0.147	1.29	0.198	0.735	0
ENSG00000160211	1100	-0.139	0.0705	-1.98	0.0482	0.475	0
ENSG00000102178	586	0.149	0.0855	1.75	0.0803	0.569	0
ENSG00000130827	2170	0.0194	0.0713	0.272	0.786	0.971	0
ENSG00000071859	770	0.0641	0.0976	0.656	0.512	0.908	0
ENSG00000013563	268	-0.0497	0.115	-0.433	0.665	0.944	0
ENSG00000280195	6.95	0.581	0.723	0.803	0.422		0
