gene_ID	TFEB_PTC_baseMean	TFEB_PTC_log2FoldChange	TFEB_PTC_lfcSE	TFEB_PTC_stat	TFEB_PTC_pvalue	TFEB_PTC_padj	TFEB_PTC_n_zeros
ENSG00000271254	821	-0.129	0.0836	-1.54	0.124	0.337	0
ENSG00000277196	47.3	0.378	0.305	1.24	0.215	0.473	0
ENSG00000278817	127	0.94	0.263	3.57	0.000354	0.00399	0
ENSG00000292372	269	-0.747	0.745	-1	0.316	0.588	0
ENSG00000198692	321	-0.144	0.129	-1.12	0.264	0.532	0
ENSG00000229236	2.36	-0.772	1.31	-0.591	0.554		1
ENSG00000260197	22.7	-0.26	0.382	-0.682	0.495	0.741	0
ENSG00000290853	130	-0.201	0.221	-0.911	0.362	0.634	0
ENSG00000067048	3640	-0.0778	0.0775	-1	0.316	0.588	0
ENSG00000286009	1.19	-0.0575	2	-0.0288	0.977		2
ENSG00000290323	2.61	-0.23	1.26	-0.182	0.856		1
ENSG00000231535	176	-0.208	0.203	-1.02	0.306	0.578	0
ENSG00000233070	21.7	-0.429	0.415	-1.04	0.301	0.572	0
ENSG00000278847	1.03	0.439	1.85	0.237	0.813		2
ENSG00000292348	2540	-0.0813	0.0976	-0.833	0.405	0.671	0
ENSG00000292345	520	-0.141	0.28	-0.503	0.615	0.823	0
ENSG00000292337	0.443	-0.943	2.6	-0.363	0.717		3
ENSG00000292338	130	-0.00464	0.883	-0.00525	0.996	0.999	0
ENSG00000292339	407	1.31	0.244	5.37	7.79e-08	2.75e-06	0
ENSG00000292331	14.4	-0.00632	1.35	-0.00469	0.996	0.999	0
ENSG00000292360	22.8	-0.899	1.58	-0.569	0.569	0.792	1
ENSG00000292341	1.99	0.261	1.32	0.197	0.843		1
ENSG00000292332	3.86	-1.26	1.25	-1.01	0.314		1
ENSG00000292327	333	-1.29	0.843	-1.53	0.126	0.34	0
ENSG00000182484	211	0.587	0.949	0.618	0.536	0.769	0
ENSG00000124334	2.16	0.215	1.17	0.183	0.855		0
ENSG00000124333	329	0.108	0.275	0.392	0.695	0.87	0
ENSG00000224533	2.4	0.267	1.59	0.168	0.866		2
ENSG00000155961	21.6	-0.278	0.413	-0.673	0.501	0.745	0
ENSG00000274183	0.69	-0.572	1.9	-0.301	0.763		1
ENSG00000203870	20.4	-1.4	0.457	-3.06	0.00223	0.018	0
ENSG00000154620	187	-0.199	0.194	-1.02	0.306	0.578	0
ENSG00000130830	5610	-0.872	0.135	-6.46	1.06e-10	6.77e-09	0
ENSG00000272681	1.78	1.44	1.34	1.07	0.283		1
ENSG00000269335	597	0.175	0.1	1.74	0.0818	0.259	0
ENSG00000160211	1730	0.0649	0.091	0.713	0.476	0.728	0
ENSG00000102178	710	-0.136	0.0922	-1.48	0.139	0.363	0
ENSG00000130827	1320	0.385	0.124	3.12	0.00183	0.0154	0
ENSG00000071859	1190	0.163	0.134	1.22	0.223	0.485	0
ENSG00000013563	287	0.317	0.137	2.31	0.0208	0.1	0
ENSG00000280195	12.2	0.436	0.473	0.923	0.356	0.629	0
ENSG00000169057	795	-0.139	0.0977	-1.42	0.156	0.39	0
ENSG00000177854	64.5	0.139	0.215	0.648	0.517	0.756	0
ENSG00000102032	3.16	0.879	1.12	0.786	0.432		1
ENSG00000089820	37.1	0.463	0.281	1.65	0.0993	0.292	0
ENSG00000198910	656	-0.701	0.28	-2.51	0.0122	0.0671	0
ENSG00000067840	7.48	-0.306	0.74	-0.414	0.679	0.862	0
ENSG00000180879	1960	0.0465	0.119	0.391	0.696	0.87	0
ENSG00000067829	734	0.0584	0.108	0.543	0.587	0.806	0
ENSG00000198753	9.83	-0.933	0.631	-1.48	0.139	0.363	0
ENSG00000185825	4520	0.228	0.135	1.69	0.0914	0.277	0
ENSG00000130822	86.9	2.33	0.373	6.26	3.94e-10	2.33e-08	0
ENSG00000067842	618	-0.416	0.205	-2.03	0.0427	0.168	0
ENSG00000183837	4.91	1.24	0.913	1.36	0.173	0.415	0
ENSG00000147383	604	-0.135	0.124	-1.08	0.278	0.549	0
ENSG00000147400	403	-0.0695	0.111	-0.625	0.532	0.766	0
ENSG00000160131	1430	0.0214	0.107	0.199	0.842	0.94	0
ENSG00000029993	4570	1.15	0.204	5.66	1.54e-08	6.56e-07	0
ENSG00000102181	470	0.741	0.155	4.79	1.65e-06	4.06e-05	0
ENSG00000063601	1320	0.194	0.0749	2.58	0.00974	0.0565	0
ENSG00000013619	0.861	0.848	2.22	0.383	0.702		3
ENSG00000269556	345	0.462	0.136	3.39	0.000705	0.00709	0
ENSG00000241769	27.9	0.275	0.326	0.843	0.399	0.666	0
ENSG00000287796	0.556	2.42	2.44	0.994	0.32		3
ENSG00000277215	1.51	0.557	1.6	0.349	0.727		1
ENSG00000182195	411	0.0286	0.118	0.242	0.809	0.926	0
ENSG00000134595	1.2	-2.24	1.78	-1.26	0.208		3
ENSG00000129682	329	-0.269	0.179	-1.51	0.132	0.351	0
ENSG00000291054	11.4	-0.0776	0.501	-0.155	0.877	0.955	0
ENSG00000233093	0.914	-2.94	2.27	-1.29	0.195		4
ENSG00000102243	3520	-0.444	0.118	-3.75	0.000174	0.00224	0
ENSG00000165359	106	0.0731	0.178	0.41	0.682	0.863	0
ENSG00000178947	14.6	-0.71	0.523	-1.36	0.175	0.418	0
ENSG00000173275	154	-0.185	0.181	-1.02	0.306	0.578	0
ENSG00000169551	0.978	-0.995	1.73	-0.576	0.565		2
ENSG00000203950	503	0.197	0.0974	2.03	0.0429	0.168	0
ENSG00000184785	17.5	0.365	0.464	0.787	0.431	0.693	0
ENSG00000101928	827	0.567	0.197	2.88	0.00399	0.0282	0
ENSG00000156504	744	0.175	0.079	2.22	0.0264	0.119	0
ENSG00000170965	4.66	0.413	0.774	0.533	0.594	0.81	0
ENSG00000156531	980	0.0839	0.0852	0.985	0.325	0.597	0
ENSG00000147257	86.1	0.088	0.32	0.275	0.783	0.916	0
ENSG00000076770	51800	0.52	0.131	3.96	7.58e-05	0.00111	0
ENSG00000134602	1870	0.33	0.0891	3.7	0.000215	0.00266	0
ENSG00000213468	514	0.864	0.17	5.08	3.82e-07	1.11e-05	0
ENSG00000147256	1.89	-0.473	1.16	-0.406	0.684		0
ENSG00000102078	119	-0.0604	0.167	-0.362	0.717	0.882	0
ENSG00000085185	4490	-0.68	0.154	-4.41	1.03e-05	0.000203	0
ENSG00000188706	1420	0.498	0.108	4.63	3.74e-06	8.36e-05	0
ENSG00000198354	1.46	-1.04	1.65	-0.63	0.529		2
ENSG00000009694	13.1	0.429	0.489	0.879	0.379	0.649	0
ENSG00000101966	2010	0.0316	0.0916	0.345	0.73	0.89	0
ENSG00000125676	2360	0.108	0.091	1.18	0.236	0.5	0
ENSG00000125675	1.52	-1.53	1.82	-0.843	0.399		3
ENSG00000171155	388	-0.113	0.106	-1.07	0.286	0.557	0
ENSG00000158290	1780	0.0859	0.0669	1.29	0.199	0.452	0
ENSG00000005893	3880	-0.062	0.0677	-0.916	0.36	0.633	0
