gene_ID	ZNF175_PTC_baseMean	ZNF175_PTC_log2FoldChange	ZNF175_PTC_lfcSE	ZNF175_PTC_stat	ZNF175_PTC_pvalue	ZNF175_PTC_padj	ZNF175_PTC_n_zeros
ENSG00000271254	821	-0.142	0.0832	-1.71	0.0882	0.343	0
ENSG00000277196	47.3	0.128	0.307	0.417	0.677	0.852	0
ENSG00000278817	127	-0.164	0.27	-0.606	0.545	0.769	0
ENSG00000292372	269	0.086	0.744	0.116	0.908	0.964	0
ENSG00000198692	321	0.0974	0.127	0.766	0.443	0.704	0
ENSG00000229236	2.36	1.38	1.07	1.29	0.198		0
ENSG00000260197	22.7	-0.119	0.375	-0.317	0.751	0.893	0
ENSG00000290853	130	0.0342	0.218	0.157	0.875	0.951	0
ENSG00000067048	3640	-0.0384	0.0774	-0.496	0.62	0.819	0
ENSG00000286009	1.19	1.67	1.79	0.933	0.351		2
ENSG00000290323	2.61	0.0344	1.24	0.0278	0.978		1
ENSG00000231535	176	-0.101	0.201	-0.503	0.615	0.816	0
ENSG00000233070	21.7	0.288	0.391	0.735	0.462	0.717	0
ENSG00000278847	1.03	-0.716	1.99	-0.359	0.72		3
ENSG00000292348	2540	0.157	0.0973	1.62	0.106	0.369	0
ENSG00000292345	520	-0.126	0.28	-0.451	0.652	0.838	0
ENSG00000292337	0.443	-1.05	2.6	-0.404	0.687		3
ENSG00000292338	130	-0.198	0.884	-0.224	0.823	0.928	0
ENSG00000292339	407	-0.0113	0.247	-0.0459	0.963	0.985	0
ENSG00000292331	14.4	-1.1	1.36	-0.806	0.42	0.686	1
ENSG00000292360	22.8	-3.11	1.61	-1.93	0.0541	0.28	1
ENSG00000292341	1.99	1.01	1.25	0.808	0.419		1
ENSG00000292332	3.86	-0.869	1.21	-0.715	0.475		1
ENSG00000292327	333	-0.0451	0.842	-0.0535	0.957	0.983	0
ENSG00000182484	211	-1.06	0.951	-1.12	0.264	0.554	0
ENSG00000124334	2.16	-0.925	1.28	-0.723	0.47		1
ENSG00000124333	329	0.1	0.275	0.364	0.716	0.873	0
ENSG00000224533	2.4	-2.23	1.83	-1.22	0.224		3
ENSG00000155961	21.6	0.784	0.38	2.06	0.0394	0.247	0
ENSG00000274183	0.69	-1.61	1.99	-0.806	0.42		2
ENSG00000203870	20.4	-0.325	0.415	-0.784	0.433	0.696	0
ENSG00000154620	187	0.436	0.19	2.3	0.0215	0.195	0
ENSG00000130830	5610	-0.483	0.135	-3.58	0.000339	0.0254	0
ENSG00000272681	1.78	0.627	1.4	0.446	0.655		1
ENSG00000269335	597	-0.135	0.101	-1.34	0.181	0.467	0
ENSG00000160211	1730	-0.0393	0.091	-0.432	0.666	0.846	0
ENSG00000102178	710	-0.077	0.0916	-0.84	0.401	0.673	0
ENSG00000130827	1320	-0.0314	0.124	-0.253	0.8	0.917	0
ENSG00000071859	1190	-0.197	0.134	-1.46	0.143	0.419	0
ENSG00000013563	287	-0.00235	0.138	-0.017	0.986	0.994	0
ENSG00000280195	12.2	0.406	0.47	0.863	0.388		0
ENSG00000169057	795	0.234	0.0963	2.43	0.0151	0.165	0
ENSG00000177854	64.5	-0.099	0.218	-0.455	0.649	0.836	0
ENSG00000102032	3.16	0.288	1.15	0.251	0.802		2
ENSG00000089820	37.1	-0.335	0.297	-1.13	0.259	0.55	0
ENSG00000198910	656	1.05	0.277	3.78	0.000154	0.0159	0
ENSG00000067840	7.48	1.04	0.672	1.55	0.121		0
ENSG00000180879	1960	-0.26	0.119	-2.19	0.0288	0.219	0
ENSG00000067829	734	-0.158	0.108	-1.46	0.144	0.421	0
ENSG00000198753	9.83	0.431	0.561	0.769	0.442		0
ENSG00000185825	4520	-0.255	0.135	-1.89	0.0593	0.29	0
ENSG00000130822	86.9	0.078	0.39	0.2	0.841	0.937	0
ENSG00000067842	618	-0.422	0.205	-2.06	0.0396	0.247	0
ENSG00000183837	4.91	0.496	0.942	0.527	0.598		0
ENSG00000147383	604	-0.0212	0.124	-0.172	0.864	0.946	0
ENSG00000147400	403	0.0414	0.11	0.376	0.707	0.868	0
ENSG00000160131	1430	0.153	0.107	1.43	0.153	0.432	0
ENSG00000029993	4570	-0.0997	0.204	-0.489	0.625	0.822	0
ENSG00000102181	470	0.0411	0.157	0.262	0.793	0.914	0
ENSG00000063601	1320	0.000804	0.0751	0.0107	0.991	0.996	0
ENSG00000013619	0.861	2.11	2.06	1.02	0.306		3
ENSG00000269556	345	0.127	0.137	0.924	0.355	0.637	0
ENSG00000241769	27.9	0.151	0.327	0.463	0.643	0.832	0
ENSG00000287796	0.556	1.76	2.51	0.703	0.482		5
ENSG00000277215	1.51	2.03	1.45	1.4	0.161		1
ENSG00000182195	411	0.0219	0.117	0.187	0.852	0.941	0
ENSG00000134595	1.2	-0.136	1.48	-0.0915	0.927		1
ENSG00000129682	329	0.15	0.176	0.849	0.396	0.671	0
ENSG00000291054	11.4	-0.298	0.506	-0.59	0.555		0
ENSG00000233093	0.914	-0.163	2.07	-0.0786	0.937		2
ENSG00000102243	3520	-0.286	0.118	-2.42	0.0157	0.168	0
ENSG00000165359	106	0.325	0.174	1.87	0.0613	0.292	0
ENSG00000178947	14.6	-0.0622	0.496	-0.125	0.9	0.96	0
ENSG00000173275	154	0.122	0.177	0.687	0.492	0.737	0
ENSG00000169551	0.978	-0.507	1.62	-0.312	0.755		1
ENSG00000203950	503	0.251	0.0966	2.6	0.00942	0.133	0
ENSG00000184785	17.5	0.798	0.449	1.78	0.0758	0.321	0
ENSG00000101928	827	-0.131	0.198	-0.664	0.506	0.747	0
ENSG00000156504	744	0.0669	0.079	0.847	0.397	0.672	0
ENSG00000170965	4.66	0.0971	0.787	0.123	0.902		0
ENSG00000156531	980	0.122	0.0848	1.44	0.15	0.429	0
ENSG00000147257	86.1	0.833	0.313	2.66	0.00784	0.122	0
ENSG00000076770	51800	-0.302	0.131	-2.29	0.0218	0.196	0
ENSG00000134602	1870	0.105	0.0892	1.17	0.24	0.532	0
ENSG00000213468	514	-0.226	0.173	-1.31	0.191	0.477	0
ENSG00000147256	1.89	-0.587	1.17	-0.503	0.615		0
ENSG00000102078	119	0.099	0.164	0.604	0.546	0.77	0
ENSG00000085185	4490	-0.381	0.154	-2.47	0.0133	0.156	0
ENSG00000188706	1420	-0.0577	0.108	-0.533	0.594	0.802	0
ENSG00000198354	1.46	0.632	1.42	0.446	0.655		1
ENSG00000009694	13.1	0.921	0.469	1.96	0.0495	0.268	0
ENSG00000101966	2010	-0.0243	0.0915	-0.266	0.791	0.912	0
ENSG00000125676	2360	-0.212	0.0912	-2.32	0.0201	0.19	0
ENSG00000125675	1.52	1.58	1.45	1.09	0.278		1
ENSG00000171155	388	-0.125	0.106	-1.18	0.236	0.527	0
ENSG00000158290	1780	0.0561	0.0667	0.841	0.401	0.673	0
ENSG00000005893	3880	-0.0689	0.0676	-1.02	0.308	0.595	0
ENSG00000125355	10	1.13	0.568	1.98	0.0475		0
ENSG00000258545	5.22	-0.498	0.735	-0.678	0.498		0
ENSG00000125352	277	-0.111	0.235	-0.473	0.636	0.828	0
ENSG00000286366	2.27	0.435	1.33	0.326	0.744		2
ENSG00000125354	1380	-0.0566	0.093	-0.609	0.542	0.768	0
ENSG00000018610	656	-0.139	0.104	-1.34	0.182	0.468	0
ENSG00000077721	3130	-0.253	0.119	-2.13	0.0335	0.231	0
ENSG00000005022	6050	-0.139	0.073	-1.9	0.0571	0.285	0
ENSG00000224281	15.2	0.304	0.423	0.72	0.472	0.724	0
ENSG00000077713	100	0.263	0.204	1.29	0.196	0.484	0
ENSG00000175556	68.4	-0.432	0.33	-1.31	0.191	0.477	0
ENSG00000235244	35.7	0.274	0.338	0.81	0.418	0.685	0
