gene_ID	GATA6_PTC_baseMean	GATA6_PTC_log2FoldChange	GATA6_PTC_lfcSE	GATA6_PTC_stat	GATA6_PTC_pvalue	GATA6_PTC_padj	GATA6_PTC_n_zeros
ENSG00000271254	261	-0.431	0.114	-3.79	0.000153	0.000343	0
ENSG00000276345	1.92	0.762	1.44	0.528	0.597	0.677	2
ENSG00000277196	107	-2.94	0.31	-9.5	2.15e-21	1.2e-20	0
ENSG00000278817	92.4	-2.11	0.233	-9.05	1.43e-19	7.48e-19	0
ENSG00000292372	178	-0.486	1.61	-0.301	0.763	0.819	1
ENSG00000198692	608	0.0973	0.0844	1.15	0.249	0.327	0
ENSG00000229236	5.13	-0.629	0.865	-0.727	0.467	0.554	0
ENSG00000260197	47	-0.253	0.331	-0.763	0.445	0.534	0
ENSG00000290853	642	-0.903	0.108	-8.4	4.64e-17	2.21e-16	0
ENSG00000067048	1620	0.132	0.0555	2.39	0.0169	0.0292	0
ENSG00000286009	11	-0.828	0.534	-1.55	0.121	0.174	0
ENSG00000291034	0.417	-2.29	2.6	-0.88	0.379		3
ENSG00000278847	3.07	-1.22	1.17	-1.04	0.298	0.382	1
ENSG00000292348	3470	-0.177	0.0926	-1.91	0.0557	0.087	0
ENSG00000292345	1520	-1.27	0.128	-9.98	1.95e-23	1.18e-22	0
ENSG00000292337	2.84	-1.96	1.16	-1.69	0.0912	0.135	0
ENSG00000292338	402	-0.77	0.308	-2.5	0.0124	0.0219	0
ENSG00000292339	463	-0.357	0.135	-2.65	0.00816	0.0149	0
ENSG00000292331	3.81	-0.219	1.11	-0.197	0.844	0.886	1
ENSG00000292360	13.9	-4.09	2.15	-1.9	0.0573	0.0892	2
ENSG00000292341	1.18	0.206	1.85	0.111	0.911	0.936	2
ENSG00000292332	0.642	0.101	2.12	0.0476	0.962		2
ENSG00000292327	584	0.503	0.159	3.16	0.00156	0.00313	0
ENSG00000182484	168	0.0578	1.19	0.0485	0.961	0.971	0
ENSG00000124334	0.821	2.64	2.09	1.27	0.205		2
ENSG00000124333	454	-0.193	0.123	-1.57	0.117	0.169	0
ENSG00000155961	188	-0.676	0.139	-4.86	1.19e-06	3.19e-06	0
ENSG00000154620	67.2	1.11	0.605	1.84	0.0655	0.101	0
ENSG00000130830	134	-1.12	0.165	-6.75	1.49e-11	5.46e-11	0
ENSG00000269335	396	0.274	0.105	2.62	0.00879	0.016	0
ENSG00000160211	1750	0.776	0.0656	11.8	2.79e-32	2.18e-31	0
ENSG00000102178	1430	-0.684	0.0702	-9.75	1.93e-22	1.12e-21	0
