gene_ID	GSC_PTC_baseMean	GSC_PTC_log2FoldChange	GSC_PTC_lfcSE	GSC_PTC_stat	GSC_PTC_pvalue	GSC_PTC_padj	GSC_PTC_n_zeros
ENSG00000271254	261	-0.828	0.116	-7.11	1.19e-12	7.74e-12	0
ENSG00000276345	1.92	-0.365	1.53	-0.239	0.811	0.87	2
ENSG00000277196	107	1.44	0.178	8.09	5.75e-16	4.6e-15	0
ENSG00000278817	92.4	0.319	0.176	1.81	0.0696	0.124	0
ENSG00000292372	178	-0.132	1.61	-0.0817	0.935	0.961	0
ENSG00000198692	608	0.0122	0.0842	0.144	0.885	0.923	0
ENSG00000229236	5.13	-0.0134	0.819	-0.0164	0.987	0.995	0
ENSG00000260197	47	0.363	0.319	1.14	0.255	0.366	0
ENSG00000290853	642	0.515	0.101	5.11	3.27e-07	1.33e-06	0
ENSG00000067048	1620	0.19	0.055	3.47	0.000529	0.00145	0
ENSG00000286009	11	-0.652	0.518	-1.26	0.209	0.311	0
ENSG00000291034	0.417	-1.45	2.6	-0.559	0.576		2
ENSG00000278847	3.07	-1.08	1.15	-0.939	0.348	0.469	1
ENSG00000292348	3470	0.84	0.0918	9.15	5.71e-20	5.63e-19	0
ENSG00000292345	1520	-0.854	0.127	-6.74	1.59e-11	9.48e-11	0
ENSG00000292337	2.84	-1.76	1.11	-1.58	0.115	0.19	1
ENSG00000292338	402	-0.623	0.307	-2.03	0.0426	0.0805	0
ENSG00000292339	463	0.0828	0.132	0.625	0.532	0.646	0
ENSG00000292331	3.81	1.01	1.03	0.981	0.327	0.447	0
ENSG00000292360	13.9	-0.342	2.03	-0.169	0.866	0.909	2
ENSG00000292341	1.18	1.83	1.64	1.12	0.263	0.375	1
ENSG00000292332	0.642	0.0209	2.11	0.00991	0.992		2
ENSG00000292327	584	0.728	0.158	4.6	4.14e-06	1.49e-05	0
ENSG00000182484	168	0.226	1.19	0.19	0.85	0.897	0
ENSG00000124334	0.821	-0.932	2.32	-0.401	0.688		5
ENSG00000124333	454	0.393	0.12	3.28	0.00105	0.00274	0
ENSG00000155961	188	-1.96	0.156	-12.6	2.21e-36	3.98e-35	0
ENSG00000154620	67.2	-0.71	0.617	-1.15	0.25	0.359	0
ENSG00000130830	134	-1.06	0.163	-6.52	7.11e-11	4.05e-10	0
ENSG00000269335	396	0.0403	0.105	0.383	0.702	0.787	0
