gene_ID	LHX1_PTC_baseMean	LHX1_PTC_log2FoldChange	LHX1_PTC_lfcSE	LHX1_PTC_stat	LHX1_PTC_pvalue	LHX1_PTC_padj	LHX1_PTC_n_zeros
ENSG00000271254	280	-0.758	0.236	-3.21	0.00133	0.00944	0
ENSG00000277196	224	2.75	0.544	5.07	4.04e-07	9.34e-06	0
ENSG00000278817	198	0.342	0.171	2	0.0459	0.14	0
ENSG00000292372	174	-0.615	0.601	-1.02	0.306	0.505	0
ENSG00000198692	638	0.0293	0.146	0.201	0.841	0.917	0
ENSG00000229236	4.36	-0.657	0.91	-0.722	0.47	0.659	0
ENSG00000260197	38	0.218	0.349	0.625	0.532	0.707	0
ENSG00000290853	857	0.175	0.117	1.49	0.136	0.298	0
ENSG00000067048	1730	0.11	0.125	0.876	0.381	0.578	0
ENSG00000286009	8.15	0.217	0.686	0.316	0.752	0.864	0
ENSG00000231535	0.871	3.58	2.26	1.58	0.114		3
ENSG00000278847	3.76	-0.925	0.909	-1.02	0.309	0.508	0
ENSG00000292348	4850	0.73	0.105	6.94	4e-12	2.44e-10	0
ENSG00000292345	2070	-0.0899	0.239	-0.376	0.707	0.834	0
ENSG00000292337	1.86	-1.16	1.43	-0.815	0.415		1
ENSG00000292338	496	0.728	0.253	2.88	0.00401	0.0227	0
ENSG00000292339	607	0.718	0.198	3.64	0.000277	0.00265	0
ENSG00000292331	5.06	-0.0367	1.24	-0.0296	0.976	0.989	1
ENSG00000292360	28.2	1.17	2.04	0.575	0.566	0.732	2
ENSG00000292341	0.988	0.691	1.8	0.385	0.701		1
ENSG00000292332	0.59	1.12	2.52	0.446	0.656		3
ENSG00000292327	694	0.172	0.202	0.849	0.396	0.591	0
ENSG00000182484	261	0.45	0.457	0.986	0.324	0.522	0
ENSG00000124334	3.21	-0.159	1.6	-0.0991	0.921		1
ENSG00000124333	594	0.253	0.17	1.49	0.137	0.3	0
ENSG00000224533	1.09	-1.14	2.39	-0.48	0.631		4
ENSG00000155961	217	-0.738	0.19	-3.89	9.98e-05	0.00113	0
ENSG00000274183	0.598	1.18	2.7	0.437	0.662		4
ENSG00000154620	65.7	-0.222	0.404	-0.55	0.582	0.745	0
ENSG00000130830	327	0.85	0.166	5.11	3.19e-07	7.54e-06	0
ENSG00000272681	0.607	-1.18	2.43	-0.486	0.627		3
ENSG00000269335	493	0.0998	0.157	0.638	0.524	0.7	0
ENSG00000160211	2110	0.606	0.108	5.63	1.83e-08	5.91e-07	0
ENSG00000102178	2190	-0.0787	0.103	-0.767	0.443	0.634	0
ENSG00000130827	1300	0.227	0.142	1.6	0.11	0.257	0
ENSG00000071859	1450	0.169	0.144	1.17	0.242	0.435	0
ENSG00000013563	539	0.317	0.152	2.08	0.0377	0.122	0
ENSG00000280195	23	-0.168	0.389	-0.432	0.666	0.806	0
ENSG00000007350	4.12	3.14	1.12	2.79	0.00524	0.0279	1
ENSG00000169057	1660	-0.508	0.101	-5.03	4.97e-07	1.13e-05	0
ENSG00000177854	109	0.367	0.188	1.95	0.0516	0.152	0
ENSG00000102032	278	0.708	0.212	3.33	0.000863	0.00665	0
ENSG00000089820	1040	0.401	0.185	2.16	0.0304	0.104	0
ENSG00000198910	1110	1.11	0.21	5.29	1.25e-07	3.3e-06	0
ENSG00000067840	1560	0.0788	0.114	0.693	0.488	0.674	0
ENSG00000180879	2350	0.0722	0.106	0.68	0.496	0.68	0
ENSG00000067829	672	0.561	0.153	3.66	0.000249	0.00243	0
ENSG00000198753	25.9	-0.508	0.461	-1.1	0.271	0.466	0
ENSG00000185825	5380	0.0854	0.104	0.82	0.412	0.606	0
ENSG00000130822	40.1	0.772	0.301	2.57	0.0102	0.0462	0
ENSG00000183837	239	-0.414	0.174	-2.37	0.0177	0.0703	0
ENSG00000147383	1030	-0.361	0.108	-3.33	0.000882	0.00676	0
ENSG00000147400	1340	0.0743	0.1	0.739	0.46	0.651	0
ENSG00000214915	1.23	3.38	1.97	1.72	0.0863		2
ENSG00000160131	3910	0.151	0.113	1.34	0.18	0.359	0
ENSG00000234696	1.44	-0.395	1.6	-0.247	0.805		1
ENSG00000029993	4680	0.0788	0.0896	0.88	0.379	0.576	0
ENSG00000102181	590	-0.555	0.196	-2.83	0.00468	0.0256	0
ENSG00000063601	924	0.0295	0.105	0.28	0.779	0.88	0
ENSG00000013619	76.7	-0.668	0.454	-1.47	0.141	0.306	0
ENSG00000269556	1690	-0.978	0.0974	-10	9.41e-24	1.91e-21	0
ENSG00000241769	15.3	-1.03	0.478	-2.15	0.0316	0.107	0
ENSG00000277215	5.3	-0.362	0.762	-0.475	0.635	0.784	0
ENSG00000182195	759	0.131	0.116	1.12	0.261	0.456	0
ENSG00000134595	14.1	0.796	0.503	1.58	0.113	0.264	0
ENSG00000129682	1610	-0.112	0.202	-0.555	0.579	0.743	0
ENSG00000283692	7.95	-0.426	0.703	-0.606	0.544	0.716	0
ENSG00000291054	23.8	-0.0703	0.392	-0.179	0.858	0.926	0
ENSG00000165359	112	-0.0943	0.227	-0.416	0.678	0.815	0
ENSG00000178947	524	0.616	0.14	4.39	1.16e-05	0.000179	0
ENSG00000173275	287	-0.149	0.161	-0.928	0.353	0.552	0
ENSG00000203950	733	0.0291	0.124	0.234	0.815	0.902	0
ENSG00000184785	11.7	-0.442	0.588	-0.75	0.453	0.645	0
ENSG00000101928	783	0.168	0.162	1.04	0.298	0.496	0
ENSG00000156504	1390	0.445	0.112	3.99	6.71e-05	0.000814	0
ENSG00000170965	2.5	0.0529	1.52	0.0348	0.972		2
ENSG00000156531	2230	0.224	0.135	1.67	0.0956	0.234	0
ENSG00000147257	213	0.811	0.172	4.71	2.53e-06	4.73e-05	0
ENSG00000076770	1200	0.425	0.398	1.07	0.285	0.482	0
ENSG00000134602	4840	0.49	0.0962	5.09	3.54e-07	8.29e-06	0
ENSG00000213468	1360	-0.0998	0.097	-1.03	0.303	0.501	0
ENSG00000102078	187	-0.376	0.203	-1.85	0.0637	0.177	0
ENSG00000085185	2090	-0.0674	0.111	-0.606	0.545	0.716	0
ENSG00000188706	1980	0.329	0.0971	3.39	0.000698	0.00559	0
ENSG00000198354	157	-0.0152	0.21	-0.0725	0.942	0.973	0
ENSG00000009694	13	-0.347	0.609	-0.57	0.569	0.734	0
ENSG00000101966	3110	0.167	0.125	1.33	0.183	0.362	0
ENSG00000125676	1200	0.359	0.139	2.59	0.00968	0.0445	0
ENSG00000125675	4.3	-2.97	1.09	-2.72	0.00649	0.0328	1
ENSG00000171155	307	-0.00868	0.177	-0.049	0.961	0.981	0
ENSG00000158290	2180	0.523	0.138	3.8	0.000145	0.00155	0
ENSG00000005893	2680	0.198	0.109	1.81	0.0698	0.188	0
ENSG00000125355	72.7	-1.05	0.27	-3.89	0.000102	0.00115	0
ENSG00000125352	215	-0.325	0.163	-2	0.0454	0.139	0
ENSG00000286366	3.5	1.06	0.988	1.08	0.282		0
ENSG00000125354	1160	0.751	0.131	5.74	9.28e-09	3.2e-07	0
ENSG00000018610	396	0.168	0.123	1.37	0.17	0.346	0
ENSG00000077721	1910	0.105	0.115	0.916	0.36	0.558	0
ENSG00000005022	8700	0.182	0.103	1.76	0.0784	0.204	0
ENSG00000224281	33.4	-0.182	0.314	-0.579	0.563	0.729	0
ENSG00000237903	1.33	0.655	1.88	0.348	0.728		3
ENSG00000077713	304	0.107	0.18	0.596	0.551	0.721	0
ENSG00000175556	18.5	1.53	0.485	3.16	0.00156	0.0107	0
ENSG00000235244	52.4	-0.491	0.339	-1.45	0.147	0.314	0
ENSG00000102024	4820	0.716	0.178	4.03	5.67e-05	0.000704	0
ENSG00000289287	0.884	-0.577	2.23	-0.258	0.796		2
ENSG00000288595	12.2	0.104	0.512	0.203	0.839	0.916	0
ENSG00000077279	10.6	-0.189	0.583	-0.324	0.746	0.861	0
ENSG00000133136	0.512	-2.29	2.73	-0.842	0.4		3
ENSG00000157600	877	0.707	0.144	4.9	9.8e-07	2.05e-05	0
ENSG00000289365	6.79	-1.52	0.839	-1.82	0.0691	0.187	0
ENSG00000068366	2040	0.172	0.188	0.914	0.361	0.559	0
ENSG00000237863	1.01	-0.535	2.04	-0.262	0.793		2
ENSG00000197565	2560	0.614	0.11	5.58	2.46e-08	7.69e-07	0
ENSG00000101844	129	0.118	0.181	0.654	0.513	0.692	0
ENSG00000080561	300	0.0166	0.169	0.0982	0.922	0.961	0
ENSG00000198088	23.7	0.424	0.393	1.08	0.28	0.477	0
ENSG00000165376	14	0.258	0.633	0.407	0.684	0.819	0
ENSG00000147223	141	0.335	0.703	0.476	0.634	0.784	0
ENSG00000133131	286	0.802	0.207	3.88	0.000106	0.00119	0
ENSG00000133138	78.9	0.482	0.272	1.78	0.0759	0.199	0
ENSG00000133135	5.08	0.515	0.764	0.674	0.5	0.683	0
ENSG00000157502	120	0.421	0.227	1.86	0.0634	0.176	0
ENSG00000166707	86.9	-1.62	0.291	-5.57	2.49e-08	7.76e-07	0
ENSG00000269226	1670	-0.909	0.521	-1.74	0.0812	0.209	0
ENSG00000101812	0.998	-0.8	2.39	-0.334	0.738		5
ENSG00000292357	9.79	-0.355	3.05	-0.116	0.907	0.953	2
ENSG00000231728	9.27	-0.818	0.689	-1.19	0.235	0.427	0
ENSG00000172476	5.95	-0.59	0.713	-0.827	0.408	0.603	0
ENSG00000234405	95.6	-1.82	0.234	-7.79	6.73e-15	5.39e-13	0
ENSG00000185222	2660	-0.486	0.112	-4.32	1.56e-05	0.000231	0
ENSG00000182916	131	-0.751	0.276	-2.72	0.00657	0.0331	0
ENSG00000133134	533	-1.03	0.146	-7.03	2.02e-12	1.29e-10	0
ENSG00000147206	0.643	2.36	2.45	0.962	0.336		2
ENSG00000286846	2.81	-0.0768	1.31	-0.0588	0.953		1
ENSG00000286237	50.8	0.347	0.303	1.15	0.252	0.445	0
ENSG00000158301	787	-0.329	0.124	-2.65	0.00804	0.0386	0
ENSG00000125962	345	0.108	0.15	0.718	0.473	0.661	0
ENSG00000215029	11.2	-0.859	0.713	-1.2	0.228	0.419	0
ENSG00000269405	1.06	-1.44	1.83	-0.784	0.433		1
ENSG00000184905	62.8	-1.24	0.296	-4.2	2.65e-05	0.000367	0
ENSG00000184867	2200	-0.1	0.0999	-1.01	0.315	0.513	0
ENSG00000102401	1070	-0.344	0.128	-2.7	0.00701	0.0347	0
ENSG00000290908	57.3	-1.32	1.88	-0.699	0.485	0.672	1
ENSG00000010671	19.9	-0.357	0.412	-0.867	0.386	0.582	0
ENSG00000102384	972	0.0822	0.154	0.535	0.592	0.753	0
ENSG00000204086	11.3	-0.485	0.753	-0.644	0.52	0.697	0
ENSG00000147202	3130	0.312	0.203	1.54	0.123	0.279	0
ENSG00000286523	1.58	-0.776	1.96	-0.396	0.692		4
ENSG00000186310	169	-0.515	0.202	-2.54	0.011	0.0488	0
ENSG00000289479	26	0.539	0.397	1.36	0.174	0.351	0
ENSG00000234161	0.585	1.7	2.64	0.645	0.519		3
ENSG00000184788	13.5	0.0537	0.512	0.105	0.917	0.958	0
ENSG00000072133	780	0.222	0.17	1.31	0.19	0.372	0
ENSG00000196767	1.35	0.441	1.7	0.259	0.795		2
ENSG00000131171	559	0.237	0.115	2.05	0.0402	0.127	0
ENSG00000147255	59.8	0.789	0.275	2.87	0.00411	0.0231	0
ENSG00000198157	42	0.0968	0.32	0.302	0.763	0.87	0
ENSG00000165288	2560	0.557	0.128	4.34	1.45e-05	0.000217	0
ENSG00000122145	20.8	-2.13	0.569	-3.75	0.00018	0.00185	0
ENSG00000078596	1630	0.447	0.118	3.8	0.000146	0.00155	0
ENSG00000102158	2890	0.0191	0.101	0.188	0.851	0.922	0
ENSG00000198934	520	-0.00651	0.111	-0.0587	0.953	0.978	0
ENSG00000102390	522	0.00069	0.116	0.00595	0.995	0.997	0
ENSG00000094841	422	0.164	0.138	1.19	0.234	0.426	0
ENSG00000147100	324	-0.0693	0.141	-0.491	0.623	0.777	0
ENSG00000225470	730	0.14	0.138	1.01	0.312	0.51	0
ENSG00000186288	2.17	-1.81	1.35	-1.34	0.181		1
