gene_ID	SOX17_PTC_baseMean	SOX17_PTC_log2FoldChange	SOX17_PTC_lfcSE	SOX17_PTC_stat	SOX17_PTC_pvalue	SOX17_PTC_padj	SOX17_PTC_n_zeros
ENSG00000271254	280	-0.687	0.236	-2.91	0.0036	0.00884	0
ENSG00000277196	224	-0.867	0.557	-1.55	0.12	0.194	0
ENSG00000278817	198	0.344	0.171	2.01	0.0449	0.0839	0
ENSG00000292372	174	-0.421	0.601	-0.701	0.483	0.597	0
ENSG00000198692	638	0.565	0.145	3.9	9.55e-05	0.000317	0
ENSG00000229236	4.36	-0.129	0.875	-0.148	0.883	0.921	0
ENSG00000260197	38	0.265	0.348	0.762	0.446	0.561	0
ENSG00000290853	857	0.0802	0.118	0.681	0.496	0.608	0
ENSG00000067048	1730	0.765	0.124	6.14	8.07e-10	5.26e-09	0
ENSG00000286009	8.15	-0.482	0.72	-0.669	0.504	0.615	0
ENSG00000231535	0.871	1.93	2.43	0.796	0.426		5
ENSG00000278847	3.76	-4.24	1.42	-2.98	0.00289	0.00727	2
ENSG00000292348	4850	0.637	0.105	6.05	1.41e-09	8.92e-09	0
ENSG00000292345	2070	-1.13	0.24	-4.72	2.37e-06	1.01e-05	0
ENSG00000292337	1.86	-3.28	1.73	-1.9	0.058	0.105	2
ENSG00000292338	496	-0.457	0.255	-1.79	0.0739	0.129	0
ENSG00000292339	607	0.549	0.198	2.78	0.00552	0.013	0
ENSG00000292331	5.06	-0.779	1.28	-0.61	0.542	0.65	1
ENSG00000292360	28.2	-0.543	2.04	-0.265	0.791	0.853	1
ENSG00000292341	0.988	-0.29	1.94	-0.15	0.881		2
ENSG00000292332	0.59	1.16	2.52	0.46	0.645		3
ENSG00000292327	694	0.518	0.202	2.56	0.0103	0.0229	0
ENSG00000182484	261	-0.172	0.458	-0.375	0.707	0.788	0
ENSG00000124334	3.21	2.64	1.41	1.86	0.0623	0.111	1
ENSG00000124333	594	0.873	0.168	5.18	2.21e-07	1.07e-06	0
ENSG00000224533	1.09	1.44	2.15	0.67	0.503	0.615	3
ENSG00000155961	217	-1.5	0.197	-7.65	2.01e-14	2.06e-13	0
ENSG00000274183	0.598	1	2.73	0.368	0.713		3
ENSG00000154620	65.7	-0.455	0.406	-1.12	0.263	0.37	0
ENSG00000130830	327	-0.867	0.176	-4.94	7.93e-07	3.58e-06	0
ENSG00000272681	0.607	-0.331	2.37	-0.14	0.889		2
