gene_ID	CITED1_PTC_baseMean	CITED1_PTC_log2FoldChange	CITED1_PTC_lfcSE	CITED1_PTC_stat	CITED1_PTC_pvalue	CITED1_PTC_padj	CITED1_PTC_n_zeros
ENSG00000271254	495	-0.467	0.117	-4	6.43e-05	0.000931	0
ENSG00000277196	1.13	1.66	1.99	0.836	0.403		3
ENSG00000278817	34.4	0.699	0.405	1.72	0.0846	0.213	0
ENSG00000292372	312	-0.668	0.638	-1.05	0.295	0.491	0
ENSG00000198692	753	-0.16	0.104	-1.54	0.123	0.273	0
ENSG00000229236	9.59	0.172	0.588	0.293	0.77	0.877	0
ENSG00000260197	83.7	-0.663	0.207	-3.21	0.00135	0.00975	0
ENSG00000290853	50.8	-0.174	0.265	-0.655	0.512	0.695	0
ENSG00000067048	4070	-0.0724	0.0788	-0.919	0.358	0.554	0
ENSG00000286009	10.9	0.247	0.535	0.462	0.644	0.794	0
ENSG00000278847	1.59	0.61	1.45	0.419	0.675		1
ENSG00000292348	1760	0.294	0.107	2.76	0.00582	0.0302	0
ENSG00000292345	1150	0.11	0.119	0.92	0.358	0.554	0
ENSG00000292337	1.27	-0.897	1.51	-0.595	0.552		0
ENSG00000292338	394	0.185	0.176	1.05	0.295	0.491	0
ENSG00000292333	2.81	-0.658	1.24	-0.532	0.595		0
ENSG00000292339	775	0.45	0.0984	4.58	4.68e-06	0.000115	0
ENSG00000292331	6.65	-0.484	0.662	-0.731	0.465		0
ENSG00000292360	96	5.23	1.53	3.43	0.000607	0.00536	2
ENSG00000292341	1.58	0.85	1.48	0.576	0.565		1
ENSG00000292332	0.399	0.823	2.8	0.293	0.769		5
ENSG00000292327	560	0.184	0.286	0.642	0.521	0.702	0
ENSG00000182484	144	1.5	1.86	0.807	0.419	0.612	0
ENSG00000124334	0.752	0.868	1.97	0.442	0.659		1
ENSG00000124333	565	-0.075	0.127	-0.591	0.555	0.729	0
ENSG00000155961	129	-0.435	0.172	-2.53	0.0113	0.0493	0
ENSG00000154620	66.6	0.515	0.283	1.82	0.0682	0.182	0
ENSG00000130830	1260	0.161	0.102	1.57	0.117	0.264	0
ENSG00000272681	1.15	-0.509	1.55	-0.33	0.742		0
ENSG00000269335	402	0.147	0.152	0.967	0.334	0.528	0
ENSG00000160211	2210	0.474	0.0842	5.62	1.86e-08	1.1e-06	0
ENSG00000102178	1210	0.114	0.0989	1.16	0.247	0.436	0
ENSG00000130827	962	0.168	0.117	1.44	0.15	0.312	0
ENSG00000071859	1020	0.0986	0.0916	1.08	0.282	0.476	0
ENSG00000013563	557	0.0481	0.116	0.416	0.678	0.815	0
ENSG00000280195	15.7	-0.372	0.465	-0.8	0.423	0.615	0
ENSG00000007350	2.94	-0.108	1.13	-0.0952	0.924		1
ENSG00000169057	1530	-0.131	0.0824	-1.59	0.111	0.256	0
ENSG00000177854	233	0.287	0.153	1.88	0.0601	0.168	0
ENSG00000102032	374	0.226	0.144	1.57	0.117	0.264	0
ENSG00000089820	585	0.00991	0.124	0.08	0.936	0.969	0
ENSG00000198910	833	-0.17	0.137	-1.24	0.215	0.396	0
ENSG00000067840	82.7	0.114	0.218	0.521	0.602	0.763	0
ENSG00000180879	2230	-0.0482	0.0781	-0.617	0.537	0.715	0
ENSG00000067829	886	0.164	0.125	1.31	0.192	0.367	0
ENSG00000198753	29.2	-0.606	0.401	-1.51	0.131	0.286	0
ENSG00000185825	3440	0.274	0.0764	3.59	0.000335	0.00339	0
ENSG00000130822	39.7	-1.05	0.314	-3.35	0.000804	0.00664	0
ENSG00000067842	16	0.368	0.489	0.753	0.452	0.642	0
ENSG00000183837	288	0.276	0.14	1.97	0.0489	0.145	0
ENSG00000147383	558	0.406	0.124	3.28	0.00105	0.00814	0
ENSG00000147400	1090	0.204	0.0927	2.21	0.0274	0.0956	0
ENSG00000160131	4330	0.306	0.0926	3.3	0.000972	0.0077	0
ENSG00000234696	2.37	0.431	1.2	0.358	0.72		1
ENSG00000029993	6350	0.137	0.0721	1.9	0.057	0.162	0
ENSG00000102181	1270	0.448	0.117	3.81	0.000137	0.00168	0
ENSG00000063601	623	0.00159	0.105	0.0151	0.988	0.994	0
ENSG00000013619	0.53	-0.979	2.44	-0.401	0.689		3
ENSG00000269556	590	-0.0324	0.106	-0.304	0.761	0.872	0
ENSG00000241769	6.17	-0.348	0.822	-0.423	0.672		0
ENSG00000277215	4.18	-0.621	0.874	-0.711	0.477		0
ENSG00000182195	712	0.0189	0.0932	0.203	0.839	0.917	0
ENSG00000134595	112	-0.563	0.25	-2.26	0.0241	0.0866	0
ENSG00000129682	570	-0.526	0.123	-4.26	2.03e-05	0.000373	0
ENSG00000283692	4.57	0.0113	0.853	0.0133	0.989		0
ENSG00000291054	34.7	0.104	0.313	0.332	0.74	0.858	0
ENSG00000165359	226	-0.182	0.137	-1.33	0.184	0.357	0
ENSG00000178947	137	-0.354	0.177	-2	0.046	0.139	0
ENSG00000173275	370	-0.0721	0.138	-0.521	0.603	0.764	0
ENSG00000203950	1020	-0.103	0.109	-0.95	0.342	0.538	0
ENSG00000184785	42.5	0.0109	0.309	0.0352	0.972	0.986	0
ENSG00000101928	344	-0.32	0.133	-2.41	0.016	0.0642	0
ENSG00000156504	809	0.238	0.0918	2.59	0.00967	0.0438	0
ENSG00000170965	154	-0.0699	0.163	-0.429	0.668	0.81	0
ENSG00000156531	6940	-0.145	0.0865	-1.68	0.0932	0.227	0
ENSG00000147257	20000	-0.152	0.0703	-2.17	0.0304	0.103	0
ENSG00000076770	143	-1.33	0.239	-5.55	2.83e-08	1.58e-06	0
ENSG00000134602	2970	-0.0569	0.0848	-0.671	0.502	0.687	0
ENSG00000213468	1200	-0.352	0.0966	-3.64	0.000272	0.00287	0
ENSG00000287806	0.473	-2.58	2.54	-1.02	0.309		3
ENSG00000147256	1.72	-0.943	1.37	-0.688	0.491		0
ENSG00000102078	193	0.188	0.149	1.26	0.207	0.386	0
ENSG00000085185	4830	0.241	0.0757	3.18	0.00145	0.0104	0
ENSG00000235189	0.843	-0.134	2.31	-0.058	0.954		3
ENSG00000188706	1390	0.22	0.0817	2.69	0.00705	0.0347	0
ENSG00000198354	14.7	-0.321	0.49	-0.656	0.512	0.695	0
ENSG00000009694	470	-0.46	0.121	-3.81	0.00014	0.00171	0
ENSG00000101966	2850	-0.323	0.104	-3.1	0.0019	0.0128	0
ENSG00000125676	2870	-0.0156	0.0877	-0.178	0.859	0.927	0
ENSG00000125675	23.5	-0.256	0.401	-0.638	0.524	0.704	0
ENSG00000171155	502	0.126	0.114	1.1	0.272	0.465	0
ENSG00000158290	5770	-0.269	0.1	-2.68	0.00737	0.0357	0
ENSG00000005893	3430	-0.106	0.0712	-1.49	0.137	0.294	0
ENSG00000125355	2.19	-0.115	1.24	-0.0929	0.926		1
ENSG00000258545	5.79	0.228	0.723	0.315	0.753		0
ENSG00000125352	283	-0.126	0.169	-0.745	0.456	0.646	0
ENSG00000286366	3.8	-0.431	0.99	-0.435	0.664		0
ENSG00000125354	1010	-0.517	0.128	-4.02	5.75e-05	0.00085	0
ENSG00000018610	675	-0.0616	0.104	-0.592	0.554	0.729	0
ENSG00000077721	1280	-0.141	0.0962	-1.46	0.144	0.303	0
ENSG00000005022	9320	0.354	0.112	3.16	0.00157	0.011	0
ENSG00000224281	35	0.281	0.33	0.851	0.395	0.589	0
ENSG00000077713	236	-0.182	0.138	-1.32	0.187	0.361	0
ENSG00000175556	6.29	-0.137	0.796	-0.172	0.863		0
ENSG00000235244	50.2	0.156	0.265	0.589	0.556	0.73	0
ENSG00000102024	6040	-0.113	0.0914	-1.24	0.216	0.398	0
ENSG00000288595	0.569	-2.58	2.31	-1.12	0.263		3
ENSG00000077279	4.17	-0.29	0.941	-0.308	0.758		0
ENSG00000157600	1470	0.301	0.0917	3.29	0.00102	0.00798	0
ENSG00000289365	6.5	-0.355	0.733	-0.484	0.628		0
ENSG00000068366	6600	0.211	0.105	2.01	0.0445	0.135	0
ENSG00000237863	9.44	0.0206	0.674	0.0306	0.976	0.988	0
ENSG00000197565	965	-0.0562	0.0967	-0.581	0.561	0.734	0
ENSG00000101844	119	-0.0836	0.193	-0.433	0.665	0.808	0
ENSG00000080561	115	-0.416	0.202	-2.06	0.0399	0.126	0
ENSG00000198088	34.9	-0.123	0.352	-0.349	0.727	0.85	0
ENSG00000133131	16.9	-0.326	0.452	-0.72	0.471	0.66	0
ENSG00000133138	54.4	-0.974	0.275	-3.54	0.000406	0.00391	0
ENSG00000133135	0.968	-1.24	1.83	-0.678	0.498		2
ENSG00000157502	75.6	-0.269	0.234	-1.15	0.25	0.44	0
ENSG00000166707	55.5	0.259	0.274	0.944	0.345	0.541	0
ENSG00000269226	131	-1.35	0.704	-1.92	0.0548	0.157	0
ENSG00000101812	0.691	-0.139	2.49	-0.0559	0.955		4
ENSG00000292357	12.7	0.191	1.71	0.112	0.911	0.955	1
ENSG00000231728	10.3	-0.4	0.565	-0.707	0.48	0.667	0
ENSG00000172476	6.02	-1.03	0.786	-1.31	0.189		0
ENSG00000234405	12.1	0.248	0.512	0.483	0.629	0.782	0
ENSG00000185222	826	-0.403	0.0946	-4.26	2.03e-05	0.000373	0
ENSG00000182916	516	-0.162	0.103	-1.57	0.116	0.263	0
ENSG00000133134	108	0.306	0.209	1.46	0.143	0.302	0
ENSG00000286846	4.06	0.407	0.929	0.438	0.662		0
ENSG00000286237	85.1	-0.246	0.248	-0.993	0.321	0.516	0
ENSG00000158301	923	-0.174	0.0946	-1.84	0.0664	0.179	0
ENSG00000125962	342	0.0737	0.157	0.468	0.639	0.79	0
ENSG00000215029	5.07	-2.69	0.992	-2.71	0.00674		1
ENSG00000269405	1.11	0.601	1.71	0.351	0.725		1
ENSG00000286794	1.11	1.65	1.91	0.865	0.387		3
ENSG00000204071	2.35	0.289	1.2	0.24	0.81		0
ENSG00000184905	262	0.0687	0.179	0.383	0.702	0.832	0
ENSG00000184867	1620	-0.0226	0.083	-0.273	0.785	0.887	0
ENSG00000228275	1.49	1.81	1.68	1.08	0.281		1
ENSG00000102401	1660	-0.461	0.106	-4.34	1.45e-05	0.000286	0
ENSG00000290908	55.7	-1.23	2.59	-0.476	0.634	0.786	2
ENSG00000010671	13.1	0.138	0.493	0.279	0.78	0.884	0
ENSG00000102384	1090	0.0251	0.0873	0.287	0.774	0.88	0
ENSG00000204086	2.2	1.07	1.31	0.818	0.413		0
ENSG00000147202	1570	-0.164	0.103	-1.59	0.112	0.257	0
ENSG00000186310	192	-0.539	0.16	-3.36	0.000769	0.00647	0
ENSG00000289479	4.69	-0.806	0.862	-0.936	0.349		0
ENSG00000184788	3.58	-0.148	0.971	-0.152	0.879		0
ENSG00000072133	426	-0.409	0.13	-3.13	0.00173	0.0119	0
ENSG00000196767	1.03	1.61	1.87	0.857	0.392		2
ENSG00000131171	1100	-0.303	0.107	-2.84	0.00445	0.0246	0
ENSG00000147255	105	-0.594	0.19	-3.12	0.00182	0.0124	0
ENSG00000198157	154	-0.207	0.21	-0.987	0.324	0.519	0
ENSG00000165288	5430	-0.418	0.0898	-4.65	3.24e-06	8.48e-05	0
ENSG00000122145	1.11	-1.15	1.87	-0.613	0.54		2
ENSG00000078596	999	-0.158	0.0939	-1.68	0.0921	0.226	0
ENSG00000102158	2330	-0.2	0.076	-2.64	0.00833	0.0393	0
ENSG00000198934	257	-0.214	0.134	-1.6	0.11	0.253	0
ENSG00000102390	508	3e-05	0.0991	0.000302	1	1	0
ENSG00000094841	312	-0.0167	0.122	-0.136	0.891	0.944	0
ENSG00000147100	4670	0.254	0.0766	3.31	0.00092	0.00739	0
ENSG00000225470	778	-0.186	0.101	-1.83	0.0668	0.18	0
ENSG00000229807	1.7	-3.05	1.71	-1.78	0.0755		2
ENSG00000131264	3370	-0.16	0.0902	-1.77	0.076	0.197	0
ENSG00000231963	1.05	0.752	1.8	0.417	0.677		2
ENSG00000186288	14.2	0.291	0.496	0.587	0.557	0.731	0
ENSG00000269502	32.9	0.179	0.348	0.515	0.607	0.767	0
ENSG00000269911	96.5	-0.232	0.203	-1.14	0.254	0.444	0
ENSG00000147099	485	-0.00496	0.125	-0.0396	0.968	0.984	0
ENSG00000198034	19800	-0.185	0.088	-2.1	0.0358	0.116	0
ENSG00000186871	876	0.0706	0.118	0.6	0.549	0.725	0
ENSG00000102309	336	-0.0953	0.197	-0.483	0.629	0.782	0
ENSG00000204131	44.8	-0.265	0.277	-0.958	0.338	0.533	0
ENSG00000215113	0.447	0.703	2.67	0.263	0.792		3
ENSG00000281852	31.5	0.0089	0.326	0.0273	0.978	0.989	0
ENSG00000147133	1950	-0.0385	0.0719	-0.536	0.592	0.757	0
ENSG00000147140	18500	0.0893	0.0723	1.24	0.217	0.398	0
ENSG00000196338	75.4	0.356	0.24	1.48	0.138	0.294	0
ENSG00000184634	3900	0.149	0.102	1.46	0.143	0.303	0
ENSG00000147168	2.02	-0.881	1.28	-0.688	0.492		1
ENSG00000184481	92.6	-0.334	0.201	-1.66	0.0964	0.233	0
ENSG00000165349	1570	0.159	0.101	1.57	0.115	0.262	0
ENSG00000120509	654	0.233	0.117	2	0.0458	0.138	0
ENSG00000089289	1680	-0.07	0.106	-0.659	0.51	0.693	0
ENSG00000286077	0.461	0.732	2.64	0.277	0.782		3
ENSG00000158813	695	-0.064	0.0973	-0.658	0.511	0.694	0
ENSG00000181704	2120	-0.187	0.085	-2.2	0.0279	0.0967	0
ENSG00000289038	6.54	0.41	0.772	0.531	0.595		0
ENSG00000089472	3190	-0.241	0.0913	-2.64	0.00832	0.0393	0
ENSG00000198881	0.981	1.42	1.98	0.718	0.473		3
ENSG00000184675	1410	0.0921	0.0876	1.05	0.293	0.488	0
ENSG00000186767	4230	-0.246	0.0865	-2.84	0.00451	0.0249	0
ENSG00000235437	602	-0.175	0.105	-1.66	0.0977	0.235	0
ENSG00000198205	145	-0.2	0.166	-1.2	0.229	0.413	0
