gene_ID	HOXB8_PTC_baseMean	HOXB8_PTC_log2FoldChange	HOXB8_PTC_lfcSE	HOXB8_PTC_stat	HOXB8_PTC_pvalue	HOXB8_PTC_padj	HOXB8_PTC_n_zeros
ENSG00000271254	495	-0.0123	0.114	-0.108	0.914	1	0
ENSG00000277196	1.13	2.2	1.94	1.14	0.255	1	3
ENSG00000278817	34.4	0.284	0.41	0.692	0.489	1	0
ENSG00000292372	312	-0.228	0.638	-0.358	0.72	1	0
ENSG00000198692	753	0.0312	0.103	0.303	0.762	1	0
ENSG00000229236	9.59	0.45	0.573	0.785	0.433	1	0
ENSG00000260197	83.7	-0.442	0.202	-2.19	0.0285	1	0
ENSG00000290853	50.8	0.183	0.257	0.713	0.476	1	0
ENSG00000067048	4070	0.0418	0.0787	0.531	0.595	1	0
ENSG00000286009	10.9	-0.111	0.544	-0.204	0.838	1	0
ENSG00000278847	1.59	-0.254	1.53	-0.167	0.868	1	1
ENSG00000292348	1760	0.151	0.107	1.41	0.158	1	0
ENSG00000292345	1150	0.0332	0.119	0.278	0.781	1	0
ENSG00000292337	1.27	-3.87	1.77	-2.18	0.029	1	3
ENSG00000292338	394	0.235	0.176	1.34	0.181	1	0
ENSG00000292333	2.81	0.0497	1.18	0.0423	0.966	1	1
ENSG00000292339	775	0.383	0.0983	3.9	9.73e-05	0.213	0
ENSG00000292331	6.65	-1.66	0.739	-2.25	0.0248	1	0
ENSG00000292360	96	4.7	1.53	3.08	0.00209	0.917	2
ENSG00000292341	1.58	0.455	1.5	0.303	0.762	1	1
ENSG00000292332	0.399	2.2	2.68	0.822	0.411	1	3
ENSG00000292327	560	-0.235	0.287	-0.818	0.413	1	0
ENSG00000182484	144	0.802	1.86	0.432	0.666	1	1
ENSG00000124334	0.752	-1.09	2.17	-0.502	0.616	1	3
ENSG00000124333	565	-0.0943	0.127	-0.744	0.457	1	0
ENSG00000155961	129	0.126	0.164	0.764	0.445	1	0
ENSG00000154620	66.6	0.588	0.281	2.09	0.0363	1	0
ENSG00000130830	1260	0.0259	0.102	0.253	0.8	1	0
ENSG00000272681	1.15	-2.47	1.8	-1.37	0.17	1	2
ENSG00000269335	402	-0.00775	0.153	-0.0508	0.959	1	0
ENSG00000160211	2210	0.194	0.0844	2.3	0.0216	1	0
