gene_ID	HES6_KO_baseMean	HES6_KO_log2FoldChange	HES6_KO_lfcSE	HES6_KO_stat	HES6_KO_pvalue	HES6_KO_padj	HES6_KO_n_zeros
ENSG00000271254	1650	0.315	0.109	2.89	0.00388	0.0904	0
ENSG00000276345	0.856	-0.0225	2.25	-0.00999	0.992		2
ENSG00000277196	13.9	-1.79	0.923	-1.94	0.0522	0.408	2
ENSG00000278817	109	-0.221	0.182	-1.21	0.225	0.726	0
ENSG00000292372	300	-1.31	1.16	-1.13	0.26	0.757	0
ENSG00000198692	697	-0.0229	0.0716	-0.32	0.749	0.957	0
ENSG00000229236	9.38	-0.075	0.675	-0.111	0.912		0
ENSG00000260197	76.4	0.0878	0.249	0.353	0.724	0.951	0
ENSG00000290853	81.2	-0.162	0.212	-0.763	0.445	0.857	0
ENSG00000067048	2820	0.0968	0.0467	2.07	0.0382	0.347	0
ENSG00000286009	17.8	0.566	0.43	1.32	0.188	0.68	0
ENSG00000231535	0.339	0.996	3.29	0.302	0.762		5
ENSG00000278847	2.3	0.172	1.12	0.154	0.878		0
ENSG00000292348	1770	0.0942	0.127	0.743	0.457	0.863	0
ENSG00000292345	859	0.355	0.338	1.05	0.293	0.773	0
ENSG00000292337	0.954	-0.0412	1.99	-0.0206	0.984		3
ENSG00000292338	359	-0.0226	0.195	-0.116	0.908	0.986	0
ENSG00000292333	1.83	0.639	1.58	0.404	0.687		2
ENSG00000292339	910	-0.112	0.123	-0.912	0.362	0.818	0
ENSG00000292331	5.72	0.0975	0.68	0.143	0.886		0
ENSG00000292360	45.8	-0.931	2.63	-0.354	0.723	0.951	2
ENSG00000292341	1.22	1.01	1.75	0.579	0.562		2
ENSG00000292332	1.73	0.566	1.29	0.44	0.66		1
ENSG00000292327	561	-0.293	0.156	-1.88	0.0601	0.437	0
ENSG00000182484	316	2.06	0.718	2.86	0.00421	0.0952	0
ENSG00000124334	0.675	2.26	2.39	0.944	0.345		2
ENSG00000124333	646	0.145	0.104	1.39	0.164	0.65	0
ENSG00000224533	1.09	-1.14	4.22	-0.271	0.787		4
ENSG00000155961	165	0.0923	0.158	0.586	0.558	0.905	0
ENSG00000154620	77.2	-0.485	0.592	-0.819	0.413	0.842	0
ENSG00000130830	1070	0.16	0.0816	1.95	0.0506	0.401	0
ENSG00000272681	0.772	-1.56	2.16	-0.722	0.47		4
ENSG00000269335	443	0.0378	0.0917	0.412	0.68	0.939	0
ENSG00000160211	1950	-0.073	0.0667	-1.09	0.274	0.765	0
ENSG00000102178	836	0.0461	0.0779	0.592	0.554	0.904	0
ENSG00000130827	1300	-0.0173	0.0802	-0.216	0.829	0.974	0
ENSG00000071859	1080	-0.0217	0.0634	-0.341	0.733	0.953	0
ENSG00000013563	720	-0.0963	0.0976	-0.987	0.324	0.793	0
ENSG00000280195	20.6	0.139	0.406	0.341	0.733	0.953	0
ENSG00000231830	0.412	0.034	2.84	0.012	0.99		4
ENSG00000007350	25.2	0.587	0.358	1.64	0.101	0.544	0
ENSG00000169057	1950	-0.0521	0.057	-0.914	0.361	0.818	0
ENSG00000177854	240	-0.0948	0.16	-0.591	0.555	0.904	0
ENSG00000102032	661	-0.249	0.0899	-2.77	0.00562	0.118	0
ENSG00000089820	993	0.0289	0.0803	0.359	0.719	0.949	0
