gene_ID	SP5_PTC_baseMean	SP5_PTC_log2FoldChange	SP5_PTC_lfcSE	SP5_PTC_stat	SP5_PTC_pvalue	SP5_PTC_padj	SP5_PTC_n_zeros
ENSG00000271254	1650	0.432	0.109	3.98	7e-05	0.000689	0
ENSG00000276345	0.856	-3.29	2.46	-1.34	0.181		4
ENSG00000277196	13.9	0.629	0.779	0.808	0.419	0.646	1
ENSG00000278817	109	-0.0446	0.178	-0.25	0.803	0.91	0
ENSG00000292372	300	-0.804	1.16	-0.692	0.489	0.704	0
ENSG00000198692	697	0.0787	0.0707	1.11	0.266	0.488	0
ENSG00000229236	9.38	0.0511	0.667	0.0766	0.939	0.975	0
ENSG00000260197	76.4	0.0846	0.248	0.342	0.733	0.872	0
ENSG00000290853	81.2	-0.358	0.214	-1.68	0.0934	0.24	0
ENSG00000067048	2820	0.149	0.0465	3.21	0.00131	0.00856	0
ENSG00000286009	17.8	-0.164	0.448	-0.366	0.714	0.861	0
ENSG00000231535	0.339	1.8	3.24	0.555	0.579		4
ENSG00000278847	2.3	-0.601	1.17	-0.514	0.607		1
ENSG00000292348	1770	-0.0868	0.127	-0.684	0.494	0.708	0
ENSG00000292345	859	0.263	0.338	0.78	0.435	0.661	0
ENSG00000292337	0.954	-1.03	2.08	-0.495	0.621		4
ENSG00000292338	359	0.111	0.195	0.572	0.567	0.763	0
ENSG00000292333	1.83	1.77	1.45	1.21	0.225		2
ENSG00000292339	910	-0.299	0.124	-2.42	0.0155	0.0625	0
ENSG00000292331	5.72	-0.708	0.721	-0.981	0.327	0.557	0
ENSG00000292360	45.8	-0.915	2.63	-0.348	0.728	0.87	3
ENSG00000292341	1.22	0.882	1.75	0.504	0.615		2
ENSG00000292332	1.73	-0.759	1.43	-0.53	0.596		2
ENSG00000292327	561	0.136	0.154	0.883	0.377	0.607	0
ENSG00000182484	316	1.79	0.719	2.49	0.0126	0.0532	0
ENSG00000124334	0.675	0.909	2.51	0.363	0.717		4
ENSG00000124333	646	0.265	0.104	2.55	0.0107	0.0466	0
ENSG00000224533	1.09	-0.605	4.18	-0.145	0.885		4
ENSG00000155961	165	-0.0935	0.159	-0.589	0.556	0.755	0
ENSG00000154620	77.2	-0.169	0.59	-0.287	0.774	0.894	0
ENSG00000130830	1070	0.532	0.0803	6.62	3.47e-11	1.11e-09	0
ENSG00000272681	0.772	-0.776	2.08	-0.373	0.709		3
ENSG00000269335	443	0.0591	0.0911	0.649	0.516	0.726	0
ENSG00000160211	1950	-0.0772	0.0665	-1.16	0.246	0.465	0
ENSG00000102178	836	0.237	0.0769	3.09	0.00203	0.0122	0
ENSG00000130827	1300	-0.27	0.0805	-3.35	0.000811	0.00569	0
ENSG00000071859	1080	-0.218	0.0638	-3.42	0.000628	0.00461	0
ENSG00000013563	720	-0.215	0.0977	-2.2	0.028	0.0988	0
ENSG00000280195	20.6	0.405	0.397	1.02	0.307	0.535	0
ENSG00000231830	0.412	0.807	2.78	0.29	0.772		3
ENSG00000007350	25.2	-0.0399	0.369	-0.108	0.914	0.963	0
ENSG00000169057	1950	-0.0744	0.0568	-1.31	0.19	0.392	0
ENSG00000177854	240	-0.129	0.16	-0.803	0.422	0.649	0
ENSG00000102032	661	-0.448	0.0904	-4.96	7.17e-07	1.14e-05	0
ENSG00000089820	993	-0.021	0.0802	-0.262	0.793	0.905	0
ENSG00000198910	951	0.327	0.134	2.43	0.0149	0.0608	0
ENSG00000067840	147	0.157	0.161	0.973	0.33	0.561	0
ENSG00000180879	2200	0.0771	0.0533	1.45	0.148	0.331	0
ENSG00000067829	902	-0.261	0.0902	-2.89	0.0038	0.0205	0
ENSG00000198753	28.4	0.0794	0.315	0.252	0.801	0.909	0
ENSG00000185825	2870	0.121	0.0541	2.24	0.0254	0.0917	0
ENSG00000130822	378	-0.465	0.115	-4.03	5.67e-05	0.000573	0
ENSG00000067842	29.1	-0.616	0.322	-1.91	0.0557	0.165	0
ENSG00000183837	145	-0.227	0.195	-1.17	0.243	0.461	0
ENSG00000147383	541	-0.000827	0.102	-0.00809	0.994	0.997	0
