gene_ID	TBXT_PTC_baseMean	TBXT_PTC_log2FoldChange	TBXT_PTC_lfcSE	TBXT_PTC_stat	TBXT_PTC_pvalue	TBXT_PTC_padj	TBXT_PTC_n_zeros
ENSG00000271254	1650	0.713	0.108	6.58	4.84e-11	3.39e-10	0
ENSG00000276345	0.856	-3.19	2.46	-1.3	0.194		4
ENSG00000277196	13.9	1.97	0.759	2.6	0.0094	0.0231	1
ENSG00000278817	109	-0.185	0.181	-1.02	0.307	0.448	0
ENSG00000292372	300	-0.866	1.16	-0.746	0.456	0.599	0
ENSG00000198692	697	-0.082	0.0719	-1.14	0.254	0.39	0
ENSG00000229236	9.38	0.0871	0.669	0.13	0.897	0.938	0
ENSG00000260197	76.4	-0.637	0.259	-2.46	0.0141	0.0331	0
ENSG00000290853	81.2	0.19	0.207	0.917	0.359	0.504	0
ENSG00000067048	2820	-0.208	0.0473	-4.39	1.13e-05	4.5e-05	0
ENSG00000286009	17.8	-0.318	0.457	-0.696	0.486	0.627	0
ENSG00000231535	0.339	1	3.29	0.304	0.761		5
ENSG00000278847	2.3	-4.14	1.56	-2.64	0.00818	0.0203	3
ENSG00000292348	1770	0.373	0.127	2.95	0.00321	0.00867	0
ENSG00000292345	859	0.824	0.337	2.44	0.0145	0.0341	0
ENSG00000292337	0.954	1.55	1.81	0.853	0.394	0.539	2
ENSG00000292338	359	-0.28	0.196	-1.43	0.154	0.261	0
ENSG00000292333	1.83	2.39	1.42	1.68	0.0923	0.171	2
ENSG00000292339	910	0.283	0.123	2.31	0.0207	0.0466	0
ENSG00000292331	5.72	-1.12	0.763	-1.46	0.143	0.246	0
ENSG00000292360	45.8	0.322	2.63	0.123	0.902	0.942	1
ENSG00000292341	1.22	1.31	1.72	0.764	0.445	0.589	1
ENSG00000292332	1.73	0.346	1.3	0.266	0.791	0.871	1
ENSG00000292327	561	0.0731	0.155	0.473	0.636	0.757	0
ENSG00000182484	316	1.84	0.719	2.56	0.0104	0.0253	0
ENSG00000124334	0.675	-0.921	2.58	-0.357	0.721		5
ENSG00000124333	646	-0.437	0.107	-4.1	4.21e-05	0.000156	0
ENSG00000224533	1.09	-0.249	4.16	-0.0597	0.952	0.974	4
ENSG00000155961	165	0.931	0.151	6.18	6.42e-10	4.09e-09	0
ENSG00000154620	77.2	-0.737	0.594	-1.24	0.215	0.341	0
ENSG00000130830	1070	0.857	0.0797	10.8	5.78e-27	9.8e-26	0
ENSG00000272681	0.772	-0.068	1.99	-0.0342	0.973		2
ENSG00000269335	443	-0.0717	0.0924	-0.777	0.437	0.582	0
ENSG00000160211	1950	-0.123	0.0668	-1.85	0.0649	0.127	0
ENSG00000102178	836	0.197	0.0774	2.55	0.0108	0.0261	0
ENSG00000130827	1300	-0.2	0.0806	-2.48	0.0132	0.0312	0
ENSG00000071859	1080	0.106	0.063	1.69	0.0917	0.17	0
ENSG00000013563	720	0.00579	0.0973	0.0595	0.953	0.974	0
ENSG00000280195	20.6	0.148	0.406	0.365	0.715	0.816	0
ENSG00000231830	0.412	0.0404	2.84	0.0142	0.989		4
ENSG00000007350	25.2	-2.77	0.533	-5.19	2.15e-07	1.07e-06	0
ENSG00000169057	1950	0.196	0.0564	3.47	0.000512	0.0016	0
ENSG00000177854	240	-0.255	0.162	-1.58	0.115	0.205	0
ENSG00000102032	661	-0.825	0.0926	-8.91	5.1e-19	6.06e-18	0
ENSG00000089820	993	-0.00767	0.0805	-0.0953	0.924	0.956	0
ENSG00000198910	951	1.39	0.133	10.5	9.92e-26	1.58e-24	0
ENSG00000067840	147	-0.387	0.168	-2.3	0.0215	0.0482	0
ENSG00000180879	2200	0.131	0.0534	2.46	0.0138	0.0326	0
ENSG00000067829	902	-0.171	0.0902	-1.9	0.0575	0.115	0
ENSG00000198753	28.4	-2.2	0.428	-5.14	2.81e-07	1.38e-06	0
ENSG00000185825	2870	-0.429	0.0552	-7.77	7.56e-15	7.02e-14	0
ENSG00000130822	378	0.905	0.108	8.36	6.02e-17	6.39e-16	0
ENSG00000067842	29.1	-0.209	0.313	-0.668	0.504	0.644	0
ENSG00000183837	145	0.447	0.19	2.35	0.0186	0.0424	0
ENSG00000147383	541	-0.236	0.104	-2.27	0.0229	0.0509	0
ENSG00000147400	1050	-0.0888	0.0663	-1.34	0.18	0.297	0
ENSG00000268916	0.403	0.828	3.12	0.265	0.791		4
ENSG00000160131	5420	-0.0102	0.0623	-0.164	0.869	0.921	0
ENSG00000234696	1.91	0.0911	1.29	0.0708	0.944	0.968	0
ENSG00000029993	6020	-0.202	0.0502	-4.02	5.91e-05	0.000214	0
ENSG00000102181	1930	-0.689	0.11	-6.24	4.37e-10	2.83e-09	0
ENSG00000063601	783	0.524	0.0713	7.35	2e-13	1.69e-12	0
ENSG00000013619	2.53	0.315	1.01	0.311	0.756	0.846	0
ENSG00000269556	569	0.261	0.084	3.1	0.00192	0.00541	0
ENSG00000241769	11.5	0.711	0.536	1.32	0.185	0.303	0
ENSG00000277215	5.59	0.414	0.768	0.54	0.589	0.719	0
ENSG00000182195	711	-0.0681	0.08	-0.851	0.395	0.541	0
ENSG00000134595	179	5.68	0.457	12.4	1.81e-35	4.23e-34	0
ENSG00000129682	733	-0.233	0.097	-2.4	0.0163	0.0377	0
ENSG00000283692	4.58	0.45	0.815	0.552	0.581	0.712	0
ENSG00000291054	22.7	0.0818	0.401	0.204	0.838	0.901	0
ENSG00000165359	199	0.201	0.153	1.31	0.189	0.308	0
ENSG00000178947	151	0.654	0.16	4.08	4.55e-05	0.000167	0
ENSG00000173275	366	-0.546	0.117	-4.69	2.73e-06	1.18e-05	0
ENSG00000169551	0.486	0.919	2.82	0.326	0.744		2
ENSG00000203950	708	0.119	0.0807	1.48	0.14	0.241	0
ENSG00000184785	50.3	1.8	0.275	6.55	5.68e-11	3.95e-10	0
ENSG00000101928	338	0.0616	0.114	0.539	0.59	0.719	0
ENSG00000156504	1870	-0.369	0.0715	-5.17	2.37e-07	1.17e-06	0
ENSG00000170965	126	-0.00555	0.167	-0.0332	0.974	0.985	0
ENSG00000156531	6130	-0.368	0.0618	-5.96	2.46e-09	1.48e-08	0
ENSG00000147257	18700	-3.67	0.0638	-57.5	0	0	0
ENSG00000076770	312	1.87	0.165	11.3	9.9e-30	1.87e-28	0
ENSG00000134602	2170	0.213	0.0501	4.25	2.1e-05	8.08e-05	0
ENSG00000213468	1160	0.442	0.0781	5.66	1.5e-08	8.41e-08	0
ENSG00000287806	1.68	3.38	1.6	2.11	0.035	0.0743	2
ENSG00000147256	3.59	-0.514	0.954	-0.539	0.59	0.719	0
ENSG00000290740	0.813	-2.35	2.22	-1.06	0.29		4
ENSG00000102078	225	0.029	0.132	0.22	0.826	0.893	0
ENSG00000085185	4050	-0.935	0.111	-8.4	4.46e-17	4.76e-16	0
ENSG00000235189	1.17	-2.18	1.79	-1.22	0.223	0.351	3
ENSG00000188706	1910	0.519	0.0667	7.78	7.08e-15	6.6e-14	0
ENSG00000198354	40.2	0.702	0.338	2.07	0.0381	0.08	0
ENSG00000009694	235	-4.08	0.21	-19.5	2.64e-84	2.02e-82	0
ENSG00000101966	2780	-0.082	0.0479	-1.71	0.087	0.162	0
ENSG00000125676	2250	-0.22	0.0546	-4.03	5.59e-05	0.000203	0
ENSG00000125675	22.5	-0.631	0.362	-1.74	0.0818	0.154	0
ENSG00000171155	434	0.419	0.101	4.13	3.56e-05	0.000133	0
ENSG00000158290	5120	-0.141	0.0702	-2.02	0.0438	0.0905	0
ENSG00000005893	3410	0.231	0.0528	4.37	1.23e-05	4.87e-05	0
ENSG00000125355	0.854	3.71	2.02	1.84	0.0657		3
ENSG00000258545	1.37	-0.827	1.86	-0.444	0.657	0.773	3
ENSG00000125352	257	0.244	0.109	2.23	0.026	0.0571	0
ENSG00000286366	8.32	0.536	0.657	0.815	0.415	0.56	0
ENSG00000125354	1160	-0.0867	0.0888	-0.977	0.329	0.472	0
ENSG00000018610	840	-0.26	0.0721	-3.61	0.000303	0.000978	0
ENSG00000077721	1340	-0.222	0.0661	-3.36	0.00079	0.00239	0
ENSG00000005022	9050	0.101	0.0586	1.73	0.084	0.158	0
ENSG00000224281	57	-0.125	0.265	-0.473	0.636	0.757	0
ENSG00000077713	175	-0.9	0.154	-5.83	5.63e-09	3.29e-08	0
ENSG00000175556	85.3	-0.933	0.2	-4.66	3.18e-06	1.37e-05	0
ENSG00000235244	36.2	0.0474	0.297	0.16	0.873	0.924	0
ENSG00000102024	5500	-0.699	0.0952	-7.34	2.08e-13	1.75e-12	0
ENSG00000288595	0.388	-1.75	3.15	-0.556	0.578		4
ENSG00000077279	30.1	3.48	0.39	8.93	4.25e-19	5.07e-18	0
ENSG00000133136	0.575	0.0404	2.45	0.0165	0.987		4
ENSG00000224142	0.396	0.0404	2.87	0.0141	0.989		4
ENSG00000157600	1570	0.0908	0.0537	1.69	0.091	0.169	0
ENSG00000289365	2.96	0.16	0.968	0.166	0.869	0.921	0
ENSG00000068366	3550	0.242	0.0671	3.61	0.000302	0.000977	0
ENSG00000101890	0.321	0.0404	3.34	0.0121	0.99		4
ENSG00000237863	2.75	2.2	1.25	1.75	0.0796	0.151	2
ENSG00000197565	1230	0.762	0.072	10.6	3.69e-26	5.97e-25	0
ENSG00000101844	143	-0.439	0.145	-3.03	0.00248	0.00686	0
ENSG00000080561	210	0.421	0.124	3.38	0.000713	0.00218	0
ENSG00000198088	204	-0.658	0.131	-5	5.59e-07	2.64e-06	0
ENSG00000133131	102	1.49	0.21	7.06	1.61e-12	1.27e-11	0
ENSG00000133138	59.2	1.77	0.252	6.99	2.66e-12	2.07e-11	0
ENSG00000133135	1.27	3.93	1.82	2.15	0.0314	0.0674	3
ENSG00000157502	148	0.231	0.157	1.48	0.14	0.241	0
ENSG00000166707	47.9	0.905	0.291	3.11	0.00188	0.00531	0
ENSG00000269226	157	-0.899	0.946	-0.951	0.342	0.485	0
ENSG00000292357	6.02	3.35	2.12	1.58	0.114	0.204	2
ENSG00000231728	10.2	0.372	0.54	0.69	0.49	0.631	0
ENSG00000172476	12.5	0.941	0.53	1.77	0.0759	0.145	0
ENSG00000234405	17.1	0.124	0.429	0.289	0.772	0.858	0
ENSG00000185222	706	-0.0266	0.0842	-0.316	0.752	0.844	0
ENSG00000182916	364	-1.28	0.101	-12.6	1.81e-36	4.38e-35	0
ENSG00000133134	169	0.891	0.146	6.11	9.91e-10	6.2e-09	0
ENSG00000147206	0.561	-1.84	2.62	-0.702	0.483		4
ENSG00000286846	3.99	0.998	0.889	1.12	0.261	0.398	0
ENSG00000286237	45.8	-0.149	0.461	-0.323	0.746	0.84	0
ENSG00000158301	1210	-0.66	0.0572	-11.5	8.34e-31	1.63e-29	0
ENSG00000125962	405	-0.193	0.104	-1.85	0.0642	0.126	0
ENSG00000290811	1.31	-2.77	1.89	-1.46	0.144	0.247	4
ENSG00000215029	3.45	0.91	1.16	0.784	0.433	0.578	2
ENSG00000269405	1.05	-0.356	1.64	-0.217	0.828	0.895	2
ENSG00000204071	0.647	-1.39	2.32	-0.598	0.55		3
ENSG00000184905	94.5	-0.541	0.207	-2.62	0.00889	0.0219	0
ENSG00000184867	2140	-0.0289	0.0548	-0.527	0.598	0.726	0
ENSG00000228275	1.23	1.96	1.9	1.04	0.301	0.442	2
ENSG00000102401	1660	0.189	0.0713	2.65	0.00803	0.02	0
ENSG00000290908	102	0.751	1.12	0.668	0.504	0.643	1
ENSG00000010671	8.45	-2.43	0.746	-3.25	0.00115	0.00336	0
ENSG00000102384	861	-0.382	0.0702	-5.44	5.35e-08	2.84e-07	0
ENSG00000204086	1.33	-2.16	2	-1.08	0.282	0.42	2
ENSG00000147202	1110	-0.642	0.0663	-9.67	3.86e-22	5.21e-21	0
ENSG00000186310	511	0.24	0.0824	2.91	0.0036	0.00961	0
ENSG00000289479	5.87	1.04	0.802	1.3	0.193	0.313	0
ENSG00000234161	0.926	0.362	1.77	0.205	0.838	0.9	2
ENSG00000184788	4.68	0.326	0.957	0.341	0.733	0.831	0
ENSG00000072133	504	0.0173	0.0988	0.175	0.861	0.916	0
ENSG00000196767	69.2	8.12	0.868	9.36	8.2e-21	1.05e-19	1
ENSG00000131171	1340	-0.254	0.0654	-3.88	0.000102	0.000356	0
ENSG00000147255	274	1.62	0.12	13.6	5.93e-42	1.72e-40	0
ENSG00000198157	203	0.0243	0.13	0.187	0.852	0.91	0
ENSG00000165288	3300	-0.151	0.0543	-2.78	0.00542	0.014	0
ENSG00000122145	2.61	-0.108	1.07	-0.102	0.919	0.953	0
ENSG00000078596	1110	-4.56	0.127	-35.8	9.95999999999999e-281	5.73e-278	0
ENSG00000102158	3690	0.141	0.0506	2.79	0.00525	0.0135	0
ENSG00000198934	233	0.197	0.12	1.65	0.0997	0.182	0
ENSG00000102390	488	0.0214	0.0924	0.232	0.817	0.887	0
ENSG00000094841	342	-0.225	0.0941	-2.39	0.0169	0.039	0
ENSG00000147100	3650	0.64	0.091	7.04	1.97e-12	1.55e-11	0
ENSG00000225470	821	-0.144	0.0742	-1.94	0.0521	0.105	0
ENSG00000229807	1.98	-2.18	1.64	-1.33	0.184	0.301	3
ENSG00000131264	3380	-1.54	0.09	-17.2	6.05e-66	3.3e-64	0
ENSG00000231963	0.911	-1.44	2.14	-0.673	0.501		2
ENSG00000186288	12.3	-1.37	0.611	-2.24	0.0253	0.0557	0
ENSG00000269502	22.1	0.624	1.41	0.442	0.658	0.774	1
ENSG00000269911	57.7	0.103	0.286	0.36	0.719	0.82	0
ENSG00000147099	437	-0.178	0.0952	-1.87	0.0621	0.123	0
ENSG00000198034	22000	0.154	0.0342	4.51	6.38e-06	2.63e-05	0
ENSG00000186871	776	-0.196	0.0817	-2.39	0.0166	0.0384	0
ENSG00000102309	314	-0.201	0.119	-1.7	0.0893	0.166	0
ENSG00000204131	69	0.623	0.218	2.86	0.0043	0.0113	0
ENSG00000215113	1.47	-1.89	2.02	-0.934	0.35	0.495	2
ENSG00000281852	57.3	-0.664	0.228	-2.92	0.00352	0.00943	0
ENSG00000147133	3130	0.0186	0.0571	0.327	0.744	0.839	0
ENSG00000147140	25300	0.0761	0.0359	2.12	0.0342	0.0726	0
ENSG00000196338	275	1.54	0.15	10.3	1.04e-24	1.59e-23	0
ENSG00000184634	4820	-0.279	0.0739	-3.77	0.000164	0.000552	0
ENSG00000147168	2.09	-0.568	1.22	-0.464	0.643	0.762	0
ENSG00000184481	75.1	1.43	0.207	6.9	5.38e-12	4.1e-11	0
ENSG00000165349	2260	-1.16	0.0736	-15.8	2.04e-56	8.76e-55	0
ENSG00000120509	753	-0.303	0.0948	-3.2	0.00139	0.00401	0
ENSG00000089289	1950	0.0685	0.0563	1.22	0.223	0.352	0
ENSG00000158813	601	0.175	0.125	1.4	0.163	0.273	0
ENSG00000181704	1980	-0.244	0.058	-4.21	2.55e-05	9.71e-05	0
ENSG00000289038	9.64	-0.835	0.624	-1.34	0.181	0.298	0
ENSG00000089472	3240	-0.187	0.0722	-2.59	0.00973	0.0238	0
ENSG00000198881	2.65	0.707	1.17	0.605	0.545	0.681	0
ENSG00000184675	1330	-0.0249	0.0738	-0.338	0.735	0.832	0
ENSG00000186767	1600	-0.536	0.0754	-7.11	1.18e-12	9.4e-12	0
ENSG00000235437	836	-0.0997	0.0829	-1.2	0.229	0.359	0
ENSG00000198205	236	0.256	0.136	1.89	0.0593	0.118	0
ENSG00000147059	15.9	0.35	0.47	0.744	0.457	0.6	0
ENSG00000186787	223	-0.332	0.123	-2.69	0.00717	0.018	0
ENSG00000102349	400	0.0025	0.123	0.0204	0.984	0.991	0
ENSG00000227486	35	-0.216	0.298	-0.726	0.468	0.61	0
ENSG00000083750	290	-0.114	0.124	-0.915	0.36	0.505	0
ENSG00000247746	733	-0.0743	0.0717	-1.04	0.3	0.441	0
ENSG00000182518	248	0.153	0.114	1.34	0.179	0.294	0
ENSG00000130119	2030	0.163	0.0627	2.6	0.00923	0.0227	0
ENSG00000196632	2080	0.119	0.0845	1.41	0.159	0.268	0
ENSG00000184083	324	-0.107	0.103	-1.04	0.3	0.441	0
ENSG00000158423	27.7	-0.0618	0.308	-0.201	0.841	0.902	0
