gene_ID	MSX1_KO_baseMean	MSX1_KO_log2FoldChange	MSX1_KO_lfcSE	MSX1_KO_stat	MSX1_KO_pvalue	MSX1_KO_padj	MSX1_KO_n_zeros
ENSG00000271254	423	0.0448	0.099	0.453	0.651	0.96	0
ENSG00000276345	4.82	3.17	1.19	2.66	0.00789		2
ENSG00000277196	4.2	0.474	0.877	0.541	0.589		0
ENSG00000278817	57.8	-0.112	0.24	-0.466	0.641	0.958	0
ENSG00000292372	282	0.061	1.47	0.0416	0.967	0.997	0
ENSG00000198692	596	0.131	0.0861	1.53	0.127	0.643	0
ENSG00000229236	10.1	-0.633	0.574	-1.1	0.27		0
ENSG00000260197	46.7	-0.116	0.268	-0.435	0.664	0.962	0
ENSG00000290853	46.8	-0.0648	0.274	-0.237	0.813	0.982	0
ENSG00000067048	3000	-0.0861	0.0516	-1.67	0.0948	0.568	0
ENSG00000286009	7.58	0.0427	0.683	0.0624	0.95		0
ENSG00000278847	4.82	0.0525	0.844	0.0622	0.95		0
ENSG00000292348	1440	0.0802	0.0701	1.14	0.252	0.79	0
ENSG00000292345	593	0.201	0.254	0.791	0.429	0.898	0
ENSG00000292338	416	-0.144	0.316	-0.455	0.649	0.96	0
ENSG00000292333	5.35	3.98	1.23	3.22	0.00128		2
ENSG00000292339	669	-0.214	0.0858	-2.49	0.0126	0.219	0
ENSG00000292331	12.1	-0.0739	0.635	-0.116	0.907		0
ENSG00000292360	80.1	-1.22	2.89	-0.421			2
ENSG00000292341	2.81	0.33	1.06	0.311	0.756		0
ENSG00000292327	704	0.267	0.538	0.496	0.62	0.954	0
ENSG00000182484	272	0.0424	1.89	0.0224	0.982	0.999	1
ENSG00000124333	530	0.0435	0.0912	0.477	0.633	0.958	0
ENSG00000155961	158	0.0429	0.16	0.267	0.789	0.979	0
ENSG00000154620	46.7	-0.369	0.287	-1.29	0.198	0.736	0
ENSG00000130830	2340	0.0748	0.0744	1.01	0.315	0.841	0
ENSG00000269335	354	0.0176	0.106	0.165	0.869	0.988	0
ENSG00000160211	2210	0.0491	0.0562	0.874	0.382	0.876	0
ENSG00000102178	845	-0.072	0.0774	-0.93	0.352	0.861	0
ENSG00000130827	1120	0.0379	0.0698	0.543	0.587	0.945	0
ENSG00000071859	1030	0.0592	0.0714	0.829	0.407	0.885	0
ENSG00000013563	444	0.0302	0.1	0.301	0.763	0.977	0
ENSG00000280195	21.1	0.163	0.418	0.39	0.697		0
ENSG00000007350	2.15	-1.62	1.33	-1.22	0.221		0
ENSG00000169057	1300	0.0642	0.0704	0.911	0.362	0.865	0
ENSG00000177854	154	0.00958	0.162	0.0593	0.953	0.995	0
ENSG00000102032	485	0.0794	0.0926	0.857	0.391	0.879	0
ENSG00000089820	571	-0.189	0.0891	-2.12	0.0337	0.365	0
ENSG00000198910	811	0.236	0.0834	2.83	0.00467	0.123	0
ENSG00000067840	183	-0.0428	0.15	-0.286	0.775	0.978	0
ENSG00000180879	1890	0.0255	0.0573	0.446	0.656	0.962	0
ENSG00000067829	801	-0.00331	0.0792	-0.0418	0.967	0.997	0
ENSG00000198753	22.5	-0.272	0.394	-0.69	0.49	0.921	0
ENSG00000185825	2600	-0.00599	0.0567	-0.106	0.916	0.993	0
ENSG00000130822	60.7	0.146	0.249	0.586	0.558	0.938	0
ENSG00000067842	5	-0.0576	0.8	-0.072	0.943		0
ENSG00000183837	169	0.107	0.152	0.703	0.482	0.915	0
ENSG00000147383	613	0.0228	0.0875	0.261	0.794	0.98	0
ENSG00000147400	931	0.0713	0.0756	0.942	0.346	0.857	0
ENSG00000160131	4150	0.0211	0.0583	0.362	0.717	0.97	0
ENSG00000234696	4.23	0.273	0.89	0.307	0.759		0
ENSG00000029993	6070	0.00897	0.0494	0.182	0.856	0.985	0
ENSG00000102181	969	0.0788	0.0758	1.04	0.298	0.83	0
ENSG00000063601	517	-0.00152	0.092	-0.0165	0.987	0.999	0
ENSG00000013619	2.59	-0.271	1.17	-0.232	0.817		1
ENSG00000269556	652	0.0191	0.0805	0.237	0.812	0.982	0
ENSG00000241769	7.42	-0.599	0.704	-0.851	0.395		0
ENSG00000277215	4.44	-0.383	0.861	-0.445	0.657		0
ENSG00000182195	686	0.0543	0.0792	0.685	0.493	0.921	0
ENSG00000134595	45.1	-0.583	0.283	-2.06	0.0395	0.391	0
ENSG00000129682	804	-0.151	0.0801	-1.89	0.0591	0.469	0
ENSG00000283692	4.65	0.381	0.849	0.449	0.654		0
ENSG00000291054	31.6	0.0767	0.342	0.224	0.822	0.982	0
ENSG00000165359	163	-0.0363	0.155	-0.234	0.815	0.982	0
ENSG00000178947	79.4	0.0105	0.205	0.0514	0.959	0.996	0
ENSG00000173275	471	-0.0423	0.0913	-0.463	0.643	0.958	0
ENSG00000203950	986	0.0317	0.0698	0.454	0.65	0.96	0
ENSG00000184785	31.8	-0.774	0.338	-2.29	0.0221	0.301	0
ENSG00000101928	464	-0.00832	0.0955	-0.0871	0.931	0.993	0
ENSG00000156504	1200	-0.026	0.0664	-0.392	0.695	0.965	0
ENSG00000170965	79.1	0.148	0.228	0.649	0.517	0.929	0
ENSG00000156531	5480	-0.0603	0.0488	-1.24	0.217	0.759	0
ENSG00000147257	15900	-0.0891	0.0439	-2.03	0.0426	0.406	0
ENSG00000076770	321	0.0323	0.115	0.28	0.78	0.978	0
ENSG00000134602	2770	-0.0129	0.0516	-0.25	0.803	0.982	0
ENSG00000213468	1030	0.0189	0.0716	0.264	0.792	0.979	0
ENSG00000147256	5.68	-0.434	0.785	-0.553	0.58		0
ENSG00000102078	198	0.101	0.14	0.721	0.471	0.913	0
ENSG00000085185	2320	0.106	0.0607	1.74	0.0819	0.535	0
ENSG00000188706	1280	0.0954	0.0632	1.51	0.131	0.651	0
ENSG00000198354	15.7	-0.166	0.484	-0.342	0.732		0
ENSG00000009694	335	-0.0933	0.118	-0.789	0.43	0.899	0
ENSG00000101966	2560	-0.0858	0.0569	-1.51	0.132	0.651	0
ENSG00000125676	1670	-0.0995	0.0646	-1.54	0.124	0.635	0
ENSG00000125675	14.3	-0.023	0.48	-0.048	0.962		0
ENSG00000171155	227	0.0406	0.129	0.315	0.753	0.975	0
ENSG00000158290	2890	-0.0214	0.0508	-0.421	0.674	0.962	0
ENSG00000005893	3110	-0.099	0.052	-1.9	0.0571	0.464	0
ENSG00000258545	4.82	-0.183	0.828	-0.221	0.825		0
ENSG00000125352	253	-0.104	0.122	-0.852	0.394	0.88	0
ENSG00000286366	2.17	-0.0915	1.26	-0.0729	0.942		1
ENSG00000125354	827	-0.071	0.0764	-0.928	0.353	0.861	0
ENSG00000018610	551	-0.0706	0.0874	-0.808	0.419	0.893	0
ENSG00000077721	1380	0.0547	0.0646	0.846	0.397	0.881	0
ENSG00000005022	8800	-0.00128	0.121	-0.0106	0.992	0.999	0
ENSG00000224281	71.2	0.235	0.232	1.01	0.312	0.838	0
ENSG00000077713	196	0.0506	0.137	0.37	0.712	0.97	0
ENSG00000175556	2.77	0.877	1.12	0.786	0.432		0
ENSG00000235244	79.3	-0.184	0.217	-0.847	0.397	0.881	0
ENSG00000102024	2600	-0.0667	0.0628	-1.06	0.288	0.821	0
ENSG00000288595	1.28	-1.42	1.68	-0.845	0.398		1
ENSG00000077279	4.43	-0.942	0.955	-0.987	0.324		1
ENSG00000157600	1310	-0.0324	0.0656	-0.495	0.621	0.954	0
ENSG00000289365	7.28	0.443	0.741	0.597	0.55		0
ENSG00000068366	4990	0.0137	0.0564	0.243	0.808	0.982	0
ENSG00000237863	6.47	-0.571	0.728	-0.784	0.433		0
ENSG00000197565	976	0.032	0.0695	0.461	0.645	0.959	0
ENSG00000101844	113	0.0759	0.178	0.426	0.67	0.962	0
ENSG00000080561	199	0.178	0.133	1.33	0.183	0.723	0
ENSG00000198088	49.6	0.129	0.281	0.46	0.645	0.959	0
ENSG00000133131	40.1	0.152	0.293	0.519	0.603	0.949	0
ENSG00000133138	42.3	-0.0281	0.285	-0.0984	0.922	0.993	0
ENSG00000133135	2.08	-1.6	1.35	-1.18	0.236		1
ENSG00000157502	58.8	-0.191	0.247	-0.773	0.44	0.903	0
ENSG00000166707	35.5	-0.229	0.333	-0.687	0.492	0.921	0
ENSG00000269226	188	-0.443	0.815	-0.543	0.587	0.945	0
ENSG00000101812	1.46	-0.207	1.58	-0.131	0.896		2
ENSG00000292357	8.43	0.342	1.4	0.244	0.807		1
ENSG00000231728	16.2	-0.0384	0.473	-0.0812	0.935		0
ENSG00000172476	3.02	-0.595	1.12	-0.533	0.594		1
ENSG00000234405	8.31	-0.501	0.633	-0.791	0.429		0
ENSG00000185222	627	-0.0359	0.0855	-0.42	0.674	0.962	0
ENSG00000182916	710	0.103	0.0823	1.25	0.211	0.751	0
ENSG00000133134	80.3	0.0857	0.204	0.42	0.675	0.962	0
ENSG00000286846	2.69	0.495	1.11	0.446	0.656		0
ENSG00000286237	97	-0.392	0.217	-1.81	0.0702	0.503	0
ENSG00000158301	1010	0.0528	0.0692	0.763	0.446	0.904	0
ENSG00000125962	428	-0.0215	0.0984	-0.218	0.827	0.982	0
ENSG00000215029	2.14	-0.0709	1.27	-0.056	0.955		1
ENSG00000286794	0.846	0.659	2.02	0.326	0.744		2
ENSG00000204071	2	0.138	1.31	0.105	0.916		1
ENSG00000184905	199	-0.102	0.135	-0.755	0.45	0.906	0
ENSG00000184867	1280	-0.0566	0.0681	-0.832	0.405	0.883	0
ENSG00000228275	2.74	0.819	1.3	0.629	0.529		2
ENSG00000102401	1610	0.159	0.0634	2.5	0.0124	0.216	0
ENSG00000290908	57.8	-1.22	1.6	-0.765	0.444	0.904	1
ENSG00000010671	20.9	0.0482	0.407	0.118	0.906		0
ENSG00000102384	870	-0.0139	0.0739	-0.188	0.851	0.984	0
ENSG00000204086	3.52	-0.893	1.01	-0.881	0.378		0
ENSG00000147202	970	-0.156	0.0749	-2.08	0.0371	0.379	0
ENSG00000186310	188	0.0235	0.141	0.167	0.867	0.988	0
ENSG00000289479	16	0.191	0.455	0.419	0.675		0
ENSG00000184788	6.95	-0.751	0.702	-1.07	0.285		0
ENSG00000072133	262	-0.0818	0.12	-0.68	0.496	0.922	0
ENSG00000131171	1150	-0.0344	0.0691	-0.498	0.619	0.954	0
ENSG00000147255	128	0.186	0.171	1.08	0.279	0.814	0
ENSG00000198157	120	0.0664	0.176	0.376	0.707	0.969	0
ENSG00000165288	3240	-0.106	0.0542	-1.96	0.05	0.441	0
ENSG00000122145	0.989	0.207	1.87	0.111	0.912		2
ENSG00000078596	1030	-0.0376	0.0691	-0.543	0.587	0.945	0
ENSG00000102158	2130	-0.0424	0.0573	-0.74	0.46	0.911	0
ENSG00000198934	212	-0.00198	0.137	-0.0145	0.988	0.999	0
ENSG00000102390	406	0.00211	0.0985	0.0214	0.983	0.999	0
ENSG00000094841	268	0.0618	0.117	0.527	0.598	0.948	0
ENSG00000147100	2550	0.12	0.0598	2.01	0.0444	0.415	0
ENSG00000225470	881	0.00575	0.0739	0.0779	0.938	0.993	0
ENSG00000229807	1.62	-0.384	1.42	-0.27	0.787		0
ENSG00000131264	1120	-0.116	0.0726	-1.6	0.109	0.603	0
ENSG00000186288	12.4	0.852	0.527	1.62	0.106		0
ENSG00000269502	17.5	0.391	0.466	0.84	0.401		0
ENSG00000269911	127	0.053	0.18	0.295	0.768	0.978	0
ENSG00000147099	473	0.0299	0.101	0.296	0.767	0.978	0
ENSG00000198034	19900	0.00952	0.0484	0.197	0.844	0.984	0
ENSG00000186871	506	-0.224	0.0906	-2.47	0.0136	0.229	0
ENSG00000102309	218	-0.0302	0.133	-0.226	0.821	0.982	0
ENSG00000204131	81.4	-0.214	0.211	-1.02	0.309	0.837	0
ENSG00000281852	26.4	0.086	0.361	0.238	0.812	0.982	0
ENSG00000147133	1490	-0.159	0.0629	-2.53	0.0115	0.209	0
ENSG00000147140	15500	0.0322	0.0423	0.761	0.447	0.905	0
