DE_group	knockout_gene_strategy	n_ko	n_WT
ExM_day_6_nor	ISL1_CE	3	3
ExM_day_6_nor	ISL1_KO	3	3
ExM_day_6_nor	ISL1_PTC	3	3
PrS_day_6_hyp	EPAS1_CE	3	3
PrS_day_6_hyp	EPAS1_KO	3	3
PrS_day_6_hyp	EPAS1_PTC	3	3
PrS_day_6_nor	EPAS1_CE	3	12
PrS_day_6_nor	EPAS1_KO	3	12
PrS_day_6_nor	EPAS1_PTC	3	12
PrS_day_6_nor	FOSB_CE	3	12
PrS_day_6_nor	FOSB_KO	3	12
PrS_day_6_nor	FOSB_PTC	3	12
PrS_day_6_nor	GCM1_CE	3	12
PrS_day_6_nor	GCM1_KO	3	12
PrS_day_6_nor	GCM1_PTC	3	12
PrS_day_6_nor	GRHL1_CE	3	12
PrS_day_6_nor	GRHL1_KO	3	12
PrS_day_6_nor	GRHL1_PTC	3	12
PrS_day_6_nor	POU2F3_CE	3	12
PrS_day_6_nor	POU2F3_KO	3	12
PrS_day_6_nor	POU2F3_PTC	3	12
PrS_day_6_nor	PPARG_CE	3	12
PrS_day_6_nor	PPARG_KO	3	12
PrS_day_6_nor	PPARG_PTC	3	12
