gene_ID	ISL1_CE_baseMean	ISL1_CE_log2FoldChange	ISL1_CE_lfcSE	ISL1_CE_stat	ISL1_CE_pvalue	ISL1_CE_padj	ISL1_CE_n_zeros	ISL1_KO_baseMean	ISL1_KO_log2FoldChange	ISL1_KO_lfcSE	ISL1_KO_stat	ISL1_KO_pvalue	ISL1_KO_padj	ISL1_KO_n_zeros	ISL1_PTC_baseMean	ISL1_PTC_log2FoldChange	ISL1_PTC_lfcSE	ISL1_PTC_stat	ISL1_PTC_pvalue	ISL1_PTC_padj	ISL1_PTC_n_zeros
ENSG00000271254	795	0.28	0.109	2.57	0.0102	0.104	0	795	0.299	0.109	2.74	0.00615	0.0989	0	795	0.224	0.11	2.04	0.0412	0.286	0
ENSG00000277196	36	-0.191	0.31	-0.617	0.537	0.749	0	36	-0.66	0.321	-2.06	0.0395	0.278	0	36	-0.16	0.311	-0.514	0.607	0.845	0
ENSG00000278817	51.4	-0.471	0.236	-1.99	0.0462	0.228	0	51.4	-0.529	0.238	-2.22	0.0261	0.227	0	51.4	-1.12	0.255	-4.39	1.13e-05	0.000852	0
ENSG00000276017	0.414	0.0434	3.63	0.012	0.99		4	0.414	-0.92	3.63	-0.254	0.8		5	0.414	1.52	3.54	0.431	0.666		3
ENSG00000198692	301	-0.314	0.322	-0.976	0.329	0.589	0	301	-0.201	0.321	-0.625	0.532	0.805	0	301	-0.198	0.322	-0.616	0.538	0.807	0
ENSG00000229236	8.35	-0.0244	0.566	-0.0431	0.966	0.985	0	8.35	-0.238	0.577	-0.413	0.68		0	8.35	-0.146	0.578	-0.253	0.8	0.93	0
ENSG00000260197	19.2	-0.656	0.489	-1.34	0.18	0.441	0	19.2	-0.558	0.486	-1.15	0.25	0.619	0	19.2	0.476	0.461	1.03	0.302	0.66	0
ENSG00000290853	64.2	0.303	0.287	1.05	0.292	0.553	0	64.2	0.379	0.286	1.32	0.186	0.551	0	64.2	0.111	0.291	0.382	0.703	0.889	0
ENSG00000067048	1940	-0.0599	0.194	-0.309	0.757	0.882	0	1940	-0.122	0.194	-0.628	0.53	0.804	0	1940	-0.043	0.194	-0.222	0.824	0.939	0
ENSG00000286009	3.53	-0.55	1.11	-0.496	0.62		0	3.53	-0.059	1.08	-0.0549	0.956		0	3.53	0.0608	1.07	0.0566	0.955		1
ENSG00000231535	66.4	2.24	0.944	2.37	0.0179	0.141	0	66.4	1.99	0.945	2.11	0.0347	0.262	0	66.4	2.28	0.944	2.41	0.0158	0.175	0
ENSG00000233070	5.58	2.54	1.9	1.34	0.182		1	5.58	2.76	1.9	1.45	0.146		2	5.58	3.28	1.89	1.74	0.0827		2
ENSG00000278847	0.995	-1.24	1.87	-0.663	0.507		2	0.995	0.108	1.7	0.0636	0.949		1	0.995	-3.01	1.96	-1.53	0.125		4
ENSG00000182484	338	0.374	0.267	1.4	0.162	0.418	0	338	0.292	0.268	1.09	0.276	0.64	0	338	0.391	0.268	1.46	0.144	0.505	0
ENSG00000124334	1.71	0.457	1.43	0.32	0.749		1	1.71	1.29	1.34	0.958	0.338		1	1.71	1.2	1.36	0.885	0.376		2
ENSG00000124333	1120	-0.0145	0.131	-0.111	0.912	0.961	0	1120	0.0379	0.131	0.29	0.772	0.917	0	1120	0.211	0.13	1.61	0.106	0.446	0
ENSG00000224533	5.89	-0.267	1.05	-0.255	0.799		1	5.89	-0.419	1.05	-0.397	0.691		1	5.89	0.13	1.04	0.125	0.9		0
ENSG00000155961	53.4	-0.237	0.397	-0.598	0.55	0.757	0	53.4	0.0501	0.394	0.127	0.899	0.967	0	53.4	-0.175	0.397	-0.44	0.66	0.869	0
ENSG00000274183	0.811	0.41	2.11	0.194	0.846		2	0.811	-0.642	2.24	-0.287	0.774		3	0.811	-1.34	2.3	-0.583	0.56		3
ENSG00000203870	6.17	5.56	2.36	2.36	0.0182	0.142	3	6.17	5.44	2.36	2.31	0.021		4	6.17	5.61	2.36	2.38	0.0174		4
ENSG00000154620	52.5	-0.241	0.477	-0.505	0.613	0.8	0	52.5	0.0112	0.475	0.0235	0.981	0.994	0	52.5	-0.885	0.487	-1.82	0.069	0.365	0
ENSG00000130830	1090	3.52	1.43	2.46	0.0138	0.122	0	1090	3.05	1.43	2.13	0.033	0.256	0	1090	3.44	1.43	2.41	0.0161	0.177	0
ENSG00000272681	2.75	-2.38	1.56	-1.52	0.128		2	2.75	-1.45	1.4	-1.03	0.301		1	2.75	0.638	1.25	0.51	0.61		0
ENSG00000269335	250	0.173	0.116	1.5	0.135	0.384	0	250	0.314	0.115	2.73	0.00625	0.0995	0	250	0.159	0.117	1.35	0.176	0.545	0
ENSG00000160211	942	-0.1	0.153	-0.651	0.515	0.736	0	942	-0.0135	0.153	-0.0879	0.93	0.978	0	942	-0.105	0.154	-0.685	0.493	0.781	0
ENSG00000102178	406	-0.113	0.154	-0.734	0.463	0.7	0	406	-0.134	0.154	-0.87	0.384	0.719	0	406	-0.194	0.155	-1.25	0.211	0.582	0
ENSG00000130827	2670	-0.161	0.169	-0.951	0.341	0.6	0	2670	-0.0124	0.169	-0.0732	0.942	0.981	0	2670	-0.0959	0.169	-0.566	0.571	0.825	0
ENSG00000071859	1010	0.228	0.165	1.38	0.168	0.426	0	1010	0.203	0.165	1.23	0.219	0.584	0	1010	0.0274	0.166	0.166	0.869	0.956	0
ENSG00000013563	275	-0.17	0.189	-0.903	0.367	0.62	0	275	-0.283	0.189	-1.49	0.135	0.489	0	275	-0.277	0.19	-1.46	0.144	0.505	0
ENSG00000280195	11.8	0.0506	0.583	0.0866	0.931	0.971	0	11.8	1.19	0.543	2.2	0.028	0.236	0	11.8	0.673	0.562	1.2	0.231	0.599	0
ENSG00000169057	1200	-0.186	0.21	-0.887	0.375	0.627	0	1200	-0.223	0.21	-1.06	0.289	0.651	0	1200	-0.165	0.21	-0.785	0.433	0.745	0
ENSG00000177854	29.6	-0.0317	0.29	-0.11	0.913	0.961	0	29.6	-0.109	0.292	-0.375	0.708	0.889	0	29.6	0.0537	0.29	0.185	0.853	0.951	0
ENSG00000102032	32.9	-0.0346	0.288	-0.12	0.904	0.958	0	32.9	0.0406	0.286	0.142	0.887	0.963	0	32.9	-0.328	0.299	-1.1	0.273	0.635	0
ENSG00000089820	21.3	0.0603	0.389	0.155	0.877	0.944	0	21.3	-0.235	0.397	-0.592	0.554	0.814	0	21.3	-0.558	0.411	-1.36	0.175	0.543	0
ENSG00000198910	5880	0.104	0.29	0.358	0.721	0.863	0	5880	0.157	0.29	0.541	0.589	0.833	0	5880	0.11	0.29	0.378	0.705	0.889	0
ENSG00000067840	42.9	-0.469	0.464	-1.01	0.312	0.572	0	42.9	-0.355	0.463	-0.768	0.442	0.755	0	42.9	-0.633	0.468	-1.35	0.176	0.545	0
ENSG00000180879	849	0.186	0.331	0.563	0.573	0.774	0	849	0.0781	0.331	0.236	0.814	0.935	0	849	0.0155	0.331	0.0468	0.963	0.986	0
