gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	641	-0.584	0.156	-3.76	0.000173	0.000885	0
ENSG00000277196	23.7	0.353	0.708	0.499	0.618	0.751	0
ENSG00000278817	36.4	1.25	0.555	2.25	0.0242	0.0643	0
ENSG00000198692	183	0.269	0.272	0.987	0.324	0.486	0
ENSG00000229236	5.93	1.97	1.64	1.2	0.23		1
ENSG00000260197	11.3	0.413	0.976	0.423	0.673	0.792	0
ENSG00000290853	67	0.146	0.421	0.346	0.729	0.83	0
ENSG00000067048	3450	0.728	0.098	7.43	1.06e-13	2.43e-12	0
ENSG00000231535	195	0.323	0.254	1.27	0.204	0.35	0
ENSG00000233070	27.1	-0.0713	0.635	-0.112	0.911	0.948	0
ENSG00000182484	388	0.0131	0.188	0.0695	0.945	0.969	0
ENSG00000124334	2.46	-0.0497	2.1	-0.0237	0.981		1
ENSG00000124333	600	0.0216	0.159	0.135	0.892	0.937	0
ENSG00000224533	3.21	-0.493	2.19	-0.225	0.822		2
ENSG00000155961	10.5	0.512	1	0.511	0.61	0.744	0
ENSG00000203870	21.6	-3.53	0.921	-3.83	0.000129	0.000681	0
ENSG00000154620	44.7	-0.432	0.629	-0.687	0.492	0.651	0
ENSG00000130830	4660	-1.23	0.0958	-12.8	1.23e-37	2.14e-35	0
ENSG00000272681	1.29	2.4	2.97	0.809	0.419		2
ENSG00000269335	246	-0.485	0.231	-2.1	0.0358	0.0893	0
ENSG00000160211	647	-0.588	0.154	-3.82	0.000136	0.000717	0
ENSG00000102178	272	-0.306	0.221	-1.39	0.166	0.3	0
ENSG00000130827	1310	0.76	0.122	6.24	4.31e-10	6.08e-09	0
ENSG00000071859	1160	-0.326	0.125	-2.6	0.00938	0.029	0
ENSG00000013563	165	0.316	0.269	1.18	0.24	0.392	0
ENSG00000280195	8.71	-1.69	1.22	-1.39	0.165	0.3	0
ENSG00000169057	393	0.544	0.185	2.94	0.00333	0.0119	0
ENSG00000177854	29.8	-0.0595	0.611	-0.0973	0.922	0.955	0
ENSG00000102032	9.37	3	1.2	2.49	0.0127	0.0376	0
ENSG00000089820	20.5	0.281	0.755	0.372	0.71	0.819	0
ENSG00000198910	72.1	-0.615	0.421	-1.46	0.144	0.27	0
ENSG00000067840	1.87	0.824	2.32	0.355	0.722		0
ENSG00000180879	2080	-0.0744	0.107	-0.696	0.487	0.646	0
ENSG00000067829	531	-0.221	0.164	-1.34	0.179	0.317	0
ENSG00000198753	4.13	-1.62	1.68	-0.964	0.335		0
ENSG00000185825	2730	-0.483	0.101	-4.77	1.84e-06	1.44e-05	0
ENSG00000130822	131	1.74	0.316	5.49	3.94e-08	4.1e-07	0
ENSG00000067842	1040	-0.773	0.132	-5.85	5e-09	6.02e-08	0
ENSG00000183837	2.24	0.931	2.16	0.43	0.667		1
ENSG00000147383	336	0.136	0.199	0.682	0.495	0.654	0
ENSG00000147400	264	0.322	0.223	1.45	0.148	0.275	0
ENSG00000160131	529	-0.143	0.167	-0.854	0.393	0.559	0
ENSG00000029993	2650	0.0299	0.102	0.293	0.769	0.858	0
ENSG00000102181	185	-0.138	0.257	-0.536	0.592	0.73	0
ENSG00000063601	781	0.42	0.149	2.81	0.00489	0.0166	0
ENSG00000269556	139	-0.102	0.3	-0.34	0.734	0.834	0
ENSG00000241769	27	0.551	0.633	0.87	0.384	0.55	0
ENSG00000287796	4.45	-3.07	1.71	-1.8	0.0721		1
ENSG00000182195	224	0.371	0.235	1.58	0.114	0.227	0
ENSG00000129682	53.7	-0.391	0.485	-0.807	0.42	0.584	0
ENSG00000291054	9.16	-0.407	1.1	-0.369	0.712	0.819	0
ENSG00000233093	2.78	-0.553	1.93	-0.286	0.775		1
ENSG00000102243	3160	-0.566	0.0999	-5.67	1.42e-08	1.59e-07	0
ENSG00000165359	259	0.88	0.224	3.93	8.52e-05	0.000471	0
ENSG00000178947	11.8	-0.279	0.972	-0.287	0.774	0.861	0
ENSG00000173275	137	0.845	0.293	2.89	0.00389	0.0136	0
ENSG00000203950	216	0.474	0.242	1.96	0.0497	0.117	0
ENSG00000184785	4.86	-0.281	1.54	-0.182	0.855		0
ENSG00000101928	1380	-0.0694	0.121	-0.575	0.565	0.71	0
ENSG00000156504	423	0.101	0.183	0.556	0.578	0.72	0
ENSG00000170965	6.56	-1.12	1.31	-0.85	0.395		0
ENSG00000156531	540	0.38	0.164	2.32	0.0203	0.0557	0
ENSG00000147257	49.6	1.03	0.479	2.15	0.0313	0.0797	0
ENSG00000076770	25100	-0.683	0.0815	-8.38	5.35e-17	1.81e-15	0
ENSG00000134602	995	0.532	0.132	4.03	5.64e-05	0.000324	0
ENSG00000213468	581	0.269	0.158	1.7	0.0887	0.186	0
ENSG00000147256	3.43	-1.09	1.81	-0.601	0.548		0
ENSG00000102078	59.2	-0.562	0.442	-1.27	0.204	0.349	0
ENSG00000085185	6110	-0.0643	0.102	-0.627	0.53	0.682	0
ENSG00000188706	1180	0.131	0.125	1.04	0.298	0.458	0
ENSG00000198354	0.626	-0.236	4.12	-0.0572	0.954		2
ENSG00000009694	6.79	-1.3	1.34	-0.969	0.332		0
ENSG00000101966	2500	0.451	0.111	4.05	5.04e-05	0.000293	0
ENSG00000125676	3020	0.224	0.101	2.23	0.0259	0.0682	0
