gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	683	-0.447	0.203	-2.2	0.0276	0.106	0
ENSG00000277196	20.6	-0.355	0.595	-0.596	0.551	0.732	0
ENSG00000278817	32.4	0.92	0.558	1.65	0.0994	0.253	0
ENSG00000198692	259	0.0489	0.233	0.21	0.834	0.912	0
ENSG00000229236	10.2	1.09	0.834	1.3	0.193		0
ENSG00000260197	19.2	1.31	0.612	2.14	0.0326	0.118	0
ENSG00000290853	89.8	0.848	0.321	2.64	0.00824	0.045	0
ENSG00000067048	3380	0.398	0.188	2.11	0.0347	0.123	0
ENSG00000286009	1.6	-0.546	2.19	-0.25	0.803		2
ENSG00000231535	275	0.629	0.229	2.74	0.00611	0.0365	0
ENSG00000233070	32.9	-0.21	0.47	-0.447	0.655	0.803	0
ENSG00000182484	348	-0.159	0.222	-0.717	0.474	0.672	0
ENSG00000124334	2.29	0.803	1.62	0.496	0.62		0
ENSG00000124333	685	-0.16	0.203	-0.789	0.43	0.635	0
ENSG00000224533	3.23	2.74	1.69	1.62	0.106		2
ENSG00000155961	7.93	0.385	0.901	0.427	0.67		0
ENSG00000203870	23.9	-2.98	0.668	-4.47	7.96e-06	0.000233	0
ENSG00000154620	83.4	-0.0228	0.429	-0.0531	0.958	0.978	0
ENSG00000130830	5290	-1.3	0.181	-7.19	6.32e-13	1.64e-10	0
ENSG00000272681	3.96	0.208	1.25	0.166	0.868		0
ENSG00000269335	248	-0.498	0.255	-1.95	0.0511	0.16	0
ENSG00000160211	753	-0.554	0.235	-2.36	0.0182	0.0796	0
ENSG00000102178	296	-0.269	0.257	-1.05	0.294	0.507	0
ENSG00000130827	971	0.413	0.195	2.12	0.0342	0.122	0
ENSG00000071859	1020	-0.513	0.188	-2.73	0.00624	0.037	0
ENSG00000013563	141	0.107	0.277	0.387	0.698	0.83	0
ENSG00000280195	8.95	0.588	0.872	0.674	0.5		0
ENSG00000169057	440	0.341	0.213	1.6	0.11	0.27	0
ENSG00000177854	31.4	0.555	0.496	1.12	0.262	0.474	0
ENSG00000102032	3.02	0.49	1.44	0.341	0.733		0
ENSG00000089820	21.1	-0.197	0.579	-0.341	0.733	0.852	0
ENSG00000198910	113	-0.155	0.313	-0.495	0.621	0.78	0
ENSG00000067840	1.41	1.22	2.12	0.572	0.567		1
ENSG00000180879	1820	-0.24	0.195	-1.24	0.217	0.42	0
ENSG00000067829	514	-0.397	0.214	-1.86	0.0633	0.186	0
ENSG00000198753	1.93	-0.189	1.77	-0.106	0.915		0
ENSG00000185825	2680	-0.469	0.182	-2.58	0.00975	0.0506	0
ENSG00000130822	96.6	2.3	0.353	6.52	6.96e-11	1.09e-08	0
ENSG00000067842	875	-0.499	0.219	-2.28	0.0225	0.0922	0
ENSG00000214897	1.3	0.502	2.22	0.226	0.821		1
ENSG00000183837	3.52	-1.41	1.46	-0.964	0.335		1
ENSG00000147383	388	-0.284	0.227	-1.25	0.211	0.413	0
ENSG00000147400	342	0.0919	0.228	0.403	0.687	0.823	0
ENSG00000160131	831	0.115	0.21	0.548	0.584	0.756	0
ENSG00000029993	2890	0.159	0.192	0.829	0.407	0.615	0
ENSG00000102181	217	0.15	0.242	0.621	0.535	0.719	0
ENSG00000063601	916	0.281	0.192	1.46	0.143	0.324	0
ENSG00000269556	170	0.00204	0.265	0.0077	0.994	0.997	0
ENSG00000241769	32.9	0.566	0.472	1.2	0.23	0.436	0
ENSG00000287796	2.36	0.67	1.79	0.375	0.708		1
ENSG00000182195	249	0.197	0.271	0.726	0.468	0.668	0
ENSG00000129682	101	-0.0398	0.32	-0.124	0.901	0.947	0
ENSG00000291054	9.46	0.136	0.837	0.163	0.87		0
ENSG00000233093	1.49	-1.93	2.15	-0.899	0.369		1
ENSG00000102243	3310	-0.612	0.19	-3.23	0.00125	0.0116	0
ENSG00000165359	186	0.631	0.298	2.11	0.0345	0.123	0
ENSG00000178947	7.83	0.257	0.914	0.281	0.779		0
ENSG00000173275	155	0.905	0.312	2.9	0.00373	0.0257	0
ENSG00000203950	267	0.325	0.254	1.28	0.2	0.4	0
ENSG00000184785	10.9	-0.129	0.777	-0.166	0.868		0
ENSG00000101928	1070	-0.535	0.239	-2.24	0.0249	0.0988	0
ENSG00000156504	532	0.19	0.203	0.932	0.351	0.564	0
ENSG00000170965	6.51	-1.77	1.05	-1.68	0.092		0
ENSG00000156531	796	0.175	0.194	0.902	0.367	0.579	0
ENSG00000147257	35	0.831	0.5	1.66	0.0963	0.248	0
ENSG00000076770	36400	-0.447	0.192	-2.33	0.02	0.0848	0
ENSG00000134602	1260	0.495	0.185	2.67	0.00755	0.0422	0
ENSG00000213468	636	0.43	0.219	1.97	0.0491	0.156	0
ENSG00000147256	2.65	-0.518	1.63	-0.318	0.75		1
ENSG00000102078	87.3	-0.13	0.324	-0.401	0.688	0.824	0
ENSG00000085185	5000	-0.486	0.205	-2.37	0.0177	0.0781	0
ENSG00000188706	1070	-0.0776	0.187	-0.414	0.679	0.818	0
ENSG00000198354	1.84	0.279	1.77	0.158	0.874		0
ENSG00000009694	10.1	0.214	0.853	0.25	0.802		0
ENSG00000282419	1.52	1.92	2.25	0.854	0.393		2
ENSG00000101966	2330	0.00127	0.197	0.00647	0.995	0.998	0
ENSG00000125676	3140	-0.0543	0.198	-0.274	0.784	0.883	0
ENSG00000125675	1.3	-0.543	2.22	-0.245	0.807		1
ENSG00000171155	286	-0.33	0.239	-1.38	0.167	0.356	0
ENSG00000158290	2190	0.501	0.196	2.55	0.0106	0.0539	0
ENSG00000005893	3280	0.0632	0.177	0.356	0.722	0.845	0
ENSG00000125355	2.14	-0.315	1.83	-0.172	0.863		1
ENSG00000258545	8.57	1.27	0.931	1.36	0.172		0
