gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	634	-0.476	0.149	-3.19	0.00143	0.00652	0
ENSG00000277196	19.4	0.506	0.578	0.876	0.381	0.537	0
ENSG00000278817	32.2	0.79	0.459	1.72	0.0856	0.18	0
ENSG00000198692	169	0.214	0.218	0.983	0.325	0.482	0
ENSG00000229236	8.74	1.71	0.853	2.01	0.0449	0.109	0
ENSG00000260197	10.5	1.39	0.771	1.8	0.0724	0.158	0
ENSG00000290853	75.5	1.09	0.311	3.51	0.000451	0.00243	0
ENSG00000067048	2920	0.405	0.126	3.21	0.00131	0.00602	0
ENSG00000231535	223	1.04	0.2	5.19	2.09e-07	2.89e-06	0
ENSG00000233070	28.4	0.14	0.464	0.302	0.763	0.846	0
ENSG00000182484	364	-0.0915	0.171	-0.536	0.592	0.723	0
ENSG00000124334	2.06	-1.29	1.79	-0.718	0.473		1
ENSG00000124333	548	-0.25	0.151	-1.65	0.0983	0.2	0
ENSG00000224533	2.85	-0.386	1.73	-0.223	0.823		2
ENSG00000155961	8.92	0.676	0.814	0.83	0.406	0.561	0
ENSG00000203870	26.1	-2.88	0.57	-5.06	4.15e-07	5.38e-06	0
ENSG00000154620	55.4	-0.553	0.413	-1.34	0.18	0.315	0
ENSG00000130830	4900	-1.18	0.118	-9.99	1.63e-23	2.9e-21	0
ENSG00000272681	1.88	0.772	1.82	0.423	0.672		1
ENSG00000269335	252	-0.423	0.192	-2.21	0.0273	0.0741	0
ENSG00000160211	691	-0.796	0.148	-5.38	7.6e-08	1.18e-06	0
ENSG00000102178	248	-0.382	0.198	-1.93	0.053	0.124	0
ENSG00000130827	1050	0.35	0.148	2.37	0.018	0.0528	0
ENSG00000071859	1050	-0.411	0.14	-2.93	0.00343	0.0136	0
ENSG00000013563	135	-0.183	0.236	-0.774	0.439	0.591	0
ENSG00000280195	7.32	0.0361	0.902	0.04	0.968	0.981	0
ENSG00000169057	329	0.353	0.183	1.93	0.0537	0.126	0
ENSG00000177854	25.6	0.127	0.489	0.26	0.795	0.869	0
ENSG00000102032	2.9	2.21	1.58	1.39	0.163		1
ENSG00000089820	24.2	0.111	0.504	0.22	0.826	0.89	0
ENSG00000198910	69.9	-0.645	0.341	-1.89	0.0587	0.135	0
ENSG00000067840	2.55	1.72	1.65	1.04	0.297		1
ENSG00000180879	1810	-0.189	0.13	-1.45	0.147	0.271	0
ENSG00000067829	501	-0.555	0.156	-3.56	0.000377	0.00208	0
ENSG00000198753	3.35	-0.482	1.4	-0.344	0.731		1
ENSG00000185825	2570	-0.555	0.12	-4.6	4.15e-06	4.1e-05	0
ENSG00000130822	120	2.31	0.312	7.42	1.21e-13	5.52e-12	0
ENSG00000067842	1060	-0.412	0.137	-3.01	0.00257	0.0106	0
ENSG00000183837	2.18	-0.267	1.64	-0.163	0.871		0
ENSG00000147383	305	-0.29	0.184	-1.58	0.114	0.224	0
ENSG00000147400	237	0.0395	0.215	0.184	0.854	0.909	0
ENSG00000160131	548	-0.0843	0.185	-0.456	0.648	0.766	0
ENSG00000029993	2570	0.172	0.128	1.34	0.179	0.314	0
ENSG00000102181	207	0.0239	0.204	0.117	0.907	0.942	0
ENSG00000063601	735	0.262	0.146	1.8	0.0723	0.158	0
ENSG00000269556	124	0.0726	0.245	0.296	0.767	0.85	0
ENSG00000241769	30	1.05	0.483	2.18	0.0289	0.0775	0
ENSG00000287796	2.82	0.103	1.42	0.0726	0.942		0
ENSG00000182195	195	0.183	0.205	0.891	0.373	0.53	0
ENSG00000129682	44	-0.107	0.405	-0.264	0.792	0.868	0
ENSG00000291054	9.19	1.28	0.867	1.47	0.141	0.262	0
ENSG00000233093	2.2	-2.04	1.87	-1.09	0.275		2
ENSG00000102243	3190	-0.784	0.119	-6.62	3.64e-11	1.13e-09	0
ENSG00000165359	190	0.9	0.25	3.59	0.000325	0.00183	0
ENSG00000178947	8.5	-0.349	0.838	-0.417	0.677	0.787	0
ENSG00000173275	126	1.06	0.247	4.28	1.83e-05	0.000153	0
ENSG00000203950	206	0.167	0.209	0.797	0.425	0.579	0
ENSG00000184785	4.82	-0.119	1.11	-0.108	0.914		0
ENSG00000101928	989	-0.451	0.157	-2.86	0.00422	0.0161	0
ENSG00000156504	394	0.225	0.172	1.31	0.19	0.328	0
ENSG00000170965	6.18	-1.63	1.05	-1.56	0.119	0.23	0
ENSG00000156531	511	0.138	0.166	0.829	0.407	0.562	0
ENSG00000147257	35	0.188	0.422	0.445	0.656	0.771	0
ENSG00000076770	27600	-0.483	0.141	-3.42	0.00062	0.0032	0
ENSG00000134602	811	0.314	0.142	2.21	0.027	0.0734	0
ENSG00000213468	568	0.575	0.173	3.32	0.000885	0.00432	0
ENSG00000147256	2.65	0.633	1.46	0.433	0.665		0
ENSG00000102078	57.8	0.0266	0.341	0.0781	0.938	0.962	0
ENSG00000085185	5430	-0.238	0.14	-1.7	0.089	0.185	0
ENSG00000188706	990	-0.174	0.141	-1.23	0.218	0.364	0
ENSG00000198354	0.972	1.71	2.53	0.674	0.5		2
ENSG00000009694	6.17	1.23	1	1.23	0.218	0.364	0
ENSG00000101966	2090	0.25	0.145	1.73	0.084	0.177	0
ENSG00000125676	2830	0.158	0.131	1.2	0.229	0.378	0
ENSG00000125675	0.635	0.149	2.96	0.0503	0.96		2
ENSG00000171155	193	-0.301	0.233	-1.3	0.195	0.335	0
ENSG00000158290	1820	0.579	0.131	4.42	9.96e-06	8.88e-05	0
ENSG00000005893	2640	0.105	0.12	0.875	0.382	0.538	0
ENSG00000258545	7.2	2.33	0.994	2.34	0.0192	0.0557	0
ENSG00000125352	202	0.432	0.216	2	0.0456	0.111	0
ENSG00000286366	2.98	0.14	1.37	0.103	0.918		0
ENSG00000125354	1440	0.646	0.135	4.77	1.82e-06	1.99e-05	0
ENSG00000018610	447	-0.757	0.162	-4.68	2.87e-06	2.97e-05	0
ENSG00000077721	2340	-1.25	0.122	-10.2	1.38e-24	2.63e-22	0
ENSG00000005022	2910	-1.24	0.121	-10.3	8.02e-25	1.54e-22	0
ENSG00000224281	5.95	-2.11	1.1	-1.91	0.0564	0.131	0
ENSG00000077713	59.8	-1.41	0.342	-4.13	3.56e-05	0.000271	0
ENSG00000175556	61.3	1.03	0.38	2.72	0.00651	0.023	0
