gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	705	-0.0979	0.143	-0.685	0.493	0.612	0
ENSG00000277196	49.1	1.15	0.449	2.56	0.0105	0.0275	0
ENSG00000278817	83	1.72	0.433	3.98	6.93e-05	0.000347	0
ENSG00000198692	226	0.267	0.255	1.05	0.295	0.417	0
ENSG00000229236	14	2.15	0.636	3.39	0.000709	0.0027	0
ENSG00000260197	17.3	1.4	0.505	2.78	0.00538	0.0155	0
ENSG00000290853	130	1.44	0.23	6.25	4.2e-10	6.84e-09	0
ENSG00000067048	2700	0.192	0.16	1.2	0.229	0.344	0
ENSG00000286009	0.875	0.364	2.15	0.169	0.866		2
ENSG00000231535	257	0.79	0.184	4.3	1.69e-05	9.86e-05	0
ENSG00000233070	22.5	0.106	0.419	0.254	0.8	0.863	0
ENSG00000278847	0.854	0.419	2.01	0.209	0.835		1
ENSG00000182484	356	-0.247	0.187	-1.32	0.186	0.293	0
ENSG00000124334	2.32	0.434	1.26	0.343	0.731	0.811	0
ENSG00000124333	571	-0.24	0.166	-1.45	0.147	0.244	0
ENSG00000224533	5.9	1.18	0.952	1.24	0.214	0.326	1
ENSG00000155961	19.4	1.69	0.542	3.11	0.00188	0.0063	0
ENSG00000203870	16.7	-6.6	1.28	-5.14	2.74e-07	2.45e-06	2
ENSG00000154620	68.4	0.125	0.472	0.265	0.791	0.856	0
ENSG00000130830	4190	-1.88	0.215	-8.77	1.72e-18	1.21e-16	0
ENSG00000272681	3.1	-0.473	1.39	-0.34	0.734	0.813	2
ENSG00000269335	245	-0.392	0.195	-2.01	0.0445	0.092	0
ENSG00000160211	747	-0.684	0.179	-3.82	0.000136	0.000633	0
ENSG00000102178	320	-0.164	0.194	-0.845	0.398	0.523	0
ENSG00000130827	967	0.36	0.214	1.68	0.0926	0.168	0
ENSG00000071859	840	-0.873	0.161	-5.43	5.74e-08	5.91e-07	0
ENSG00000013563	134	0.337	0.244	1.38	0.166	0.268	0
ENSG00000280195	10.5	1.12	0.62	1.81	0.07	0.134	0
ENSG00000169057	496	0.815	0.191	4.28	1.91e-05	0.00011	0
ENSG00000177854	32.6	0.572	0.386	1.48	0.138	0.232	0
ENSG00000102032	2.74	0.0321	1.26	0.0255	0.98	0.987	1
ENSG00000089820	24.1	0.342	0.553	0.62	0.535	0.65	0
ENSG00000198910	80.9	-0.851	0.423	-2.01	0.0443	0.0917	0
ENSG00000180879	1510	-0.7	0.191	-3.67	0.000245	0.00106	0
ENSG00000067829	478	-0.592	0.151	-3.92	8.98e-05	0.000439	0
ENSG00000198753	2.31	0.552	1.58	0.349	0.727	0.808	2
ENSG00000185825	2310	-0.686	0.14	-4.88	1.04e-06	8.05e-06	0
ENSG00000130822	172	2.18	0.438	4.98	6.45e-07	5.27e-06	0
ENSG00000067842	721	-1.38	0.226	-6.11	1.01e-09	1.52e-08	0
ENSG00000214897	1.5	-0.99	1.78	-0.555	0.579		2
ENSG00000183837	2.49	-1.98	1.42	-1.39	0.164	0.265	1
ENSG00000147383	339	-0.436	0.233	-1.87	0.0612	0.12	0
ENSG00000147400	306	0.228	0.205	1.12	0.264	0.383	0
ENSG00000160131	709	0.255	0.256	0.995	0.32	0.444	0
ENSG00000029993	5220	0.409	0.23	1.78	0.0748	0.141	0
ENSG00000102181	327	0.509	0.187	2.72	0.00655	0.0183	0
ENSG00000063601	909	0.355	0.138	2.57	0.0101	0.0265	0
ENSG00000269556	172	0.305	0.242	1.26	0.208	0.319	0
ENSG00000241769	43.3	1.57	0.432	3.64	0.000276	0.00118	0
ENSG00000287796	1.65	-0.728	1.55	-0.468	0.64		1
ENSG00000182195	235	0.236	0.215	1.09	0.274	0.394	0
ENSG00000129682	76.9	0.0553	0.404	0.137	0.891	0.928	0
ENSG00000291054	15.5	0.947	0.521	1.82	0.0694	0.133	0
ENSG00000233093	1.5	-1.9	1.84	-1.03	0.301		2
ENSG00000102243	2500	-1.18	0.208	-5.68	1.35e-08	1.59e-07	0
ENSG00000165359	141	0.619	0.275	2.25	0.0243	0.0557	0
ENSG00000178947	7.5	-0.637	0.884	-0.72	0.472	0.592	1
ENSG00000173275	136	0.998	0.264	3.78	0.000155	0.000707	0
ENSG00000169551	1.55	-2.01	1.7	-1.18	0.238		1
ENSG00000203950	262	0.65	0.169	3.86	0.000114	0.000542	0
ENSG00000184785	7.37	0.987	0.741	1.33	0.183	0.289	0
ENSG00000101928	814	-0.964	0.262	-3.68	0.000237	0.00104	0
ENSG00000156504	521	0.468	0.159	2.94	0.00329	0.0102	0
ENSG00000170965	3.1	-1.95	1.26	-1.54	0.122	0.21	1
ENSG00000156531	713	0.463	0.234	1.98	0.0478	0.0976	0
ENSG00000147257	116	2.48	0.507	4.9	9.75e-07	7.64e-06	0
ENSG00000076770	33100	-0.558	0.253	-2.2	0.0277	0.0622	0
ENSG00000134602	1560	0.961	0.175	5.49	4.07e-08	4.32e-07	0
ENSG00000213468	809	0.914	0.175	5.22	1.77e-07	1.65e-06	0
ENSG00000147256	1	-0.0298	2.02	-0.0147	0.988		2
ENSG00000102078	82.2	0.0969	0.275	0.353	0.724	0.807	0
ENSG00000085185	3760	-0.863	0.175	-4.94	7.9e-07	6.33e-06	0
ENSG00000188706	828	-0.522	0.173	-3.02	0.00253	0.00815	0
