gene_ID	GRHL1_CE_baseMean	GRHL1_CE_log2FoldChange	GRHL1_CE_lfcSE	GRHL1_CE_stat	GRHL1_CE_pvalue	GRHL1_CE_padj	GRHL1_CE_n_zeros	GRHL1_KO_baseMean	GRHL1_KO_log2FoldChange	GRHL1_KO_lfcSE	GRHL1_KO_stat	GRHL1_KO_pvalue	GRHL1_KO_padj	GRHL1_KO_n_zeros	GRHL1_PTC_baseMean	GRHL1_PTC_log2FoldChange	GRHL1_PTC_lfcSE	GRHL1_PTC_stat	GRHL1_PTC_pvalue	GRHL1_PTC_padj	GRHL1_PTC_n_zeros
ENSG00000271254	812	-0.706	0.106	-6.64	3.08e-11	2.79e-09	0	812	-0.805	0.1	-8.03	1e-15	2.51e-13	0	812	-0.879	0.102	-8.63	5.98e-18	1.15e-15	0
ENSG00000277196	48.3	1.02	0.409	2.48	0.013	0.0451	0	48.3	1.2	0.38	3.15	0.00163	0.0115	0	48.3	1.07	0.386	2.76	0.0057	0.0175	0
ENSG00000278817	59.8	0.126	0.377	0.335	0.738	0.837	0	59.8	0.65	0.349	1.86	0.0626	0.17	0	59.8	0.168	0.358	0.471	0.638	0.744	0
ENSG00000198692	320	0.445	0.154	2.89	0.00382	0.0177	0	320	0.367	0.145	2.54	0.0112	0.049	0	320	0.28	0.147	1.9	0.0568	0.117	0
ENSG00000229236	5.64	-1.74	0.998	-1.74	0.0821	0.182	0	5.64	-0.298	0.85	-0.351	0.726	0.841	0	5.64	-1.2	0.905	-1.32	0.187	0.299	0
ENSG00000260197	17.5	0.407	0.491	0.829	0.407	0.567	0	17.5	0.103	0.467	0.22	0.826	0.903	0	17.5	0.802	0.458	1.75	0.08	0.154	0
ENSG00000290853	96.6	0.227	0.278	0.819	0.413	0.571	0	96.6	-0.162	0.266	-0.608	0.543	0.708	0	96.6	0.728	0.26	2.8	0.00514	0.0161	0
ENSG00000067048	2940	-0.095	0.103	-0.919	0.358	0.521	0	2940	-0.144	0.0966	-1.5	0.135	0.288	0	2940	-0.0686	0.0978	-0.701	0.483	0.613	0
ENSG00000286009	1.48	2.4	1.57	1.53	0.125		8	1.48	1.97	1.49	1.32	0.187		9	1.48	1.77	1.52	1.16	0.246	0.37	8
ENSG00000290323	0.883	0.753	2.13	0.353	0.724		8	0.883	0.183	2.05	0.0893	0.929		10	0.883	0.0603	2.08	0.029	0.977		9
ENSG00000277930	0.404	2.32	4.61	0.503	0.615		12	0.404	-0.397	4.39	-0.0905	0.928		14	0.404	1.83	4.39	0.418	0.676		12
ENSG00000176679	0.506	1.09	3.14	0.347	0.728		10	0.506	1.04	2.92	0.357	0.721		9	0.506	0.179	3.02	0.0592	0.953		10
ENSG00000231535	236	0.608	0.21	2.89	0.00388	0.0179	0	236	-0.0538	0.2	-0.269	0.788	0.88	0	236	0.409	0.2	2.05	0.0408	0.0898	0
ENSG00000233070	26.3	-1.54	0.393	-3.91	9.05e-05	0.000925	0	26.3	-1.53	0.377	-4.07	4.78e-05	0.000704	0	26.3	-1.36	0.373	-3.65	0.000265	0.00128	0
ENSG00000278847	1.29	2.98	1.93	1.54	0.123		4	1.29	-0.0609	2.11	-0.0288	0.977		6	1.29	1.83	1.91	0.953	0.34	0.473	4
ENSG00000182484	357	-0.0459	0.123	-0.374	0.708	0.817	0	357	-0.178	0.116	-1.53	0.125	0.273	0	357	-0.0821	0.117	-0.702	0.483	0.613	0
ENSG00000124334	2.58	-0.691	1.08	-0.64	0.522	0.671	1	2.58	-1.06	1.05	-1.01	0.314	0.505	2	2.58	-0.305	0.996	-0.306	0.759	0.834	1
ENSG00000124333	754	-0.116	0.0871	-1.34	0.182	0.322	0	754	-0.101	0.0819	-1.23	0.217	0.396	0	754	-0.0966	0.0828	-1.17	0.243	0.367	0
ENSG00000224533	3.27	0.237	2.35	0.101	0.92	0.955	8	3.27	-0.845	2.31	-0.365	0.715	0.835	8	3.27	0.666	2.19	0.303	0.762	0.836	8
ENSG00000155961	14.6	0.343	0.513	0.668	0.504	0.656	0	14.6	-0.264	0.517	-0.512	0.609	0.76	0	14.6	0.756	0.484	1.56	0.118	0.209	0
ENSG00000203870	22.3	-1.47	0.521	-2.82	0.00478	0.021	0	22.3	-0.905	0.476	-1.9	0.0572	0.16	0	22.3	-1.37	0.495	-2.78	0.0055	0.017	0
