gene_ID	PrS_hyp_EPAS1_CE_baseMean	PrS_hyp_EPAS1_CE_log2FoldChange	PrS_hyp_EPAS1_CE_lfcSE	PrS_hyp_EPAS1_CE_stat	PrS_hyp_EPAS1_CE_pvalue	PrS_hyp_EPAS1_CE_padj	PrS_hyp_EPAS1_KO_baseMean	PrS_hyp_EPAS1_KO_log2FoldChange	PrS_hyp_EPAS1_KO_lfcSE	PrS_hyp_EPAS1_KO_stat	PrS_hyp_EPAS1_KO_pvalue	PrS_hyp_EPAS1_KO_padj	PrS_hyp_EPAS1_PTC_baseMean	PrS_hyp_EPAS1_PTC_log2FoldChange	PrS_hyp_EPAS1_PTC_lfcSE	PrS_hyp_EPAS1_PTC_stat	PrS_hyp_EPAS1_PTC_pvalue	PrS_hyp_EPAS1_PTC_padj
ENSG00000271254	580	-0.363	0.118	-3.07	0.00213	0.0115	580	-0.394	0.118	-3.33	0.000881	0.00902	580	-0.222	0.126	-1.76	0.0791	0.249
ENSG00000277196	33.9	-1.5	0.619	-2.42	0.0155	0.0536	33.9	-1.97	0.631	-3.12	0.00181	0.016	33.9	-1.76	0.666	-2.65	0.00807	0.0497
ENSG00000278817	65.6	-1.26	0.397	-3.18	0.00149	0.00869	65.6	-1.82	0.404	-4.5	6.85e-06	0.000156	65.6	-1.38	0.429	-3.21	0.00134	0.0123
ENSG00000276017	0.0698	0	4.41	0	1		0.0698	0.921	4.44	0.208	0.836		0.0698	0	4.71	0	1	
ENSG00000198692	223	-0.269	0.226	-1.19	0.234	0.393	223	-0.0483	0.225	-0.214	0.83	0.931	223	-0.297	0.242	-1.23	0.22	0.461
ENSG00000229236	14.3	-1.78	0.512	-3.47	0.000526	0.00373	14.3	-0.891	0.46	-1.94	0.0529	0.195	14.3	-0.479	0.501	-0.956	0.339	0.591
ENSG00000260197	20.2	-0.858	0.379	-2.26	0.0236	0.0735	20.2	-0.066	0.349	-0.189	0.85	0.94	20.2	-0.491	0.404	-1.21	0.224	0.468
ENSG00000290853	122	-1.33	0.305	-4.34	1.41e-05	0.000179	122	-0.905	0.302	-3	0.00268	0.0219	122	-0.618	0.323	-1.92	0.0553	0.197
ENSG00000067048	3550	0.467	0.203	2.3	0.0212	0.0677	3550	0.329	0.204	1.61	0.106	0.308	3550	0.133	0.216	0.614	0.539	0.75
ENSG00000286009	1.12	0.0325	1.68	0.0194	0.985		1.12	0.514	1.61	0.318	0.75		1.12	0.248	1.79	0.139	0.89	
ENSG00000290323	0.154	0.976	4.41	0.221	0.825		0.154	0.927	4.44	0.209	0.835		0.154	0	4.71	0	1	
ENSG00000277930	0.351	-1.55	3.76	-0.412	0.68		0.351	-2.36	3.79	-0.624	0.533		0.351	-2.91	4.01	-0.724	0.469	
ENSG00000176679	0.198	0	4.41	0	1		0.198	2.1	4.38	0.48	0.631		0.198	0	4.71	0	1	
ENSG00000231535	297	-0.515	0.206	-2.5	0.0125	0.0456	297	-0.109	0.205	-0.529	0.597	0.804	297	-0.00306	0.219	-0.014	0.989	0.996
ENSG00000233070	27.5	0.136	0.356	0.381	0.703	0.813	27.5	0.251	0.353	0.711	0.477	0.717	27.5	0.429	0.378	1.14	0.256	0.507
ENSG00000278847	1	-0.0994	1.69	-0.059	0.953		1	-1.04	1.76	-0.589	0.556		1	1.14	1.77	0.643	0.52	
ENSG00000182484	348	0.218	0.176	1.24	0.214	0.369	348	-0.0961	0.178	-0.541	0.588	0.797	348	0.166	0.188	0.881	0.378	0.626
ENSG00000124334	2.13	-0.526	1.16	-0.455	0.649		2.13	-0.1	1.09	-0.092	0.927		2.13	-0.494	1.31	-0.378	0.705	
ENSG00000124333	562	0.13	0.157	0.831	0.406	0.573	562	0.188	0.158	1.19	0.234	0.494	562	-0.0558	0.168	-0.331	0.74	0.873
ENSG00000224533	4.63	-1.98	1.16	-1.7	0.0891	0.198	4.63	-1.14	1.09	-1.05	0.295	0.56	4.63	-1.66	1.26	-1.31	0.189	0.425
ENSG00000155961	15.5	-1.36	0.424	-3.21	0.00132	0.00786	15.5	-1.81	0.447	-4.06	4.98e-05	0.000869	15.5	-1.49	0.466	-3.2	0.00136	0.0124
ENSG00000274183	0.284	-0.19	4.39	-0.0433	0.965		0.284	0.123	4.43	0.0277	0.978		0.284	-1.76	4.7	-0.375	0.708	
