DE_group	knockout_gene_strategy	n_ko	n_WT
ExM_day_6_20231004_23-robson-011	MEIS1_CE	3	6
ExM_day_6_20231004_23-robson-011	MEIS1_KO	3	6
ExM_day_6_20231004_23-robson-011	MEIS1_PTC	3	6
ExM_day_6_20231004_23-robson-011	MEIS2_CE	3	6
ExM_day_6_20231004_23-robson-011	MEIS2_KO	1	6
ExM_day_6_20231004_23-robson-011	MEIS2_PTC	3	6
ExM_day_6_20231124_23-robson-013	MEF2C_CE	3	3
ExM_day_6_20231124_23-robson-013	MEF2C_KO	3	3
ExM_day_6_20231124_23-robson-013	MEF2C_PTC	3	3
PrS_day_6	BHLHE40_CE	3	12
PrS_day_6	BHLHE40_KO	3	12
PrS_day_6	BHLHE40_PTC	3	12
PrS_day_6	MXD1_CE	3	12
PrS_day_6	MXD1_KO	3	12
PrS_day_6	MXD1_PTC	3	12
PrS_day_6	NCOA3_CE	3	12
PrS_day_6	NCOA3_KO	3	12
PrS_day_6	NCOA3_PTC	3	12
PrS_day_6	RUNX1_CE	3	12
PrS_day_6	RUNX1_KO	3	12
PrS_day_6	RUNX1_PTC	3	12
