gene_ID	MEF2C_CE_baseMean	MEF2C_CE_log2FoldChange	MEF2C_CE_lfcSE	MEF2C_CE_stat	MEF2C_CE_pvalue	MEF2C_CE_padj	MEF2C_CE_n_zeros	MEF2C_KO_baseMean	MEF2C_KO_log2FoldChange	MEF2C_KO_lfcSE	MEF2C_KO_stat	MEF2C_KO_pvalue	MEF2C_KO_padj	MEF2C_KO_n_zeros	MEF2C_PTC_baseMean	MEF2C_PTC_log2FoldChange	MEF2C_PTC_lfcSE	MEF2C_PTC_stat	MEF2C_PTC_pvalue	MEF2C_PTC_padj	MEF2C_PTC_n_zeros
ENSG00000271254	788	0.203	0.147	1.38	0.168	0.637	0	788	0.00761	0.147	0.0517	0.959	1	0	788	0.062	0.147	0.422	0.673	1	0
ENSG00000277196	55.3	0.1	0.333	0.301	0.763	0.93	0	55.3	0.251	0.328	0.766	0.444	1	0	55.3	0.474	0.324	1.47	0.143	1	0
ENSG00000278817	66.5	0.0488	0.31	0.158	0.875	0.969	0	66.5	0.396	0.303	1.31	0.191	1	0	66.5	0.375	0.302	1.24	0.215	1	0
ENSG00000198692	246	0.0974	0.184	0.529	0.597	0.874	0	246	0.254	0.182	1.4	0.162	1	0	246	0.0762	0.182	0.418	0.676	1	0
ENSG00000229236	10.6	-1.39	0.721	-1.93	0.0535	0.589	0	10.6	-0.657	0.677	-0.971	0.332	1	0	10.6	-0.683	0.674	-1.01	0.311	1	0
ENSG00000260197	31.4	-0.517	0.395	-1.31	0.191	0.65	0	31.4	-0.437	0.388	-1.13	0.261	1	0	31.4	-0.661	0.391	-1.69	0.0905	1	0
ENSG00000290853	111	-0.308	0.333	-0.926	0.354	0.746	0	111	-0.558	0.333	-1.68	0.0935	1	0	111	-0.47	0.332	-1.42	0.156	1	0
ENSG00000067048	3110	0.0912	0.127	0.718	0.473	0.811	0	3110	-0.0203	0.127	-0.16	0.873	1	0	3110	-0.0624	0.127	-0.491	0.623	1	0
ENSG00000286009	3.03	1	1.08	0.927	0.354	0.746	2	3.03	0.35	1.11	0.315	0.753	1	1	3.03	0.643	1.08	0.594	0.553	1	1
ENSG00000290323	3.92	-0.768	0.953	-0.806	0.42	0.783	0	3.92	-0.365	0.898	-0.407	0.684	1	0	3.92	-0.0101	0.87	-0.0116	0.991	1	0
ENSG00000231535	376	-0.355	0.227	-1.57	0.117	0.607	0	376	-0.457	0.226	-2.02	0.0434	1	0	376	-0.315	0.226	-1.4	0.163	1	0
ENSG00000233070	28	0.254	0.433	0.586	0.558	0.857	0	28	-0.219	0.438	-0.5	0.617	1	0	28	0.0363	0.431	0.0842	0.933	1	0
ENSG00000278847	1.06	-0.532	2.14	-0.249	0.804	0.94	3	1.06	0.842	1.96	0.429	0.668	1	2	1.06	-0.682	2.11	-0.323	0.747	1	3
ENSG00000182484	465	-0.0648	0.127	-0.512	0.609	0.879	0	465	-0.122	0.126	-0.967	0.333	1	0	465	-0.13	0.126	-1.03	0.301	1	0
ENSG00000124334	3.81	1	0.956	1.05	0.295	0.714	0	3.81	0.851	0.951	0.895	0.371	1	0	3.81	1.23	0.925	1.33	0.184	1	0
ENSG00000124333	1380	-0.0324	0.179	-0.181	0.856	0.96	0	1380	0.154	0.178	0.863	0.388	1	0	1380	0.186	0.178	1.04	0.297	1	0
ENSG00000224533	8.15	-1.62	1.01	-1.59	0.111	0.605	2	8.15	0.0915	0.928	0.0986	0.921	1	0	8.15	-0.463	0.94	-0.493	0.622	1	0
ENSG00000155961	37.1	-0.49	0.513	-0.955	0.34	0.738	0	37.1	-0.0271	0.502	-0.0539	0.957	1	0	37.1	0.212	0.498	0.426	0.67	1	0
ENSG00000274183	0.61	-2.26	3.05	-0.742	0.458	0.803	5	0.61	-0.102	2.94	-0.0346	0.972	1	3	0.61	-0.824	3	-0.274	0.784	1	4
ENSG00000203870	15	1.19	0.949	1.25	0.21	0.661	0	15	-0.0646	0.966	-0.0669	0.947	1	0	15	0.032	0.961	0.0333	0.973	1	0
ENSG00000154620	70	-0.175	0.834	-0.209	0.834	0.951	0	70	-1.08	0.837	-1.29	0.196	1	0	70	-0.871	0.835	-1.04	0.297	1	0
ENSG00000130830	2680	0.922	0.582	1.58	0.114	0.605	0	2680	-0.0625	0.583	-0.107	0.915	1	0	2680	0.02	0.582	0.0344	0.973	1	0
ENSG00000272681	2.67	-2.68	2.47	-1.08	0.279	0.704	5	2.67	1.56	2.21	0.705	0.481	1	3	2.67	2.06	2.2	0.935	0.35	1	3
ENSG00000184033	0.597	0.0211	2.88	0.00732	0.994	0.999	3	0.597	-2.55	2.99	-0.854	0.393	1	4	0.597	-1.69	2.99	-0.565	0.572	1	3
ENSG00000269335	303	0.178	0.127	1.41	0.16	0.63	0	303	0.0877	0.126	0.697	0.486	1	0	303	0.0898	0.125	0.717	0.473	1	0
ENSG00000160211	1110	0.12	0.138	0.869	0.385	0.765	0	1110	0.242	0.137	1.76	0.0776	1	0	1110	0.0884	0.137	0.645	0.519	1	0
ENSG00000102178	496	-0.0135	0.118	-0.114	0.909	0.983	0	496	0.0878	0.117	0.753	0.452	1	0	496	0.0986	0.116	0.849	0.396	1	0
ENSG00000130827	1710	-0.355	0.258	-1.37	0.169	0.637	0	1710	0.0899	0.258	0.349	0.727	1	0	1710	-0.00167	0.258	-0.00647	0.995	1	0
ENSG00000071859	1130	0.302	0.167	1.81	0.0702	0.589	0	1130	0.0536	0.167	0.321	0.748	1	0	1130	0.128	0.167	0.769	0.442	1	0
ENSG00000013563	274	-0.0173	0.125	-0.138	0.89	0.976	0	274	-0.0803	0.124	-0.648	0.517	1	0	274	-0.0749	0.123	-0.608	0.543	1	0
ENSG00000280195	11.3	0.295	0.559	0.527	0.598	0.874	0	11.3	0.0777	0.559	0.139	0.889	1	0	11.3	0.404	0.544	0.743	0.458	1	0
ENSG00000169057	1110	-0.227	0.203	-1.12	0.262	0.697	0	1110	0.15	0.202	0.743	0.458	1	0	1110	0.139	0.202	0.69	0.49	1	0
ENSG00000177854	36.8	0.192	0.299	0.641	0.521	0.837	0	36.8	0.0861	0.296	0.291	0.771	1	0	36.8	0.0922	0.294	0.314	0.754	1	0
ENSG00000102032	12.1	-0.154	0.504	-0.306	0.76	0.929	0	12.1	0.17	0.479	0.355	0.723	1	0	12.1	0.379	0.468	0.809	0.418	1	0
ENSG00000089820	22.2	-0.0576	0.359	-0.161	0.872	0.968	0	22.2	0.0583	0.348	0.167	0.867	1	0	22.2	-0.29	0.355	-0.817	0.414	1	0
ENSG00000198910	2040	-0.732	0.599	-1.22	0.222	0.669	0	2040	0.347	0.599	0.58	0.562	1	0	2040	0.0718	0.599	0.12	0.905	1	0
ENSG00000067840	20.6	-0.458	0.646	-0.71	0.478	0.814	0	20.6	-0.297	0.637	-0.466	0.641	1	0	20.6	0.228	0.626	0.364	0.716	1	0
ENSG00000180879	1290	0.328	0.227	1.44	0.149	0.627	0	1290	0.0768	0.227	0.338	0.735	1	0	1290	0.0883	0.227	0.389	0.697	1	0
ENSG00000067829	560	0.375	0.193	1.94	0.0521	0.589	0	560	0.101	0.193	0.524	0.6	1	0	560	0.0807	0.193	0.418	0.676	1	0
ENSG00000198753	10.2	0.316	0.771	0.409	0.682	0.907	0	10.2	0.46	0.759	0.606	0.544	1	0	10.2	0.684	0.75	0.911	0.362	1	0
ENSG00000185825	2370	0.511	0.25	2.05	0.0406	0.589	0	2370	-0.00924	0.25	-0.037	0.97	1	0	2370	-0.033	0.25	-0.132	0.895	1	0
ENSG00000130822	17.3	1.03	0.439	2.35	0.019	0.589	0	17.3	0.168	0.457	0.368	0.713	1	0	17.3	0.0952	0.456	0.209	0.835	1	0
ENSG00000067842	311	0.858	0.686	1.25	0.211	0.662	0	311	-0.469	0.687	-0.682	0.495	1	0	311	-0.27	0.686	-0.393	0.694	1	0
ENSG00000183837	5.53	-0.954	0.876	-1.09	0.276	0.703	1	5.53	-0.649	0.839	-0.773	0.44	1	0	5.53	-0.231	0.813	-0.283	0.777	1	0
ENSG00000147383	460	0.122	0.131	0.93	0.353	0.746	0	460	0.16	0.13	1.24	0.217	1	0	460	0.0307	0.13	0.236	0.813	1	0
ENSG00000147400	439	0.103	0.148	0.693	0.489	0.82	0	439	0.228	0.147	1.55	0.12	1	0	439	0.131	0.147	0.892	0.373	1	0
ENSG00000160131	1210	0.0512	0.187	0.274	0.784	0.937	0	1210	0.152	0.187	0.815	0.415	1	0	1210	0.0528	0.187	0.283	0.777	1	0
