gene_ID	BHLHE40_CE_baseMean	BHLHE40_CE_log2FoldChange	BHLHE40_CE_lfcSE	BHLHE40_CE_stat	BHLHE40_CE_pvalue	BHLHE40_CE_padj	BHLHE40_CE_n_zeros	BHLHE40_KO_baseMean	BHLHE40_KO_log2FoldChange	BHLHE40_KO_lfcSE	BHLHE40_KO_stat	BHLHE40_KO_pvalue	BHLHE40_KO_padj	BHLHE40_KO_n_zeros	BHLHE40_PTC_baseMean	BHLHE40_PTC_log2FoldChange	BHLHE40_PTC_lfcSE	BHLHE40_PTC_stat	BHLHE40_PTC_pvalue	BHLHE40_PTC_padj	BHLHE40_PTC_n_zeros
ENSG00000271254	939	-0.424	0.0893	-4.75	2.05e-06	0.000145	0	939	-0.425	0.0882	-4.82	1.46e-06	0.000118	0	939	-0.422	0.0891	-4.73	2.24e-06	0.000134	0
ENSG00000276345	1.07	13.1	3.46	3.79	0.000153		12	1.07	10.9	3.55	3.09	0.00203		13	1.07	12.6	3.47	3.64	0.000276		11
ENSG00000277196	36.1	0.231	0.337	0.684	0.494	0.878	0	36.1	0.539	0.329	1.63	0.102	0.479	0	36.1	0.225	0.337	0.669	0.503	0.738	0
ENSG00000278817	46.7	0.478	0.357	1.34	0.18	0.643	0	46.7	0.452	0.353	1.28	0.201	0.632	0	46.7	0.123	0.36	0.342	0.732	0.876	0
ENSG00000198692	293	-0.0308	0.147	-0.21	0.834	0.972	0	293	0.0449	0.145	0.31	0.757	0.942	0	293	0.12	0.146	0.818	0.413	0.673	0
ENSG00000229236	4.24	0.924	0.739	1.25	0.211		0	4.24	-1.82	1.06	-1.72	0.0853		1	4.24	-0.146	0.815	-0.179	0.858		0
ENSG00000260197	12.8	-0.209	0.556	-0.376	0.707	0.94	0	12.8	-0.363	0.555	-0.653	0.514	0.859	0	12.8	-0.444	0.567	-0.783	0.433	0.688	0
ENSG00000290853	69.7	-0.0942	0.211	-0.446	0.656	0.927	0	69.7	-0.0243	0.206	-0.118	0.906	0.98	0	69.7	0.182	0.207	0.878	0.38	0.645	0
ENSG00000067048	2690	-0.11	0.0857	-1.28	0.199	0.667	0	2690	-0.07	0.085	-0.823	0.41	0.807	0	2690	-0.0863	0.0856	-1.01	0.314	0.586	0
ENSG00000286009	0.749	-0.453	1.74	-0.26	0.795		7	0.749	-0.195	1.67	-0.117	0.907		6	0.749	-0.521	1.74	-0.299	0.765		7
ENSG00000290323	1	0.48	1.22	0.393	0.694		4	1	-0.915	1.3	-0.704	0.481		4	1	-1.1	1.38	-0.798	0.425		5
ENSG00000176679	0.602	-0.472	2.05	-0.23	0.818		4	0.602	-0.978	2.11	-0.464	0.643		5	0.602	-0.427	2.04	-0.209	0.834		4
ENSG00000231535	227	0.109	0.248	0.44	0.66	0.927	0	227	0.0424	0.246	0.172	0.863	0.969	0	227	0.347	0.247	1.41	0.159	0.417	0
ENSG00000233070	32.2	0.181	0.346	0.523	0.601	0.914	0	32.2	-0.647	0.366	-1.77	0.0772	0.421	0	32.2	-0.0481	0.352	-0.137	0.891	0.954	0
ENSG00000278847	1.21	1.43	1.72	0.831	0.406		5	1.21	-0.00187	1.9	-0.000984	0.999		6	1.21	1.45	1.72	0.841	0.4		4
ENSG00000182484	417	0.0374	0.149	0.252	0.801	0.965	0	417	-0.0406	0.148	-0.275	0.783	0.951	0	417	-0.125	0.149	-0.835	0.404	0.665	0
