gene_ID	MXD1_CE_baseMean	MXD1_CE_log2FoldChange	MXD1_CE_lfcSE	MXD1_CE_stat	MXD1_CE_pvalue	MXD1_CE_padj	MXD1_CE_n_zeros	MXD1_KO_baseMean	MXD1_KO_log2FoldChange	MXD1_KO_lfcSE	MXD1_KO_stat	MXD1_KO_pvalue	MXD1_KO_padj	MXD1_KO_n_zeros	MXD1_PTC_baseMean	MXD1_PTC_log2FoldChange	MXD1_PTC_lfcSE	MXD1_PTC_stat	MXD1_PTC_pvalue	MXD1_PTC_padj	MXD1_PTC_n_zeros
ENSG00000271254	939	-0.267	0.0919	-2.9	0.0037	0.0769	0	939	-0.144	0.0909	-1.58	0.113	0.309	0	939	-0.225	0.0913	-2.46	0.0139	0.228	0
ENSG00000276345	1.07	-16.2	3.48	-4.66	3.23e-06		14	1.07	-16.7	3.47	-4.81	1.49e-06		14	1.07	-16.9	3.48	-4.85	1.26e-06		14
ENSG00000277196	36.1	-0.446	0.376	-1.19	0.236	0.575	0	36.1	-0.0698	0.363	-0.192	0.847	0.933	0	36.1	-0.0519	0.363	-0.143	0.886	0.976	0
ENSG00000278817	46.7	0.756	0.386	1.96	0.0501	0.288	0	46.7	0.884	0.382	2.31	0.0208	0.105	0	46.7	0.981	0.382	2.57	0.0102	0.195	0
ENSG00000198692	293	-0.122	0.159	-0.765	0.444	0.74	0	293	-0.00221	0.157	-0.0141	0.989	0.995	0	293	0.0668	0.157	0.427	0.67	0.921	0
ENSG00000229236	4.24	0.0586	0.747	0.0785	0.937		0	4.24	0.185	0.731	0.254	0.8		0	4.24	0.132	0.735	0.18	0.857		0
ENSG00000260197	12.8	-0.131	0.519	-0.252	0.801		0	12.8	0.18	0.504	0.358	0.721		0	12.8	0.842	0.49	1.72	0.0854	0.511	0
ENSG00000290853	69.7	0.323	0.217	1.49	0.137	0.457	0	69.7	0.158	0.217	0.732	0.464	0.696	0	69.7	-0.423	0.226	-1.87	0.0608	0.447	0
ENSG00000067048	2690	-0.0924	0.0863	-1.07	0.284	0.618	0	2690	-0.224	0.0861	-2.6	0.0094	0.0629	0	2690	-0.0521	0.0862	-0.604	0.546	0.883	0
ENSG00000286009	0.749	0.112	2.16	0.0517	0.959		9	0.749	2.48	1.98	1.25	0.211		7	0.749	1.66	2.09	0.792	0.428		8
ENSG00000290323	1	0.21	1.89	0.111	0.912		6	1	-0.187	1.9	-0.0987	0.921		6	1	1.89	1.67	1.13	0.258		5
ENSG00000176679	0.602	-1.89	2.31	-0.818	0.413		6	0.602	-0.893	2.31	-0.387	0.699		5	0.602	-1.83	2.32	-0.79	0.429		6
ENSG00000231535	227	0.458	0.246	1.86	0.0629	0.32	0	227	-0.0851	0.247	-0.344	0.731	0.868	0	227	0.11	0.247	0.446	0.656	0.916	0
ENSG00000233070	32.2	0.0815	0.353	0.231	0.817	0.937	0	32.2	-0.371	0.362	-1.02	0.306	0.555	0	32.2	-0.191	0.356	-0.538	0.591	0.895	0
ENSG00000278847	1.21	1.01	1.55	0.65	0.515		5	1.21	-0.88	1.81	-0.485	0.627		6	1.21	0.609	1.62	0.377	0.706		5
ENSG00000182484	417	-0.0746	0.146	-0.512	0.609	0.838	0	417	0.459	0.143	3.21	0.00134	0.0172	0	417	-0.0197	0.145	-0.135	0.892	0.977	0
ENSG00000124334	3.33	0.315	0.983	0.32	0.749		3	3.33	-0.34	1.03	-0.331	0.74		2	3.33	0.348	0.979	0.355	0.722		2
ENSG00000124333	763	-0.0927	0.107	-0.864	0.387	0.702	0	763	-0.335	0.108	-3.11	0.00185	0.0216	0	763	0.0633	0.106	0.596	0.551	0.885	0
ENSG00000224533	2.28	-0.37	1.67	-0.222	0.824		5	2.28	0.676	1.59	0.425	0.671		6	2.28	-0.192	1.64	-0.117	0.907		5
ENSG00000155961	10.1	0.392	0.571	0.687	0.492		0	10.1	-0.375	0.614	-0.61	0.542		0	10.1	-0.759	0.645	-1.18	0.24		0
ENSG00000203870	34.6	-0.305	0.416	-0.733	0.464	0.755	0	34.6	-0.292	0.411	-0.709	0.478	0.707	0	34.6	0.106	0.4	0.265	0.791	0.954	0
ENSG00000154620	102	0.442	1.03	0.43	0.667	0.865	0	102	-0.497	1.03	-0.484	0.629	0.81	0	102	-0.651	1.03	-0.631	0.528	0.873	0
ENSG00000130830	7620	-0.291	0.109	-2.66	0.00771	0.113	0	7620	-0.319	0.109	-2.92	0.00345	0.0324	0	7620	-0.0878	0.109	-0.803	0.422	0.833	0
ENSG00000272681	2.42	-0.316	1.04	-0.303	0.762		3	2.42	-2.45	1.38	-1.77	0.076		4	2.42	-0.59	1.08	-0.547	0.584		3
ENSG00000184033	0.345	-1.01	3.88	-0.261	0.794		10	0.345	-0.935	3.88	-0.241	0.809		10	0.345	0.0697	3.89	0.0179	0.986		9
ENSG00000269335	359	-0.18	0.117	-1.54	0.123	0.437	0	359	0.229	0.113	2.02	0.0434	0.17	0	359	-0.146	0.116	-1.26	0.207	0.687	0
ENSG00000160211	1140	-0.146	0.12	-1.22	0.223	0.56	0	1140	0.0262	0.119	0.22	0.826	0.921	0	1140	-0.117	0.12	-0.974	0.33	0.78	0
ENSG00000102178	404	0.026	0.116	0.224	0.822	0.939	0	404	0.246	0.113	2.17	0.0297	0.133	0	404	0.159	0.114	1.4	0.161	0.625	0
ENSG00000130827	873	-0.109	0.13	-0.836	0.403	0.714	0	873	0.178	0.13	1.37	0.17	0.391	0	873	-0.147	0.131	-1.12	0.261	0.735	0
ENSG00000071859	1250	-0.179	0.106	-1.7	0.0891	0.378	0	1250	0.151	0.104	1.44	0.149	0.362	0	1250	-0.155	0.105	-1.47	0.141	0.6	0
ENSG00000013563	159	-0.346	0.179	-1.93	0.0539	0.297	0	159	-0.292	0.177	-1.65	0.0998	0.286	0	159	-0.342	0.178	-1.92	0.0546	0.434	0
ENSG00000280195	10.4	-0.0771	0.576	-0.134	0.894		0	10.4	0.398	0.551	0.722	0.47		0	10.4	0.272	0.556	0.489	0.625		0
ENSG00000169057	456	-0.0984	0.103	-0.952	0.341	0.666	0	456	0.0993	0.101	0.98	0.327	0.576	0	456	-0.0982	0.102	-0.958	0.338	0.784	0
ENSG00000177854	29.9	-0.558	0.359	-1.56	0.12	0.43	0	29.9	0.329	0.331	0.993	0.321	0.57	0	29.9	0.725	0.324	2.24	0.0254	0.311	0
ENSG00000102032	2.47	0.0775	1.31	0.0593	0.953		5	2.47	1.29	1.18	1.09	0.274		5	2.47	0.223	1.28	0.175	0.861		7
ENSG00000089820	22.6	-0.247	0.384	-0.642	0.521	0.791	0	22.6	0.316	0.366	0.862	0.389	0.633	0	22.6	-0.269	0.381	-0.708	0.479	0.858	0
ENSG00000198910	114	0.7	0.444	1.58	0.115	0.423	0	114	0.24	0.444	0.54	0.589	0.788	0	114	0.232	0.446	0.521	0.603	0.897	0
ENSG00000067840	1.39	0.382	1.75	0.219	0.827		6	1.39	1.18	1.64	0.722	0.47		5	1.39	-0.2	1.75	-0.114	0.909		5
ENSG00000180879	1960	-0.285	0.121	-2.35	0.0186	0.175	0	1960	-0.0997	0.121	-0.826	0.409	0.649	0	1960	-0.146	0.121	-1.2	0.229	0.71	0
ENSG00000067829	686	-0.0698	0.0887	-0.787	0.431	0.731	0	686	0.0525	0.0873	0.601	0.548	0.76	0	686	0.00318	0.0876	0.0363	0.971	0.996	0
ENSG00000198753	4.11	-0.329	0.884	-0.373	0.709		2	4.11	0.267	0.857	0.312	0.755		1	4.11	-0.477	0.898	-0.532	0.595		1
ENSG00000185825	3450	-0.227	0.0955	-2.37	0.0177	0.171	0	3450	0.0635	0.095	0.668	0.504	0.727	0	3450	-0.0761	0.0954	-0.798	0.425	0.833	0
ENSG00000130822	88.9	-0.447	0.509	-0.877	0.38	0.697	0	88.9	-0.0588	0.506	-0.116	0.908	0.959	0	88.9	-0.482	0.511	-0.944	0.345	0.791	0
ENSG00000067842	1030	-0.387	0.203	-1.91	0.0561	0.304	0	1030	-0.126	0.202	-0.623	0.533	0.747	0	1030	-0.463	0.203	-2.28	0.0224	0.29	0
ENSG00000214897	1.13	2.71	1.83	1.48	0.139		7	1.13	2.7	1.83	1.47	0.14		8	1.13	1.89	1.89	0.997	0.319		8
ENSG00000183837	2.76	1.64	1.16	1.41	0.158		0	2.76	0.736	1.25	0.59	0.555		1	2.76	1.51	1.18	1.27	0.202		1
ENSG00000147383	492	-0.0536	0.17	-0.316	0.752	0.909	0	492	-0.147	0.169	-0.872	0.383	0.627	0	492	-0.0455	0.169	-0.269	0.788	0.953	0
ENSG00000147400	344	0.0136	0.111	0.122	0.903	0.967	0	344	0.00259	0.11	0.0235	0.981	0.992	0	344	0.0455	0.11	0.415	0.678	0.924	0
ENSG00000160131	893	-0.0157	0.157	-0.0998	0.921	0.973	0	893	-0.346	0.157	-2.2	0.0279	0.128	0	893	0.0408	0.157	0.26	0.795	0.955	0
ENSG00000029993	5000	-0.502	0.217	-2.32	0.0204	0.183	0	5000	-0.142	0.216	-0.655	0.513	0.733	0	5000	-0.336	0.217	-1.55	0.121	0.576	0
ENSG00000102181	324	-0.275	0.152	-1.82	0.0694	0.334	0	324	0.0841	0.149	0.564	0.573	0.778	0	324	-0.289	0.151	-1.91	0.0564	0.439	0
ENSG00000063601	968	0.0221	0.0717	0.309	0.757	0.911	0	968	0.0408	0.0709	0.576	0.565	0.772	0	968	0.0232	0.0709	0.327	0.744	0.942	0
ENSG00000013619	0.915	1.61	1.89	0.852	0.394		5	0.915	-0.199	2.04	-0.0976	0.922		6	0.915	-0.546	2.04	-0.267	0.789		6
ENSG00000269556	195	-0.0212	0.154	-0.137	0.891	0.964	0	195	-0.00551	0.152	-0.0362	0.971	0.988	0	195	-0.0134	0.152	-0.088	0.93	0.986	0
ENSG00000241769	25.3	-0.323	0.359	-0.899	0.369	0.688	0	25.3	0.042	0.346	0.121	0.903	0.957	0	25.3	-0.073	0.349	-0.209	0.834	0.966	0
ENSG00000287796	1.92	2.24	1.68	1.33	0.183		7	1.92	0.00612	1.91	0.0032	0.997		7	1.92	1.47	1.75	0.839	0.401		8
ENSG00000277215	1.31	1.01	1.43	0.703	0.482		5	1.31	-1.33	1.7	-0.784	0.433		6	1.31	-3.18	1.8	-1.77	0.0772		7
ENSG00000182195	273	0.00562	0.138	0.0407	0.968	0.991	0	273	-0.124	0.138	-0.898	0.369	0.615	0	273	-0.053	0.137	-0.386	0.7	0.931	0
