gene_ID	NCOA3_CE_baseMean	NCOA3_CE_log2FoldChange	NCOA3_CE_lfcSE	NCOA3_CE_stat	NCOA3_CE_pvalue	NCOA3_CE_padj	NCOA3_CE_n_zeros	NCOA3_KO_baseMean	NCOA3_KO_log2FoldChange	NCOA3_KO_lfcSE	NCOA3_KO_stat	NCOA3_KO_pvalue	NCOA3_KO_padj	NCOA3_KO_n_zeros	NCOA3_PTC_baseMean	NCOA3_PTC_log2FoldChange	NCOA3_PTC_lfcSE	NCOA3_PTC_stat	NCOA3_PTC_pvalue	NCOA3_PTC_padj	NCOA3_PTC_n_zeros
ENSG00000271254	939	0.041	0.0895	0.458	0.647	0.946	0	939	0.076	0.0889	0.855	0.393	0.796	0	939	-0.033	0.0893	-0.37	0.711	1	0
ENSG00000276345	1.07	22.8	3.52	6.47	9.93e-11		12	1.07	22.7	3.49	6.51	7.28e-11		12	1.07	23.9	3.45	6.94	3.88e-12	4.61e-08	11
ENSG00000277196	36.1	-0.22	0.345	-0.637	0.524	0.919	0	36.1	0.0204	0.338	0.0605	0.952	0.993	0	36.1	-0.147	0.341	-0.43	0.667	1	0
ENSG00000278817	46.7	-0.19	0.354	-0.537	0.591	0.933	0	46.7	0.121	0.348	0.348	0.728	0.94	0	46.7	-0.0495	0.35	-0.142	0.887	1	0
ENSG00000198692	293	-0.157	0.149	-1.05	0.293	0.825	0	293	-0.17	0.148	-1.15	0.251	0.701	0	293	-0.119	0.148	-0.804	0.422	1	0
ENSG00000229236	4.24	0.0943	0.771	0.122	0.903		1	4.24	0.429	0.749	0.573	0.567		0	4.24	-0.332	0.808	-0.41	0.681	1	0
ENSG00000260197	12.8	0.472	0.541	0.872	0.383		0	12.8	0.157	0.552	0.285	0.776		0	12.8	0.297	0.546	0.545	0.586	1	0
ENSG00000290853	69.7	-0.0638	0.22	-0.29	0.772	0.968	0	69.7	-0.487	0.23	-2.12	0.0342	0.336	0	69.7	-0.133	0.222	-0.597	0.551	1	0
ENSG00000067048	2690	-0.0891	0.0863	-1.03	0.302	0.831	0	2690	0.0282	0.0854	0.33	0.742	0.944	0	2690	-0.101	0.0856	-1.18	0.238	1	0
ENSG00000286009	0.749	1.65	1.96	0.84	0.401		6	0.749	2.38	1.9	1.25	0.212		7	0.749	0.719	2.08	0.345	0.73	1	7
ENSG00000290323	1	0.373	1.61	0.232	0.816		5	1	-0.979	1.82	-0.538	0.591		6	1	-0.395	1.72	-0.23	0.818	1	6
ENSG00000176679	0.602	-1.45	2.26	-0.641	0.521		5	0.602	-1.48	2.23	-0.663	0.508		5	0.602	-0.631	2.16	-0.291	0.771	1	5
ENSG00000231535	227	0.281	0.249	1.13	0.259	0.808	0	227	-0.0239	0.249	-0.0959	0.924	0.987	0	227	0.132	0.249	0.53	0.596	1	0
ENSG00000233070	32.2	0.149	0.328	0.455	0.649	0.946	0	32.2	0.249	0.326	0.762	0.446	0.825	0	32.2	0.214	0.327	0.654	0.513	1	0
ENSG00000278847	1.21	-0.552	1.33	-0.416	0.677		4	1.21	-0.261	1.27	-0.206	0.837		4	1.21	-0.604	1.32	-0.459	0.647	1	5
ENSG00000182484	417	0.326	0.146	2.23	0.0255	0.424	0	417	0.235	0.145	1.61	0.107	0.529	0	417	0.261	0.145	1.8	0.0726	1	0
ENSG00000124334	3.33	0.5	1.21	0.412	0.68		3	3.33	0.798	1.18	0.674	0.5		2	3.33	0.965	1.17	0.825	0.41	1	2
ENSG00000124333	763	-0.171	0.104	-1.64	0.101	0.644	0	763	-0.177	0.104	-1.71	0.0875	0.492	0	763	-0.11	0.104	-1.06	0.287	1	0
ENSG00000224533	2.28	1.05	1.77	0.595	0.552		5	2.28	1.35	1.75	0.773	0.44		5	2.28	1.35	1.75	0.773	0.44	1	5
ENSG00000155961	10.1	0.418	0.534	0.783	0.434		0	10.1	0.642	0.525	1.22	0.221		0	10.1	-0.0545	0.557	-0.0978	0.922	1	0
ENSG00000203870	34.6	-0.629	0.386	-1.63	0.103	0.648	0	34.6	-0.157	0.375	-0.419	0.675	0.921	0	34.6	-0.4	0.38	-1.05	0.293	1	0
ENSG00000154620	102	-0.603	1.03	-0.587	0.557	0.927	0	102	0.0507	1.02	0.0499	0.96	0.993	0	102	0.25	1.02	0.246	0.806	1	0
ENSG00000130830	7620	-0.245	0.11	-2.24	0.0252	0.422	0	7620	-0.206	0.109	-1.9	0.0578	0.42	0	7620	-0.0826	0.109	-0.761	0.447	1	0
ENSG00000272681	2.42	1.67	1.44	1.16	0.246		3	2.42	1.06	1.48	0.715	0.474		5	2.42	1.85	1.41	1.31	0.19	1	3
ENSG00000184033	0.345	-2.36	3.82	-0.617	0.537		10	0.345	-2.44	3.78	-0.644	0.52		10	0.345	-2.42	3.79	-0.639	0.523	1	10
ENSG00000269335	359	0.0474	0.114	0.417	0.677	0.95	0	359	0.0363	0.113	0.32	0.749	0.946	0	359	0.148	0.113	1.31	0.189	1	0
ENSG00000160211	1140	-0.0758	0.118	-0.64	0.522	0.918	0	1140	-0.158	0.118	-1.34	0.18	0.633	0	1140	0.0231	0.117	0.197	0.844	1	0
ENSG00000102178	404	-0.069	0.109	-0.631	0.528	0.92	0	404	-0.0153	0.109	-0.141	0.888	0.978	0	404	-0.026	0.109	-0.239	0.811	1	0
ENSG00000130827	873	0.254	0.133	1.91	0.0559	0.542	0	873	0.312	0.132	2.37	0.0177	0.252	0	873	0.19	0.132	1.44	0.15	1	0
ENSG00000071859	1250	-0.0107	0.105	-0.102	0.919	0.989	0	1250	0.026	0.104	0.25	0.802	0.959	0	1250	0.0269	0.104	0.259	0.796	1	0
ENSG00000013563	159	0.168	0.177	0.948	0.343	0.856	0	159	0.201	0.176	1.14	0.254	0.704	0	159	0.0661	0.177	0.373	0.709	1	0
ENSG00000280195	10.4	0.109	0.584	0.186	0.852		0	10.4	0.634	0.565	1.12	0.262		0	10.4	0.299	0.577	0.519	0.604	1	0
ENSG00000169057	456	0.0805	0.102	0.792	0.428	0.888	0	456	0.0124	0.102	0.122	0.903	0.982	0	456	0.151	0.101	1.49	0.136	1	0
