gene_ID	RUNX1_CE_baseMean	RUNX1_CE_log2FoldChange	RUNX1_CE_lfcSE	RUNX1_CE_stat	RUNX1_CE_pvalue	RUNX1_CE_padj	RUNX1_CE_n_zeros	RUNX1_KO_baseMean	RUNX1_KO_log2FoldChange	RUNX1_KO_lfcSE	RUNX1_KO_stat	RUNX1_KO_pvalue	RUNX1_KO_padj	RUNX1_KO_n_zeros	RUNX1_PTC_baseMean	RUNX1_PTC_log2FoldChange	RUNX1_PTC_lfcSE	RUNX1_PTC_stat	RUNX1_PTC_pvalue	RUNX1_PTC_padj	RUNX1_PTC_n_zeros
ENSG00000271254	939	-0.234	0.0873	-2.69	0.00723	0.0328	0	939	-0.279	0.0875	-3.19	0.00145	0.0221	0	939	-0.222	0.0902	-2.47	0.0137	0.0498	0
ENSG00000276345	1.07	-15.1	3.64	-4.14	3.52e-05		14	1.07	29.2	3.53	8.26	1.4e-16		13	1.07	28.9	3.64	7.93	2.2e-15		13
ENSG00000277196	36.1	0.464	0.348	1.33	0.183	0.343	0	36.1	0.151	0.355	0.425	0.671	0.849	0	36.1	-0.603	0.384	-1.57	0.116	0.239	0
ENSG00000278817	46.7	0.752	0.386	1.95	0.0515	0.139	0	46.7	0.437	0.393	1.11	0.266	0.539	0	46.7	0.0235	0.412	0.057	0.955	0.976	0
ENSG00000198692	293	-0.127	0.158	-0.805	0.421	0.6	0	293	0.392	0.155	2.53	0.0114	0.0842	0	293	0.0572	0.162	0.352	0.725	0.83	0
ENSG00000229236	4.24	0.189	0.695	0.273	0.785		0	4.24	-0.63	0.761	-0.827	0.408		0	4.24	-0.403	0.766	-0.527	0.598		0
ENSG00000260197	12.8	-0.652	0.503	-1.3	0.195	0.358	0	12.8	-0.613	0.504	-1.22	0.224	0.491	0	12.8	-0.886	0.532	-1.66	0.096	0.208	0
ENSG00000290853	69.7	-0.201	0.219	-0.919	0.358	0.541	0	69.7	-0.306	0.222	-1.38	0.169	0.418	0	69.7	-0.481	0.235	-2.05	0.0404	0.11	0
ENSG00000067048	2690	0.264	0.0866	3.05	0.00232	0.0138	0	2690	0.234	0.0867	2.7	0.00698	0.0622	0	2690	0.158	0.0894	1.77	0.0765	0.177	0
ENSG00000286009	0.749	-2.23	2.01	-1.11	0.268		9	0.749	0.037	1.86	0.0199	0.984		8	0.749	-2.02	2.07	-0.974	0.33		9
ENSG00000290323	1	-0.0999	1.52	-0.0658	0.948		5	1	0.156	1.52	0.103	0.918		5	1	-0.717	1.73	-0.414	0.679		6
ENSG00000176679	0.602	-1.99	2.22	-0.895	0.371		5	0.602	-0.468	2.06	-0.227	0.82		4	0.602	-2.99	2.29	-1.31	0.191		6
ENSG00000231535	227	-0.476	0.244	-1.95	0.0507	0.137	0	227	-0.612	0.245	-2.5	0.0123	0.0878	0	227	-0.565	0.252	-2.24	0.025	0.0776	0
ENSG00000233070	32.2	0.489	0.312	1.57	0.117	0.251	0	32.2	0.492	0.313	1.57	0.116	0.339	0	32.2	0.481	0.324	1.48	0.138	0.269	0
ENSG00000278847	1.21	-0.755	1.26	-0.601	0.548		5	1.21	-1.06	1.3	-0.815	0.415		5	1.21	-1.11	1.34	-0.826	0.409		5
ENSG00000182484	417	0.0567	0.143	0.396	0.692	0.813	0	417	-0.266	0.144	-1.84	0.0654	0.244	0	417	0.142	0.147	0.965	0.335	0.502	0
ENSG00000124334	3.33	0.391	0.896	0.436	0.663		2	3.33	-0.333	0.93	-0.358	0.721		2	3.33	-1.13	1.02	-1.11	0.268		2
ENSG00000124333	763	0.228	0.104	2.19	0.0288	0.0913	0	763	0.318	0.104	3.05	0.00228	0.0295	0	763	0.213	0.108	1.98	0.0481	0.125	0
ENSG00000224533	2.28	-3.3	1.91	-1.73	0.0837		6	2.28	-0.818	1.63	-0.501	0.616		6	2.28	-2.27	1.87	-1.22	0.223		6
ENSG00000155961	10.1	0.301	0.487	0.618	0.537	0.698	0	10.1	-0.638	0.533	-1.2	0.232		0	10.1	0.232	0.508	0.456	0.648	0.775	0
ENSG00000203870	34.6	-0.0681	0.359	-0.19	0.85	0.919	0	34.6	0.101	0.358	0.283	0.777	0.905	0	34.6	0.47	0.366	1.29	0.199	0.348	0
ENSG00000154620	102	-2.23	1.05	-2.13	0.0334	0.102	0	102	0.341	1.03	0.331	0.74	0.886	0	102	-1.38	1.07	-1.28	0.199	0.349	1
ENSG00000130830	7620	-0.22	0.11	-2.01	0.0444	0.125	0	7620	0.251	0.11	2.29	0.0218	0.126	0	7620	0.331	0.113	2.94	0.00331	0.0173	0
ENSG00000272681	2.42	0.947	1.01	0.939	0.348		3	2.42	-0.576	1.1	-0.522	0.601		4	2.42	-0.234	1.1	-0.212	0.832		4
ENSG00000184033	0.345	1.21	3.84	0.316	0.752		8	0.345	1.33	3.83	0.348	0.728		8	0.345	-0.233	4.03	-0.0577	0.954		9
ENSG00000269335	359	-0.0214	0.112	-0.191	0.848	0.918	0	359	-0.237	0.113	-2.09	0.0368	0.172	0	359	0.109	0.115	0.945	0.345	0.513	0
