gene_ID	CBO_9_DMRTA1_baseMean	CBO_9_DMRTA1_log2FoldChange	CBO_9_DMRTA1_lfcSE	CBO_9_DMRTA1_stat	CBO_9_DMRTA1_pvalue	CBO_9_DMRTA1_padj
ENSG00000271254	2050	0.425	0.087	4.88	1.06e-06	0.000162
ENSG00000277196	188	-0.186	0.185	-1	0.316	0.628
ENSG00000278817	16.6	-0.117	0.503	-0.233	0.816	0.939
ENSG00000198692	646	-0.131	0.108	-1.21	0.226	0.538
ENSG00000229236	17	-0.367	0.528	-0.695	0.487	0.769
ENSG00000260197	27.3	-0.184	0.434	-0.423	0.672	0.876
ENSG00000290853	107	-0.541	0.229	-2.36	0.0185	0.134
ENSG00000067048	2720	-0.0889	0.0842	-1.06	0.291	0.606
ENSG00000286009	12	-0.662	0.615	-1.08	0.281	
ENSG00000277930	5.47	-0.757	0.899	-0.842	0.4	
ENSG00000231535	10.3	0.149	0.68	0.219	0.827	
ENSG00000278847	9.46	-0.305	0.692	-0.441	0.659	
ENSG00000182484	506	0.154	0.129	1.19	0.233	0.546
ENSG00000124334	3.45	1.92	1.29	1.49	0.135	
ENSG00000124333	755	-0.143	0.105	-1.36	0.173	0.471
ENSG00000155961	374	-0.0186	0.141	-0.131	0.895	0.966
ENSG00000154620	131	-0.0828	0.542	-0.153	0.878	0.962
ENSG00000272681	2.61	0.453	1.28	0.354	0.724	
ENSG00000269335	262	0.248	0.141	1.76	0.0785	0.309
ENSG00000160211	1450	-0.00275	0.0887	-0.031	0.975	0.992
ENSG00000102178	506	-0.153	0.118	-1.3	0.193	0.499
ENSG00000130827	930	0.439	0.108	4.05	5.02e-05	0.00275
ENSG00000071859	971	0.136	0.0909	1.5	0.134	0.411
ENSG00000013563	280	-0.101	0.144	-0.701	0.483	0.767
ENSG00000280195	41.1	-0.0271	0.36	-0.0754	0.94	0.982
ENSG00000007350	12.8	0.104	0.573	0.182	0.856	
ENSG00000169057	2410	0.101	0.0755	1.34	0.179	0.478
ENSG00000177854	61.8	0.036	0.278	0.13	0.897	0.967
ENSG00000102032	47.4	-0.143	0.308	-0.466	0.641	0.861
ENSG00000089820	152	-0.113	0.183	-0.618	0.537	0.802
ENSG00000198910	359	0.444	0.159	2.79	0.00527	0.0629
ENSG00000067840	345	0.211	0.127	1.66	0.096	0.344
ENSG00000180879	936	-0.175	0.0974	-1.8	0.0718	0.294
ENSG00000067829	619	-0.0366	0.113	-0.324	0.746	0.91
ENSG00000198753	12.4	0.111	0.584	0.19	0.85	
ENSG00000185825	1400	0.00801	0.0993	0.0807	0.936	0.981
ENSG00000130822	685	0.218	0.117	1.86	0.0627	0.273
ENSG00000067842	6.62	-0.335	0.816	-0.411	0.681	
ENSG00000183837	315	0.311	0.144	2.17	0.0304	0.179
ENSG00000147383	383	0.121	0.145	0.835	0.404	0.707
ENSG00000147400	1060	0.025	0.108	0.232	0.816	0.939
ENSG00000160131	5250	-0.036	0.0713	-0.504	0.614	0.847
ENSG00000029993	6270	-0.0186	0.0783	-0.237	0.813	0.937
ENSG00000102181	1250	-0.196	0.0966	-2.03	0.0424	0.217
ENSG00000063601	993	-0.0359	0.0904	-0.397	0.691	0.885
ENSG00000013619	4.9	-0.0632	0.935	-0.0676	0.946	
ENSG00000269556	285	0.0272	0.138	0.197	0.844	0.949
ENSG00000241769	57.5	0.704	0.323	2.18	0.0291	0.174
ENSG00000277215	7.93	-1.04	0.753	-1.38	0.169	
ENSG00000182195	512	-0.118	0.113	-1.05	0.296	0.611
ENSG00000134595	665	0.0631	0.11	0.574	0.566	0.819
ENSG00000129682	618	-0.284	0.107	-2.66	0.00774	0.0788
ENSG00000283692	1.78	0.125	1.73	0.0725	0.942	
ENSG00000291054	59.3	-0.0306	0.294	-0.104	0.917	0.975
ENSG00000165359	437	0.133	0.13	1.03	0.305	0.618
ENSG00000178947	226	-0.505	0.187	-2.7	0.00689	0.0742
ENSG00000173275	568	-0.0273	0.115	-0.238	0.812	0.937
ENSG00000169551	1.23	-1.22	1.89	-0.645	0.519	
ENSG00000203950	669	-0.113	0.104	-1.09	0.277	0.592
ENSG00000184785	4.34	-0.155	0.979	-0.158	0.874	
ENSG00000101928	281	-0.11	0.139	-0.786	0.432	0.729
ENSG00000156504	1500	0.237	0.102	2.33	0.0197	0.139
ENSG00000170965	1.68	-1.03	1.83	-0.565	0.572	
ENSG00000156531	7920	-0.0492	0.0657	-0.749	0.454	0.747
ENSG00000147257	9240	-0.555	0.0929	-5.98	2.3e-09	1.02e-06
ENSG00000076770	386	-0.225	0.125	-1.81	0.0709	0.293
ENSG00000134602	2460	-0.309	0.0821	-3.77	0.000165	0.006
ENSG00000213468	2040	-0.301	0.0857	-3.51	0.000443	0.012
ENSG00000286060	2.2	1.01	1.37	0.741	0.458	
ENSG00000287806	1.53	-0.857	1.73	-0.496	0.62	
ENSG00000147256	2.15	-0.921	1.49	-0.618	0.537	
ENSG00000102078	249	0.0985	0.144	0.685	0.493	0.773
ENSG00000085185	3140	-0.121	0.0859	-1.41	0.158	0.449
ENSG00000188706	2570	-0.0326	0.0807	-0.404	0.687	0.883
ENSG00000198354	68.2	-0.11	0.261	-0.423	0.673	0.876
ENSG00000009694	40.8	-0.601	0.438	-1.37	0.17	0.467
ENSG00000282419	2.02	-0.801	1.45	-0.552	0.581	
ENSG00000101966	1930	-0.201	0.0841	-2.39	0.0166	0.126
ENSG00000125676	3910	0.0582	0.079	0.736	0.461	0.751
ENSG00000125675	336	0.069	0.13	0.53	0.596	0.836
ENSG00000171155	465	-0.141	0.121	-1.17	0.242	0.555
ENSG00000158290	5400	0.0374	0.0703	0.532	0.594	0.835
ENSG00000005893	977	0.0796	0.0942	0.845	0.398	0.702
ENSG00000125355	109	0.369	0.225	1.65	0.0999	0.353
ENSG00000258545	1.57	-2.82	1.91	-1.48	0.14	
ENSG00000125352	123	-0.0977	0.202	-0.483	0.629	0.856
ENSG00000286366	9.94	0.664	0.65	1.02	0.307	
ENSG00000125354	733	-0.174	0.113	-1.55	0.122	0.39
ENSG00000018610	427	-0.0378	0.133	-0.284	0.776	0.923
ENSG00000077721	1570	-0.0607	0.0839	-0.723	0.469	0.757
ENSG00000005022	3210	-0.181	0.0857	-2.12	0.0342	0.192
ENSG00000224281	47.3	0.271	0.305	0.89	0.374	0.682
ENSG00000077713	91.6	-0.506	0.226	-2.24	0.025	0.16
ENSG00000175556	13.6	0.725	0.576	1.26	0.209	
ENSG00000235244	74.9	0.082	0.309	0.265	0.791	0.929
ENSG00000102024	3420	-0.25	0.0767	-3.26	0.00112	0.0226
ENSG00000288595	13.1	-1.14	0.701	-1.62	0.105	
ENSG00000077279	561	-0.216	0.123	-1.75	0.0796	0.311
ENSG00000224142	0.817	-0.252	2.31	-0.109	0.913	
ENSG00000157600	1800	0.000998	0.0843	0.0118	0.991	0.997
ENSG00000289365	15.2	1.1	0.55	1.99	0.0464	0.227
ENSG00000068366	3440	0.397	0.0907	4.38	1.2e-05	0.000984
ENSG00000101890	3.06	0.276	1.16	0.238	0.812	
ENSG00000237863	117	-0.316	0.206	-1.53	0.125	0.397
ENSG00000197565	2530	-0.109	0.0796	-1.37	0.171	0.468
ENSG00000101844	85.4	-0.00213	0.231	-0.00922	0.993	0.998
ENSG00000080561	76	0.0809	0.246	0.328	0.743	0.908
ENSG00000198088	114	0.058	0.202	0.287	0.774	0.921
ENSG00000165376	10.2	0.468	0.665	0.704	0.481	
ENSG00000147223	2.46	1.08	1.42	0.758	0.448	
ENSG00000133131	123	0.11	0.203	0.542	0.588	0.832
ENSG00000133138	53	-0.458	0.294	-1.56	0.119	0.385
ENSG00000133135	2.6	-0.471	1.37	-0.343	0.732	
ENSG00000157502	156	-0.647	0.2	-3.24	0.00121	0.0236
ENSG00000166707	125	0.0921	0.206	0.447	0.655	0.868
ENSG00000269226	199	-0.127	0.197	-0.648	0.517	0.788
ENSG00000101812	0.767	-1.56	2.36	-0.66	0.509	
ENSG00000231728	48.6	0.318	0.328	0.969	0.333	0.645
ENSG00000172476	12.3	-0.288	0.614	-0.469	0.639	
ENSG00000234405	45.8	-0.0646	0.308	-0.21	0.834	0.946
ENSG00000185222	819	-0.0251	0.107	-0.234	0.815	0.939
ENSG00000182916	490	-0.0886	0.117	-0.758	0.448	0.742
ENSG00000133134	382	-0.0511	0.13	-0.392	0.695	0.886
ENSG00000286846	8.09	0.437	0.744	0.587	0.557	
ENSG00000286237	128	-0.353	0.231	-1.52	0.128	0.401
ENSG00000158301	1590	-0.0493	0.0897	-0.55	0.583	0.829
ENSG00000125962	667	-0.104	0.102	-1.02	0.307	0.619
ENSG00000290811	3.65	0.967	1.08	0.892	0.373	
ENSG00000215029	46.4	-0.48	0.43	-1.12	0.264	0.58
ENSG00000204071	3.65	0.05	1.06	0.0472	0.962	
ENSG00000184905	331	-0.298	0.136	-2.18	0.0292	0.175
ENSG00000184867	3120	-0.0106	0.0883	-0.12	0.905	0.97
ENSG00000102401	1370	0.00909	0.0858	0.106	0.916	0.975
ENSG00000010671	3.06	-0.457	1.27	-0.359	0.719	
ENSG00000102384	1510	0.0467	0.0802	0.582	0.561	0.816
ENSG00000204086	2.3	-0.583	1.4	-0.417	0.677	
ENSG00000147202	687	-0.223	0.108	-2.06	0.0394	0.208
ENSG00000186310	804	-0.0576	0.103	-0.56	0.575	0.824
ENSG00000289479	2.57	-1.84	1.48	-1.24	0.214	
ENSG00000234161	2.37	-1.71	1.53	-1.12	0.263	
ENSG00000184788	0.957	-0.656	2.07	-0.317	0.751	
ENSG00000072133	761	-0.32	0.112	-2.86	0.00428	0.055
ENSG00000196767	8.5	0.683	0.776	0.88	0.379	
ENSG00000131171	1620	-0.0904	0.0904	-1	0.317	0.629
ENSG00000147255	445	-0.941	0.173	-5.45	5.08e-08	1.46e-05
ENSG00000198157	283	-0.365	0.169	-2.16	0.0304	0.179
ENSG00000165288	4920	-0.354	0.0865	-4.09	4.29e-05	0.00252
ENSG00000122145	11.4	-0.346	0.617	-0.56	0.575	
ENSG00000078596	43.1	-0.723	0.343	-2.11	0.035	0.194
ENSG00000102158	2780	0.0118	0.0873	0.136	0.892	0.966
ENSG00000198934	385	-0.395	0.134	-2.95	0.00313	0.0449
ENSG00000102390	596	-0.045	0.11	-0.409	0.682	0.881
ENSG00000094841	238	-0.137	0.146	-0.933	0.351	0.662
ENSG00000147100	1990	0.135	0.0993	1.36	0.174	0.472
ENSG00000225470	1110	-0.108	0.104	-1.04	0.296	0.611
ENSG00000231963	1.08	-0.975	2.08	-0.469	0.639	
ENSG00000186288	3.48	-1.07	1.17	-0.913	0.361	
ENSG00000269502	8.63	-1.23	0.729	-1.69	0.0909	
ENSG00000269911	101	0.0402	0.236	0.171	0.865	0.957
ENSG00000147099	823	-0.0308	0.116	-0.267	0.79	0.928
ENSG00000198034	21700	-0.266	0.0771	-3.45	0.00057	0.0145
ENSG00000186871	1540	-0.00247	0.0847	-0.0291	0.977	0.992
ENSG00000102309	474	-0.112	0.117	-0.952	0.341	0.652
ENSG00000204131	739	0.0289	0.108	0.269	0.788	0.928
ENSG00000281852	14.2	-0.623	0.63	-0.988	0.323	
ENSG00000147133	2440	0.236	0.0818	2.88	0.00397	0.0523
ENSG00000147140	28100	-0.0499	0.0672	-0.742	0.458	0.749
ENSG00000196338	1740	0.0928	0.085	1.09	0.275	0.59
ENSG00000184634	2510	0.114	0.0773	1.47	0.142	0.424
ENSG00000184481	243	-0.406	0.155	-2.62	0.00884	0.0855
ENSG00000165349	1140	-0.13	0.0947	-1.37	0.17	0.468
ENSG00000120509	558	-0.12	0.112	-1.07	0.285	0.6
ENSG00000089289	937	-0.306	0.108	-2.84	0.00456	0.0574
ENSG00000158813	183	-0.0989	0.171	-0.579	0.563	0.817
ENSG00000181704	1650	-0.113	0.0805	-1.4	0.161	0.454
ENSG00000289038	6.28	0.486	0.845	0.576	0.565	
ENSG00000089472	3380	-0.409	0.0916	-4.46	8.12e-06	0.000755
ENSG00000198881	0.905	-1.87	2.22	-0.843	0.399	
ENSG00000184675	968	0.0579	0.0963	0.601	0.548	0.809
ENSG00000186767	539	-0.0658	0.113	-0.585	0.559	0.815
ENSG00000235437	942	-0.00874	0.107	-0.0815	0.935	0.981
ENSG00000198205	253	0.222	0.145	1.53	0.127	0.399
ENSG00000147059	36.9	-0.287	0.344	-0.834	0.404	0.707
ENSG00000186787	195	0.0898	0.165	0.544	0.586	0.831
ENSG00000102349	734	-0.0896	0.124	-0.721	0.471	0.758
ENSG00000227486	129	-0.23	0.267	-0.861	0.389	0.695
ENSG00000083750	296	-0.0635	0.137	-0.465	0.642	0.861
ENSG00000247746	668	0.162	0.104	1.56	0.118	0.384
ENSG00000182518	388	-0.063	0.131	-0.48	0.631	0.856
ENSG00000130119	3000	0.233	0.0806	2.89	0.0038	0.0508
ENSG00000196632	4580	0.0879	0.072	1.22	0.222	0.534
ENSG00000184083	469	0.267	0.119	2.24	0.0254	0.162
ENSG00000158423	33.1	0.0313	0.379	0.0826	0.934	0.981
ENSG00000235262	6.84	0.0542	0.81	0.067	0.947	
ENSG00000126012	3960	-0.00786	0.0684	-0.115	0.909	0.971
ENSG00000232593	375	-0.254	0.148	-1.71	0.0869	0.326
ENSG00000184205	1170	0.172	0.0987	1.74	0.0817	0.316
ENSG00000287215	9.6	0.468	0.695	0.673	0.501	
ENSG00000179222	8060	0.154	0.0765	2.02	0.0435	0.22
ENSG00000189369	1370	0.108	0.0839	1.29	0.197	0.503
ENSG00000283093	35.4	2.33	2.27	1.03	0.305	0.618
ENSG00000224109	115	0.282	0.227	1.24	0.213	0.523
ENSG00000226530	101	-0.224	0.235	-0.954	0.34	0.652
ENSG00000230317	2.4	0.236	1.33	0.177	0.86	
ENSG00000158352	161	0.0264	0.18	0.147	0.883	0.963
ENSG00000274588	65	0.0853	0.26	0.329	0.742	0.908
ENSG00000270012	237	0.142	0.199	0.713	0.476	0.762
ENSG00000286181	16.7	0.404	0.523	0.772	0.44	0.735
ENSG00000012211	112	0.102	0.206	0.498	0.619	0.849
ENSG00000269313	6.37	-0.0669	0.843	-0.0793	0.937	
ENSG00000243279	488	-0.0043	0.122	-0.0353	0.972	0.991
ENSG00000068400	1750	0.194	0.101	1.93	0.0542	0.25
ENSG00000102100	333	0.0755	0.138	0.547	0.584	0.83
ENSG00000094631	2850	0.071	0.0792	0.896	0.37	0.679
ENSG00000015285	13.9	-0.47	0.618	-0.759	0.448	
ENSG00000102317	4110	0.246	0.0739	3.32	0.000886	0.0192
ENSG00000147155	839	-0.0177	0.1	-0.177	0.86	0.956
ENSG00000102312	148	-0.0436	0.182	-0.24	0.81	0.937
ENSG00000287757	7.78	0.434	0.765	0.567	0.571	
ENSG00000197779	807	0.0394	0.108	0.366	0.714	0.895
ENSG00000267064	18.7	-0.164	0.487	-0.338	0.736	0.904
ENSG00000126756	592	-0.133	0.11	-1.21	0.225	0.537
ENSG00000078061	969	-0.0616	0.0987	-0.624	0.533	0.799
ENSG00000289890	4.57	-0.352	0.98	-0.359	0.72	
ENSG00000196741	38.1	-0.424	0.358	-1.18	0.237	0.55
ENSG00000147124	301	0.0769	0.134	0.573	0.566	0.819
ENSG00000102226	3820	-0.118	0.0717	-1.64	0.101	0.355
ENSG00000147123	1330	-0.184	0.1	-1.83	0.0667	0.282
ENSG00000130988	10.7	-1.39	0.667	-2.09	0.0368	
ENSG00000102221	1840	-0.0998	0.0788	-1.27	0.205	0.513
ENSG00000204904	5.16	-0.639	0.941	-0.679	0.497	
ENSG00000065923	480	-0.452	0.144	-3.13	0.00173	0.0301
ENSG00000251192	186	-0.122	0.168	-0.726	0.468	0.755
ENSG00000270069	63	0.288	0.327	0.882	0.378	0.685
ENSG00000126950	365	-0.203	0.141	-1.44	0.15	0.436
ENSG00000223486	72	-0.684	0.296	-2.31	0.0206	0.143
ENSG00000156313	318	0.128	0.139	0.922	0.356	0.667
ENSG00000165168	5.5	-0.376	0.864	-0.435	0.664	
ENSG00000147036	0.767	-1.56	2.36	-0.66	0.509	
ENSG00000130962	127	-0.387	0.195	-1.98	0.0473	0.23
ENSG00000174016	1.41	-0.621	1.77	-0.352	0.725	
ENSG00000165164	10.9	0.534	0.624	0.856	0.392	
ENSG00000233928	2.47	0.103	1.46	0.0704	0.944	
ENSG00000198947	1460	-0.0703	0.0958	-0.734	0.463	0.752
ENSG00000198814	174	0.295	0.168	1.76	0.0788	0.31
ENSG00000004848	778	0.225	0.389	0.578	0.563	0.818
ENSG00000101868	3210	0.0789	0.0756	1.04	0.296	0.611
ENSG00000289472	5.4	0.478	0.935	0.511	0.609	
ENSG00000174010	790	-0.127	0.0941	-1.35	0.179	0.478
ENSG00000184831	279	-0.0924	0.148	-0.625	0.532	0.799
ENSG00000123130	491	-0.162	0.114	-1.42	0.157	0.447
ENSG00000123131	1040	-0.218	0.108	-2.02	0.0436	0.22
ENSG00000165186	26.6	0.863	0.466	1.85	0.0642	0.276
ENSG00000102174	6.34	0.334	0.913	0.365	0.715	
ENSG00000149970	2010	-0.167	0.103	-1.63	0.103	0.359
ENSG00000283380	1.79	-0.476	1.57	-0.304	0.761	
ENSG00000184368	250	0.0467	0.161	0.289	0.772	0.921
ENSG00000147010	413	-0.36	0.125	-2.88	0.00401	0.0528
ENSG00000180815	73.5	-0.129	0.261	-0.494	0.622	0.851
ENSG00000173698	42.2	-0.156	0.328	-0.474	0.636	0.858
ENSG00000044446	1010	0.00324	0.0941	0.0345	0.972	0.991
ENSG00000086717	24.3	-0.0018	0.433	-0.00416	0.997	0.999
ENSG00000008086	945	0.0168	0.0998	0.168	0.867	0.957
ENSG00000102098	1110	-0.0405	0.0891	-0.455	0.649	0.865
ENSG00000225882	4.43	-0.753	1.01	-0.747	0.455	
ENSG00000047634	137	0.14	0.192	0.731	0.465	0.753
ENSG00000235834	4.42	0.801	1.04	0.768	0.442	
ENSG00000169891	62.4	-0.222	0.28	-0.793	0.428	0.725
ENSG00000126010	18.7	0.645	0.527	1.22	0.221	0.533
ENSG00000182287	2820	-0.165	0.0768	-2.15	0.0317	0.183
ENSG00000147003	37.2	-0.357	0.355	-1	0.315	0.628
ENSG00000130234	4.77	-2.05	1.07	-1.92	0.0545	
ENSG00000087842	84	-0.115	0.242	-0.475	0.635	0.858
ENSG00000046647	274	-0.329	0.146	-2.25	0.0244	0.158
ENSG00000289449	8.56	0.122	0.708	0.172	0.863	
ENSG00000123595	265	-0.208	0.151	-1.38	0.167	0.463
ENSG00000176896	120	0.0821	0.196	0.419	0.675	0.878
ENSG00000101911	722	-0.187	0.0975	-1.92	0.0547	0.252
ENSG00000047648	30.6	0.98	0.396	2.47	0.0134	0.11
ENSG00000101871	2240	0.157	0.0979	1.61	0.108	0.367
ENSG00000101850	218	-0.0353	0.161	-0.22	0.826	0.943
ENSG00000101849	4930	-0.167	0.0711	-2.35	0.019	0.135
