gene_ID	PrS_6_robson.018_ZBTB7C_baseMean	PrS_6_robson.018_ZBTB7C_log2FoldChange	PrS_6_robson.018_ZBTB7C_lfcSE	PrS_6_robson.018_ZBTB7C_stat	PrS_6_robson.018_ZBTB7C_pvalue	PrS_6_robson.018_ZBTB7C_padj	PrS_6_robson.018_PITX1_baseMean	PrS_6_robson.018_PITX1_log2FoldChange	PrS_6_robson.018_PITX1_lfcSE	PrS_6_robson.018_PITX1_stat	PrS_6_robson.018_PITX1_pvalue	PrS_6_robson.018_PITX1_padj	PrS_6_robson.018_LMO2_baseMean	PrS_6_robson.018_LMO2_log2FoldChange	PrS_6_robson.018_LMO2_lfcSE	PrS_6_robson.018_LMO2_stat	PrS_6_robson.018_LMO2_pvalue	PrS_6_robson.018_LMO2_padj
ENSG00000271254	1410	-0.0349	0.0785	-0.445	0.657	0.963	1410	-6.95e-05	0.0928	-0.000749	0.999	1	1410	0.00672	0.0811	0.0828	0.934	1
ENSG00000277196	40	-0.217	0.307	-0.706	0.48	0.913	40	0.0343	0.355	0.0965	0.923	1	40	0.0178	0.313	0.0569	0.955	1
ENSG00000278817	57.5	-0.0998	0.252	-0.396	0.692	0.97	57.5	0.192	0.292	0.658	0.51	1	57.5	0.413	0.252	1.64	0.101	0.778
ENSG00000198692	265	0.279	0.153	1.82	0.0686	0.48	265	0.0556	0.182	0.306	0.76	1	265	-0.0769	0.161	-0.478	0.632	1
ENSG00000229236	4.82	0.0175	0.848	0.0206	0.984	1	4.82	-0.167	1.04	-0.16	0.873	1	4.82	-0.608	0.906	-0.672	0.502	1
ENSG00000260197	13.6	0.251	0.502	0.499	0.618	0.957	13.6	0.0992	0.603	0.164	0.869	1	13.6	-0.613	0.549	-1.12	0.264	0.993
ENSG00000290853	72.6	0.481	0.224	2.14	0.032	0.326	72.6	0.5	0.263	1.9	0.0576	1	72.6	0.261	0.234	1.11	0.265	0.993
ENSG00000067048	3550	-0.128	0.0529	-2.41	0.0158	0.221	3550	-0.0709	0.0626	-1.13	0.257	1	3550	-0.00404	0.0546	-0.0739	0.941	1
ENSG00000290323	0.628	17.7	2.7	6.55	5.65e-11	9.59e-09	0.628	14.2	3.35	4.24	2.26e-05	0.00314	0.628	15.6	2.96	5.27	1.37e-07	1.84e-05
ENSG00000277930	0.392	0.965	3.28	0.294	0.769	0.975	0.392	1.78	3.81	0.466	0.641	1	0.392	1.17	3.39	0.344	0.731	1
ENSG00000176679	1.01	2.71	2.04	1.33	0.183	0.708	1.01	0.575	2.59	0.222	0.824	1	1.01	1.08	2.26	0.478	0.633	1
ENSG00000231535	214	0.291	0.149	1.95	0.0506	0.414	214	0.178	0.176	1.01	0.313	1	214	0.293	0.154	1.91	0.0565	0.616
ENSG00000233070	44.3	0.127	0.325	0.391	0.696	0.97	44.3	0.208	0.384	0.54	0.589	1	44.3	-0.271	0.341	-0.793	0.428	1
ENSG00000278847	1.38	0.238	1.74	0.137	0.891	0.993	1.38	0.0496	2.02	0.0246	0.98	1	1.38	0.644	1.77	0.363	0.716	1
ENSG00000182484	422	-0.0112	0.12	-0.0932	0.926	1	422	-0.078	0.142	-0.548	0.583	1	422	0.0641	0.124	0.517	0.605	1
