gene_ID	LMO2_PTC_baseMean	LMO2_PTC_log2FoldChange	LMO2_PTC_lfcSE	LMO2_PTC_stat	LMO2_PTC_pvalue	LMO2_PTC_padj	LMO2_PTC_n_zeros
ENSG00000271254	1410	0.00967	0.0824	0.117	0.907	1	0
ENSG00000277196	40	0.0206	0.317	0.0649	0.948	1	0
ENSG00000278817	57.5	0.408	0.255	1.6	0.109	0.826	0
ENSG00000198692	265	-0.0628	0.163	-0.386	0.7	1	0
ENSG00000229236	4.82	-0.592	0.91	-0.65	0.515	1	0
ENSG00000260197	13.6	-0.642	0.554	-1.16	0.246	1	0
ENSG00000290853	72.6	0.252	0.237	1.06	0.288	1	0
ENSG00000067048	3550	-0.00427	0.0553	-0.0771	0.939	1	0
ENSG00000290323	0.628	15.6	3.01	5.2	2.01e-07	2.36e-05	5
ENSG00000277930	0.392	1.16	3.44	0.338	0.735	1	5
ENSG00000176679	1.01	1.03	2.28	0.451	0.652	1	4
ENSG00000231535	214	0.289	0.156	1.85	0.064	0.68	0
ENSG00000233070	44.3	-0.289	0.347	-0.832	0.405	1	0
ENSG00000278847	1.38	0.684	1.79	0.382	0.703	1	1
ENSG00000182484	422	0.075	0.125	0.6	0.549	1	0
ENSG00000124334	2.68	-0.749	1.2	-0.626	0.531	1	0
ENSG00000124333	992	-0.173	0.0804	-2.15	0.0319	0.494	0
ENSG00000224533	3.57	-0.218	1.47	-0.148	0.882	1	4
ENSG00000155961	15.7	-0.271	0.536	-0.507	0.612	1	0
ENSG00000203870	53.2	-0.62	0.298	-2.08	0.0374	0.534	0
ENSG00000154620	91.5	-0.0228	0.864	-0.0263	0.979	1	0
ENSG00000130830	8870	-0.278	0.0649	-4.29	1.78e-05	0.00159	0
ENSG00000272681	3.73	0.371	1.12	0.332	0.74	1	0
ENSG00000184033	0.66	-0.911	3.04	-0.3	0.764	1	5
ENSG00000269335	390	-0.0283	0.12	-0.236	0.814	1	0
ENSG00000160211	1240	-0.168	0.0759	-2.21	0.027	0.452	0
ENSG00000102178	372	-0.0237	0.123	-0.193	0.847	1	0
ENSG00000130827	916	0.131	0.0797	1.64	0.102	0.816	0
ENSG00000071859	1580	0.0135	0.0688	0.196	0.845	1	0
ENSG00000013563	175	0.0169	0.161	0.105	0.916	1	0
ENSG00000280195	10.9	0.412	0.606	0.68	0.496	1	0
ENSG00000169057	464	0.0479	0.108	0.445	0.656	1	0
ENSG00000177854	33.1	0.551	0.355	1.55	0.12	0.856	0
ENSG00000102032	2.52	-0.145	1.28	-0.113	0.91	1	0
ENSG00000089820	29.2	-0.26	0.377	-0.69	0.49	1	0
ENSG00000198910	73.9	0.105	0.236	0.447	0.655	1	0
ENSG00000067840	2.46	-0.902	1.31	-0.69	0.49	1	0
ENSG00000180879	2480	0.0355	0.0781	0.455	0.649	1	0
ENSG00000067829	728	-0.119	0.0881	-1.35	0.177	0.944	0
ENSG00000198753	3.97	0.269	1.04	0.259	0.796	1	0
ENSG00000185825	4180	-0.0199	0.0609	-0.327	0.744	1	0
ENSG00000130822	125	0.22	0.249	0.885	0.376	1	0
ENSG00000067842	1250	-0.0131	0.109	-0.12	0.905	1	0
ENSG00000214897	3.95	-1.62	1.04	-1.56	0.12	0.854	1
ENSG00000183837	3.55	-0.946	1.29	-0.731	0.465	1	1
ENSG00000147383	504	-0.0888	0.103	-0.861	0.389	1	0
ENSG00000147400	380	-0.0941	0.114	-0.826	0.409	1	0
ENSG00000160131	857	-0.094	0.103	-0.91	0.363	1	0
ENSG00000029993	8030	0.144	0.0624	2.31	0.0207	0.397	0
ENSG00000102181	348	0.218	0.118	1.85	0.0648	0.682	0
ENSG00000063601	1040	0.104	0.0809	1.29	0.198	0.963	0
ENSG00000013619	1.11	-0.543	1.88	-0.289	0.772	1	2
ENSG00000269556	226	0.0963	0.153	0.631	0.528	1	0
ENSG00000241769	22.4	0.733	0.45	1.63	0.103	0.817	0
ENSG00000287796	5.02	1.01	0.931	1.09	0.277	1	0
ENSG00000182195	292	0.0398	0.14	0.284	0.776	1	0
ENSG00000129682	98.2	0.0899	0.243	0.37	0.711	1	0
ENSG00000291054	8.52	0.617	0.684	0.902	0.367	1	0
ENSG00000233093	4.2	0.585	1.12	0.524	0.6	1	0
ENSG00000102243	4020	-0.0859	0.0648	-1.33	0.185	0.951	0
ENSG00000165359	223	0.15	0.164	0.914	0.361	1	0
ENSG00000178947	12.9	0.996	0.558	1.79	0.0741	0.723	0
ENSG00000173275	135	0.325	0.203	1.6	0.109	0.826	0
ENSG00000169551	1.15	-0.72	2.08	-0.345	0.73	1	3
ENSG00000203950	281	-0.0244	0.133	-0.183	0.855	1	0
ENSG00000184785	8.94	0.0733	0.681	0.108	0.914	1	0
ENSG00000101928	1630	-0.192	0.0861	-2.22	0.0262	0.445	0
ENSG00000156504	516	0.0559	0.107	0.524	0.6	1	0
ENSG00000170965	7.01	-1.06	0.795	-1.33	0.184	0.951	0
ENSG00000156531	767	-0.1	0.127	-0.788	0.431	1	0
ENSG00000147257	55.4	-0.0555	0.325	-0.171	0.864	1	0
ENSG00000076770	61500	-0.132	0.0781	-1.69	0.0913	0.782	0
ENSG00000134602	1680	-0.0278	0.0851	-0.326	0.744	1	0
ENSG00000213468	914	0.075	0.0924	0.811	0.417	1	0
ENSG00000147256	3.19	-0.317	1.18	-0.267	0.789	1	0
ENSG00000102078	90.1	0.322	0.216	1.49	0.136	0.886	0
ENSG00000085185	8830	-0.125	0.0611	-2.05	0.0402	0.553	0
ENSG00000188706	1350	0.0339	0.0678	0.499	0.618	1	0
ENSG00000198354	0.917	-2.75	2.31	-1.19	0.233	0.996	2
ENSG00000009694	10.7	0.229	0.648	0.353	0.724	1	0
ENSG00000282419	1.09	-1.89	2.14	-0.883	0.377	1	2
ENSG00000101966	2980	-0.0567	0.0585	-0.969	0.332	1	0
ENSG00000125676	4040	-0.0713	0.0578	-1.23	0.217	0.981	0
ENSG00000171155	301	-0.0721	0.153	-0.471	0.638	1	0
ENSG00000158290	2280	0.153	0.0657	2.33	0.0198	0.39	0
ENSG00000005893	4260	-0.0767	0.0576	-1.33	0.182	0.951	0
ENSG00000125355	2.15	-2.22	1.76	-1.26	0.208	0.973	2
ENSG00000258545	7.73	-0.0905	0.671	-0.135	0.893	1	0
ENSG00000125352	369	0.0651	0.113	0.577	0.564	1	0
ENSG00000286366	4.35	0.286	0.928	0.308	0.758	1	0
ENSG00000125354	1600	-0.0335	0.083	-0.404	0.686	1	0
ENSG00000018610	672	-0.164	0.0874	-1.88	0.0605	0.666	0
ENSG00000077721	4120	-0.246	0.0574	-4.29	1.82e-05	0.00161	0
ENSG00000005022	5210	-0.161	0.0592	-2.72	0.00648	0.204	0
ENSG00000224281	6.59	1.28	0.807	1.59	0.113	0.837	0
ENSG00000237903	1.08	2.39	2.3	1.04	0.3	1	4
ENSG00000077713	102	-0.0978	0.195	-0.502	0.616	1	0
ENSG00000175556	25.7	0.366	0.417	0.877	0.38	1	0
ENSG00000235244	46	-0.0635	0.296	-0.215	0.83	1	0
ENSG00000102024	8550	-0.0428	0.0563	-0.759	0.448	1	0
ENSG00000123496	0.496	1.46	3.14	0.465	0.642	1	4
ENSG00000288595	2.28	-0.485	1.26	-0.384	0.701	1	0
ENSG00000077279	7.02	-0.829	0.788	-1.05	0.293	1	0
ENSG00000224142	6.02	0.63	0.858	0.734	0.463	1	0
