gene_ID	OVOL1_PTC_baseMean	OVOL1_PTC_log2FoldChange	OVOL1_PTC_lfcSE	OVOL1_PTC_stat	OVOL1_PTC_pvalue	OVOL1_PTC_padj	OVOL1_PTC_n_zeros
ENSG00000271254	1130	-0.563	0.0866	-6.51	7.65e-11	5.19e-10	0
ENSG00000277196	85	0.586	0.215	2.72	0.00649	0.0164	0
ENSG00000278817	79.8	1.1	0.233	4.71	2.42e-06	1.06e-05	0
ENSG00000198692	406	0.737	0.116	6.33	2.4e-10	1.57e-09	0
ENSG00000229236	2.01	-0.26	1.39	-0.188	0.851	0.907	1
ENSG00000260197	10.1	0.615	0.626	0.981	0.326	0.458	0
ENSG00000290853	92.8	0.178	0.203	0.878	0.38	0.515	0
ENSG00000067048	3330	0.651	0.072	9.04	1.58e-19	1.87e-18	0
ENSG00000286009	2.24	1.11	1.3	0.853	0.394	0.528	0
ENSG00000290323	2.09	-3.52	1.64	-2.16	0.0312	0.0656	2
ENSG00000231535	166	-0.791	0.177	-4.45	8.41e-06	3.43e-05	0
ENSG00000233070	46.3	-1.03	0.292	-3.52	0.000427	0.00135	0
ENSG00000182484	259	-0.106	0.13	-0.812	0.417	0.552	0
ENSG00000124333	982	0.111	0.108	1.03	0.305	0.436	0
ENSG00000155961	20.8	0.508	0.439	1.16	0.247	0.37	0
ENSG00000203870	14.6	-3.06	0.624	-4.91	8.93e-07	4.13e-06	0
ENSG00000154620	161	0.0641	1.56	0.0411			0
ENSG00000130830	7640	-0.956	0.0899	-10.6	2.15e-26	3.5e-25	0
ENSG00000272681	0.98	-1.2	1.96	-0.609	0.543		2
ENSG00000269335	377	-0.417	0.118	-3.52	0.00043	0.00135	0
ENSG00000160211	2460	0.0167	0.091	0.183	0.855	0.91	0
ENSG00000102178	715	0.314	0.0925	3.4	0.000686	0.00209	0
ENSG00000130827	532	-0.108	0.117	-0.928	0.353	0.488	0
ENSG00000071859	1440	-0.475	0.0869	-5.46	4.76e-08	2.51e-07	0
ENSG00000013563	231	-0.241	0.136	-1.78	0.0751	0.139	0
ENSG00000280195	15.4	-0.645	0.487	-1.32	0.186	0.296	0
ENSG00000169057	723	0.68	0.0919	7.4	1.37e-13	1.13e-12	0
ENSG00000177854	53.4	0.083	0.264	0.314	0.754	0.841	0
ENSG00000102032	6	0.894	0.768	1.16	0.245	0.367	0
ENSG00000089820	32.5	0.262	0.338	0.775	0.438	0.573	0
ENSG00000198910	180	-0.521	0.181	-2.87	0.00411	0.0109	0
ENSG00000067840	3.17	1.42	1.09	1.3	0.195	0.307	0
ENSG00000180879	2110	-0.387	0.0815	-4.76	1.98e-06	8.75e-06	0
ENSG00000067829	1020	-0.169	0.102	-1.65	0.0985	0.175	0
ENSG00000185825	5180	-0.301	0.0797	-3.77	0.000162	0.000548	0
ENSG00000130822	28.5	0.819	0.375	2.18	0.029	0.0617	0
ENSG00000067842	207	-5.7	0.317	-18	2.88e-72	1.52e-70	0
ENSG00000183837	1.94	0.287	1.32	0.217	0.828	0.894	0
ENSG00000147383	982	-0.0323	0.0904	-0.357	0.721	0.817	0
ENSG00000147400	671	0.198	0.104	1.91	0.0557	0.108	0
ENSG00000160131	1570	0.709	0.098	7.24	4.54e-13	3.61e-12	0
