gene_ID	PITX1_PTC_baseMean	PITX1_PTC_log2FoldChange	PITX1_PTC_lfcSE	PITX1_PTC_stat	PITX1_PTC_pvalue	PITX1_PTC_padj	PITX1_PTC_n_zeros
ENSG00000271254	1410	-0.00521	0.0924	-0.0564	0.955	1	0
ENSG00000277196	40	0.0471	0.352	0.134	0.894	1	0
ENSG00000278817	57.5	0.186	0.289	0.645	0.519	1	0
ENSG00000198692	265	0.0535	0.18	0.297	0.767	1	0
ENSG00000229236	4.82	-0.333	1.03	-0.324	0.746	1	0
ENSG00000260197	13.6	0.109	0.597	0.182	0.856	1	0
ENSG00000290853	72.6	0.493	0.261	1.89	0.0592	1	0
ENSG00000067048	3550	-0.0732	0.0622	-1.18	0.239	1	0
ENSG00000290323	0.628	14.3	3.35	4.27	1.94e-05	0.00243	5
ENSG00000277930	0.392	1.85	3.79	0.487	0.626	1	4
ENSG00000176679	1.01	0.684	2.56	0.267	0.789	1	3
ENSG00000231535	214	0.178	0.175	1.02	0.308	1	0
ENSG00000233070	44.3	0.195	0.383	0.509	0.61	1	0
ENSG00000278847	1.38	0.114	2	0.0571	0.954	1	1
ENSG00000182484	422	-0.0895	0.141	-0.637	0.524	1	0
ENSG00000124334	2.68	0.0576	1.31	0.044	0.965	1	0
ENSG00000124333	992	-0.0615	0.0899	-0.684	0.494	1	0
ENSG00000224533	3.57	2.5	1.44	1.74	0.0825	1	2
ENSG00000155961	15.7	0.188	0.592	0.318	0.75	1	0
ENSG00000203870	53.2	-0.535	0.332	-1.61	0.107	1	0
ENSG00000154620	91.5	1.02	0.969	1.05	0.294	1	0
ENSG00000130830	8870	-0.327	0.0729	-4.49	7.13e-06	0.000951	0
ENSG00000272681	3.73	1.68	1.21	1.39	0.165	1	0
ENSG00000184033	0.66	1.33	3.26	0.407	0.684	1	3
ENSG00000269335	390	-0.00466	0.134	-0.0348	0.972	1	0
ENSG00000160211	1240	-0.15	0.0847	-1.77	0.0761	1	0
ENSG00000102178	372	0.0819	0.136	0.601	0.548	1	0
ENSG00000130827	916	0.0513	0.0893	0.574	0.566	1	0
ENSG00000071859	1580	-0.0454	0.0772	-0.589	0.556	1	0
ENSG00000013563	175	-0.101	0.181	-0.56	0.576	1	0
ENSG00000280195	10.9	0.404	0.672	0.6	0.548	1	0
ENSG00000169057	464	0.0511	0.12	0.426	0.67	1	0
ENSG00000177854	33.1	1.15	0.388	2.95	0.00316	0.235	0
ENSG00000102032	2.52	0.0668	1.44	0.0464	0.963	1	0
ENSG00000089820	29.2	-0.16	0.425	-0.377	0.706	1	0
ENSG00000198910	73.9	0.327	0.261	1.26	0.209	1	0
ENSG00000067840	2.46	-1.81	1.53	-1.18	0.236	1	0
ENSG00000180879	2480	-0.0176	0.0877	-0.201	0.841	1	0
ENSG00000067829	728	-0.185	0.0987	-1.87	0.0611	1	0
ENSG00000198753	3.97	0.668	1.16	0.577	0.564	1	0
ENSG00000185825	4180	0.00449	0.0683	0.0657	0.948	1	0
ENSG00000130822	125	0.142	0.281	0.506	0.613	1	0
ENSG00000067842	1250	0.0835	0.123	0.679	0.497	1	0
ENSG00000214897	3.95	-1.74	1.2	-1.45	0.146	1	0
ENSG00000183837	3.55	1.16	1.18	0.987	0.323	1	1
ENSG00000147383	504	-0.0591	0.115	-0.515	0.606	1	0
ENSG00000147400	380	0.115	0.126	0.911	0.362	1	0
ENSG00000160131	857	0.00173	0.115	0.0151	0.988	1	0
ENSG00000029993	8030	0.101	0.0702	1.45	0.148	1	0
ENSG00000102181	348	0.404	0.131	3.08	0.00205	0.167	0
ENSG00000063601	1040	0.1	0.0904	1.11	0.267	1	0
ENSG00000013619	1.11	-0.995	2.24	-0.444	0.657	1	2
ENSG00000269556	226	0.074	0.169	0.437	0.662	1	0
ENSG00000241769	22.4	0.365	0.514	0.71	0.478	1	0
ENSG00000287796	5.02	0.266	1.09	0.243	0.808	1	1
ENSG00000182195	292	0.245	0.155	1.59	0.112	1	0
ENSG00000129682	98.2	0.294	0.268	1.1	0.271	1	0
ENSG00000291054	8.52	0.284	0.774	0.367	0.714	1	0
ENSG00000233093	4.2	1.01	1.23	0.824	0.41	1	0
ENSG00000102243	4020	-0.0228	0.0727	-0.313	0.754	1	0
