gene_ID	ZBTB7C_PTC_baseMean	ZBTB7C_PTC_log2FoldChange	ZBTB7C_PTC_lfcSE	ZBTB7C_PTC_stat	ZBTB7C_PTC_pvalue	ZBTB7C_PTC_padj	ZBTB7C_PTC_n_zeros
ENSG00000271254	1410	-0.0349	0.0787	-0.443	0.658	0.963	0
ENSG00000277196	40	-0.211	0.307	-0.688	0.491	0.913	0
ENSG00000278817	57.5	-0.103	0.252	-0.41	0.682	0.966	0
ENSG00000198692	265	0.285	0.153	1.86	0.063	0.454	0
ENSG00000229236	4.82	-0.0394	0.842	-0.0468	0.963	1	0
ENSG00000260197	13.6	0.238	0.501	0.475	0.635	0.958	0
ENSG00000290853	72.6	0.475	0.224	2.12	0.034	0.33	0
ENSG00000067048	3550	-0.128	0.053	-2.42	0.0153	0.213	0
ENSG00000290323	0.628	17.7	2.71	6.54	6.15e-11	9.8e-09	4
ENSG00000277930	0.392	0.978	3.3	0.297	0.767	0.974	5
ENSG00000176679	1.01	2.72	2.04	1.33	0.182	0.699	2
ENSG00000231535	214	0.289	0.149	1.94	0.0524	0.416	0
ENSG00000233070	44.3	0.115	0.326	0.352	0.725	0.972	0
ENSG00000278847	1.38	0.304	1.73	0.175	0.861	0.987	3
ENSG00000182484	422	-0.00892	0.12	-0.0746	0.941	1	0
ENSG00000124334	2.68	-0.439	1.13	-0.389	0.697	0.97	0
ENSG00000124333	992	-0.0988	0.0765	-1.29	0.197	0.715	0
ENSG00000224533	3.57	2.26	1.26	1.79	0.0737	0.487	2
ENSG00000155961	15.7	-0.0514	0.507	-0.101	0.919	1	0
ENSG00000203870	53.2	-0.125	0.275	-0.454	0.65	0.961	0
ENSG00000154620	91.5	-0.0212	0.826	-0.0257	0.98	1	0
ENSG00000130830	8870	-0.166	0.0619	-2.68	0.00729	0.137	0
ENSG00000272681	3.73	-0.969	1.21	-0.798	0.425	0.889	1
ENSG00000184033	0.66	1.98	2.76	0.715	0.474	0.907	4
ENSG00000269335	390	-0.0516	0.115	-0.451	0.652	0.962	0
ENSG00000160211	1240	-0.0558	0.072	-0.775	0.438	0.894	0
ENSG00000102178	372	0.0829	0.117	0.711	0.477	0.908	0
ENSG00000130827	916	0.129	0.0761	1.7	0.089	0.531	0
ENSG00000071859	1580	0.0313	0.0656	0.478	0.633	0.958	0
ENSG00000013563	175	-0.172	0.155	-1.11	0.268	0.79	0
ENSG00000280195	10.9	0.181	0.587	0.309	0.757	0.974	0
ENSG00000169057	464	0.0124	0.103	0.121	0.904	0.996	0
ENSG00000177854	33.1	0.334	0.347	0.96	0.337	0.839	0
ENSG00000102032	2.52	-0.234	1.24	-0.189	0.85	0.986	1
ENSG00000089820	29.2	-0.425	0.365	-1.16	0.244	0.769	0
ENSG00000198910	73.9	0.167	0.225	0.742	0.458	0.903	0
ENSG00000067840	2.46	-0.598	1.19	-0.502	0.616	0.953	1
ENSG00000180879	2480	-0.0681	0.0747	-0.912	0.362	0.856	0
ENSG00000067829	728	-0.202	0.0843	-2.4	0.0166	0.223	0
ENSG00000198753	3.97	-0.654	1.07	-0.614	0.54	0.931	0
ENSG00000185825	4180	-0.0511	0.0581	-0.879	0.379	0.868	0
ENSG00000130822	125	-0.351	0.243	-1.45	0.148	0.654	0
ENSG00000067842	1250	-0.0667	0.105	-0.637	0.524	0.926	0
ENSG00000214897	3.95	-0.67	0.913	-0.734	0.463	0.905	0
ENSG00000183837	3.55	0.818	1.04	0.785	0.432	0.892	1
ENSG00000147383	504	-0.00948	0.0978	-0.097	0.923	1	0
ENSG00000147400	380	0.135	0.107	1.26	0.208	0.729	0
ENSG00000160131	857	0.117	0.0979	1.2	0.232	0.759	0
ENSG00000029993	8030	-0.166	0.0597	-2.78	0.00537	0.111	0
ENSG00000102181	348	0.121	0.114	1.07	0.286	0.802	0
ENSG00000063601	1040	0.074	0.0773	0.958	0.338	0.84	0
ENSG00000013619	1.11	-1.24	1.89	-0.656	0.512	0.92	2
ENSG00000269556	226	0.268	0.144	1.86	0.0628	0.453	0
ENSG00000241769	22.4	0.404	0.438	0.922	0.356	0.852	0
ENSG00000287796	5.02	-0.589	0.982	-0.599	0.549	0.933	0
ENSG00000182195	292	0.161	0.133	1.22	0.224	0.749	0
ENSG00000129682	98.2	0.399	0.229	1.74	0.0812	0.51	0
ENSG00000291054	8.52	0.946	0.643	1.47	0.141	0.643	0
ENSG00000233093	4.2	0.997	1.06	0.943	0.346	0.844	0
ENSG00000102243	4020	0.121	0.0617	1.96	0.0504	0.406	0
ENSG00000165359	223	-0.0026	0.158	-0.0164	0.987	1	0
ENSG00000178947	12.9	0.383	0.557	0.689	0.491	0.913	0
ENSG00000173275	135	0.177	0.195	0.908	0.364	0.857	0
ENSG00000169551	1.15	0.319	1.86	0.172	0.863	0.988	2
ENSG00000203950	281	0.109	0.126	0.864	0.388	0.871	0
ENSG00000184785	8.94	0.532	0.628	0.848	0.397	0.874	0
ENSG00000101928	1630	-0.197	0.0823	-2.39	0.0167	0.223	0
ENSG00000156504	516	0.151	0.101	1.49	0.136	0.635	0
ENSG00000170965	7.01	-1.07	0.764	-1.4	0.161	0.675	0
ENSG00000156531	767	0.188	0.12	1.56	0.12	0.601	0
ENSG00000147257	55.4	-0.836	0.322	-2.6	0.00942	0.16	0
ENSG00000076770	61500	0.0318	0.0745	0.427	0.67	0.964	0
ENSG00000134602	1680	-0.02	0.0812	-0.246	0.806	0.977	0
ENSG00000213468	914	0.117	0.0882	1.32	0.186	0.703	0
ENSG00000147256	3.19	-0.569	1.15	-0.495	0.62	0.954	0
ENSG00000102078	90.1	-0.0453	0.211	-0.215	0.83	0.981	0
ENSG00000085185	8830	-0.0999	0.0583	-1.71	0.0864	0.526	0
ENSG00000188706	1350	-0.0112	0.0648	-0.173	0.863	0.988	0
ENSG00000198354	0.917	-1.64	2.12	-0.772	0.44	0.895	2
ENSG00000009694	10.7	0.491	0.611	0.803	0.422	0.888	0
ENSG00000282419	1.09	-1.54	2.01	-0.765	0.444	0.897	2
ENSG00000101966	2980	-0.0596	0.0559	-1.07	0.286	0.802	0
ENSG00000125676	4040	-0.0709	0.0551	-1.29	0.199	0.718	0
ENSG00000171155	301	0.234	0.144	1.62	0.105	0.568	0
ENSG00000158290	2280	0.134	0.0628	2.13	0.0331	0.326	0
ENSG00000005893	4260	0.0647	0.0548	1.18	0.237	0.763	0
ENSG00000125355	2.15	0.288	1.36	0.213	0.832	0.982	1
ENSG00000258545	7.73	-0.372	0.657	-0.566	0.572	0.94	0
ENSG00000125352	369	-0.037	0.109	-0.341	0.733	0.974	0
ENSG00000286366	4.35	0.00657	0.891	0.00738	0.994	1	0
ENSG00000125354	1600	0.129	0.079	1.63	0.102	0.563	0
ENSG00000018610	672	-0.216	0.0837	-2.58	0.0098	0.164	0
ENSG00000077721	4120	-0.186	0.0547	-3.41	0.000654	0.0235	0
ENSG00000005022	5210	-0.122	0.0564	-2.16	0.031	0.313	0
ENSG00000224281	6.59	0.346	0.809	0.427	0.669	0.964	0
ENSG00000237903	1.08	2.83	2.16	1.31	0.192	0.709	2
ENSG00000077713	102	-0.0741	0.186	-0.399	0.69	0.968	0
ENSG00000175556	25.7	0.0911	0.405	0.225	0.822	0.978	0
ENSG00000235244	46	0.379	0.275	1.38	0.169	0.683	0
ENSG00000102024	8550	-0.126	0.0538	-2.33	0.0196	0.245	0
ENSG00000123496	0.496	0.0202	3.1	0.00652	0.995	1	4
ENSG00000288595	2.28	-2.55	1.48	-1.72	0.0849	0.522	1
ENSG00000077279	7.02	-0.814	0.758	-1.07	0.283	0.8	0
ENSG00000224142	6.02	0.863	0.826	1.04	0.296	0.81	0
ENSG00000157600	764	0.132	0.0822	1.6	0.109	0.579	0
ENSG00000289365	1.62	-2.19	1.73	-1.27	0.205	0.726	2
ENSG00000068366	5140	-0.219	0.0637	-3.44	0.000586	0.0214	0
ENSG00000101890	7	-1.86	0.822	-2.26	0.024	0.274	0
ENSG00000237863	1.44	0.602	1.48	0.408	0.684	0.967	1
ENSG00000197565	676	0.18	0.0899	2.01	0.0447	0.379	0
ENSG00000101844	336	0.0405	0.117	0.346	0.729	0.973	0
ENSG00000080561	22	-0.499	0.401	-1.24	0.213	0.735	0
ENSG00000198088	17.8	0.446	0.448	0.997	0.319	0.826	0
ENSG00000165376	1.93	0.438	1.44	0.305	0.761	0.974	1
ENSG00000147223	3.92	0.107	1.03	0.104	0.917	0.999	0
ENSG00000133131	7190	-0.144	0.138	-1.05	0.295	0.809	0
ENSG00000133138	209	0.24	0.146	1.64	0.102	0.563	0
ENSG00000133135	1510	0.225	0.0959	2.35	0.0188	0.238	0
ENSG00000157502	1140	0.0502	0.0817	0.614	0.539	0.931	0
ENSG00000189108	25.4	-0.598	0.389	-1.54	0.124	0.611	0
ENSG00000166707	1.17	1.24	1.66	0.748	0.454	0.902	0
ENSG00000269226	9.97	-0.364	0.683	-0.533	0.594	0.948	0
ENSG00000231728	2.38	0.269	1.36	0.198	0.843	0.985	2
ENSG00000172476	3.43	-1	1.08	-0.932	0.351	0.849	0
ENSG00000234405	4.54	1.39	1.04	1.34	0.181	0.699	1
ENSG00000185222	794	0.0841	0.0946	0.889	0.374	0.863	0
ENSG00000182916	34.2	0.822	0.391	2.11	0.0353	0.335	0
ENSG00000133134	173	0.109	0.151	0.721	0.471	0.907	0
ENSG00000286846	22	-0.0185	0.396	-0.0466	0.963	1	0
