gene_ID	CBO_3_4_LHX5_CE_baseMean	CBO_3_4_LHX5_CE_log2FoldChange	CBO_3_4_LHX5_CE_lfcSE	CBO_3_4_LHX5_CE_stat	CBO_3_4_LHX5_CE_pvalue	CBO_3_4_LHX5_CE_padj	CBO_3_4_LHX5_KO_baseMean	CBO_3_4_LHX5_KO_log2FoldChange	CBO_3_4_LHX5_KO_lfcSE	CBO_3_4_LHX5_KO_stat	CBO_3_4_LHX5_KO_pvalue	CBO_3_4_LHX5_KO_padj	CBO_3_4_LHX5_PTC_baseMean	CBO_3_4_LHX5_PTC_log2FoldChange	CBO_3_4_LHX5_PTC_lfcSE	CBO_3_4_LHX5_PTC_stat	CBO_3_4_LHX5_PTC_pvalue	CBO_3_4_LHX5_PTC_padj
ENSG00000271254	1330	0.0349	0.171	0.204	0.838	1	1330	0.0262	0.171	0.153	0.878	1	1330	0.0514	0.171	0.301	0.764	1
ENSG00000276345	2.54	0.973	2.37	0.41	0.682	1	2.54	-0.0407	2.39	-0.0171	0.986	1	2.54	-0.664	2.41	-0.276	0.783	1
ENSG00000277196	590	-0.519	0.304	-1.71	0.0879	1	590	-0.15	0.304	-0.495	0.62	1	590	-0.0235	0.304	-0.0773	0.938	1
ENSG00000278817	28.4	-0.84	0.556	-1.51	0.131	1	28.4	-0.837	0.555	-1.51	0.131	1	28.4	-0.438	0.553	-0.792	0.428	1
ENSG00000198692	1040	0.197	0.103	1.91	0.0559	1	1040	0.135	0.103	1.31	0.192	1	1040	0.132	0.103	1.28	0.201	1
ENSG00000229236	4.21	1.14	1.07	1.06	0.288	1	4.21	0.53	1.08	0.49	0.624	1	4.21	1.47	1.06	1.38	0.168	1
ENSG00000260197	53	0.803	0.464	1.73	0.0836	1	53	0.325	0.466	0.698	0.485	1	53	0.845	0.464	1.82	0.0684	1
ENSG00000290853	961	0.155	0.1	1.55	0.121	1	961	0.113	0.1	1.12	0.261	1	961	0.0218	0.1	0.217	0.828	1
ENSG00000067048	7450	0.026	0.204	0.127	0.899	1	7450	-0.00611	0.204	-0.0299	0.976	1	7450	0.0208	0.204	0.102	0.919	1
ENSG00000286009	10.7	0.392	0.626	0.626	0.531	1	10.7	0.299	0.625	0.479	0.632	1	10.7	0.506	0.624	0.81	0.418	1
ENSG00000277930	5.02	0.917	0.869	1.05	0.292	1	5.02	0.363	0.88	0.412	0.68	1	5.02	0.901	0.87	1.04	0.301	1
ENSG00000278847	1.26	1.68	2.13	0.788	0.431	1	1.26	1.69	2.12	0.796	0.426	1	1.26	0.43	2.2	0.196	0.845	1
ENSG00000182484	563	-0.0423	0.183	-0.23	0.818	1	563	-0.00727	0.183	-0.0396	0.968	1	563	-0.0312	0.183	-0.17	0.865	1
ENSG00000124334	21.6	-0.0861	0.525	-0.164	0.87	1	21.6	-0.12	0.523	-0.229	0.819	1	21.6	-0.147	0.525	-0.28	0.779	1
