gene_ID	LHX5_CE_baseMean	LHX5_CE_log2FoldChange	LHX5_CE_lfcSE	LHX5_CE_stat	LHX5_CE_pvalue	LHX5_CE_padj	LHX5_CE_n_zeros	LHX5_KO_baseMean	LHX5_KO_log2FoldChange	LHX5_KO_lfcSE	LHX5_KO_stat	LHX5_KO_pvalue	LHX5_KO_padj	LHX5_KO_n_zeros	LHX5_PTC_baseMean	LHX5_PTC_log2FoldChange	LHX5_PTC_lfcSE	LHX5_PTC_stat	LHX5_PTC_pvalue	LHX5_PTC_padj	LHX5_PTC_n_zeros
ENSG00000271254	1330	0.0376	0.0999	0.376	0.707	0.957	0	1330	0.025	0.0998	0.251	0.802	1	0	1330	0.0541	0.0999	0.541	0.588	0.974	0
ENSG00000276345	2.54	1.44	2.97	0.485	0.628	0.945	5	2.54	0.106	2.98	0.0356	0.972	1	5	2.54	-0.32	3	-0.107	0.915	0.996	3
ENSG00000277196	590	-0.565	0.201	-2.81	0.00488	0.697	0	590	-0.203	0.2	-1.02	0.309	1	0	590	-0.0528	0.2	-0.264	0.792	0.989	0
ENSG00000278817	28.4	-0.981	0.457	-2.14	0.032	0.804	0	28.4	-0.967	0.456	-2.12	0.0338	1	0	28.4	-0.539	0.453	-1.19	0.233	0.925	0
ENSG00000198692	1040	0.195	0.0933	2.09	0.0364	0.804	0	1040	0.131	0.0932	1.4	0.16	1	0	1040	0.129	0.0934	1.39	0.166	0.915	0
ENSG00000229236	4.21	1.14	1.09	1.04	0.298	0.872	0	4.21	0.533	1.11	0.482	0.63	1	0	4.21	1.46	1.09	1.35	0.178	0.922	0
ENSG00000260197	53	0.894	0.427	2.09	0.0364	0.804	0	53	0.402	0.429	0.936	0.349	1	0	53	0.901	0.427	2.11	0.0351	0.911	0
ENSG00000290853	961	0.154	0.095	1.62	0.104	0.811	0	961	0.111	0.0949	1.17	0.241	1	0	961	0.0208	0.0952	0.218	0.827	0.989	0
ENSG00000067048	7450	0.0243	0.0666	0.365	0.715	0.958	0	7450	-0.0159	0.0666	-0.239	0.811	1	0	7450	0.0173	0.0666	0.259	0.795	0.989	0
ENSG00000286009	10.7	0.382	0.608	0.628	0.53	0.925	0	10.7	0.304	0.607	0.5	0.617	1	0	10.7	0.533	0.606	0.88	0.379	0.941	0
ENSG00000277930	5.02	0.924	0.902	1.02	0.306	0.876	0	5.02	0.343	0.913	0.375	0.708	1	0	5.02	0.961	0.901	1.07	0.286	0.93	0
ENSG00000278847	1.26	1.61	2.15	0.746	0.455	0.915	3	1.26	1.68	2.15	0.783	0.434	1	4	1.26	0.354	2.22	0.159	0.873		4
ENSG00000182484	563	-0.049	0.101	-0.486	0.627	0.945	0	563	-0.0195	0.1	-0.195	0.846	1	0	563	-0.0455	0.101	-0.452	0.651	0.981	0
ENSG00000124334	21.6	-0.109	0.469	-0.231	0.817	0.973	0	21.6	-0.126	0.467	-0.27	0.787	1	0	21.6	-0.2	0.47	-0.425	0.671	0.982	0
ENSG00000124333	1270	0.117	0.115	1.02	0.308	0.877	0	1270	0.0956	0.115	0.831	0.406	1	0	1270	0.114	0.115	0.987	0.324	0.936	0
ENSG00000224533	3.71	0.984	1.35	0.726	0.468	0.918	3	3.71	1.54	1.34	1.15	0.251	1	1	3.71	0.0323	1.39	0.0233	0.981	0.999	4
ENSG00000155961	761	0.0565	0.109	0.52	0.603	0.94	0	761	-0.0472	0.109	-0.435	0.664	1	0	761	0.0441	0.109	0.406	0.685	0.983	0
ENSG00000274183	0.577	2.63	3.38	0.777	0.437		5	0.577	0.308	3.44	0.0895	0.929	1	7	0.577	1.55	3.43	0.452	0.651		7
ENSG00000154620	441	0.31	0.47	0.66	0.51	0.922	0	441	-0.0336	0.47	-0.0715	0.943	1	0	441	-0.183	0.47	-0.389	0.697	0.985	0
ENSG00000130830	313	0.00406	0.244	0.0166	0.987	0.998	0	313	-0.0994	0.244	-0.407	0.684	1	0	313	0.235	0.244	0.966	0.334	0.936	0
ENSG00000272681	1.76	-2	1.53	-1.31	0.19	0.838	3	1.76	-0.252	1.36	-0.185	0.853	1	0	1.76	0.501	1.34	0.374	0.709	0.987	1
ENSG00000269335	444	-0.129	0.108	-1.19	0.235	0.854	0	444	-0.0783	0.108	-0.726	0.468	1	0	444	-0.0575	0.108	-0.532	0.595	0.974	0
ENSG00000160211	1770	-0.078	0.082	-0.951	0.342	0.888	0	1770	-0.0332	0.0819	-0.405	0.685	1	0	1770	-0.0895	0.082	-1.09	0.276	0.93	0
ENSG00000102178	634	-0.00509	0.113	-0.0451	0.964	0.996	0	634	-0.0124	0.113	-0.11	0.912	1	0	634	0.00424	0.113	0.0376	0.97	0.998	0
ENSG00000130827	925	-0.165	0.101	-1.64	0.101	0.807	0	925	-0.124	0.101	-1.24	0.216	1	0	925	-0.055	0.101	-0.546	0.585	0.974	0
ENSG00000071859	1090	-0.175	0.102	-1.71	0.0873	0.807	0	1090	-0.118	0.102	-1.15	0.249	1	0	1090	-0.145	0.102	-1.42	0.155	0.911	0
ENSG00000013563	290	-0.255	0.119	-2.15	0.0314	0.804	0	290	-0.143	0.118	-1.21	0.226	1	0	290	-0.221	0.119	-1.86	0.0624	0.911	0
ENSG00000280195	22	0.372	0.442	0.842	0.4	0.903	0	22	0.285	0.441	0.647	0.518	1	0	22	0.292	0.443	0.66	0.509	0.961	0
ENSG00000007350	4.39	1.13	1.15	0.985	0.325	0.881	1	4.39	-0.217	1.17	-0.184	0.854	1	0	4.39	-0.269	1.18	-0.228	0.82	0.989	1
ENSG00000169057	2290	-0.0884	0.0914	-0.967	0.333	0.884	0	2290	-0.127	0.0913	-1.39	0.164	1	0	2290	-0.0481	0.0914	-0.527	0.598	0.974	0
ENSG00000177854	27.2	-0.786	0.399	-1.97	0.049	0.807	0	27.2	-0.588	0.395	-1.49	0.136	1	0	27.2	-0.446	0.395	-1.13	0.258	0.929	0
ENSG00000102032	200	-0.155	0.189	-0.818	0.414	0.905	0	200	-0.135	0.189	-0.715	0.475	1	0	200	-0.0444	0.189	-0.235	0.814	0.989	0
ENSG00000089820	863	-0.286	0.15	-1.9	0.0575	0.807	0	863	-0.274	0.15	-1.82	0.068	1	0	863	-0.0193	0.15	-0.128	0.898	0.995	0
ENSG00000198910	2820	-0.192	0.0734	-2.61	0.00892	0.768	0	2820	-0.203	0.0733	-2.76	0.00571	1	0	2820	-0.0374	0.0733	-0.51	0.61	0.976	0
ENSG00000067840	5880	-0.205	0.112	-1.83	0.0666	0.807	0	5880	-0.172	0.112	-1.54	0.124	1	0	5880	0.104	0.112	0.932	0.351	0.938	0
