gene_ID	FEZF2_CE_baseMean	FEZF2_CE_log2FoldChange	FEZF2_CE_lfcSE	FEZF2_CE_stat	FEZF2_CE_pvalue	FEZF2_CE_padj	FEZF2_CE_n_zeros	FEZF2_KO_baseMean	FEZF2_KO_log2FoldChange	FEZF2_KO_lfcSE	FEZF2_KO_stat	FEZF2_KO_pvalue	FEZF2_KO_padj	FEZF2_KO_n_zeros	FEZF2_PTC_baseMean	FEZF2_PTC_log2FoldChange	FEZF2_PTC_lfcSE	FEZF2_PTC_stat	FEZF2_PTC_pvalue	FEZF2_PTC_padj	FEZF2_PTC_n_zeros
ENSG00000271254	885	0.207	0.178	1.16	0.245	0.789	0	885	0.109	0.177	0.617	0.538	1	0	885	0.183	0.177	1.03	0.302	1	0
ENSG00000276345	1.24	-3.06	5.1	-0.6	0.549	0.912	7	1.24	-4.72	5.12	-0.922	0.356	1	8	1.24	-0.822	5.01	-0.164	0.87	1	7
ENSG00000277196	2860	0.0998	0.252	0.396	0.692	0.95	0	2860	0.00453	0.251	0.018	0.986	1	0	2860	0.106	0.252	0.422	0.673	1	0
ENSG00000278817	26.6	0.434	1.34	0.325	0.745	0.963	1	26.6	1.23	1.33	0.922	0.356	1	1	26.6	0.324	1.33	0.242	0.808	1	1
ENSG00000198692	714	-0.0977	0.195	-0.5	0.617	0.931	0	714	-0.0442	0.195	-0.227	0.82	1	0	714	-0.0832	0.195	-0.426	0.67	1	0
ENSG00000229236	18.5	1	0.645	1.56	0.12	0.719	0	18.5	0.327	0.656	0.499	0.618	1	0	18.5	0.958	0.645	1.49	0.137	1	0
ENSG00000260197	56.5	1.53	0.541	2.82	0.00483	0.526	0	56.5	1.23	0.542	2.27	0.0233	1	0	56.5	1.36	0.542	2.5	0.0123	1	0
ENSG00000290853	982	0.156	0.252	0.62	0.535	0.908	0	982	-0.107	0.252	-0.426	0.67	1	0	982	0.0934	0.252	0.37	0.711	1	0
ENSG00000067048	3250	0.147	0.173	0.85	0.395	0.856	0	3250	0.183	0.173	1.06	0.289	1	0	3250	0.123	0.173	0.709	0.478	1	0
ENSG00000286009	11.3	-0.194	0.69	-0.282	0.778	0.969	0	11.3	0.15	0.682	0.22	0.826	1	0	11.3	-0.0882	0.686	-0.129	0.898	1	0
