gene_ID	OTX1_CE_baseMean	OTX1_CE_log2FoldChange	OTX1_CE_lfcSE	OTX1_CE_stat	OTX1_CE_pvalue	OTX1_CE_padj	OTX1_CE_n_zeros	OTX1_KO_baseMean	OTX1_KO_log2FoldChange	OTX1_KO_lfcSE	OTX1_KO_stat	OTX1_KO_pvalue	OTX1_KO_padj	OTX1_KO_n_zeros	OTX1_PTC_baseMean	OTX1_PTC_log2FoldChange	OTX1_PTC_lfcSE	OTX1_PTC_stat	OTX1_PTC_pvalue	OTX1_PTC_padj	OTX1_PTC_n_zeros
ENSG00000271254	1580	0.434	0.183	2.37	0.0177	1	0	1580	0.223	0.183	1.22	0.224	1	0	1580	0.0815	0.184	0.443	0.658	1	0
ENSG00000277196	1300	-0.321	0.285	-1.13	0.261	1	0	1300	-0.0552	0.285	-0.194	0.846	1	0	1300	-0.11	0.285	-0.388	0.698	1	0
ENSG00000278817	20	-0.241	1.43	-0.168	0.866	1	1	20	-0.234	1.43	-0.164	0.87	1	2	20	0.396	1.43	0.278	0.781	1	1
ENSG00000198692	783	0.194	0.169	1.15	0.251	1	0	783	-0.113	0.17	-0.666	0.505	1	0	783	0.104	0.17	0.615	0.538	1	0
ENSG00000229236	24.1	-0.173	0.646	-0.268	0.789	1	0	24.1	-0.00201	0.643	-0.00313	0.998	1	0	24.1	-0.00952	0.646	-0.0148	0.988	1	0
ENSG00000260197	74.1	1.4	0.492	2.85	0.00441	1	0	74.1	0.773	0.5	1.55	0.122	1	0	74.1	0.743	0.504	1.48	0.14	1	0
ENSG00000290853	715	-0.149	0.411	-0.362	0.718	1	0	715	0.29	0.411	0.706	0.48	1	0	715	0.256	0.411	0.623	0.533	1	0
ENSG00000067048	3680	-0.0206	0.142	-0.145	0.885	1	0	3680	-0.115	0.142	-0.812	0.417	1	0	3680	-0.086	0.142	-0.607	0.544	1	0
ENSG00000286009	10.3	-1.34	0.798	-1.67	0.0944	1	0	10.3	-0.867	0.777	-1.12	0.264	1	0	10.3	-0.531	0.772	-0.688	0.492	1	0
ENSG00000277930	2.5	-1.8	1.83	-0.982	0.326	1	1	2.5	-0.0775	1.62	-0.0478	0.962	1	1	2.5	-0.324	1.66	-0.196	0.845	1	1
ENSG00000231535	6.43	-0.0131	1.15	-0.0114	0.991	1	0	6.43	1.27	1.11	1.15	0.252	1	0	6.43	0.532	1.13	0.469	0.639	1	0
