gene_ID	NR2F1_PTC_baseMean	NR2F1_PTC_log2FoldChange	NR2F1_PTC_lfcSE	NR2F1_PTC_stat	NR2F1_PTC_pvalue	NR2F1_PTC_padj	NR2F1_PTC_n_zeros
ENSG00000271254	4680	0.0399	0.0622	0.641	0.522	0.686	0
ENSG00000277196	78.5	1.28	0.261	4.92	8.8e-07	1.79e-05	0
ENSG00000278817	119	0.72	0.203	3.54	0.000393	0.00315	0
ENSG00000198692	578	6.03e-05	0.0974	0.000618	1	1	0
ENSG00000229236	37.1	-0.712	0.327	-2.18	0.0293	0.0908	0
ENSG00000260197	27.7	-0.184	0.394	-0.468	0.64	0.779	0
ENSG00000290853	122	-0.332	0.192	-1.72	0.0846	0.198	0
ENSG00000067048	2040	-0.0526	0.0782	-0.673	0.501	0.669	0
ENSG00000286009	20.7	0.0254	0.428	0.0592	0.953	0.976	0
ENSG00000277930	2.33	-0.196	1.26	-0.155	0.876		0
ENSG00000278847	3.83	-0.0652	0.983	-0.0663	0.947		0
ENSG00000182484	615	0.0218	0.0985	0.221	0.825	0.901	0
ENSG00000124333	590	-0.207	0.101	-2.06	0.0394	0.113	0
ENSG00000224533	4.42	-0.12	1.18	-0.101	0.92		2
ENSG00000155961	792	-0.0341	0.0929	-0.367	0.714	0.829	0
ENSG00000154620	73.4	-0.324	0.26	-1.25	0.213	0.379	0
ENSG00000130830	134	0.505	0.175	2.88	0.00402	0.02	0
ENSG00000272681	3.61	-1.16	1.1	-1.05	0.292		1
ENSG00000269335	267	0.207	0.148	1.4	0.162	0.314	0
ENSG00000160211	1140	0.397	0.0897	4.42	9.68e-06	0.000144	0
ENSG00000102178	863	0.328	0.102	3.21	0.00133	0.0084	0
ENSG00000130827	1460	0.0155	0.0887	0.175	0.861	0.922	0
ENSG00000071859	968	0.249	0.0879	2.83	0.00468	0.0225	0
ENSG00000013563	146	0.719	0.179	4.02	5.7e-05	0.000649	0
ENSG00000280195	37.6	-0.0805	0.318	-0.253	0.8	0.886	0
ENSG00000007350	1340	0.252	0.0798	3.15	0.00163	0.00982	0
ENSG00000169057	3560	-0.118	0.0669	-1.76	0.0781	0.187	0
ENSG00000177854	77.9	0.0489	0.225	0.218	0.828	0.902	0
ENSG00000102032	77	0.472	0.248	1.9	0.0574	0.149	0
ENSG00000089820	43.7	0.221	0.306	0.721	0.471	0.643	0
ENSG00000198910	3380	-0.105	0.105	-1	0.316	0.494	0
ENSG00000067840	2540	0.147	0.0819	1.8	0.0725	0.177	0
ENSG00000180879	1420	-0.0566	0.0951	-0.596	0.551	0.711	0
ENSG00000067829	807	0.223	0.0946	2.36	0.0185	0.0642	0
ENSG00000198753	60	0.136	0.267	0.51	0.61	0.756	0
ENSG00000185825	1430	0.24	0.0972	2.46	0.0138	0.0518	0
ENSG00000130822	59.5	0.587	0.27	2.17	0.0297	0.0915	0
ENSG00000067842	29.6	-0.551	0.363	-1.52	0.129	0.268	0
ENSG00000183837	153	0.751	0.181	4.15	3.26e-05	0.000408	0
ENSG00000147383	998	0.178	0.0901	1.97	0.0483	0.131	0
ENSG00000147400	2110	0.0499	0.0748	0.668	0.504	0.672	0
ENSG00000268916	0.646	1.29	2.39	0.541	0.589		2
ENSG00000160131	5930	-0.107	0.0623	-1.73	0.0844	0.198	0
ENSG00000234696	12.4	0.571	0.602	0.948	0.343	0.523	0
ENSG00000029993	8020	0.0647	0.0609	1.06	0.288	0.464	0
ENSG00000102181	2390	0.243	0.0823	2.96	0.00312	0.0165	0
ENSG00000063601	1260	0.0935	0.0826	1.13	0.258	0.432	0
ENSG00000013619	382	0.0729	0.119	0.615	0.539	0.7	0
ENSG00000269556	780	0.0213	0.0914	0.234	0.815	0.895	0
ENSG00000241769	155	-0.292	0.177	-1.64	0.1	0.224	0
ENSG00000277215	17.1	-0.591	0.5	-1.18	0.238	0.409	0
ENSG00000182195	936	0.125	0.0948	1.32	0.187	0.347	0
ENSG00000134595	8410	0.198	0.0744	2.66	0.00776	0.0332	0
ENSG00000129682	2440	-0.438	0.0706	-6.21	5.25e-10	2.48e-08	0
ENSG00000291054	96.8	-0.236	0.21	-1.13	0.26	0.435	0
ENSG00000165359	996	-0.291	0.0906	-3.21	0.00131	0.00828	0
ENSG00000178947	407	-0.255	0.112	-2.27	0.023	0.0757	0
ENSG00000173275	330	-0.325	0.142	-2.28	0.0227	0.0749	0
ENSG00000169551	3.73	-0.425	1.01	-0.421	0.674		0
ENSG00000203950	623	0.551	0.129	4.27	1.99e-05	0.000269	0
ENSG00000184785	8.08	0.479	0.708	0.677	0.498		0
ENSG00000101928	472	-0.335	0.112	-3	0.00269	0.0147	0
ENSG00000156504	952	0.225	0.0991	2.27	0.0231	0.076	0
ENSG00000156531	6320	-0.102	0.0657	-1.55	0.12	0.255	0
ENSG00000147257	2120	0.647	0.414	1.56	0.118	0.252	0
ENSG00000076770	567	-0.073	0.101	-0.72	0.471	0.644	0
ENSG00000134602	1360	0.465	0.085	5.47	4.43e-08	1.33e-06	0
ENSG00000213468	1190	0.711	0.105	6.77	1.31e-11	8.47e-10	0
ENSG00000286060	7.01	-0.477	0.736	-0.648	0.517		0
ENSG00000287806	1.38	-0.113	1.76	-0.0642	0.949		2
ENSG00000147256	1.21	-1.49	1.94	-0.767	0.443		2
ENSG00000102078	463	-0.0924	0.109	-0.845	0.398	0.576	0
ENSG00000085185	2580	0.256	0.0749	3.42	0.000635	0.00465	0
ENSG00000235189	1.47	-0.561	1.69	-0.332	0.74		2
ENSG00000188706	1730	0.0136	0.0724	0.188	0.851	0.916	0
ENSG00000198354	30	0.187	0.364	0.514	0.607	0.754	0
ENSG00000009694	218	-0.535	0.157	-3.4	0.000672	0.00485	0
ENSG00000101966	2570	-0.133	0.0732	-1.82	0.0683	0.17	0
ENSG00000125676	3700	-0.081	0.0684	-1.18	0.236	0.408	0
ENSG00000125675	813	-0.483	0.097	-4.98	6.36e-07	1.37e-05	0
ENSG00000171155	407	0.0053	0.109	0.0484	0.961	0.981	0
ENSG00000158290	6130	-0.0284	0.0662	-0.429	0.668	0.798	0
ENSG00000005893	4300	0.0227	0.0652	0.349	0.727	0.838	0
ENSG00000125355	1450	0.961	0.102	9.38	6.31e-21	1.99e-18	0
ENSG00000125352	271	0.0292	0.135	0.216	0.829	0.902	0
ENSG00000286366	15.4	0.108	0.501	0.215	0.83	0.903	0
ENSG00000125354	2340	0.0942	0.081	1.16	0.245	0.417	0
ENSG00000018610	383	0.0438	0.115	0.38	0.704	0.822	0
ENSG00000077721	1700	-0.095	0.0759	-1.25	0.211	0.377	0
ENSG00000005022	5150	0.191	0.0764	2.5	0.0123	0.0475	0
ENSG00000224281	42.1	-0.395	0.315	-1.26	0.209	0.375	0
ENSG00000077713	6.33	0.471	0.823	0.573	0.567		0
ENSG00000175556	12.8	-0.145	0.581	-0.249	0.803	0.888	0
ENSG00000235244	68.9	-0.448	0.242	-1.85	0.0643	0.163	0
ENSG00000102024	2640	0.297	0.106	2.81	0.00488	0.0233	0
ENSG00000123496	4.73	1.23	0.971	1.27	0.205		0
ENSG00000077279	33300	-0.329	0.0675	-4.88	1.07e-06	2.14e-05	0
ENSG00000224142	1.03	-1.16	2.02	-0.575	0.565		2
ENSG00000157600	1450	0.161	0.0765	2.1	0.0355	0.104	0
ENSG00000289365	2.64	0.17	1.22	0.139	0.889		0
ENSG00000068366	1340	0.027	0.0777	0.348	0.728	0.839	0
ENSG00000101890	2.43	1.28	1.28	1	0.317		0
ENSG00000237863	75	0.0818	0.245	0.334	0.738	0.846	0
ENSG00000197565	3540	0.425	0.249	1.7	0.0886	0.205	0
ENSG00000101844	196	-0.143	0.151	-0.948	0.343	0.523	0
ENSG00000080561	91	0.122	0.219	0.558	0.577	0.73	0
ENSG00000080572	0.939	0.746	2.09	0.357	0.721		2
ENSG00000198088	272	0.696	0.137	5.07	3.93e-07	9e-06	0
ENSG00000165376	2.73	1.51	1.23	1.23	0.219		0
ENSG00000147223	0.855	-0.747	2.07	-0.36	0.719		1
ENSG00000133131	574	0.205	0.103	2	0.0454	0.125	0
ENSG00000133138	43.7	-0.25	0.327	-0.763	0.446	0.62	0
ENSG00000133135	1.5	1.67	1.8	0.926	0.355		2
ENSG00000157502	199	-0.0539	0.152	-0.354	0.723	0.835	0
ENSG00000189108	21	-0.283	0.456	-0.621	0.535	0.697	0
ENSG00000166707	219	-0.226	0.144	-1.57	0.117	0.25	0
ENSG00000269226	380	-0.464	0.13	-3.56	0.000375	0.00303	0
ENSG00000231728	49.4	-0.357	0.332	-1.07	0.283	0.459	0
ENSG00000172476	16.1	0.282	0.486	0.58	0.562	0.719	0
ENSG00000234405	31.6	-0.391	0.357	-1.1	0.273	0.448	0
ENSG00000185222	1070	-0.457	0.0867	-5.27	1.36e-07	3.56e-06	0
ENSG00000182916	1110	-0.13	0.0839	-1.55	0.121	0.257	0
ENSG00000133134	619	-0.0345	0.11	-0.313	0.754	0.856	0
ENSG00000286846	26.6	-1.01	0.407	-2.49	0.0128	0.0492	0
ENSG00000286237	343	-0.34	0.159	-2.14	0.0324	0.0979	0
ENSG00000158301	2090	0.103	0.0688	1.5	0.134	0.276	0
ENSG00000125962	633	-0.0991	0.0975	-1.02	0.31	0.487	0
ENSG00000290811	12.4	-1.01	0.576	-1.76	0.0793	0.189	0
ENSG00000215029	20.4	-0.503	0.499	-1.01	0.313	0.491	0
ENSG00000269405	10.4	-0.599	2.1	-0.285	0.776	0.87	2
ENSG00000184905	147	0.139	0.214	0.648	0.517	0.683	0
ENSG00000184867	3950	0.0131	0.0878	0.149	0.881	0.933	0
ENSG00000102401	5710	-0.326	0.0733	-4.45	8.44e-06	0.000129	0
ENSG00000290908	8.17	-0.634	2.05	-0.309	0.757		2
ENSG00000010671	2.11	0.00774	1.34	0.00578	0.995		0
ENSG00000102384	1210	0.141	0.0759	1.85	0.0637	0.162	0
ENSG00000204086	1.67	0.424	1.54	0.276	0.783		1
ENSG00000147202	393	0.425	0.124	3.42	0.000629	0.00461	0
ENSG00000186310	1420	-0.292	0.0751	-3.89	0.000102	0.00104	0
ENSG00000234161	17.6	-0.375	0.492	-0.762	0.446	0.62	0
ENSG00000184788	33.7	-0.0627	0.336	-0.187	0.852	0.917	0
ENSG00000072133	888	-0.105	0.0898	-1.17	0.243	0.415	0
ENSG00000196767	2560	0.162	0.0812	2	0.0458	0.126	0
ENSG00000131171	3130	-0.152	0.0819	-1.86	0.0636	0.161	0
ENSG00000147255	121	0.287	0.202	1.42	0.156	0.305	0
