gene_ID	SIX3_PTC_baseMean	SIX3_PTC_log2FoldChange	SIX3_PTC_lfcSE	SIX3_PTC_stat	SIX3_PTC_pvalue	SIX3_PTC_padj	SIX3_PTC_n_zeros
ENSG00000271254	1050	-0.054	0.196	-0.276	0.782	0.928	0
ENSG00000276345	2.37	0.907	1.35	0.674	0.5		2
ENSG00000277196	324	-0.158	0.116	-1.36	0.174	0.486	0
ENSG00000278817	18.3	-0.184	0.457	-0.402	0.688	0.889	0
ENSG00000198692	665	-0.0182	0.0915	-0.199	0.842	0.949	0
ENSG00000229236	30.3	0.211	0.35	0.603	0.546	0.814	0
ENSG00000260197	36.8	0.582	0.32	1.82	0.0689	0.292	0
ENSG00000290853	200	-0.0891	0.138	-0.647	0.518	0.798	0
ENSG00000067048	3080	0.02	0.0578	0.346	0.729	0.907	0
ENSG00000286009	10.2	-0.465	0.583	-0.797	0.425		0
ENSG00000277930	2.98	-1.3	1.13	-1.15	0.251		0
ENSG00000231535	11.8	1.31	0.564	2.32	0.0206		0
ENSG00000278847	4.98	-0.548	0.851	-0.643	0.52		0
ENSG00000182484	438	-0.0633	0.0975	-0.65	0.516	0.797	0
ENSG00000124334	3.13	0.534	1.05	0.509	0.611		0
ENSG00000124333	886	0.045	0.0819	0.55	0.582	0.835	0
ENSG00000224533	8.01	-0.164	0.669	-0.245	0.806		0
ENSG00000155961	393	-0.164	0.109	-1.5	0.133	0.42	0
ENSG00000154620	120	0.0759	0.188	0.403	0.687	0.889	0
ENSG00000272681	3.2	-0.44	1.15	-0.384	0.701		1
ENSG00000269335	244	-0.00818	0.124	-0.0662	0.947	0.985	0
ENSG00000160211	1630	-0.0839	0.0667	-1.26	0.208	0.533	0
ENSG00000102178	573	0.162	0.0884	1.83	0.0677	0.288	0
ENSG00000130827	825	0.107	0.0818	1.3	0.193	0.512	0
ENSG00000071859	898	0.0129	0.0753	0.171	0.864	0.956	0
ENSG00000013563	334	0.0272	0.108	0.252	0.801	0.933	0
ENSG00000280195	34.5	0.115	0.33	0.35	0.727	0.906	0
ENSG00000007350	6.39	0.665	0.756	0.88	0.379		0
ENSG00000169057	2340	-0.01	0.0548	-0.183	0.855	0.953	0
ENSG00000177854	64.5	-0.485	0.237	-2.05	0.0408	0.211	0
ENSG00000102032	103	0.266	0.19	1.4	0.162	0.466	0
ENSG00000089820	260	0.176	0.12	1.47	0.142	0.436	0
