gene_ID	DLX5_PTC_baseMean	DLX5_PTC_log2FoldChange	DLX5_PTC_lfcSE	DLX5_PTC_stat	DLX5_PTC_pvalue	DLX5_PTC_padj	DLX5_PTC_n_zeros
ENSG00000271254	807	-0.0858	0.0738	-1.16	0.245	0.999	0
ENSG00000276345	0.972	-2.46	2.31	-1.06	0.288		5
ENSG00000277196	37.9	-0.221	0.286	-0.772	0.44	0.999	0
ENSG00000278817	58.2	0.167	0.282	0.592	0.554	0.999	0
ENSG00000198692	310	-0.0545	0.145	-0.375	0.707	0.999	0
ENSG00000229236	3.83	1.55	1.07	1.45	0.148		0
ENSG00000260197	11.3	-1.15	0.506	-2.27	0.0232	0.9	0
ENSG00000290853	90.9	0.115	0.204	0.564	0.573	0.999	0
ENSG00000067048	2630	-0.0595	0.0541	-1.1	0.271	0.999	0
ENSG00000286009	1.15	2.09	1.78	1.17	0.241		3
ENSG00000290323	1.41	0.411	1.74	0.236	0.814		3
ENSG00000277930	0.326	-0.135	3.23	-0.0417	0.967		4
ENSG00000176679	0.742	1.38	2.02	0.68	0.496		3
ENSG00000231535	195	-0.0571	0.21	-0.271	0.786	0.999	0
ENSG00000233070	29.8	0.0147	0.296	0.0498	0.96	0.999	0
ENSG00000278847	0.971	-0.0627	1.83	-0.0342	0.973		3
ENSG00000182484	372	0.12	0.16	0.754	0.451	0.999	0
ENSG00000124334	2.97	-1.23	1.24	-0.987	0.324		2
ENSG00000124333	653	-0.16	0.0888	-1.81	0.0709	0.999	0
ENSG00000224533	1.72	0.819	1.99	0.412	0.68		3
ENSG00000155961	9.2	-0.0773	0.574	-0.135	0.893	0.999	0
ENSG00000274183	0.715	3.01	2.69	1.12	0.263		4
ENSG00000203870	25.9	-0.103	0.327	-0.314	0.753	0.999	0
ENSG00000154620	148	0.331	0.926	0.358	0.721	0.999	0
ENSG00000130830	6550	-0.172	0.123	-1.4	0.163	0.999	0
ENSG00000272681	1.66	-0.0984	1.4	-0.0705	0.944		1
ENSG00000269335	320	-0.0826	0.115	-0.716	0.474	0.999	0
ENSG00000160211	1190	-0.0959	0.0634	-1.51	0.131	0.999	0
ENSG00000102178	462	-0.0348	0.118	-0.296	0.767	0.999	0
ENSG00000130827	730	0.0343	0.137	0.249	0.803	0.999	0
ENSG00000071859	1100	0.0691	0.103	0.668	0.504	0.999	0
ENSG00000013563	144	-0.0649	0.163	-0.398	0.691	0.999	0
ENSG00000280195	10.9	0.355	0.575	0.616	0.538	0.999	0
ENSG00000169057	491	0.0868	0.125	0.694	0.488	0.999	0
ENSG00000177854	24.4	0.293	0.36	0.812	0.417	0.999	0
ENSG00000102032	2.49	-0.603	1.29	-0.465	0.642		2
ENSG00000089820	21.1	-0.025	0.339	-0.0737	0.941	0.999	0
ENSG00000198910	151	0.408	0.608	0.671	0.502	0.999	0
ENSG00000067840	1.62	-0.548	1.54	-0.356	0.722		2
ENSG00000180879	1640	-0.0368	0.122	-0.302	0.763	0.999	0
ENSG00000067829	672	0.105	0.0937	1.12	0.263	0.999	0
ENSG00000198753	2.32	0.171	1.14	0.149	0.881		1
ENSG00000185825	2930	-0.0126	0.116	-0.108	0.914	0.999	0
ENSG00000130822	41.8	0.816	0.446	1.83	0.0676	0.999	0
ENSG00000067842	659	-0.00363	0.232	-0.0156	0.988	0.999	0
ENSG00000183837	3.27	-1.03	0.927	-1.11	0.268		0
ENSG00000147383	523	0.0188	0.0961	0.196	0.845	0.999	0
ENSG00000147400	367	0.0733	0.0956	0.767	0.443	0.999	0
ENSG00000160131	972	-0.0829	0.13	-0.639	0.523	0.999	0
ENSG00000029993	3830	0.229	0.202	1.14	0.255	0.999	0
ENSG00000102181	280	0.191	0.129	1.48	0.14	0.999	0
ENSG00000063601	1020	0.0139	0.0769	0.182	0.856	0.999	0
ENSG00000013619	0.588	0.772	2.18	0.354	0.723		3
ENSG00000269556	229	-0.132	0.123	-1.08	0.281	0.999	0
ENSG00000241769	21.2	0.00759	0.424	0.0179	0.986	0.999	0
ENSG00000277215	1.19	-2.04	1.82	-1.12	0.262		2
ENSG00000182195	311	0.118	0.119	0.996	0.319	0.999	0
ENSG00000134595	0.764	-0.135	2.59	-0.052	0.959		4
ENSG00000129682	201	0.282	0.238	1.18	0.236	0.999	0
ENSG00000291054	12.5	-0.241	0.549	-0.439	0.661	0.999	0
ENSG00000233093	1.6	-0.577	1.48	-0.391	0.696		2
ENSG00000102243	4620	-0.0221	0.0878	-0.251	0.802	0.999	0
ENSG00000165359	94.3	0.114	0.184	0.619	0.536	0.999	0
ENSG00000178947	7.88	-0.104	0.632	-0.165	0.869		0
ENSG00000173275	121	0.261	0.171	1.53	0.127	0.999	0
ENSG00000169551	0.654	-0.999	2.35	-0.425	0.671		3
ENSG00000203950	304	0.0306	0.132	0.231	0.817	0.999	0
ENSG00000184785	15.3	0.238	0.475	0.501	0.616	0.999	0
ENSG00000101928	726	-0.286	0.169	-1.7	0.0898	0.999	0
ENSG00000156504	564	-0.0327	0.124	-0.263	0.793	0.999	0
ENSG00000170965	4.99	-0.626	0.759	-0.825	0.41		0
ENSG00000156531	888	-0.15	0.109	-1.37	0.17	0.999	0
ENSG00000147257	23.4	-0.155	0.372	-0.415	0.678	0.999	0
ENSG00000076770	45900	-0.188	0.0933	-2.01	0.0439	0.999	0
ENSG00000134602	1450	-0.152	0.0762	-2	0.0458	0.999	0
ENSG00000213468	495	-0.0162	0.164	-0.0992	0.921	0.999	0
ENSG00000147256	1.83	1.64	1.46	1.12	0.262		2
ENSG00000102078	102	-0.123	0.172	-0.718	0.473	0.999	0
ENSG00000085185	4450	-0.125	0.169	-0.738	0.46	0.999	0
ENSG00000188706	986	0.0241	0.0904	0.267	0.79	0.999	0
ENSG00000198354	1.34	-0.387	1.31	-0.295	0.768		1
ENSG00000009694	12.6	-0.237	0.518	-0.457	0.648	0.999	0
ENSG00000101966	1810	-0.11	0.0902	-1.22	0.222	0.999	0
ENSG00000125676	2680	-0.0581	0.0911	-0.638	0.524	0.999	0
ENSG00000171155	338	-0.169	0.136	-1.24	0.214	0.999	0
ENSG00000158290	1850	0.0195	0.0707	0.276	0.782	0.999	0
ENSG00000005893	3130	-0.0352	0.0576	-0.612	0.541	0.999	0
ENSG00000125355	2.28	-0.687	1.48	-0.465	0.642		2
ENSG00000258545	8.01	1.15	0.609	1.89	0.0581		0
ENSG00000125352	209	0.133	0.192	0.693	0.488	0.999	0
ENSG00000286366	1.81	-0.11	1.21	-0.0911	0.927		0
ENSG00000125354	1520	-0.0344	0.0649	-0.53	0.596	0.999	0
ENSG00000018610	487	0.0455	0.149	0.306	0.759	0.999	0
ENSG00000077721	2910	-0.108	0.143	-0.756	0.45	0.999	0
ENSG00000005022	4450	-0.0346	0.0815	-0.424	0.671	0.999	0
ENSG00000224281	8.03	0.0826	0.578	0.143	0.886		0
ENSG00000237903	1.01	-0.712	1.78	-0.4	0.689		1
ENSG00000077713	78.2	0.208	0.203	1.02	0.306	0.999	0
ENSG00000175556	13.8	-0.388	0.457	-0.848	0.396	0.999	0
ENSG00000235244	48.8	0.0373	0.305	0.122	0.903	0.999	0
ENSG00000102024	5280	-0.0841	0.0702	-1.2	0.231	0.999	0
ENSG00000288595	1.6	0.145	1.47	0.0987	0.921		2
ENSG00000077279	2.58	-0.144	1.23	-0.117	0.907		1
ENSG00000133136	0.675	-0.109	2.07	-0.0524	0.958		2
ENSG00000224142	2.51	-0.37	0.917	-0.404	0.687		0
ENSG00000157600	989	0.0315	0.107	0.295	0.768	0.999	0
ENSG00000289365	2.15	0.12	1.17	0.102	0.919		0
ENSG00000068366	3690	-0.101	0.0981	-1.03	0.304	0.999	0
ENSG00000101890	1.71	0.121	1.28	0.0952	0.924		0
ENSG00000237863	1.49	-0.841	1.43	-0.589	0.556		1
ENSG00000197565	629	0.0483	0.111	0.435	0.664	0.999	0
ENSG00000101844	252	-0.181	0.143	-1.26	0.207	0.999	0
ENSG00000080561	20	0.573	0.376	1.52	0.128	0.999	0
ENSG00000198088	22.9	0.416	0.349	1.19	0.232	0.999	0
ENSG00000165376	1.44	-1.31	1.36	-0.963	0.336		0
ENSG00000147223	2.18	-0.817	1.15	-0.709	0.479		0
ENSG00000133131	4370	0.237	0.195	1.21	0.226	0.999	0
ENSG00000133138	163	0.156	0.155	1	0.317	0.999	0
ENSG00000133135	887	-0.0127	0.118	-0.108	0.914	0.999	0
ENSG00000157502	927	-0.0443	0.125	-0.354	0.723	0.999	0
ENSG00000189108	18.3	0.672	0.467	1.44	0.15	0.999	0
ENSG00000166707	2.42	1.32	1.13	1.17	0.241		0
ENSG00000269226	11.4	0.331	0.79	0.419	0.675	0.999	0
ENSG00000231728	3.66	1.06	1.13	0.939	0.348		0
ENSG00000172476	1.89	-0.441	1.3	-0.34	0.733		1
ENSG00000234405	6.87	0.609	0.809	0.752	0.452		0
ENSG00000185222	1170	0.133	0.14	0.953	0.341	0.999	0
ENSG00000182916	82.4	0.48	0.424	1.13	0.258	0.999	0
ENSG00000133134	182	0.159	0.139	1.15	0.251	0.999	0
ENSG00000286846	17.1	-0.119	0.406	-0.292	0.77	0.999	0
ENSG00000286237	15.1	-0.719	1.22	-0.589	0.556	0.999	1
ENSG00000158301	134	0.0271	0.18	0.151	0.88	0.999	0
ENSG00000125962	179	0.172	0.163	1.05	0.293	0.999	0
ENSG00000184867	507	0.0279	0.107	0.261	0.794	0.999	0
ENSG00000228275	0.672	0.739	2.31	0.319	0.75		4
ENSG00000102401	1270	-0.0515	0.0799	-0.645	0.519	0.999	0
ENSG00000290908	2.93	-1.03	3.62	-0.284	0.776		4
ENSG00000010671	183	0.382	0.197	1.94	0.0521	0.999	0
ENSG00000102384	291	0.0911	0.195	0.466	0.641	0.999	0
ENSG00000204086	5.45	-0.761	0.744	-1.02	0.306		0
ENSG00000147202	528	-0.147	0.122	-1.21	0.226	0.999	0
ENSG00000286523	0.62	-0.784	2.44	-0.321	0.748		3
ENSG00000186310	22.6	-0.0893	0.364	-0.245	0.806	0.999	0
ENSG00000289479	23.7	-0.15	0.412	-0.365	0.715	0.999	0
ENSG00000234161	0.595	-0.239	2.51	-0.0952	0.924		3
ENSG00000184788	1.48	2.35	1.9	1.23	0.217		3
ENSG00000072133	306	-0.0747	0.121	-0.617	0.537	0.999	0
ENSG00000131171	463	0.0531	0.131	0.405	0.685	0.999	0
ENSG00000147255	6.88	-0.299	0.754	-0.397	0.691		0
ENSG00000198157	97.1	0.213	0.219	0.973	0.33	0.999	0
ENSG00000165288	2040	-0.0216	0.059	-0.366	0.715	0.999	0
ENSG00000078596	67	0.425	0.24	1.77	0.0763	0.999	0
ENSG00000102158	2800	-0.0919	0.0983	-0.935	0.35	0.999	0
ENSG00000198934	49.9	0.181	0.252	0.718	0.473	0.999	0
ENSG00000102390	496	0.0268	0.115	0.233	0.816	0.999	0
ENSG00000094841	122	-0.199	0.187	-1.06	0.288	0.999	0
ENSG00000147100	66.4	0.0785	0.259	0.304	0.761	0.999	0
ENSG00000225470	444	0.0754	0.168	0.449	0.654	0.999	0
ENSG00000229807	1.11	-1.74	1.6	-1.09	0.278		1
ENSG00000186288	7.13	0.0254	0.89	0.0285	0.977		0
ENSG00000269911	15.2	-0.113	0.472	-0.24	0.81	0.999	0
ENSG00000147099	373	0.0789	0.122	0.649	0.516	0.999	0
ENSG00000198034	11500	-0.0452	0.0817	-0.553	0.58	0.999	0
ENSG00000186871	215	0.111	0.142	0.784	0.433	0.999	0
ENSG00000102309	155	0.00892	0.153	0.0584	0.953	0.999	0
ENSG00000204131	98.2	-0.0103	0.305	-0.0336	0.973	0.999	0
ENSG00000215113	0.985	2.31	1.86	1.24	0.214		4
ENSG00000281852	13.3	0.644	0.595	1.08	0.279	0.999	0
ENSG00000283599	0.931	-0.148	1.87	-0.0791	0.937		2
ENSG00000147133	1050	0.0862	0.076	1.13	0.257	0.999	0
ENSG00000147140	7200	0.0274	0.0484	0.565	0.572	0.999	0
ENSG00000196338	42.9	-0.289	0.264	-1.09	0.274	0.999	0
