gene_ID	HEY1_PTC_baseMean	HEY1_PTC_log2FoldChange	HEY1_PTC_lfcSE	HEY1_PTC_stat	HEY1_PTC_pvalue	HEY1_PTC_padj	HEY1_PTC_n_zeros
ENSG00000271254	827	-0.177	0.0858	-2.06	0.039	0.655	0
ENSG00000277196	48.5	0.0551	0.287	0.192	0.848	0.998	0
ENSG00000278817	66.1	-0.126	0.241	-0.52	0.603	0.998	0
ENSG00000198692	345	-0.0431	0.122	-0.355	0.723	0.998	0
ENSG00000229236	5.04	0.597	0.778	0.768	0.443		0
ENSG00000260197	8.69	0.149	0.624	0.239	0.811		0
ENSG00000290853	111	-0.14	0.217	-0.645	0.519	0.998	0
ENSG00000067048	3020	-0.0474	0.0681	-0.696	0.486	0.998	0
ENSG00000286009	0.879	0.687	1.8	0.383	0.702		2
ENSG00000290323	0.919	1	1.95	0.512	0.608		2
ENSG00000277930	0.831	1.44	2.11	0.683	0.494		2
ENSG00000176679	0.52	-0.0405	2.88	-0.0141	0.989		4
ENSG00000231535	199	0.114	0.181	0.63	0.528	0.998	0
ENSG00000233070	30.4	-0.417	0.307	-1.36	0.174	0.928	0
ENSG00000278847	0.78	1.84	2.08	0.886	0.375		2
ENSG00000182484	391	0.046	0.107	0.431	0.666	0.998	0
ENSG00000124334	3.16	0.686	0.987	0.695	0.487		0
ENSG00000124333	730	0.0587	0.0809	0.726	0.468	0.998	0
ENSG00000224533	1.06	0.152	1.71	0.0889	0.929		1
ENSG00000155961	17.3	0.509	0.425	1.2	0.232	0.954	0
ENSG00000203870	23.1	-0.853	0.376	-2.27	0.0234	0.545	0
ENSG00000154620	163	0.18	1.19	0.151			0
ENSG00000130830	6890	-0.0298	0.0882	-0.338	0.735	0.998	0
ENSG00000272681	2.15	-0.804	1.41	-0.572	0.567		1
ENSG00000269335	361	0.0376	0.102	0.369	0.712	0.998	0
ENSG00000160211	1330	0.00642	0.0772	0.0832	0.934	0.998	0
ENSG00000102178	552	0.125	0.101	1.24	0.215	0.94	0
ENSG00000130827	735	-0.0243	0.0975	-0.249	0.803	0.998	0
ENSG00000071859	1160	-0.0122	0.0989	-0.123	0.902	0.998	0
