gene_ID	HOPX_PTC_baseMean	HOPX_PTC_log2FoldChange	HOPX_PTC_lfcSE	HOPX_PTC_stat	HOPX_PTC_pvalue	HOPX_PTC_padj	HOPX_PTC_n_zeros
ENSG00000271254	827	-0.0989	0.0859	-1.15	0.25	1	0
ENSG00000277196	48.5	-0.0426	0.29	-0.147	0.883	1	0
ENSG00000278817	66.1	0.128	0.239	0.538	0.591	1	0
ENSG00000198692	345	-0.0503	0.122	-0.412	0.68	1	0
ENSG00000229236	5.04	0.0697	0.818	0.0852	0.932	1	0
ENSG00000260197	8.69	0.0667	0.632	0.106	0.916	1	0
ENSG00000290853	111	-0.098	0.218	-0.45	0.653	1	0
ENSG00000067048	3020	0.0168	0.0681	0.246	0.806	1	0
ENSG00000286009	0.879	-1.42	2.05	-0.693	0.488	1	4
ENSG00000290323	0.919	0.0693	2.08	0.0333	0.973	1	2
ENSG00000277930	0.831	2.48	2.03	1.22	0.222	1	3
ENSG00000176679	0.52	1.59	2.75	0.576	0.565	1	4
ENSG00000231535	199	0.0963	0.182	0.53	0.596	1	0
ENSG00000233070	30.4	-0.239	0.304	-0.785	0.433	1	0
ENSG00000278847	0.78	1.99	2.07	0.96	0.337	1	3
ENSG00000182484	391	0.0139	0.107	0.13	0.897	1	0
ENSG00000124334	3.16	0.937	0.975	0.961	0.337	1	0
ENSG00000124333	730	0.0502	0.0813	0.617	0.537	1	0
ENSG00000224533	1.06	-3.38	2	-1.69	0.0905	1	3
ENSG00000155961	17.3	0.284	0.435	0.653	0.513	1	0
ENSG00000203870	23.1	-0.649	0.373	-1.74	0.0817	1	0
ENSG00000154620	163	-1.43	1.2	-1.2			0
ENSG00000130830	6890	-0.19	0.0883	-2.15	0.0314	1	0
ENSG00000272681	2.15	0.857	1.23	0.696	0.486	1	1
ENSG00000269335	361	-0.123	0.104	-1.19	0.233	1	0
ENSG00000160211	1330	-0.0386	0.0775	-0.498	0.619	1	0
ENSG00000102178	552	0.0586	0.101	0.578	0.563	1	0
ENSG00000130827	735	-0.0808	0.098	-0.825	0.41	1	0
ENSG00000071859	1160	-0.108	0.0993	-1.09	0.276	1	0
ENSG00000013563	167	-0.0253	0.139	-0.183	0.855	1	0
ENSG00000280195	9.79	0.402	0.567	0.71	0.478	1	0
ENSG00000169057	612	0.00124	0.0914	0.0136	0.989	1	0
ENSG00000177854	34.3	0.408	0.306	1.34	0.182	1	0
ENSG00000102032	2.15	0.0534	1.18	0.0452	0.964	1	1
ENSG00000089820	23	-0.364	0.359	-1.01	0.31	1	0
ENSG00000198910	229	0.732	0.501	1.46	0.143	1	0
ENSG00000067840	2.31	-0.138	0.996	-0.139	0.89	1	0
ENSG00000180879	1810	-0.0295	0.105	-0.282	0.778	1	0
ENSG00000067829	756	-0.136	0.102	-1.34	0.181	1	0
ENSG00000198753	2.34	0.303	1.23	0.247	0.805	1	1
ENSG00000185825	3220	-0.0555	0.0907	-0.612	0.541	1	0
ENSG00000130822	26.1	0.587	0.392	1.5	0.134	1	0
ENSG00000067842	650	-0.0708	0.142	-0.498	0.618	1	0
ENSG00000183837	5	-0.486	0.797	-0.61	0.542	1	0
