gene_ID	MAFF_PTC_baseMean	MAFF_PTC_log2FoldChange	MAFF_PTC_lfcSE	MAFF_PTC_stat	MAFF_PTC_pvalue	MAFF_PTC_padj	MAFF_PTC_n_zeros
ENSG00000271254	827	-0.193	0.0856	-2.25	0.0242	0.223	0
ENSG00000277196	48.5	-0.0489	0.287	-0.17	0.865	0.96	0
ENSG00000278817	66.1	-0.123	0.24	-0.512	0.609	0.865	0
ENSG00000198692	345	-0.00553	0.121	-0.0458	0.963	0.992	0
ENSG00000229236	5.04	0.899	0.759	1.18	0.237		0
ENSG00000260197	8.69	0.433	0.609	0.711	0.477		0
ENSG00000290853	111	0.149	0.214	0.699	0.485	0.8	0
ENSG00000067048	3020	-0.0558	0.068	-0.821	0.411	0.762	0
ENSG00000286009	0.879	-0.733	1.97	-0.372	0.71		3
ENSG00000290323	0.919	0.383	2.01	0.19	0.849		3
ENSG00000277930	0.831	-1.08	2.27	-0.476	0.634		5
ENSG00000176679	0.52	-0.117	2.88	-0.0406	0.968		4
ENSG00000231535	199	0.404	0.179	2.26	0.0239	0.222	0
ENSG00000233070	30.4	-0.249	0.3	-0.831	0.406	0.758	0
ENSG00000278847	0.78	-1.08	2.28	-0.474	0.636		5
ENSG00000182484	391	0.0199	0.107	0.187	0.852	0.955	0
ENSG00000124334	3.16	0.745	0.977	0.763	0.446		0
ENSG00000124333	730	0.0159	0.0807	0.197	0.844	0.952	0
ENSG00000224533	1.06	-3.55	2	-1.78	0.0759		3
ENSG00000155961	17.3	0.312	0.429	0.729	0.466		0
ENSG00000203870	23.1	-0.851	0.374	-2.28	0.0228		0
ENSG00000154620	163	0.183	1.19	0.153			0
ENSG00000130830	6890	-0.246	0.0883	-2.79	0.00524	0.106	0
ENSG00000272681	2.15	0.68	1.23	0.552	0.581		1
ENSG00000269335	361	-0.000589	0.102	-0.00579	0.995	0.999	0
ENSG00000160211	1330	-0.079	0.0772	-1.02	0.307	0.684	0
ENSG00000102178	552	-0.00195	0.101	-0.0193	0.985	0.996	0
ENSG00000130827	735	-0.0495	0.0973	-0.509	0.611	0.865	0
ENSG00000071859	1160	-0.0924	0.099	-0.933	0.351	0.719	0
ENSG00000013563	167	-0.0583	0.137	-0.425	0.671	0.889	0
ENSG00000280195	9.79	0.559	0.554	1.01	0.313		0
ENSG00000169057	612	0.00841	0.0907	0.0928	0.926	0.978	0
ENSG00000177854	34.3	0.0873	0.309	0.283	0.777	0.929	0
ENSG00000102032	2.15	0.106	1.16	0.0913	0.927		1
ENSG00000089820	23	-0.377	0.354	-1.06	0.288		0
ENSG00000198910	229	1.06	0.5	2.13	0.0333	0.262	0
ENSG00000067840	2.31	-0.301	0.996	-0.303	0.762		0
ENSG00000180879	1810	-0.0939	0.105	-0.897	0.37	0.736	0
ENSG00000067829	756	-0.0862	0.101	-0.852	0.394	0.751	0
ENSG00000198753	2.34	0.598	1.19	0.504	0.614		1
ENSG00000185825	3220	-0.0644	0.0906	-0.711	0.477	0.795	0
ENSG00000130822	26.1	0.232	0.396	0.586	0.558		0
ENSG00000067842	650	-0.378	0.143	-2.65	0.00807	0.133	0
ENSG00000183837	5	-1.67	0.874	-1.91	0.0565		0
ENSG00000147383	611	0.212	0.09	2.36	0.0185	0.197	0
ENSG00000147400	428	0.159	0.106	1.5	0.134	0.488	0
ENSG00000160131	1060	-0.0238	0.0844	-0.281	0.778	0.93	0
ENSG00000029993	3390	-0.201	0.151	-1.33	0.182	0.552	0
ENSG00000102181	271	0.0564	0.166	0.339	0.734	0.917	0
ENSG00000063601	1140	-0.0796	0.0759	-1.05	0.294	0.673	0
ENSG00000269556	315	0.245	0.121	2.02	0.0429	0.294	0
ENSG00000241769	27.7	0.255	0.353	0.721	0.471		0
ENSG00000277215	1.24	0.681	1.55	0.438	0.662		1
ENSG00000182195	404	0.14	0.113	1.24	0.216	0.592	0
ENSG00000129682	272	0.31	0.176	1.77	0.0774	0.383	0
ENSG00000291054	11.1	-0.374	0.54	-0.692	0.489		0
ENSG00000233093	2.02	-0.51	1.27	-0.4	0.689		1
ENSG00000102243	4690	0.00069	0.0675	0.0102	0.992	0.999	0
ENSG00000165359	102	-0.0183	0.176	-0.104	0.917	0.976	0
ENSG00000178947	14.2	-0.0983	0.438	-0.224	0.823		0
ENSG00000173275	151	0.343	0.184	1.86	0.0624	0.344	0
ENSG00000169551	0.57	-0.977	2.74	-0.357	0.721		4
ENSG00000203950	359	0.153	0.117	1.31	0.191	0.561	0
ENSG00000184785	16.8	0.574	0.4	1.43	0.151		0
ENSG00000101928	798	-0.387	0.109	-3.54	0.000397	0.0254	0
ENSG00000156504	627	0.0528	0.103	0.511	0.609	0.865	0
ENSG00000170965	5.46	-0.0221	0.778	-0.0284	0.977		0
ENSG00000156531	1030	0.000769	0.0995	0.00773	0.994	0.999	0
ENSG00000147257	45	-0.344	0.265	-1.3	0.193	0.565	0
ENSG00000076770	43400	-0.168	0.0613	-2.74	0.00617	0.115	0
ENSG00000134602	1650	-0.0365	0.0756	-0.482	0.63	0.872	0
ENSG00000213468	482	-0.181	0.135	-1.34	0.179	0.55	0
ENSG00000286060	0.502	-0.0548	2.34	-0.0234	0.981		1
ENSG00000147256	3.75	-0.63	0.924	-0.682	0.495		0
ENSG00000102078	119	0.0319	0.167	0.191	0.848	0.954	0
ENSG00000085185	4430	-0.412	0.109	-3.76	0.000168	0.0147	0
ENSG00000188706	1100	-0.0762	0.072	-1.06	0.29	0.67	0
ENSG00000198354	1.78	2.01	1.41	1.43	0.154		1
ENSG00000009694	20.5	0.97	0.412	2.36	0.0185		0
ENSG00000101966	1890	-0.115	0.08	-1.44	0.151	0.513	0
ENSG00000125676	2720	-0.141	0.056	-2.51	0.012	0.162	0
ENSG00000171155	389	0.0908	0.1	0.904	0.366	0.733	0
ENSG00000158290	2120	-0.0579	0.0651	-0.889	0.374	0.739	0
ENSG00000005893	3600	0.0714	0.0544	1.31	0.189	0.56	0
ENSG00000125355	3.73	0.128	1.09	0.117	0.907		2
ENSG00000258545	14.2	0.231	0.52	0.445	0.657		0
ENSG00000125352	203	-0.157	0.187	-0.839	0.401	0.756	0
ENSG00000286366	2.42	0.732	1.15	0.634	0.526		1
ENSG00000125354	1620	-0.00321	0.0744	-0.0432	0.966	0.992	0
ENSG00000018610	499	-0.00476	0.113	-0.042	0.967	0.993	0
ENSG00000077721	3060	0.0551	0.098	0.562	0.574	0.85	0
ENSG00000005022	5010	-0.00406	0.0855	-0.0475	0.962	0.991	0
ENSG00000224281	10	0.333	0.614	0.543	0.587		0
ENSG00000237903	0.832	-2.34	2.02	-1.16	0.247		2
ENSG00000077713	76.9	-0.0133	0.2	-0.0662	0.947	0.985	0
ENSG00000175556	19.1	-0.469	0.451	-1.04	0.298		0
ENSG00000235244	47.1	0.301	0.279	1.08	0.281	0.662	0
ENSG00000102024	6370	0.0367	0.0583	0.629	0.529	0.826	0
ENSG00000288595	2.74	-1.72	1.36	-1.27	0.205		2
ENSG00000077279	3.3	0.0322	0.954	0.0338	0.973		0
ENSG00000224142	1.83	-1.28	1.35	-0.949	0.343		1
ENSG00000157600	1270	0.0578	0.0729	0.793	0.428	0.768	0
ENSG00000289365	2.37	-0.187	1.17	-0.16	0.873		2
ENSG00000068366	3990	-0.317	0.063	-5.03	4.88e-07	0.000281	0
ENSG00000101890	2.02	-1.7	1.49	-1.14	0.254		1
ENSG00000237863	0.755	0.395	2	0.198	0.843		2
ENSG00000197565	811	0.116	0.111	1.05	0.294	0.673	0
ENSG00000101844	297	0.0371	0.122	0.305	0.761	0.925	0
ENSG00000080561	32.3	-0.312	0.309	-1.01	0.314	0.69	0
ENSG00000198088	20.7	0.739	0.399	1.85	0.0643		0
ENSG00000165376	0.752	-0.117	2.34	-0.05	0.96		4
ENSG00000147223	2.21	-1.51	1.44	-1.04	0.297		1
ENSG00000133131	4870	-0.127	0.109	-1.17	0.244	0.623	0
ENSG00000133138	169	-0.0531	0.166	-0.319	0.749	0.92	0
ENSG00000133135	905	0.0888	0.103	0.862	0.389	0.747	0
ENSG00000157502	1040	0.0102	0.0768	0.133	0.894	0.969	0
ENSG00000189108	18.9	0.216	0.407	0.531	0.595		0
ENSG00000166707	3.59	-0.0327	0.923	-0.0355	0.972		0
ENSG00000269226	14.8	0.935	0.633	1.48	0.14		0
ENSG00000231728	5.39	1.12	0.809	1.39	0.165		0
ENSG00000172476	1.62	-0.149	1.39	-0.107	0.915		0
ENSG00000234405	7.73	-0.392	0.706	-0.555	0.579		0
ENSG00000185222	1420	0.303	0.0852	3.55	0.000383	0.025	0
ENSG00000182916	124	0.445	0.242	1.84	0.0655	0.353	0
ENSG00000133134	197	0.0796	0.17	0.469	0.639	0.875	0
ENSG00000286846	14	-0.194	0.517	-0.376	0.707		0
ENSG00000286237	15.9	-0.609	1.56	-0.391	0.696		1
ENSG00000158301	151	0.0876	0.144	0.607	0.544	0.833	0
ENSG00000125962	227	0.152	0.129	1.17	0.24	0.619	0
ENSG00000184867	628	0.148	0.087	1.7	0.0888	0.405	0
ENSG00000228275	0.628	1.72	2.37	0.726	0.468		3
ENSG00000102401	1430	0.134	0.0763	1.75	0.0794	0.389	0
ENSG00000290908	2.93	3.91	4.27	0.915	0.36		5
ENSG00000010671	167	-0.381	0.188	-2.03	0.042	0.292	0
ENSG00000102384	365	0.238	0.167	1.43	0.153	0.515	0
ENSG00000204086	4.08	2.11	1.13	1.86	0.0626		1
ENSG00000147202	630	-0.126	0.0986	-1.28	0.2	0.573	0
ENSG00000286523	0.53	0.899	2.56	0.351	0.726		4
ENSG00000186310	30.8	0.335	0.333	1	0.315	0.691	0
ENSG00000289479	26.2	-0.913	0.328	-2.78	0.00539		0
ENSG00000234161	0.334	-0.117	3.14	-0.0373	0.97		4
ENSG00000184788	1.1	-0.682	1.72	-0.397	0.691		1
ENSG00000072133	349	-0.0886	0.101	-0.881	0.378	0.741	0
ENSG00000131171	542	-0.0346	0.0952	-0.364	0.716	0.91	0
ENSG00000147255	9.73	0.079	0.56	0.141	0.888		0
ENSG00000198157	105	-0.0327	0.175	-0.187	0.851	0.955	0
ENSG00000165288	2320	-0.117	0.0599	-1.95	0.0512	0.315	0
ENSG00000122145	0.51	0.566	2.68	0.211	0.833		3
ENSG00000078596	76.9	0.212	0.219	0.967	0.334	0.704	0
ENSG00000102158	2990	-0.0892	0.067	-1.33	0.183	0.553	0
ENSG00000198934	61.7	0.142	0.227	0.628	0.53	0.826	0
ENSG00000102390	567	0.0116	0.0987	0.117	0.907	0.972	0
ENSG00000094841	149	0.115	0.163	0.704	0.481	0.798	0
ENSG00000147100	107	0.039	0.184	0.212	0.832	0.948	0
ENSG00000225470	440	0.163	0.159	1.02	0.307	0.684	0
ENSG00000229807	0.743	0.729	2.29	0.318	0.751		3
ENSG00000186288	10.3	0.257	0.616	0.417	0.677		0
ENSG00000269502	3.86	-5.52	2.38	-2.32	0.0205		3
ENSG00000269911	20.5	0.172	0.361	0.476	0.634		0
ENSG00000147099	360	0.0436	0.103	0.422	0.673	0.89	0
ENSG00000198034	12900	-0.0518	0.0911	-0.569	0.569	0.847	0
ENSG00000186871	255	0.0549	0.139	0.395	0.693	0.899	0
ENSG00000102309	177	-0.0365	0.139	-0.263	0.793	0.935	0
ENSG00000204131	204	0.324	0.175	1.85	0.0641	0.349	0
ENSG00000215113	0.827	0.926	1.75	0.53	0.596		1
ENSG00000281852	20.1	0.853	0.43	1.99	0.0471		0
ENSG00000283599	0.342	-0.117	3.12	-0.0376	0.97		4
ENSG00000147133	1150	-0.0227	0.0702	-0.324	0.746	0.919	0
ENSG00000147140	8040	0.0243	0.0546	0.444	0.657	0.883	0
ENSG00000196338	45.7	-0.0784	0.268	-0.293	0.77	0.926	0
ENSG00000184634	2440	-0.0815	0.0589	-1.38	0.167	0.535	0
ENSG00000147168	0.657	-0.192	2.27	-0.0848	0.932		3
ENSG00000184481	4500	-0.249	0.0944	-2.64	0.00822	0.134	0
ENSG00000165349	117	-0.0586	0.199	-0.295	0.768	0.926	0
ENSG00000231651	0.485	1.68	2.86	0.585	0.558		4
ENSG00000120509	343	0.18	0.105	1.71	0.0878	0.402	0
ENSG00000089289	651	0.0163	0.11	0.148	0.883	0.966	0
ENSG00000158813	35.2	-0.0913	0.279	-0.328	0.743	0.918	0
ENSG00000181704	2020	-0.119	0.0707	-1.68	0.0923	0.41	0
ENSG00000289038	4.19	0.0629	0.772	0.0814	0.935		0
ENSG00000089472	814	0.197	0.0808	2.43	0.015	0.182	0
ENSG00000274536	4.89	0.542	0.801	0.676	0.499		0
ENSG00000198881	1.64	0.895	1.49	0.6	0.548		1
ENSG00000184675	312	0.203	0.14	1.44	0.149	0.51	0
ENSG00000186767	702	0.177	0.12	1.48	0.138	0.494	0
ENSG00000235437	509	0.201	0.107	1.88	0.0605	0.339	0
ENSG00000198205	58.8	0.461	0.23	2	0.0456	0.302	0
ENSG00000147059	14.2	0.0776	0.446	0.174	0.862		0
ENSG00000186787	73.3	-0.035	0.208	-0.168	0.867	0.96	0
ENSG00000102349	1360	0.233	0.128	1.83	0.068	0.36	0
ENSG00000227486	25.1	0.681	0.371	1.84	0.0662		0
ENSG00000083750	109	0.338	0.174	1.94	0.052	0.316	0
ENSG00000247746	97.5	0.337	0.191	1.76	0.0777	0.384	0
ENSG00000182518	70.6	0.204	0.201	1.01	0.311	0.687	0
ENSG00000130119	2580	-0.0433	0.0774	-0.56	0.576	0.85	0
ENSG00000196632	258	0.0832	0.121	0.686	0.493	0.806	0
ENSG00000184083	124	0.344	0.162	2.12	0.0341	0.265	0
ENSG00000158423	4.21	-0.26	0.84	-0.31	0.757		0
ENSG00000235262	2.34	0.771	1.08	0.716	0.474		0
ENSG00000126012	2890	-0.155	0.0673	-2.31	0.021	0.208	0
ENSG00000232593	478	-0.0701	0.109	-0.645	0.519	0.821	0
ENSG00000184205	1230	-0.286	0.0939	-3.05	0.00229	0.0718	0
ENSG00000179222	14500	0.00616	0.0714	0.0862	0.931	0.979	0
ENSG00000189369	323	0.079	0.12	0.66	0.509	0.816	0
ENSG00000223591	1.09	-3.01	2.22	-1.36	0.175		4
ENSG00000283093	1.09	0.95	1.84	0.516	0.606		2
ENSG00000224109	14.3	-0.111	0.46	-0.242	0.809		0
ENSG00000226530	6.38	0.254	0.696	0.365	0.715		0
ENSG00000230317	1.26	-0.126	1.69	-0.0749	0.94		1
ENSG00000130385	0.426	-1.02	2.66	-0.384	0.701		3
ENSG00000158352	199	-0.0697	0.154	-0.452	0.651	0.88	0
ENSG00000274588	31	0.489	0.36	1.36	0.174	0.545	0
ENSG00000147081	1.09	-0.117	2.1	-0.0556	0.956		4
ENSG00000270012	37.5	-0.0411	0.305	-0.135	0.893	0.968	0
ENSG00000286181	2.02	0.771	1.18	0.653	0.514		0
ENSG00000012211	160	-0.0212	0.162	-0.131	0.896	0.969	0
ENSG00000269313	44.5	-0.0952	0.28	-0.34	0.734	0.917	0
ENSG00000243279	58	0.248	0.256	0.97	0.332	0.704	0
ENSG00000068400	539	0.127	0.104	1.23	0.219	0.597	0
ENSG00000102100	477	0.0507	0.1	0.506	0.613	0.866	0
ENSG00000094631	612	0.151	0.089	1.7	0.0888	0.405	0
ENSG00000171433	0.338	-0.117	3.13	-0.0374	0.97		4
ENSG00000015285	1.94	1.71	1.24	1.38	0.167		1
ENSG00000102317	2580	0.18	0.0701	2.57	0.0101	0.148	0
ENSG00000147155	692	0.0869	0.0959	0.906	0.365	0.731	0
ENSG00000102312	14	-0.214	0.498	-0.429	0.668		0
ENSG00000287757	1.02	0.311	1.62	0.192	0.848		2
ENSG00000197779	298	0.114	0.136	0.837	0.403	0.756	0
ENSG00000267064	13.9	0.053	0.464	0.114	0.909		0
ENSG00000126756	421	-0.0667	0.099	-0.673	0.501	0.81	0
ENSG00000078061	880	0.0643	0.0863	0.746	0.456	0.784	0
ENSG00000289890	1.5	0.941	1.52	0.618	0.537		2
ENSG00000196741	8.1	-0.335	0.542	-0.619	0.536		0
ENSG00000147124	146	0.15	0.175	0.854	0.393	0.75	0
ENSG00000102226	997	0.0656	0.0746	0.88	0.379	0.741	0
