gene_ID	MBNL2_PTC_baseMean	MBNL2_PTC_log2FoldChange	MBNL2_PTC_lfcSE	MBNL2_PTC_stat	MBNL2_PTC_pvalue	MBNL2_PTC_padj	MBNL2_PTC_n_zeros
ENSG00000271254	860	-0.067	0.0872	-0.768	0.443	0.785	0
ENSG00000276345	1.41	1.8	1.81	0.996	0.319		2
ENSG00000277196	55.1	0.691	0.314	2.2	0.0278	0.32	0
ENSG00000278817	75.8	0.599	0.23	2.6	0.00921	0.224	0
ENSG00000198692	338	-0.0685	0.113	-0.609	0.543	0.843	0
ENSG00000229236	4.78	0.0585	0.729	0.0802	0.936		0
ENSG00000260197	8.85	-0.473	0.723	-0.654	0.513		0
ENSG00000290853	93.6	-0.244	0.184	-1.32	0.186	0.593	0
ENSG00000067048	2950	-0.0927	0.063	-1.47	0.141	0.544	0
ENSG00000286009	1.42	1.35	1.62	0.833	0.405		3
ENSG00000290323	1.39	-2.25	1.83	-1.23	0.219		3
ENSG00000277930	0.499	-0.0806	2.9	-0.0278	0.978		4
ENSG00000231535	191	-0.584	0.214	-2.74	0.00624	0.193	0
ENSG00000233070	26.5	-0.216	0.329	-0.658	0.511	0.827	0
ENSG00000278847	1.3	0.456	1.3	0.35	0.726		0
ENSG00000182484	383	-0.0821	0.107	-0.767	0.443	0.785	0
ENSG00000124334	2.64	-1.63	1.16	-1.41	0.158		1
ENSG00000124333	700	-0.0433	0.112	-0.386	0.7	0.909	0
ENSG00000224533	2.45	-0.825	3.57	-0.231	0.817		4
ENSG00000155961	18.2	-0.164	0.411	-0.399	0.69	0.905	0
ENSG00000274183	0.534	0.935	2.67	0.351	0.726		5
ENSG00000203870	22.8	0.0863	0.349	0.247	0.805	0.943	0
ENSG00000154620	152	-0.0018	0.893	-0.00202	0.998	0.999	0
ENSG00000130830	6580	0.0645	0.119	0.54	0.589	0.863	0
ENSG00000272681	1.95	-1.62	1.32	-1.23	0.22		1
ENSG00000269335	344	0.0132	0.114	0.116	0.908	0.974	0
ENSG00000160211	1320	0.00907	0.0861	0.105	0.916	0.976	0
ENSG00000102178	560	-0.0371	0.0982	-0.378	0.705	0.912	0
ENSG00000130827	797	0.154	0.116	1.33	0.183	0.592	0
ENSG00000071859	1190	0.0831	0.105	0.793	0.428	0.777	0
ENSG00000013563	164	0.16	0.151	1.06	0.289	0.684	0
ENSG00000280195	11.2	0.0194	0.522	0.0372	0.97		0
ENSG00000169057	563	-0.119	0.103	-1.16	0.248	0.653	0
ENSG00000177854	30.2	0.231	0.337	0.687	0.492	0.816	0
ENSG00000102032	2.22	-0.0588	1.18	-0.0497	0.96		1
ENSG00000089820	25.3	-0.116	0.354	-0.327	0.743	0.925	0
ENSG00000198910	184	-1.24	0.576	-2.15	0.0314	0.332	0
ENSG00000067840	2.2	-1.21	1.23	-0.985	0.324		1
ENSG00000180879	1770	0.134	0.0981	1.37	0.172	0.579	0
ENSG00000067829	762	0.0508	0.116	0.438	0.662	0.894	0
ENSG00000198753	2.81	0.197	1.25	0.157	0.875		1
ENSG00000185825	3320	0.144	0.113	1.27	0.204	0.615	0
ENSG00000130822	50.3	0.555	0.439	1.26	0.206	0.617	0
ENSG00000067842	675	0.596	0.225	2.65	0.00794	0.211	0
ENSG00000183837	4.29	-1.42	0.989	-1.44	0.15		0
ENSG00000147383	607	-0.224	0.0875	-2.56	0.0103	0.23	0
ENSG00000147400	425	-0.125	0.111	-1.13	0.258	0.66	0
ENSG00000160131	1070	0.0614	0.122	0.504	0.614	0.873	0
ENSG00000029993	4080	0.495	0.17	2.9	0.00372	0.164	0
ENSG00000102181	287	0.181	0.177	1.02	0.306	0.697	0
ENSG00000063601	1170	-0.0314	0.0747	-0.421	0.674	0.898	0
ENSG00000013619	1.45	-2.51	1.74	-1.44	0.15		2
ENSG00000269556	284	-0.0927	0.12	-0.771	0.441	0.784	0
ENSG00000241769	23.7	0.35	0.409	0.855	0.393	0.754	0
ENSG00000277215	1.2	2.66	2.05	1.3	0.195		3
ENSG00000182195	362	0.0501	0.122	0.412	0.68	0.901	0
ENSG00000129682	243	-0.0873	0.23	-0.379	0.705	0.912	0
ENSG00000291054	12.5	-0.388	0.473	-0.82	0.412		0
ENSG00000233093	2.67	-0.601	1.17	-0.516	0.606		1
ENSG00000102243	4670	-0.0374	0.055	-0.679	0.497	0.818	0
ENSG00000165359	109	0.141	0.193	0.732	0.464	0.799	0
ENSG00000178947	11.7	0.153	0.558	0.275	0.784		0
ENSG00000173275	137	-0.234	0.176	-1.33	0.184	0.592	0
ENSG00000169551	0.7	2.48	2.26	1.1	0.272		2
ENSG00000203950	345	-0.223	0.122	-1.83	0.0676	0.427	0
ENSG00000184785	16	-0.506	0.411	-1.23	0.219	0.628	0
ENSG00000101928	739	0.406	0.207	1.96	0.0495	0.382	0
ENSG00000156504	614	-0.058	0.101	-0.576	0.565	0.852	0
ENSG00000170965	7.37	-0.168	0.759	-0.222	0.824		0
ENSG00000156531	1000	-0.114	0.123	-0.923	0.356	0.73	0
ENSG00000147257	24.8	0.349	0.343	1.02	0.309	0.699	0
ENSG00000076770	43000	0.103	0.103	1	0.316	0.703	0
ENSG00000134602	1700	0.146	0.0877	1.67	0.0957	0.481	0
ENSG00000213468	518	0.22	0.142	1.54	0.123	0.517	0
ENSG00000147256	1.69	-0.0189	1.34	-0.0141	0.989		0
ENSG00000102078	107	-0.124	0.192	-0.644	0.52	0.832	0
ENSG00000085185	4730	0.251	0.143	1.75	0.0802	0.457	0
ENSG00000188706	1110	0.11	0.0853	1.29	0.197	0.605	0
ENSG00000198354	2.4	-0.254	1.3	-0.196	0.845		2
ENSG00000009694	19.7	-0.226	0.48	-0.471	0.638	0.885	0
ENSG00000101966	1900	0.183	0.106	1.73	0.0829	0.461	0
ENSG00000125676	2860	0.0992	0.0792	1.25	0.21	0.62	0
ENSG00000171155	404	-0.0946	0.111	-0.855	0.392	0.754	0
ENSG00000158290	2050	0.0604	0.0679	0.89	0.374	0.742	0
ENSG00000005893	3440	-0.0488	0.0576	-0.848	0.396	0.756	0
ENSG00000125355	3.17	-1.29	1.11	-1.17	0.242		1
