gene_ID	TWIST2_PTC_baseMean	TWIST2_PTC_log2FoldChange	TWIST2_PTC_lfcSE	TWIST2_PTC_stat	TWIST2_PTC_pvalue	TWIST2_PTC_padj	TWIST2_PTC_n_zeros
ENSG00000271254	860	-0.0583	0.0872	-0.669	0.504		0
ENSG00000276345	1.41	-2.53	2.11	-1.2	0.23		5
ENSG00000277196	55.1	0.482	0.317	1.52	0.128		0
ENSG00000278817	75.8	0.316	0.234	1.35	0.176		0
ENSG00000198692	338	-0.262	0.114	-2.3	0.0213		0
ENSG00000229236	4.78	-0.961	0.806	-1.19	0.233		0
ENSG00000260197	8.85	0.07	0.702	0.0998	0.921		0
ENSG00000290853	93.6	-0.339	0.186	-1.83	0.0678		0
ENSG00000067048	2950	-0.0872	0.063	-1.39	0.166	0.318	0
ENSG00000286009	1.42	1.6	1.59	1	0.317		2
ENSG00000290323	1.39	-0.0523	1.54	-0.0339	0.973		2
ENSG00000277930	0.499	-0.998	2.96	-0.337	0.736		4
ENSG00000231535	191	-0.659	0.214	-3.08	0.00208		0
ENSG00000233070	26.5	0.288	0.315	0.912	0.362		0
ENSG00000278847	1.3	-1.39	1.57	-0.883	0.377		1
ENSG00000182484	383	0.0415	0.106	0.391	0.696		0
ENSG00000124334	2.64	-0.492	1.03	-0.48	0.632		0
ENSG00000124333	700	-0.115	0.112	-1.02	0.306		0
ENSG00000224533	2.45	-1.47	3.59	-0.409	0.682		4
ENSG00000155961	18.2	-0.0586	0.407	-0.144	0.886		0
ENSG00000274183	0.534	2.48	2.53	0.983	0.326		4
ENSG00000203870	22.8	0.053	0.349	0.152	0.88		0
ENSG00000154620	152	-0.767	0.894	-0.858	0.391		0
ENSG00000130830	6580	0.23	0.119	1.93	0.0541	0.177	0
ENSG00000272681	1.95	-1.31	1.28	-1.02	0.307		1
ENSG00000269335	344	0.137	0.113	1.21	0.227		0
ENSG00000160211	1320	0.0472	0.0861	0.548	0.583	0.711	0
ENSG00000102178	560	-0.0439	0.0982	-0.447	0.655		0
ENSG00000130827	797	0.0977	0.116	0.844	0.398		0
ENSG00000071859	1190	0.165	0.105	1.58	0.115	0.256	0
ENSG00000013563	164	0.394	0.149	2.64	0.0082		0
ENSG00000280195	11.2	0.23	0.513	0.448	0.654		0
