gene_ID	PAX6_PTC_baseMean	PAX6_PTC_log2FoldChange	PAX6_PTC_lfcSE	PAX6_PTC_stat	PAX6_PTC_pvalue	PAX6_PTC_padj	PAX6_PTC_n_zeros
ENSG00000271254	638	-0.326	0.109	-2.98	0.00285	0.0452	0
ENSG00000276345	1.52	0.0854	1.71	0.05	0.96		2
ENSG00000277196	250	0.726	0.141	5.16	2.47e-07	1.38e-05	0
ENSG00000278817	45.3	0.125	0.309	0.405	0.686	0.942	0
ENSG00000229236	1.03	-1.21	2.04	-0.592	0.554		2
ENSG00000277930	0.958	2.03	2.07	0.983	0.326		2
ENSG00000182484	317	-0.141	0.135	-1.05	0.294	0.744	0
ENSG00000124333	709	0.0667	0.121	0.553	0.58	0.902	0
ENSG00000224533	2.5	-1.09	1.52	-0.717	0.473		2
ENSG00000155961	350	-0.191	0.127	-1.51	0.132	0.538	0
ENSG00000272681	1.31	0.598	1.69	0.353	0.724		1
ENSG00000269335	235	-0.0942	0.179	-0.525	0.599	0.908	0
ENSG00000160211	1410	-0.0445	0.102	-0.436	0.663	0.934	0
ENSG00000102178	536	0.032	0.165	0.194	0.846	0.979	0
ENSG00000130827	485	-0.106	0.141	-0.756	0.45	0.846	0
ENSG00000071859	958	-0.13	0.105	-1.24	0.215	0.661	0
ENSG00000013563	253	0.142	0.164	0.868	0.385	0.81	0
ENSG00000280195	16.1	-0.226	0.507	-0.446	0.655	0.932	0
ENSG00000007350	22.6	-0.67	0.484	-1.39	0.166	0.592	0
ENSG00000169057	1850	0.0387	0.11	0.351	0.726	0.952	0
ENSG00000177854	100	-0.149	0.218	-0.682	0.495	0.866	0
ENSG00000102032	55.2	-0.00557	0.285	-0.0195	0.984	0.999	0
ENSG00000089820	83.5	0.111	0.227	0.49	0.624	0.918	0
ENSG00000198910	236	-0.446	0.155	-2.88	0.00395	0.0581	0
ENSG00000067840	212	0.0597	0.146	0.408	0.683	0.941	0
ENSG00000180879	1160	-0.254	0.161	-1.58	0.114	0.507	0
ENSG00000067829	646	-0.0769	0.119	-0.644	0.52	0.878	0
ENSG00000198753	4.1	0.665	0.923	0.721	0.471		0
ENSG00000185825	2090	-0.213	0.125	-1.7	0.0886	0.449	0
ENSG00000130822	466	-0.301	0.127	-2.38	0.0175	0.17	0
ENSG00000067842	4.76	0.393	0.929	0.423	0.672		0
ENSG00000183837	108	-0.325	0.232	-1.4	0.162	0.587	0
ENSG00000147383	547	-0.317	0.172	-1.84	0.0661	0.383	0
ENSG00000147400	1270	-0.199	0.125	-1.59	0.111	0.501	0
ENSG00000268916	0.864	-0.815	2.14	-0.381	0.703		2
ENSG00000160131	4310	0.126	0.0824	1.52	0.127	0.53	0
ENSG00000029993	7460	0.404	0.0933	4.33	1.49e-05	0.000552	0
ENSG00000102181	2750	-0.0759	0.0786	-0.966	0.334	0.775	0
ENSG00000063601	851	0.145	0.114	1.28	0.201	0.64	0
ENSG00000013619	6.97	0.181	0.793	0.228	0.82	0.975	0
ENSG00000269556	310	-0.0717	0.14	-0.512	0.609	0.911	0
