gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	387	-0.516	0.144	-3.58	0.000342	0.00127	0
ENSG00000277196	10.3	1.18	3.02	0.392	0.695	0.791	2
ENSG00000278817	39.7	1.76	0.463	3.8	0.000147	0.000586	0
ENSG00000182484	195	0.326	0.184	1.77	0.0766	0.146	0
ENSG00000124333	663	-0.00268	0.117	-0.0228	0.982	0.989	0
ENSG00000155961	2.95	-2	1.5	-1.33	0.182		1
ENSG00000203870	6.3	-3.42	1.19	-2.87	0.00415	0.0119	1
ENSG00000130830	5850	-0.589	0.078	-7.55	4.36e-14	6.5e-13	0
ENSG00000269335	233	-0.727	0.181	-4.01	6.02e-05	0.000261	0
ENSG00000160211	1940	-0.199	0.102	-1.95	0.0517	0.105	0
ENSG00000102178	466	-0.238	0.132	-1.81	0.071	0.137	0
ENSG00000130827	380	1.19	0.143	8.32	8.69e-17	1.68e-15	0
ENSG00000071859	723	0.108	0.114	0.947	0.344	0.477	0
ENSG00000013563	168	0.63	0.21	3.01	0.00265	0.00801	0
ENSG00000280195	7.73	-0.126	0.883	-0.143	0.886	0.927	0
ENSG00000169057	329	-0.0141	0.151	-0.0938	0.925	0.952	0
ENSG00000177854	73	1.15	0.3	3.82	0.000133	0.000536	0
ENSG00000102032	5.3	1.94	1.12	1.73	0.0833	0.156	0
ENSG00000089820	13.9	0.241	0.646	0.373	0.709	0.801	0
ENSG00000198910	63.2	-1.69	0.325	-5.2	2.02e-07	1.31e-06	0
ENSG00000067840	1.14	1.35	2.19	0.615	0.539		1
ENSG00000180879	1540	0.843	0.0985	8.55	1.18e-17	2.47e-16	0
ENSG00000067829	781	0.114	0.123	0.921	0.357	0.491	0
ENSG00000185825	3920	0.0465	0.0939	0.495	0.62	0.731	0
