gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	459	-0.061	0.108	-0.563	0.574	0.683	0
ENSG00000277196	25.5	0.451	0.383	1.18	0.238	0.348	0
ENSG00000278817	30.5	1.6	0.39	4.12	3.85e-05	0.000133	0
ENSG00000182484	194	0.191	0.15	1.28	0.202	0.304	0
ENSG00000124334	0.855	0.405	2	0.203	0.839		2
ENSG00000124333	752	-0.223	0.0913	-2.45	0.0145	0.0316	0
ENSG00000155961	3.21	0.114	0.992	0.115	0.909	0.939	0
ENSG00000274183	0.649	1.32	2.2	0.599	0.549		2
ENSG00000203870	5.31	-3.98	1.21	-3.28	0.00105	0.0029	1
ENSG00000130830	5080	-1.27	0.0803	-15.8	4.62e-56	2.48e-54	0
ENSG00000272681	0.825	0.494	2.02	0.244	0.807		2
ENSG00000269335	263	-0.38	0.125	-3.05	0.00232	0.00603	0
ENSG00000160211	1980	-0.0708	0.084	-0.844	0.399	0.521	0
ENSG00000102178	559	0.148	0.0957	1.54	0.123	0.202	0
ENSG00000130827	371	0.972	0.125	7.77	8.02e-15	7.24e-14	0
ENSG00000071859	717	-0.072	0.0906	-0.795	0.426	0.548	0
ENSG00000013563	173	0.546	0.162	3.37	0.00076	0.00215	0
ENSG00000280195	8.53	0.592	0.642	0.922	0.356	0.478	0
ENSG00000169057	378	0.207	0.111	1.87	0.062	0.113	0
ENSG00000177854	70.4	1.05	0.247	4.27	2e-05	7.2e-05	0
ENSG00000102032	3.35	0.128	1.04	0.123	0.902	0.936	0
ENSG00000089820	14.2	0.00299	0.481	0.00621	0.995	0.997	0
ENSG00000198910	84.2	-1.31	0.259	-5.07	4.08e-07	1.8e-06	0
ENSG00000180879	1380	0.63	0.0956	6.59	4.45e-11	2.95e-10	0
ENSG00000067829	741	-0.0876	0.0909	-0.964	0.335	0.456	0
ENSG00000185825	3840	0.00474	0.073	0.0649	0.948	0.966	0
ENSG00000130822	74.9	4.28	0.375	11.4	3.55e-30	7.32e-29	0
ENSG00000067842	96.8	-2.09	0.222	-9.38	6.4e-21	8.49e-20	0
ENSG00000147383	664	-0.369	0.101	-3.66	0.000248	0.000759	0
ENSG00000147400	493	0.401	0.103	3.91	9.35e-05	0.000305	0
ENSG00000160131	947	-0.254	0.0868	-2.93	0.00337	0.00846	0
ENSG00000029993	8680	1.7	0.0755	22.5	1.86e-112	4.32e-110	0
ENSG00000102181	1610	1.4	0.0796	17.5	8.74e-69	6.9e-67	0
ENSG00000063601	860	0.273	0.0855	3.19	0.00141	0.00381	0
ENSG00000013619	1.69	-2.14	1.54	-1.39	0.166	0.259	1
ENSG00000269556	311	0.357	0.116	3.08	0.00209	0.00548	0
ENSG00000241769	5.96	0.277	0.767	0.361	0.718	0.805	0
ENSG00000182195	493	0.426	0.105	4.06	4.98e-05	0.000169	0
ENSG00000129682	217	0.511	0.141	3.63	0.000285	0.000866	0
ENSG00000291054	7.71	0.825	0.675	1.22	0.221	0.328	0
ENSG00000102243	6030	-0.706	0.0746	-9.46	2.98e-21	4.01e-20	0
ENSG00000165359	64.1	1.39	0.251	5.54	3.04e-08	1.54e-07	0
ENSG00000178947	3.96	-0.663	0.903	-0.735	0.462	0.582	0
ENSG00000173275	54.6	0.28	0.252	1.11	0.266	0.38	0
ENSG00000203950	518	0.537	0.107	5.01	5.39e-07	2.35e-06	0
ENSG00000184785	17.9	0.0701	0.432	0.162	0.871	0.916	0
