gene_ID	EPAS1_PTC_baseMean	EPAS1_PTC_log2FoldChange	EPAS1_PTC_lfcSE	EPAS1_PTC_stat	EPAS1_PTC_pvalue	EPAS1_PTC_padj	EPAS1_PTC_n_zeros
ENSG00000271254	400	-0.371	0.137	-2.71	0.00674	0.0229	0
ENSG00000277196	20.5	-1.37	1.2	-1.14	0.253	0.422	1
ENSG00000278817	56.1	0.518	0.291	1.78	0.0748	0.168	0
ENSG00000182484	222	0.186	0.153	1.22	0.223	0.386	0
ENSG00000124333	709	0.0535	0.108	0.496	0.62	0.765	0
ENSG00000155961	2.4	-1.25	1.28	-0.973	0.331		1
ENSG00000274183	0.66	-1.33	2.28	-0.581	0.561		2
ENSG00000203870	1.02	1.1	1.96	0.562	0.574		2
ENSG00000130830	4040	0.764	0.0837	9.13	6.84e-20	2.41e-18	0
ENSG00000269335	210	-0.262	0.149	-1.75	0.0797	0.176	0
ENSG00000160211	1960	0.0233	0.0954	0.244	0.807	0.893	0
ENSG00000102178	528	-0.344	0.114	-3.02	0.0025	0.0098	0
ENSG00000130827	534	0.226	0.115	1.96	0.0498	0.122	0
ENSG00000071859	759	0.218	0.0965	2.26	0.0241	0.067	0
ENSG00000013563	214	0.115	0.16	0.72	0.471	0.644	0
ENSG00000280195	9.4	-0.268	0.659	-0.406	0.685	0.811	0
ENSG00000169057	382	-0.191	0.116	-1.64	0.1	0.211	0
ENSG00000177854	102	0.198	0.207	0.956	0.339	0.519	0
ENSG00000102032	6.17	1.34	0.788	1.7	0.0894	0.193	0
ENSG00000089820	15.2	0.188	0.482	0.391	0.696	0.82	0
ENSG00000198910	40.8	-0.556	0.365	-1.52	0.128	0.254	0
ENSG00000067840	1.05	2.38	1.96	1.21	0.226		2
ENSG00000180879	1920	0.357	0.101	3.53	0.000408	0.00201	0
ENSG00000067829	804	0.296	0.116	2.55	0.0107	0.0341	0
ENSG00000185825	4090	0.166	0.0797	2.09	0.037	0.0953	0
ENSG00000130822	119	-0.581	0.203	-2.86	0.00423	0.0154	0
ENSG00000067842	69.1	1.45	0.258	5.61	2.02e-08	2.3e-07	0
ENSG00000147383	559	-0.118	0.124	-0.946	0.344	0.524	0
ENSG00000147400	593	0.151	0.101	1.49	0.135	0.265	0
ENSG00000160131	783	-0.311	0.106	-2.94	0.00329	0.0124	0
ENSG00000029993	9470	-1.24	0.112	-11.1	1.75e-28	1.12e-26	0
ENSG00000102181	1870	-0.738	0.0855	-8.63	6.29e-18	1.92e-16	0
ENSG00000063601	910	-0.108	0.0918	-1.18	0.238	0.404	0
ENSG00000013619	1.53	1.95	1.65	1.18	0.238		1
ENSG00000269556	309	-0.39	0.125	-3.11	0.00186	0.00758	0
ENSG00000241769	5.54	-0.554	0.821	-0.675	0.5	0.669	0
ENSG00000182195	605	0.178	0.101	1.76	0.0785	0.174	0
ENSG00000129682	198	-0.876	0.189	-4.64	3.46e-06	2.7e-05	0
ENSG00000291054	8.34	-0.526	0.685	-0.767	0.443	0.621	0
ENSG00000102243	4810	0.125	0.0846	1.48	0.138	0.269	0
ENSG00000165359	100	0.204	0.207	0.988	0.323	0.502	0
ENSG00000178947	7.84	2.02	0.749	2.7	0.00691	0.0234	0
ENSG00000173275	61.9	0.0811	0.26	0.312	0.755	0.86	0
ENSG00000203950	570	-0.226	0.128	-1.76	0.0778	0.173	0
ENSG00000184785	14.4	-0.816	0.507	-1.61	0.108	0.223	0
