gene_ID	EPAS1_PTC_baseMean	EPAS1_PTC_log2FoldChange	EPAS1_PTC_lfcSE	EPAS1_PTC_stat	EPAS1_PTC_pvalue	EPAS1_PTC_padj	EPAS1_PTC_n_zeros
ENSG00000271254	443	0.0798	0.102	0.782	0.434	0.747	0
ENSG00000277196	14.9	-0.987	1.35	-0.731	0.465		1
ENSG00000278817	16.2	0.439	0.504	0.871	0.384		0
ENSG00000182484	170	0.0623	0.159	0.392	0.695	0.89	0
ENSG00000124334	1	1.02	1.81	0.562	0.574		1
ENSG00000124333	704	-0.163	0.0875	-1.86	0.0627	0.344	0
ENSG00000155961	3.71	0.661	0.936	0.706	0.48		0
ENSG00000203870	10.3	0.317	0.561	0.566	0.572		0
ENSG00000130830	6820	0.0964	0.0665	1.45	0.147	0.486	0
ENSG00000269335	282	0.0976	0.123	0.792	0.428	0.744	0
ENSG00000160211	1970	0.155	0.0806	1.93	0.0539	0.325	0
ENSG00000102178	497	0.0573	0.103	0.556	0.578	0.832	0
ENSG00000130827	231	0.0147	0.13	0.113	0.91	0.973	0
ENSG00000071859	686	0.0472	0.0865	0.546	0.585	0.835	0
ENSG00000013563	131	0.0398	0.171	0.233	0.816	0.94	0
ENSG00000280195	6.97	0.317	0.688	0.461	0.645		0
ENSG00000169057	327	0.0421	0.115	0.365	0.715	0.899	0
ENSG00000177854	43.8	0.117	0.288	0.407	0.684		0
ENSG00000102032	2.71	-0.184	1.18	-0.156	0.876		0
ENSG00000089820	13	-0.0107	0.509	-0.021	0.983		0
ENSG00000198910	103	-0.192	0.184	-1.04	0.296	0.642	0
ENSG00000067840	0.944	-0.895	1.9	-0.47	0.638		2
ENSG00000180879	1050	0.157	0.0865	1.82	0.0688	0.361	0
ENSG00000067829	726	0.0953	0.0839	1.14	0.256	0.604	0
ENSG00000185825	3690	0.134	0.0731	1.83	0.0666	0.356	0
ENSG00000130822	11	1.17	0.559	2.09	0.0362		0
ENSG00000067842	156	0.236	0.156	1.51	0.132	0.466	0
ENSG00000147383	706	0.0793	0.0865	0.917	0.359	0.693	0
ENSG00000147400	419	0.201	0.107	1.89	0.0592	0.336	0
