gene_ID	GCM1_PTC_baseMean	GCM1_PTC_log2FoldChange	GCM1_PTC_lfcSE	GCM1_PTC_stat	GCM1_PTC_pvalue	GCM1_PTC_padj	GCM1_PTC_n_zeros
ENSG00000271254	571	1.1	0.106	10.5	1.35e-25	1.76e-24	0
ENSG00000277196	15.8	-5.03	0.947	-5.31	1.09e-07	3.87e-07	2
ENSG00000278817	24.6	-0.331	0.47	-0.705	0.481	0.581	0
ENSG00000182484	156	-0.987	0.176	-5.6	2.17e-08	8.26e-08	0
ENSG00000124333	983	0.936	0.0946	9.89	4.63e-23	5.18e-22	0
ENSG00000155961	1.81	-0.953	1.49	-0.642	0.521	0.618	1
ENSG00000203870	6.67	-1.21	0.78	-1.56	0.12	0.183	0
ENSG00000130830	7680	0.281	0.0683	4.12	3.84e-05	0.000106	0
ENSG00000269335	282	-0.727	0.135	-5.38	7.39e-08	2.67e-07	0
ENSG00000160211	1820	-0.927	0.0857	-10.8	2.67e-27	3.84e-26	0
ENSG00000102178	649	-0.0538	0.102	-0.526	0.599	0.688	0
ENSG00000130827	272	-0.325	0.134	-2.42	0.0154	0.0293	0
ENSG00000071859	659	-0.69	0.105	-6.56	5.45e-11	2.59e-10	0
ENSG00000013563	134	-0.609	0.186	-3.28	0.00104	0.0024	0
ENSG00000280195	8.05	-0.895	0.697	-1.28	0.199	0.282	0
ENSG00000169057	428	0.0196	0.127	0.155	0.877	0.913	0
ENSG00000177854	55.4	-0.158	0.275	-0.575	0.565	0.657	0
ENSG00000102032	1.64	-1.37	1.66	-0.827	0.408	0.51	2
ENSG00000089820	10.3	-1.1	0.621	-1.76	0.0776	0.126	0
ENSG00000198910	131	-2.28	0.22	-10.4	3.33e-25	4.22e-24	0
ENSG00000180879	813	-0.636	0.118	-5.39	7.23e-08	2.62e-07	0
ENSG00000067829	684	-0.74	0.104	-7.1	1.29e-12	6.94e-12	0
ENSG00000185825	3370	-0.371	0.0747	-4.96	7.05e-07	2.32e-06	0
ENSG00000130822	16.9	-0.326	0.529	-0.616	0.538	0.633	0
ENSG00000147383	815	-0.404	0.11	-3.67	0.000244	0.000614	0
ENSG00000147400	551	0.293	0.108	2.71	0.00671	0.0137	0
ENSG00000160131	1380	0.928	0.0973	9.54	1.44e-21	1.46e-20	0
ENSG00000029993	8650	1.96	0.325	6.02	1.74e-09	7.29e-09	0
ENSG00000102181	809	0.202	0.111	1.82	0.0694	0.114	0
ENSG00000063601	1050	0.682	0.0845	8.07	6.85e-16	4.69e-15	0
ENSG00000269556	558	1.29	0.118	10.9	7.48e-28	1.12e-26	0
ENSG00000241769	3.6	0.367	1.03	0.357	0.721	0.792	0
ENSG00000277215	0.807	0.445	2.1	0.212	0.832		1
ENSG00000182195	430	-0.709	0.123	-5.78	7.39e-09	2.93e-08	0
ENSG00000129682	419	1.6	0.122	13.1	3.62e-39	9.06e-38	0
ENSG00000291054	4.27	-0.587	0.934	-0.628	0.53	0.626	0
ENSG00000102243	7130	-0.293	0.0645	-4.55	5.28e-06	1.59e-05	0
ENSG00000181433	3.54	4.14	1.65	2.51	0.0121	0.0235	2
ENSG00000228836	2.24	3.44	1.72	2.01	0.0449	0.0776	2
ENSG00000165359	42.3	-0.311	0.301	-1.03	0.301	0.399	0
ENSG00000178947	2.92	-0.423	1.24	-0.342	0.732	0.802	1
ENSG00000173275	74.9	0.893	0.238	3.75	0.000179	0.000458	0
ENSG00000203950	494	-0.304	0.11	-2.76	0.00572	0.0118	0
ENSG00000184785	31.1	1.26	0.422	2.99	0.00282	0.0061	0
ENSG00000101928	1180	0.988	0.133	7.44	1e-13	5.86e-13	0
ENSG00000156504	1170	0.619	0.0897	6.9	5.17e-12	2.65e-11	0
ENSG00000170965	6.06	-0.508	0.946	-0.537	0.591	0.682	1
