gene_ID	GRHL1_PTC_baseMean	GRHL1_PTC_log2FoldChange	GRHL1_PTC_lfcSE	GRHL1_PTC_stat	GRHL1_PTC_pvalue	GRHL1_PTC_padj	GRHL1_PTC_n_zeros
ENSG00000271254	302	-0.702	0.123	-5.71	1.16e-08	1.45e-07	0
ENSG00000277196	40.7	0.657	0.306	2.15	0.0317	0.0902	0
ENSG00000278817	29.4	0.12	0.346	0.348	0.728	0.842	0
ENSG00000182484	210	-0.0681	0.133	-0.512	0.609	0.761	0
ENSG00000124334	0.694	-1.74	2.19	-0.792	0.428		2
ENSG00000124333	702	0.0262	0.0816	0.321	0.748	0.855	0
ENSG00000155961	4.3	1.29	0.92	1.4	0.16		0
ENSG00000203870	7.02	-1.11	0.7	-1.59	0.112	0.242	0
ENSG00000130830	6190	-0.454	0.0681	-6.67	2.61e-11	4.44e-10	0
ENSG00000272681	0.622	1.23	2.25	0.547	0.584		2
ENSG00000269335	333	-0.26	0.109	-2.4	0.0166	0.0535	0
ENSG00000160211	2330	-0.168	0.0666	-2.52	0.0116	0.0397	0
ENSG00000102178	653	-0.128	0.0857	-1.5	0.134	0.277	0
ENSG00000130827	292	-0.198	0.115	-1.72	0.0854	0.196	0
ENSG00000071859	831	-0.0352	0.0792	-0.444	0.657	0.795	0
ENSG00000013563	173	0.0971	0.143	0.678	0.498	0.674	0
ENSG00000280195	9.09	-0.536	0.599	-0.895	0.371	0.557	0
ENSG00000169057	456	0.113	0.108	1.04	0.297	0.479	0
ENSG00000177854	57.7	-0.119	0.257	-0.464	0.642	0.786	0
ENSG00000102032	3.85	1.07	0.972	1.1	0.271		0
ENSG00000089820	14.6	0.0451	0.483	0.0934	0.926	0.96	0
ENSG00000198910	239	0.187	0.134	1.4	0.162	0.317	0
ENSG00000067840	1.46	0.807	1.61	0.501	0.616		2
ENSG00000180879	1100	0.212	0.0936	2.27	0.0232	0.0704	0
ENSG00000067829	852	-0.108	0.0752	-1.44	0.151	0.301	0
ENSG00000185825	3710	-0.17	0.0624	-2.72	0.00661	0.0247	0
ENSG00000130822	17.8	-0.241	0.439	-0.549	0.583	0.743	0
ENSG00000067842	81.6	-2.58	0.264	-9.76	1.63e-22	6.86e-21	0
ENSG00000147383	934	-0.0792	0.0771	-1.03	0.304	0.487	0
ENSG00000147400	526	0.0823	0.0885	0.93	0.352	0.538	0
ENSG00000160131	1090	0.281	0.0858	3.28	0.00103	0.00503	0
ENSG00000029993	3740	0.069	0.225	0.307	0.759	0.862	0
ENSG00000102181	718	-0.237	0.09	-2.63	0.00849	0.0307	0
ENSG00000063601	827	-0.0241	0.0743	-0.325	0.745	0.853	0
ENSG00000269556	329	-0.048	0.122	-0.394	0.694	0.821	0
ENSG00000241769	3.59	0.28	0.959	0.292	0.771		0
ENSG00000277215	0.63	-0.29	2.26	-0.128	0.898		2
ENSG00000182195	576	0.128	0.0894	1.43	0.152	0.302	0
ENSG00000134595	2.17	0.487	1.28	0.382	0.703		1
ENSG00000129682	304	0.876	0.116	7.53	5.02e-14	1.13e-12	0
ENSG00000291054	8.47	1.14	0.663	1.72	0.085	0.196	0
ENSG00000102243	8310	0.0717	0.0463	1.55	0.121	0.257	0
ENSG00000181433	2.68	3.69	1.51	2.45	0.0143		2
ENSG00000165359	51	0.142	0.259	0.548	0.583	0.744	0
ENSG00000178947	5.44	1.09	0.865	1.26	0.206	0.376	0
ENSG00000173275	65.9	0.517	0.23	2.25	0.0245	0.0735	0
ENSG00000203950	587	0.114	0.0872	1.3	0.193	0.36	0
ENSG00000184785	23.5	0.575	0.388	1.48	0.138	0.283	0
ENSG00000101928	688	-0.546	0.0955	-5.71	1.11e-08	1.4e-07	0
ENSG00000156504	1020	0.188	0.0766	2.46	0.0139	0.0464	0
ENSG00000170965	7.12	-0.0741	0.733	-0.101	0.92	0.958	0
ENSG00000156531	1560	0.382	0.0691	5.52	3.32e-08	3.88e-07	0
ENSG00000147257	33.8	-0.089	0.376	-0.237	0.813	0.896	0
ENSG00000076770	98700	-0.187	0.0548	-3.4	0.00067	0.00347	0
ENSG00000134602	2360	0.233	0.0671	3.47	0.000517	0.00275	0
ENSG00000213468	807	-0.416	0.102	-4.06	4.86e-05	0.000331	0
ENSG00000102078	188	0.276	0.155	1.78	0.0746	0.177	0
ENSG00000085185	6830	-1.11	0.0566	-19.6	5.89e-86	4.37e-83	0
ENSG00000188706	2120	-0.259	0.058	-4.46	8.25e-06	6.43e-05	0
ENSG00000198354	1.28	-0.934	1.71	-0.548	0.584		2
ENSG00000009694	6.05	1.23	0.769	1.6	0.109	0.237	0
ENSG00000101966	1290	-0.0479	0.0788	-0.607	0.544	0.712	0
ENSG00000125676	1520	-0.00339	0.0749	-0.0452	0.964	0.982	0
ENSG00000171155	414	0.0704	0.103	0.684	0.494	0.671	0
ENSG00000158290	2120	0.381	0.0608	6.27	3.57e-10	5.41e-09	0
ENSG00000005893	3780	0.00512	0.0638	0.0801	0.936	0.966	0
ENSG00000125355	3.79	1	0.998	1	0.317		1
ENSG00000258545	11	1.7	0.611	2.79	0.00535	0.0207	0
ENSG00000125352	273	0.38	0.118	3.21	0.00135	0.00635	0
ENSG00000125354	2260	-0.161	0.0581	-2.78	0.0055	0.0212	0
ENSG00000018610	663	-0.101	0.0845	-1.19	0.233	0.408	0
ENSG00000077721	1880	-0.174	0.061	-2.86	0.0043	0.0171	0
ENSG00000005022	6770	-0.00406	0.047	-0.0862	0.931	0.964	0
ENSG00000224281	9.32	-0.183	0.6	-0.305	0.761	0.863	0
ENSG00000077713	48	-0.211	0.264	-0.798	0.425	0.609	0
ENSG00000175556	3.11	-0.318	1.09	-0.291	0.771		1
ENSG00000235244	27.4	0.768	0.374	2.06	0.0398	0.108	0
ENSG00000102024	15800	-0.26	0.0486	-5.34	9.1e-08	9.98e-07	0
ENSG00000288595	8.42	0.75	0.647	1.16	0.246	0.422	0
ENSG00000077279	4.14	-1.2	0.971	-1.24	0.215		0
ENSG00000224142	1.86	2.06	1.51	1.36	0.172		1
ENSG00000157600	2560	0.174	0.0561	3.1	0.00191	0.00856	0
ENSG00000289365	3.55	0.77	1.02	0.753	0.452		1
ENSG00000068366	5430	-0.381	0.077	-4.94	7.7e-07	7.23e-06	0
ENSG00000197565	1030	0.729	0.0845	8.62	6.44e-18	1.96e-16	0
ENSG00000101844	519	-0.198	0.0895	-2.21	0.0268	0.0789	0
ENSG00000080561	34.9	0.0826	0.331	0.25	0.803	0.889	0
ENSG00000198088	16	0.515	0.461	1.12	0.265	0.444	0
ENSG00000147223	1.24	-1.59	1.71	-0.927	0.354		1
ENSG00000133131	5480	-1.47	0.184	-7.97	1.65e-15	4.12e-14	0
ENSG00000133138	411	0.0122	0.127	0.0961	0.923	0.959	0
ENSG00000133135	1260	-1.45	0.0855	-17	8.58e-65	2.68e-62	0
ENSG00000157502	112	6.91	1.27	5.44	5.36e-08	6.06e-07	0
ENSG00000189108	17.6	-1.48	0.458	-3.24	0.0012	0.00571	0
ENSG00000166707	1.95	-0.347	1.43	-0.243	0.808		2
ENSG00000269226	16.1	-0.501	1.46	-0.343	0.732	0.845	0
ENSG00000231728	2.7	-0.275	1.1	-0.25	0.802		0
ENSG00000234405	5.07	0.0285	0.798	0.0357	0.972	0.986	0
ENSG00000185222	2390	0.432	0.168	2.58	0.0099	0.0348	0
ENSG00000182916	215	0.861	0.148	5.81	6.08e-09	7.87e-08	0
ENSG00000133134	450	0.0266	0.0977	0.272	0.786	0.879	0
ENSG00000286846	7.09	1.1	0.774	1.42	0.154	0.306	0
ENSG00000286237	8.16	-2.22	0.85	-2.61	0.00894	0.032	1
ENSG00000158301	70	0.344	0.222	1.55	0.121	0.257	0
ENSG00000125962	170	0.24	0.149	1.6	0.109	0.236	0
ENSG00000184867	294	0.421	0.115	3.65	0.000264	0.00152	0
ENSG00000102401	1160	-0.0268	0.07	-0.382	0.702	0.826	0
ENSG00000290908	3.9	-0.771	1.08	-0.716	0.474		2
ENSG00000010671	70.3	-2.12	0.259	-8.21	2.24e-16	6.02e-15	0
ENSG00000102384	303	0.342	0.122	2.8	0.00506	0.0197	0
ENSG00000204086	4.62	1.18	0.893	1.33	0.185		0
ENSG00000147202	1100	0.402	0.0723	5.56	2.65e-08	3.14e-07	0
ENSG00000186310	22	-0.084	0.393	-0.214	0.831	0.908	0
ENSG00000289479	94.7	-0.468	0.197	-2.38	0.0174	0.0554	0
ENSG00000184788	1.33	-0.95	1.56	-0.608	0.543		0
ENSG00000072133	130	0.185	0.174	1.06	0.288	0.47	0
ENSG00000131171	483	0.313	0.105	2.99	0.00283	0.012	0
ENSG00000147255	14.9	0.768	0.501	1.53	0.125	0.262	0
ENSG00000198157	46.2	0.758	0.295	2.57	0.0102	0.0356	0
ENSG00000165288	1940	0.309	0.0612	5.05	4.37e-07	4.26e-06	0
ENSG00000078596	84.3	0.209	0.207	1.01	0.312	0.496	0
