gene_ID	PPARG_PTC_baseMean	PPARG_PTC_log2FoldChange	PPARG_PTC_lfcSE	PPARG_PTC_stat	PPARG_PTC_pvalue	PPARG_PTC_padj	PPARG_PTC_n_zeros
ENSG00000271254	444	-0.0531	0.104	-0.513	0.608	0.736	0
ENSG00000276345	1.21	-0.256	1.77	-0.145	0.885		2
ENSG00000277196	28.2	3.2	0.511	6.27	3.71e-10	3.19e-09	1
ENSG00000278817	6.44	1.09	0.826	1.32	0.186	0.315	1
ENSG00000182484	148	-0.262	0.165	-1.59	0.112	0.213	0
ENSG00000124333	1050	-0.176	0.0769	-2.29	0.0223	0.056	0
ENSG00000155961	11.8	1.11	0.608	1.83	0.0674	0.141	0
ENSG00000203870	10.9	-0.928	0.637	-1.46	0.146	0.26	0
ENSG00000130830	5710	-0.661	0.0768	-8.6	7.77e-18	1.17e-16	0
ENSG00000272681	2.57	-2.19	1.35	-1.62	0.105	0.203	1
ENSG00000269335	175	-0.229	0.16	-1.43	0.152	0.269	0
ENSG00000160211	671	-0.0727	0.0938	-0.775	0.438	0.59	0
ENSG00000102178	300	0.0923	0.121	0.761	0.447	0.599	0
ENSG00000130827	209	0.0739	0.145	0.509	0.611	0.738	0
ENSG00000071859	544	-0.353	0.0988	-3.57	0.000357	0.00141	0
ENSG00000013563	83.1	-0.183	0.213	-0.862	0.389	0.545	0
ENSG00000280195	7.06	0.0483	0.75	0.0644	0.949	0.971	0
ENSG00000169057	360	0.523	0.113	4.63	3.62e-06	1.99e-05	0
ENSG00000177854	25.6	0.287	0.392	0.732	0.464	0.614	0
ENSG00000102032	1.51	-0.73	1.67	-0.437	0.662		2
ENSG00000089820	5.28	0.522	0.865	0.603	0.546	0.685	0
ENSG00000198910	241	1.09	0.158	6.91	4.7e-12	4.83e-11	0
ENSG00000067840	1.75	-0.501	1.52	-0.33	0.741		1
ENSG00000180879	622	-0.416	0.0932	-4.46	8.26e-06	4.31e-05	0
ENSG00000067829	358	-0.194	0.12	-1.62	0.106	0.203	0
ENSG00000198753	1.02	-0.45	1.97	-0.229	0.819		2
ENSG00000185825	1800	-0.381	0.0687	-5.54	3.05e-08	2.17e-07	0
ENSG00000130822	4.97	-1.26	0.877	-1.43	0.152	0.269	0
ENSG00000067842	123	-2.42	0.222	-10.9	1.7e-27	4.24e-26	0
ENSG00000147383	519	0.162	0.0982	1.65	0.098	0.191	0
ENSG00000147400	396	0.156	0.11	1.42	0.156	0.275	0
ENSG00000160131	1530	0.188	0.0769	2.45	0.0143	0.038	0
ENSG00000029993	3220	0.0551	0.21	0.262	0.793	0.872	0
ENSG00000102181	337	-0.659	0.12	-5.5	3.89e-08	2.72e-07	0
ENSG00000063601	979	0.0988	0.0783	1.26	0.207	0.341	0
ENSG00000013619	1.9	-0.391	1.46	-0.268	0.789		1
ENSG00000269556	186	0.101	0.147	0.688	0.492	0.638	0
ENSG00000241769	13.5	0.3	0.572	0.525	0.599	0.73	0
ENSG00000277215	3.47	1.43	1.15	1.24	0.213	0.35	0
ENSG00000182195	220	0.494	0.14	3.53	0.000417	0.00162	0
ENSG00000129682	662	2.3	0.121	19	1.92e-80	2.38e-78	0
ENSG00000291054	5.58	0.0955	0.881	0.108	0.914	0.95	0
ENSG00000102243	2710	-0.938	0.0594	-15.8	3.89e-56	2.55e-54	0
ENSG00000181433	4.68	4.53	1.46	3.1	0.00191	0.00645	2
ENSG00000165359	154	0.299	0.173	1.73	0.0832	0.168	0
ENSG00000178947	5.6	0.199	0.825	0.242	0.809	0.883	0
ENSG00000173275	169	0.454	0.154	2.95	0.00315	0.0101	0
ENSG00000203950	243	0.186	0.15	1.24	0.215	0.352	0
ENSG00000184785	23.2	0.271	0.43	0.631	0.528	0.67	0
ENSG00000101928	1630	-0.612	0.073	-8.39	4.88e-17	7.03e-16	0
ENSG00000156504	1270	0.0879	0.08	1.1	0.272	0.419	0
ENSG00000170965	8.58	-1.96	0.744	-2.63	0.0085	0.0242	0
ENSG00000156531	2430	0.136	0.0683	2	0.0459	0.103	0
ENSG00000147257	36	-0.326	0.382	-0.853	0.394	0.549	0
