gene_ID	PAX6_PTC_baseMean	PAX6_PTC_log2FoldChange	PAX6_PTC_lfcSE	PAX6_PTC_stat	PAX6_PTC_pvalue	PAX6_PTC_padj	PAX6_PTC_n_zeros
ENSG00000271254	1130	-0.257	0.09	-2.85	0.00433	0.0355	0
ENSG00000277196	146	0.565	0.189	2.99	0.00282	0.0253	0
ENSG00000278817	16.2	0.498	0.457	1.09	0.276	0.529	0
ENSG00000198692	511	0.148	0.117	1.27	0.204	0.448	0
ENSG00000229236	18.2	-0.0286	0.443	-0.0646	0.948	0.978	0
ENSG00000260197	17	-0.355	0.471	-0.754	0.451	0.69	0
ENSG00000290853	94.4	-0.386	0.21	-1.84	0.0651	0.223	0
ENSG00000067048	1930	0.12	0.0651	1.85	0.065	0.223	0
ENSG00000286009	10.3	-0.812	0.597	-1.36	0.174	0.409	0
ENSG00000277930	1.79	-0.818	1.44	-0.569	0.57		2
ENSG00000231535	7.42	0.4	0.726	0.55	0.582		0
ENSG00000278847	4.11	-0.154	0.904	-0.17	0.865		0
ENSG00000182484	301	0.0343	0.141	0.243	0.808	0.911	0
ENSG00000124334	1.6	-2.39	1.79	-1.34	0.181		3
ENSG00000124333	639	0.0414	0.095	0.435	0.663	0.834	0
ENSG00000224533	4.32	-1.5	1.03	-1.46	0.145		1
ENSG00000155961	327	-0.246	0.113	-2.17	0.0297	0.135	0
ENSG00000154620	78.6	-1.1	0.803	-1.37	0.172	0.406	0
ENSG00000130830	0.961	0.785	2.08	0.378	0.705		3
ENSG00000272681	2.54	0.492	1.24	0.396	0.692		0
ENSG00000269335	194	-0.0049	0.154	-0.0319	0.975	0.991	0
ENSG00000160211	1230	0.234	0.0737	3.17	0.00153	0.0157	0
ENSG00000102178	503	0.082	0.0975	0.841	0.4	0.648	0
ENSG00000130827	541	-0.315	0.121	-2.61	0.00903	0.0594	0
ENSG00000071859	743	0.136	0.11	1.23	0.218	0.465	0
ENSG00000013563	230	-0.00237	0.136	-0.0174	0.986	0.995	0
ENSG00000280195	26.8	0.107	0.353	0.302	0.763	0.889	0
