gene_ID	PAX6_reverted_baseMean	PAX6_reverted_log2FoldChange	PAX6_reverted_lfcSE	PAX6_reverted_stat	PAX6_reverted_pvalue	PAX6_reverted_padj	PAX6_reverted_n_zeros
ENSG00000271254	1130	-0.207	0.0894	-2.32	0.0204	0.209	0
ENSG00000277196	146	-0.31	0.195	-1.59	0.112	0.519	0
ENSG00000278817	16.2	-0.206	0.474	-0.436	0.663		0
ENSG00000198692	511	-0.197	0.117	-1.68	0.0932	0.476	0
ENSG00000229236	18.2	0.341	0.427	0.8	0.424		0
ENSG00000260197	17	-0.00567	0.454	-0.0125	0.99		0
ENSG00000290853	94.4	-0.416	0.208	-2	0.0452	0.331	0
ENSG00000067048	1930	-0.0492	0.065	-0.756	0.449	0.846	0
ENSG00000286009	10.3	-0.41	0.569	-0.719	0.472		0
ENSG00000277930	1.79	-0.305	1.36	-0.224	0.823		0
ENSG00000231535	7.42	0.276	0.724	0.381	0.703		0
ENSG00000278847	4.11	-0.034	0.885	-0.0384	0.969		0
ENSG00000182484	301	0.0872	0.14	0.624	0.533	0.881	0
ENSG00000124334	1.6	0.193	1.45	0.133	0.894		1
ENSG00000124333	639	0.0734	0.0942	0.779	0.436	0.84	0
ENSG00000224533	4.32	-0.728	0.955	-0.762	0.446		1
ENSG00000155961	327	-0.0919	0.111	-0.828	0.408	0.828	0
ENSG00000154620	78.6	-1.01	0.801	-1.26	0.208	0.657	0
ENSG00000130830	0.961	0.917	2.05	0.448	0.654		3
ENSG00000272681	2.54	-0.104	1.28	-0.0813	0.935		1
ENSG00000269335	194	0.124	0.151	0.819	0.413	0.831	0
ENSG00000160211	1230	0.144	0.0735	1.97	0.0492	0.345	0
ENSG00000102178	503	0.0187	0.097	0.193	0.847	0.976	0
ENSG00000130827	541	-0.112	0.119	-0.936	0.349	0.789	0
ENSG00000071859	743	0.0337	0.11	0.306	0.76	0.954	0
ENSG00000013563	230	0.0242	0.135	0.179	0.858	0.978	0
ENSG00000280195	26.8	0.228	0.346	0.66	0.509		0
ENSG00000007350	8.4	0.00254	0.628	0.00404	0.997		0
ENSG00000169057	1740	-0.117	0.0663	-1.77	0.0771	0.432	0
ENSG00000177854	69.3	0.272	0.223	1.22	0.223	0.679	0
ENSG00000102032	28.6	0.527	0.342	1.54	0.124		0
ENSG00000089820	107	0.379	0.208	1.83	0.0677	0.405	0
ENSG00000198910	349	0.875	0.115	7.58	3.49e-14	3.07e-11	0
ENSG00000067840	205	0.238	0.162	1.47	0.141	0.569	0
