gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	746	-0.68	0.137	-4.97	6.69e-07	3.99e-06	0
ENSG00000277196	134	1.29	0.243	5.3	1.18e-07	7.99e-07	0
ENSG00000278817	283	2.26	0.205	11	2.32e-28	8.24e-27	0
ENSG00000198692	498	0.0706	0.147	0.48	0.631	0.74	0
ENSG00000229236	4.99	1.6	1.18	1.35	0.176	0.282	0
ENSG00000260197	3.97	-0.943	1.25	-0.755	0.45	0.584	0
ENSG00000290853	154	0.959	0.23	4.18	2.96e-05	0.000133	0
ENSG00000067048	2900	-0.0658	0.108	-0.61	0.542	0.667	0
ENSG00000286009	2.08	0.376	1.67	0.225	0.822		0
ENSG00000231535	77	-0.485	0.298	-1.63	0.104	0.184	0
ENSG00000233070	27.8	-0.673	0.509	-1.32	0.186	0.296	0
ENSG00000278847	1.04	-0.522	2.55	-0.205	0.838		2
ENSG00000182484	295	0.137	0.191	0.717	0.473	0.607	0
ENSG00000124333	987	-0.0781	0.128	-0.61	0.542	0.668	0
ENSG00000155961	29.3	1.27	0.478	2.66	0.00787	0.0206	0
ENSG00000203870	11	-3.38	0.943	-3.59	0.000334	0.00122	1
ENSG00000154620	275	-0.228	0.208	-1.1	0.272	0.4	0
ENSG00000130830	4520	-1.33	0.105	-12.6	1.21e-36	6.82e-35	0
ENSG00000272681	1.04	0.907	2.4	0.378	0.706		1
ENSG00000269335	313	-0.68	0.181	-3.75	0.000175	0.000677	0
ENSG00000160211	2360	-0.237	0.122	-1.95	0.0513	0.103	0
ENSG00000102178	886	0.00452	0.134	0.0339	0.973	0.983	0
ENSG00000130827	648	0.414	0.137	3.02	0.00252	0.00754	0
ENSG00000071859	1090	-0.378	0.124	-3.06	0.00224	0.00678	0
ENSG00000013563	286	0.563	0.179	3.15	0.00163	0.0051	0
ENSG00000280195	14.4	0.196	0.665	0.295	0.768	0.844	0
ENSG00000169057	851	0.453	0.129	3.5	0.000463	0.00165	0
ENSG00000177854	88.9	1.51	0.304	4.96	7.06e-07	4.19e-06	0
ENSG00000102032	6.06	1.11	1.05	1.06	0.288	0.418	0
ENSG00000089820	27.7	0.18	0.488	0.369	0.712	0.803	0
ENSG00000198910	347	-1.7	0.502	-3.38	0.000713	0.00243	0
ENSG00000067840	1.66	0.644	1.96	0.328	0.743		1
ENSG00000180879	2190	0.569	0.149	3.81	0.000138	0.000547	0
ENSG00000067829	1110	0.00598	0.122	0.0489	0.961	0.976	0
ENSG00000198753	0.912	-2.24	2.68	-0.835	0.404		2
ENSG00000185825	5230	-0.034	0.102	-0.334	0.739	0.822	0
