gene_ID	hyp_vs_nor_baseMean	hyp_vs_nor_log2FoldChange	hyp_vs_nor_lfcSE	hyp_vs_nor_stat	hyp_vs_nor_pvalue	hyp_vs_nor_padj	hyp_vs_nor_n_zeros
ENSG00000271254	734	-0.633	0.0857	-7.38	1.53e-13	7.73e-13	0
ENSG00000277196	123	1.09	0.184	5.94	2.83e-09	1.09e-08	0
ENSG00000278817	275	1.57	0.127	12.3	4.94e-35	5.85e-34	0
ENSG00000198692	443	-0.221	0.0958	-2.31	0.0208	0.0387	0
ENSG00000229236	4.81	1.86	0.951	1.96	0.0503	0.0857	1
ENSG00000260197	4.76	1.48	0.894	1.66	0.0978	0.154	0
ENSG00000290853	130	1.01	0.171	5.88	4.01e-09	1.53e-08	0
ENSG00000067048	2500	0.0891	0.0613	1.45	0.146	0.218	0
ENSG00000286009	1.97	1.3	1.4	0.926	0.354	0.461	1
ENSG00000290323	1.49	-0.533	1.49	-0.358	0.72		1
ENSG00000231535	87.2	0.108	0.198	0.545	0.585	0.683	0
ENSG00000233070	28	-0.122	0.343	-0.354	0.723	0.798	0
ENSG00000182484	250	0.0891	0.123	0.723	0.47	0.577	0
ENSG00000124333	898	-0.138	0.0809	-1.71	0.0878	0.14	0
ENSG00000155961	26.1	1.45	0.379	3.81	0.000137	0.000354	0
ENSG00000203870	9.94	-3.32	0.79	-4.2	2.7e-05	7.54e-05	0
ENSG00000154620	173	-0.531	0.153	-3.48	5e-04	0.00121	0
ENSG00000130830	4410	-1.55	0.0654	-23.6	1.19e-123	9.66e-122	0
ENSG00000269335	288	-0.757	0.116	-6.54	6.25e-11	2.7e-10	0
ENSG00000160211	2050	-0.556	0.0733	-7.58	3.44e-14	1.81e-13	0
ENSG00000102178	740	-0.241	0.0855	-2.82	0.00478	0.01	0
ENSG00000130827	654	0.668	0.0877	7.62	2.51e-14	1.33e-13	0
ENSG00000071859	937	-0.719	0.0933	-7.71	1.22e-14	6.56e-14	0
ENSG00000013563	258	0.71	0.132	5.37	7.92e-08	2.76e-07	0
ENSG00000280195	11.8	0.403	0.534	0.754	0.451	0.559	0
ENSG00000169057	705	0.563	0.0826	6.82	8.87e-12	4.02e-11	0
ENSG00000177854	80.2	1.46	0.235	6.19	6.06e-10	2.45e-09	0
ENSG00000102032	6.6	-0.764	0.732	-1.04	0.297	0.399	0
ENSG00000089820	26	-0.487	0.361	-1.35	0.177	0.258	0
ENSG00000198910	92.3	-0.595	0.202	-2.94	0.00326	0.00701	0
ENSG00000067840	1.5	-0.556	1.52	-0.366	0.714		1
ENSG00000180879	2080	0.414	0.0607	6.82	9.05e-12	4.1e-11	0
ENSG00000067829	958	-0.213	0.0834	-2.56	0.0106	0.0208	0
ENSG00000185825	4940	-0.167	0.0583	-2.87	0.00416	0.00878	0
ENSG00000130822	163	3.24	0.204	15.9	1.37e-56	2.85e-55	0
ENSG00000067842	124	-2.11	0.212	-9.94	2.67e-23	2.11e-22	0
ENSG00000183837	4.34	0.136	0.903	0.151	0.88	0.916	0
ENSG00000147383	802	-0.465	0.0875	-5.31	1.08e-07	3.7e-07	0
ENSG00000147400	741	0.449	0.0807	5.56	2.77e-08	1e-07	0
ENSG00000160131	1270	-0.228	0.0831	-2.74	0.00614	0.0126	0
ENSG00000029993	8070	0.7	0.0481	14.6	4.92e-48	8.23e-47	0
ENSG00000102181	537	0.738	0.0963	7.66	1.8e-14	9.63e-14	0
ENSG00000063601	1420	0.326	0.0642	5.09	3.67e-07	1.21e-06	0
ENSG00000269556	389	0.0774	0.108	0.719	0.472	0.58	0
ENSG00000241769	7.51	0.31	0.688	0.45	0.652	0.742	0
ENSG00000182195	708	0.262	0.0952	2.76	0.00584	0.012	0
ENSG00000129682	197	-0.389	0.157	-2.48	0.0132	0.0255	0
ENSG00000291054	11.1	0.904	0.576	1.57	0.117	0.18	0
ENSG00000102243	6170	-1.01	0.0513	-19.6	1.73e-85	7.07e-84	0
ENSG00000165359	54.4	0.84	0.254	3.31	0.000931	0.00217	0
ENSG00000178947	8.45	1.38	0.666	2.07	0.0381	0.0667	0
ENSG00000173275	105	0.814	0.19	4.27	1.92e-05	5.44e-05	0
ENSG00000203950	675	0.664	0.09	7.38	1.61e-13	8.1e-13	0
ENSG00000184785	18	0.126	0.46	0.275	0.783	0.845	0
ENSG00000101928	589	-0.737	0.103	-7.18	7.09e-13	3.44e-12	0
ENSG00000156504	584	-0.197	0.0947	-2.08	0.0378	0.0663	0
ENSG00000170965	5.02	-0.971	0.86	-1.13	0.259	0.357	0
ENSG00000156531	1190	0.0635	0.0677	0.938	0.348	0.454	0
ENSG00000147257	157	2.87	0.197	14.6	2.27e-48	3.84e-47	0
ENSG00000076770	51800	-0.867	0.0562	-15.4	1.21e-53	2.35e-52	0
ENSG00000134602	2670	0.584	0.063	9.27	1.87e-20	1.32e-19	0
ENSG00000213468	846	0.649	0.0795	8.16	3.28e-16	1.91e-15	0
ENSG00000102078	115	-0.0503	0.186	-0.271	0.786	0.848	0
ENSG00000085185	4920	-1.08	0.0542	-19.9	5.73e-88	2.46e-86	0
ENSG00000188706	1580	-0.0692	0.0674	-1.03	0.305	0.408	0
ENSG00000198354	1.94	0.265	1.31	0.202	0.84	0.888	0
ENSG00000009694	11	-1.8	0.609	-2.95	0.00318	0.00685	0
ENSG00000101966	1510	-0.547	0.0732	-7.47	8.08e-14	4.15e-13	0
ENSG00000125676	2210	-0.14	0.0634	-2.21	0.0272	0.0493	0
ENSG00000171155	519	-0.249	0.093	-2.67	0.00749	0.0152	0
ENSG00000158290	3420	0.664	0.0586	11.3	9.3e-30	9.23e-29	0
ENSG00000005893	5660	0.401	0.0541	7.41	1.25e-13	6.37e-13	0
ENSG00000125355	4.43	0.517	0.872	0.592	0.554	0.655	0
ENSG00000258545	21.5	1.23	0.418	2.94	0.00331	0.00711	0
ENSG00000125352	510	1.09	0.102	10.7	8.86e-27	7.9e-26	0
ENSG00000125354	3600	0.525	0.0711	7.38	1.59e-13	8.01e-13	0
ENSG00000018610	496	-0.645	0.103	-6.26	3.73e-10	1.53e-09	0
ENSG00000077721	1960	-1.5	0.061	-24.6	6.86e-134	6.46e-132	0
ENSG00000005022	6350	-0.628	0.0605	-10.4	3.22e-25	2.73e-24	0
ENSG00000224281	9.59	1.11	0.608	1.83	0.0673	0.111	0
ENSG00000077713	81.8	-0.597	0.224	-2.66	0.00778	0.0157	0
ENSG00000175556	6.07	-1.41	0.831	-1.7	0.0893	0.142	0
ENSG00000235244	20.7	0.0653	0.425	0.154	0.878	0.915	0
ENSG00000102024	7920	0.0629	0.053	1.19	0.235	0.329	0
ENSG00000288595	2.49	-1.2	1.18	-1.02	0.307	0.41	0
ENSG00000077279	2.13	-0.429	1.25	-0.344	0.731	0.804	0
ENSG00000157600	1990	0.59	0.0747	7.89	2.97e-15	1.65e-14	0
ENSG00000068366	3540	-1.1	0.0632	-17.5	2.38e-68	6.49e-67	0
ENSG00000237863	1.08	1.16	1.83	0.632	0.527		2
ENSG00000197565	1330	0.965	0.0714	13.5	1.19e-41	1.67e-40	0
ENSG00000101844	229	-1.16	0.133	-8.71	3.14e-18	2.01e-17	0
ENSG00000080561	25.5	1.15	0.372	3.09	0.00197	0.00439	0
ENSG00000198088	37.3	1.07	0.316	3.37	0.000758	0.00179	0
ENSG00000133131	1500	-1.83	0.16	-11.4	4.5e-30	4.5e-29	0
ENSG00000133138	282	0.478	0.121	3.94	7.98e-05	0.000212	0
ENSG00000133135	731	-1.5	0.0964	-15.5	2.86e-54	5.62e-53	0
ENSG00000157502	652	-1.38	0.0976	-14.1	2.44e-45	3.78e-44	0
ENSG00000189108	23.4	0.12	0.386	0.312	0.755	0.824	0
ENSG00000166707	1.7	0.282	1.44	0.196	0.844	0.891	1
ENSG00000269226	18.1	-0.6	0.443	-1.35	0.175	0.256	0
ENSG00000231728	2.19	1.13	1.26	0.894	0.371	0.479	1
ENSG00000172476	1.6	-0.648	1.51	-0.431	0.667	0.754	1
ENSG00000234405	6.63	1.65	0.817	2.02	0.043	0.0745	1
ENSG00000185222	1410	0.135	0.0784	1.73	0.0844	0.136	0
ENSG00000182916	67.3	-0.0453	0.234	-0.193	0.847	0.893	0
ENSG00000133134	244	-0.32	0.127	-2.52	0.0119	0.0232	0
ENSG00000286846	5.6	1.08	0.894	1.2	0.229	0.32	0
ENSG00000286237	33.9	0.617	0.393	1.57	0.116	0.18	0
ENSG00000158301	276	0.595	0.122	4.88	1.08e-06	3.43e-06	0
ENSG00000125962	275	0.448	0.124	3.62	0.000299	0.000743	0
ENSG00000184867	870	0.412	0.0763	5.4	6.82e-08	2.39e-07	0
ENSG00000102401	1480	0.124	0.0669	1.86	0.0633	0.105	0
