gene_ID	EPAS1_reverted_baseMean	EPAS1_reverted_log2FoldChange	EPAS1_reverted_lfcSE	EPAS1_reverted_stat	EPAS1_reverted_pvalue	EPAS1_reverted_padj	EPAS1_reverted_n_zeros
ENSG00000271254	625	-0.077	0.137	-0.562	0.574		0
ENSG00000277196	192	0.25	0.215	1.16	0.246		0
ENSG00000278817	476	0.236	0.146	1.62	0.106		0
ENSG00000198692	497	0.0657	0.148	0.444	0.657		0
ENSG00000229236	8.14	0.116	0.977	0.119	0.905		0
ENSG00000260197	5.39	-2.08	1.38	-1.51	0.132		0
ENSG00000290853	204	0.107	0.205	0.522	0.601		0
ENSG00000067048	2930	-0.106	0.0932	-1.14	0.255	0.643	0
ENSG00000286009	2.8	-0.979	1.76	-0.555	0.579		0
ENSG00000231535	84.9	-0.626	0.308	-2.03	0.0422		0
ENSG00000233070	26.5	-0.22	0.535	-0.412	0.681		0
ENSG00000182484	307	0.305	0.172	1.77	0.0759		0
ENSG00000124333	983	-0.0346	0.115	-0.301	0.763	0.929	0
ENSG00000155961	43.1	-0.103	0.422	-0.244	0.807		0
ENSG00000203870	2.19	0.477	1.88	0.254	0.8		1
ENSG00000154620	215	0.231	0.24	0.962	0.336		0
ENSG00000130830	2610	0.0182	0.0986	0.184	0.854	0.96	0
ENSG00000272681	0.83	2.31	2.92	0.789	0.43		2
ENSG00000269335	247	-0.0956	0.203	-0.471	0.638		0
ENSG00000160211	2060	0.178	0.0977	1.82	0.069	0.386	0
ENSG00000102178	846	0.129	0.137	0.935	0.35	0.722	0
ENSG00000130827	840	-0.23	0.12	-1.92	0.0549	0.349	0
ENSG00000071859	894	0.283	0.13	2.17	0.0297	0.266	0
ENSG00000013563	359	0.073	0.171	0.426	0.67		0
ENSG00000280195	15.5	0.233	0.688	0.338	0.735		0
ENSG00000169057	986	0.0887	0.113	0.786	0.432	0.774	0
ENSG00000177854	135	0.322	0.254	1.27	0.205		0
ENSG00000102032	7	1.03	1	1.02	0.305		0
ENSG00000089820	27.3	0.329	0.524	0.628	0.53		0
ENSG00000198910	138	0.136	0.35	0.388	0.698		0
ENSG00000067840	1.61	-0.25	2.28	-0.109	0.913		1
ENSG00000180879	2700	0.174	0.103	1.68	0.0923	0.432	0
ENSG00000067829	1080	0.224	0.113	1.98	0.048	0.327	0
ENSG00000185825	5320	0.0629	0.0869	0.724	0.469	0.795	0
ENSG00000130822	306	0.0927	0.206	0.45	0.653		0
ENSG00000067842	52.5	0.309	0.374	0.826	0.409		0
ENSG00000183837	3.7	-1.86	1.63	-1.14	0.256		0
ENSG00000147383	868	0.112	0.146	0.764	0.445	0.781	0
ENSG00000147400	1050	0.135	0.111	1.21	0.226	0.611	0
ENSG00000160131	1450	0.00741	0.111	0.0667	0.947	0.984	0
ENSG00000029993	11000	-0.0109	0.0831	-0.131	0.895	0.969	0
ENSG00000102181	744	-0.0196	0.13	-0.15	0.88	0.966	0
ENSG00000063601	1800	-0.0246	0.0962	-0.255	0.798	0.942	0
ENSG00000269556	467	0.0687	0.151	0.455	0.649		0
ENSG00000241769	8.06	-0.22	0.976	-0.225	0.822		0
ENSG00000277215	0.845	-0.505	3.03	-0.166	0.868		2
ENSG00000182195	936	0.304	0.127	2.39	0.0168	0.21	0
ENSG00000134595	0.98	-0.853	3.01	-0.284	0.777		2
ENSG00000129682	283	0.196	0.197	0.993	0.321		0
ENSG00000291054	14.3	-0.0847	0.773	-0.11	0.913		0
ENSG00000102243	5060	0.14	0.0922	1.51	0.13	0.498	0
ENSG00000165359	74.2	0.0553	0.326	0.17	0.865		0
ENSG00000178947	11.9	-0.293	0.814	-0.36	0.719		0
ENSG00000173275	161	0.164	0.228	0.721	0.471		0
ENSG00000169551	0.825	0.571	2.86	0.199	0.842		1
ENSG00000203950	988	0.153	0.116	1.32	0.187	0.564	0
