gene_ID	EPAS1_reverted_baseMean	EPAS1_reverted_log2FoldChange	EPAS1_reverted_lfcSE	EPAS1_reverted_stat	EPAS1_reverted_pvalue	EPAS1_reverted_padj	EPAS1_reverted_n_zeros
ENSG00000271254	838	-0.107	0.096	-1.12	0.263	0.694	0
ENSG00000277196	72.7	-0.147	0.249	-0.589	0.556	0.873	0
ENSG00000278817	110	-0.664	0.19	-3.5	0.000462	0.0151	0
ENSG00000198692	446	-0.123	0.111	-1.1	0.269	0.698	0
ENSG00000229236	2.12	0.157	1.31	0.12	0.904		1
ENSG00000260197	3.54	0.922	1.01	0.913	0.361		0
ENSG00000290853	88.3	0.14	0.219	0.638	0.523	0.86	0
ENSG00000067048	2490	0.141	0.0847	1.66	0.0963	0.464	0
ENSG00000286009	1.36	0.504	1.61	0.313	0.754		1
ENSG00000290323	1.34	-0.856	1.62	-0.53	0.596		1
ENSG00000231535	80.4	-0.0513	0.218	-0.235	0.814	0.96	0
ENSG00000233070	29.2	0.0821	0.357	0.23	0.818	0.961	0
ENSG00000182484	241	0.0659	0.138	0.477	0.634	0.901	0
ENSG00000124333	904	-0.0394	0.1	-0.394	0.694	0.92	0
ENSG00000155961	14.4	0.148	0.486	0.305	0.76	0.942	0
ENSG00000203870	17.5	-0.0354	0.468	-0.0756	0.94	0.99	0
ENSG00000154620	228	0.361	0.144	2.51	0.0122	0.148	0
ENSG00000130830	6050	-0.17	0.0811	-2.1	0.0355	0.277	0
ENSG00000272681	0.677	-0.000691	2.25	-0.000307	1		2
ENSG00000269335	346	-0.0514	0.124	-0.416	0.678	0.915	0
ENSG00000160211	2310	-0.0749	0.103	-0.729	0.466	0.833	0
ENSG00000102178	779	-0.0069	0.0954	-0.0723	0.942	0.99	0
ENSG00000130827	491	-0.00902	0.111	-0.0813	0.935	0.989	0
ENSG00000071859	1110	-0.0641	0.0989	-0.648	0.517	0.858	0
ENSG00000013563	197	0.09	0.15	0.599	0.549	0.872	0
ENSG00000280195	11	0.255	0.575	0.443	0.658	0.908	0
ENSG00000169057	593	0.189	0.101	1.87	0.0619	0.372	0
ENSG00000177854	41	-0.0615	0.311	-0.198	0.843	0.967	0
ENSG00000102032	5.75	-1.18	0.836	-1.42	0.157		0
ENSG00000089820	26.4	-0.346	0.386	-0.895	0.371	0.771	0
ENSG00000198910	278	2.04	0.179	11.4	3.45e-30	1.24e-26	0
ENSG00000067840	1.54	-0.286	1.52	-0.188	0.851		1
ENSG00000180879	1640	-0.17	0.093	-1.83	0.0667	0.388	0
ENSG00000067829	990	-0.033	0.106	-0.311	0.756	0.941	0
ENSG00000185825	4870	-0.13	0.0793	-1.63	0.102	0.477	0
ENSG00000130822	29.1	-0.103	0.359	-0.286	0.775	0.947	0
ENSG00000067842	208	0.154	0.207	0.743	0.458	0.827	0
ENSG00000183837	3.22	-0.72	1.1	-0.653	0.514		1
ENSG00000147383	963	0.172	0.103	1.67	0.095	0.462	0
ENSG00000147400	630	0.0885	0.108	0.822	0.411	0.799	0
ENSG00000160131	1370	0.066	0.105	0.627	0.53	0.863	0
ENSG00000029993	5510	-0.253	0.0875	-2.9	0.00377	0.0696	0
ENSG00000102181	378	-0.101	0.139	-0.727	0.467	0.833	0
ENSG00000063601	1230	0.000146	0.0851	0.00171	0.999	1	0
ENSG00000269556	384	0.106	0.128	0.829	0.407	0.796	0
ENSG00000241769	6.52	0.0259	0.808	0.032	0.974		0
