gene_ID	GCM1_reverted_baseMean	GCM1_reverted_log2FoldChange	GCM1_reverted_lfcSE	GCM1_reverted_stat	GCM1_reverted_pvalue	GCM1_reverted_padj	GCM1_reverted_n_zeros
ENSG00000271254	1050	0.151	0.0894	1.68	0.0923	0.245	0
ENSG00000277196	51.7	0.463	0.267	1.74	0.0824	0.229	0
ENSG00000278817	73.1	0.428	0.225	1.9	0.057	0.182	0
ENSG00000198692	464	-0.122	0.106	-1.15	0.248	0.451	0
ENSG00000229236	4.62	-0.0319	0.754	-0.0423	0.966		0
ENSG00000260197	16.5	-0.421	0.412	-1.02	0.306	0.511	0
ENSG00000290853	120	-0.438	0.184	-2.38	0.0171	0.0854	0
ENSG00000067048	3800	-0.0195	0.0538	-0.362	0.718	0.841	0
ENSG00000286009	2.87	0.033	1.03	0.0321	0.974		1
ENSG00000290323	1.69	0.61	1.51	0.405	0.685		1
ENSG00000176679	0.869	3.3	2.15	1.54	0.125		4
ENSG00000231535	294	-0.149	0.128	-1.16	0.246	0.448	0
ENSG00000233070	37.1	0.346	0.328	1.05	0.292	0.495	0
ENSG00000278847	1.36	-0.135	1.54	-0.0875	0.93		1
ENSG00000182484	447	0.191	0.105	1.82	0.0689	0.205	0
ENSG00000124334	1.99	0.171	1.29	0.132	0.895		1
ENSG00000124333	940	0.0304	0.0744	0.408	0.683	0.82	0
ENSG00000224533	2.9	0.801	1.47	0.546	0.585		2
ENSG00000155961	19.6	-0.456	0.41	-1.11	0.266	0.47	0
ENSG00000274183	0.631	1.33	2.18	0.61	0.542		3
ENSG00000203870	26.1	0.577	0.385	1.5	0.134	0.308	0
ENSG00000154620	174	-5.4	0.363	-14.9	3.09e-50	4.81e-46	0
ENSG00000130830	7580	0.281	0.0943	2.98	0.00286	0.0279	0
ENSG00000272681	1.52	0.873	1.36	0.64	0.522		1
ENSG00000269335	398	0.116	0.126	0.919	0.358	0.563	0
ENSG00000160211	1500	-0.102	0.0786	-1.3	0.193	0.387	0
ENSG00000102178	611	-0.156	0.114	-1.37	0.171	0.36	0
ENSG00000130827	909	0.136	0.0877	1.55	0.12	0.288	0
ENSG00000071859	1290	0.126	0.111	1.13	0.258	0.462	0
ENSG00000013563	182	0.175	0.142	1.24	0.217	0.416	0
